date,open,high,low,close,volume,trade
01/01/2018,79.7,81.4,78.8,79.1,250048.0,483.0
01/02/2018,79.2,79.2,78.7,78.8,34107.0,785.0
01/03/2018,77.5,79.1,77.5,78.5,338705.0,629.0
01/04/2018,78.1,79.9,78.1,79.2,266205.0,558.0
01/07/2018,79.3,80.8,78.5,78.8,160495.0,432.0
01/08/2018,77.6,79.8,77.6,77.9,141159.0,319.0
01/09/2018,77.8,79.1,75.7,76.3,243389.0,648.0
01/10/2018,76.0,77.0,75.1,75.8,169751.0,558.0
01/11/2018,75.6,75.6,70.2,72.8,1680604.0,2843.0
01/14/2018,73.5,73.5,71.1,72.0,307818.0,538.0
01/15/2018,71.6,72.7,71.1,71.5,298031.0,629.0
01/16/2018,71.9,74.2,71.9,73.9,606199.0,1209.0
01/17/2018,74.3,75.5,72.9,73.5,600444.0,1055.0
01/18/2018,73.3,74.2,73.2,73.8,197632.0,502.0
01/21/2018,74.3,74.7,71.9,72.2,234110.0,535.0
01/22/2018,72.4,73.3,72.1,72.5,230129.0,491.0
01/23/2018,73.5,74.0,71.1,71.6,478992.0,824.0
01/24/2018,72.3,72.8,70.8,72.0,288839.0,743.0
01/25/2018,72.0,73.0,71.3,71.6,266107.0,415.0
01/28/2018,72.3,72.7,70.7,71.5,277703.0,828.0
01/29/2018,71.3,73.0,71.1,72.4,169282.0,428.0
01/30/2018,74.0,77.4,73.5,75.5,1045826.0,1880.0
01/31/2018,75.6,76.5,74.5,75.4,580039.0,1244.0
02/01/2018,75.9,76.5,73.7,74.2,422911.0,1049.0
02/04/2018,74.2,74.9,71.3,71.6,242678.0,605.0
02/05/2018,71.9,71.9,70.1,71.0,277741.0,628.0
02/06/2018,71.5,71.8,70.9,71.1,165977.0,517.0
02/07/2018,71.6,71.7,70.2,70.5,296809.0,794.0
02/08/2018,71.1,71.5,69.3,70.3,195099.0,452.0
02/11/2018,71.5,73.0,71.0,71.7,402606.0,859.0
02/12/2018,72.4,75.5,71.5,75.2,683316.0,1499.0
02/13/2018,76.0,77.1,73.5,73.9,455442.0,977.0
02/14/2018,74.9,75.1,73.7,73.9,471965.0,814.0
02/15/2018,74.3,74.6,72.5,72.8,262936.0,729.0
02/18/2018,73.5,73.5,71.1,71.1,353091.0,721.0
02/19/2018,71.9,72.5,70.3,70.6,257365.0,604.0
02/20/2018,71.7,71.7,69.8,70.2,242742.0,449.0
02/22/2018,70.8,71.7,69.9,70.2,135294.0,338.0
02/25/2018,70.2,70.6,69.3,69.5,172889.0,407.0
