date,open,high,low,close,volume,trade
01/01/2018,6.6,6.6,6.5,6.5,259704.0,51.0
01/02/2018,6.5,6.6,6.5,6.6,3200.0,85.0
01/03/2018,6.6,6.7,6.5,6.5,683583.0,77.0
01/04/2018,6.6,6.6,6.4,6.5,817990.0,114.0
01/07/2018,6.6,6.6,6.4,6.4,927401.0,128.0
01/08/2018,6.5,6.5,6.4,6.4,394004.0,62.0
01/09/2018,6.5,6.5,6.4,6.4,748413.0,67.0
01/10/2018,6.4,6.5,6.4,6.4,254613.0,73.0
01/11/2018,6.4,6.5,6.4,6.4,264051.0,56.0
01/14/2018,6.4,6.4,6.3,6.3,417332.0,102.0
01/15/2018,6.4,6.4,6.1,6.2,1440382.0,138.0
01/16/2018,6.3,6.4,6.2,6.3,335601.0,79.0
01/17/2018,6.3,6.4,6.2,6.3,409211.0,39.0
01/18/2018,6.3,6.3,6.2,6.2,118569.0,30.0
01/21/2018,6.2,6.3,6.2,6.3,409729.0,38.0
01/22/2018,6.3,6.3,6.2,6.3,486350.0,40.0
01/23/2018,6.3,6.3,6.2,6.3,656685.0,43.0
01/24/2018,6.3,6.3,6.1,6.2,633237.0,86.0
01/25/2018,6.2,6.3,6.2,6.2,462110.0,47.0
01/28/2018,6.3,6.3,6.1,6.1,609596.0,69.0
01/29/2018,6.2,6.3,6.1,6.2,644502.0,75.0
01/30/2018,6.2,6.3,6.1,6.2,378680.0,61.0
01/31/2018,6.2,6.3,6.1,6.1,760273.0,79.0
02/01/2018,6.2,6.2,6.1,6.2,198720.0,44.0
02/04/2018,6.2,6.2,6.0,6.0,991956.0,99.0
02/05/2018,6.0,6.1,5.9,6.0,555987.0,93.0
02/06/2018,6.0,6.1,6.0,6.0,430337.0,44.0
02/07/2018,6.0,6.1,5.9,6.0,404638.0,81.0
02/08/2018,6.0,6.1,6.0,6.0,213229.0,28.0
02/11/2018,6.0,6.2,6.0,6.1,352201.0,66.0
02/12/2018,6.2,6.2,6.1,6.1,382011.0,53.0
02/13/2018,6.1,6.2,6.0,6.1,356752.0,187.0
02/14/2018,6.1,6.2,6.1,6.1,532387.0,59.0
02/15/2018,6.1,6.2,6.1,6.1,617320.0,63.0
02/18/2018,6.1,6.1,6.0,6.0,568248.0,70.0
02/19/2018,6.0,6.1,6.0,6.0,307076.0,67.0
02/20/2018,6.0,6.1,6.0,6.1,807896.0,76.0
02/22/2018,6.1,6.2,6.0,6.0,325441.0,34.0
02/25/2018,6.1,6.1,5.9,6.0,179398.0,78.0
02/26/2018,6.0,6.0,5.9,5.9,199151.0,33.0
02/27/2018,5.9,6.0,5.9,5.9,438284.0,38.0
02/28/2018,6.0,6.0,5.9,5.9,574278.0,72.0
03/01/2018,5.9,6.0,5.9,5.9,203250.0,25.0
03/04/2018,6.0,6.0,5.9,5.9,776168.0,66.0
03/05/2018,6.0,6.0,5.9,5.9,163849.0,18.0
03/06/2018,6.0,6.0,5.9,5.9,172165.0,24.0
03/07/2018,5.9,6.0,5.9,5.9,267949.0,43.0
03/08/2018,6.0,6.0,5.9,6.0,77622.0,21.0
03/11/2018,5.9,6.0,5.9,5.9,137700.0,22.0
03/12/2018,6.0,6.0,5.8,5.9,1508900.0,81.0
03/13/2018,5.9,5.9,5.8,5.8,484628.0,44.0
