date,open,high,low,close,volume,trade
01/06/2020,40.5,40.5,40.5,40.5,4098470.0,4926.0
01/07/2020,44.0,48.0,37.0,40.2,6514468.0,24332.0
01/08/2020,40.2,44.2,39.3,44.2,3170376.0,10181.0
01/09/2020,44.2,48.4,43.8,47.1,3764566.0,8155.0
01/12/2020,47.2,48.4,42.8,43.7,3126359.0,6160.0
01/13/2020,43.6,44.5,39.6,40.8,2570859.0,6246.0
01/14/2020,41.2,43.9,39.8,42.8,2443464.0,4105.0
01/15/2020,43.7,44.6,39.6,40.2,2255968.0,4119.0
01/16/2020,40.2,40.8,36.2,36.4,2898546.0,4790.0
01/19/2020,37.0,39.4,36.6,38.0,2299618.0,3235.0
01/20/2020,38.3,41.5,37.7,41.0,2328348.0,3602.0
01/21/2020,41.1,42.7,39.9,41.1,2362772.0,3446.0
01/22/2020,41.5,42.8,39.1,39.6,2331174.0,3496.0
01/23/2020,39.8,41.8,38.8,41.4,1572861.0,2787.0
01/26/2020,42.1,43.5,40.5,41.0,3373862.0,4085.0
01/27/2020,40.8,41.3,39.8,40.2,1502249.0,2508.0
01/28/2020,40.3,43.7,40.3,42.9,3107365.0,4409.0
01/29/2020,43.0,44.0,42.0,42.3,2078160.0,3001.0
01/30/2020,42.5,45.8,41.7,45.1,3453357.0,4142.0
02/02/2020,45.2,45.9,43.4,43.7,3463644.0,3979.0
02/03/2020,43.7,44.4,42.6,43.0,2532137.0,3324.0
02/04/2020,43.4,44.7,43.3,43.8,2019008.0,2393.0
02/05/2020,43.8,44.8,43.4,43.9,1973540.0,2473.0
02/06/2020,44.2,47.7,44.0,46.8,3323416.0,3981.0
02/09/2020,47.0,47.3,44.6,45.0,2200273.0,2709.0
02/10/2020,45.1,46.9,45.0,46.3,2140142.0,2452.0
02/11/2020,47.4,48.8,46.7,47.9,2865380.0,3028.0
02/12/2020,47.9,48.6,46.2,46.5,3180654.0,3553.0
02/13/2020,46.8,47.4,45.6,45.9,2668876.0,3149.0
02/16/2020,46.3,48.0,46.0,47.5,2064132.0,2400.0
02/17/2020,47.8,51.5,47.8,49.0,4301184.0,4580.0
02/18/2020,49.0,49.6,47.2,47.5,2605371.0,2851.0
02/19/2020,47.7,48.5,46.6,46.8,2358669.0,2581.0
02/20/2020,47.0,47.8,46.0,46.2,1600154.0,2084.0
02/23/2020,46.6,46.8,43.3,43.7,1650253.0,2258.0
02/24/2020,44.3,45.7,43.7,45.0,1321242.0,1806.0
02/25/2020,45.4,45.6,43.8,44.1,1143049.0,1869.0
02/26/2020,44.5,45.0,43.3,43.4,1142895.0,1611.0
02/27/2020,43.5,44.3,42.6,42.8,887237.0,1302.0
03/01/2020,43.1,43.1,40.7,41.3,906837.0,1362.0
03/02/2020,41.5,43.3,41.0,42.1,989087.0,1474.0
03/03/2020,42.6,43.4,41.9,42.1,767644.0,1302.0
03/04/2020,42.3,43.1,40.8,41.1,788900.0,1243.0
03/05/2020,41.1,41.6,40.1,40.3,682403.0,1255.0
03/08/2020,40.5,40.6,37.7,38.1,691211.0,1290.0
03/09/2020,38.1,38.2,34.3,34.3,1025733.0,1376.0
03/10/2020,34.3,36.8,34.2,36.3,722417.0,1284.0
03/11/2020,36.4,37.7,35.8,36.9,749385.0,1354.0
03/12/2020,36.9,37.3,34.6,34.9,535855.0,1080.0
03/15/2020,34.5,34.5,31.5,32.3,615518.0,1008.0
03/16/2020,33.0,33.6,29.1,29.3,701055.0,1164.0
03/18/2020,30.0,31.5,26.8,27.2,638309.0,1185.0
03/19/2020,33.0,33.0,33.0,33.0,1177.0,11.0
03/22/2020,32.5,33.0,32.1,32.1,45608.0,45.0
03/23/2020,32.1,32.1,32.1,32.1,88506.0,106.0
03/24/2020,32.1,32.1,32.1,32.1,5575.0,18.0
03/25/2020,32.1,32.1,32.1,32.1,5575.0,24.0
05/31/2020,32.1,32.1,32.1,32.1,1825.0,4.0
06/01/2020,32.1,32.1,32.1,32.1,5950.0,15.0
06/02/2020,32.1,32.1,32.1,32.1,2200.0,5.0
06/03/2020,32.1,32.1,32.1,32.1,1845.0,10.0
06/04/2020,32.1,32.1,32.1,32.1,349.0,13.0
