date,open,high,low,close,volume,trade
04/12/2018,36.8,40.5,29.8,35.7,9173261.0,15757.0
04/15/2018,35.9,36.8,32.2,32.8,2040900.0,4555.0
04/16/2018,32.8,33.7,29.8,30.7,4384106.0,5963.0
04/17/2018,30.9,33.7,30.9,33.1,2456344.0,3524.0
04/18/2018,33.1,33.7,30.6,31.1,3128249.0,4302.0
04/19/2018,31.0,31.6,29.3,29.8,2400918.0,3203.0
04/22/2018,29.8,30.5,27.4,27.8,2750785.0,3933.0
04/23/2018,27.8,28.6,26.0,26.2,2069735.0,2925.0
04/24/2018,26.5,27.6,26.4,27.0,1742121.0,2407.0
04/25/2018,27.1,27.9,26.9,27.1,1341608.0,1675.0
04/26/2018,27.3,27.3,25.6,25.8,1529830.0,2050.0
04/30/2018,25.8,27.2,25.1,26.1,1399506.0,1824.0
05/03/2018,26.5,28.7,26.5,28.7,2673722.0,2804.0
05/06/2018,29.4,30.9,29.1,29.5,2813110.0,3178.0
05/07/2018,29.5,29.8,27.3,27.5,2838087.0,3103.0
05/08/2018,27.6,29.2,27.6,28.7,1895128.0,2418.0
05/09/2018,28.7,29.8,28.0,28.2,1801932.0,2137.0
05/10/2018,28.4,29.0,28.1,28.4,1340484.0,1391.0
05/13/2018,28.8,28.8,27.4,27.5,1189609.0,1328.0
05/14/2018,27.7,28.1,27.1,27.3,1007466.0,1091.0
05/15/2018,27.4,28.0,26.9,27.3,905271.0,1162.0
05/16/2018,27.2,28.9,27.2,28.1,1805049.0,2131.0
05/17/2018,28.1,28.6,27.7,28.1,1632441.0,1977.0
05/20/2018,28.5,30.9,28.3,30.9,3392786.0,3725.0
05/21/2018,31.6,33.1,29.4,29.8,2532690.0,2745.0
05/22/2018,30.1,32.7,29.8,32.1,3784075.0,3858.0
05/23/2018,32.4,33.4,31.5,32.9,3263949.0,3162.0
05/24/2018,32.9,34.7,32.3,33.4,4507426.0,4219.0
05/27/2018,33.5,33.7,31.8,32.2,2648891.0,2637.0
05/28/2018,32.2,33.8,32.2,33.4,2794075.0,2757.0
05/29/2018,33.7,34.6,32.4,32.6,4247201.0,3682.0
05/30/2018,32.4,32.9,30.6,30.9,2328019.0,2730.0
05/31/2018,31.0,31.8,30.6,30.9,1435066.0,1675.0
06/03/2018,31.2,31.4,28.9,29.2,1929376.0,2263.0
06/04/2018,29.2,30.0,27.7,27.9,1499343.0,1815.0
06/05/2018,28.3,29.1,27.9,28.6,1305340.0,1415.0
06/06/2018,28.7,29.2,27.0,27.3,1387133.0,1748.0
06/07/2018,27.8,28.5,27.1,27.7,1397828.0,1598.0
06/10/2018,27.9,28.4,27.2,27.5,1262670.0,1605.0
06/11/2018,27.8,28.4,26.9,27.1,1333457.0,1541.0
06/12/2018,27.4,27.8,26.7,26.9,921593.0,1129.0
06/18/2018,27.2,27.2,25.6,25.9,939435.0,1254.0
06/19/2018,25.6,27.0,25.6,26.3,1079717.0,1226.0
06/20/2018,26.4,26.7,25.9,26.0,992474.0,1061.0
06/21/2018,25.6,27.5,25.6,26.7,1648890.0,1626.0
06/24/2018,27.3,27.5,26.4,26.7,812484.0,947.0
06/25/2018,26.7,27.6,26.4,26.8,2005646.0,1828.0
06/26/2018,26.8,27.8,26.7,26.8,1331515.0,1312.0
06/27/2018,26.8,27.2,26.2,26.4,1126390.0,1030.0
06/28/2018,26.5,26.7,25.0,25.2,1585603.0,1427.0
07/02/2018,25.3,25.6,23.7,24.2,1134135.0,1153.0
07/03/2018,23.6,24.7,23.4,23.5,997937.0,1041.0
07/04/2018,23.3,24.2,23.3,23.6,853944.0,885.0
07/05/2018,23.7,25.3,23.7,25.0,1371242.0,1347.0
07/08/2018,24.7,27.4,24.7,27.0,3833255.0,2369.0
07/09/2018,26.8,28.1,26.2,27.7,2383213.0,1676.0
