date,open,high,low,close,volume,trade
01/01/2018,21.1,21.1,20.8,20.9,473161.0,241.0
01/02/2018,21.0,21.5,21.0,21.3,178816.0,529.0
01/03/2018,21.9,21.9,21.5,21.6,631493.0,324.0
01/04/2018,21.6,21.8,21.2,21.3,459491.0,279.0
01/07/2018,21.5,21.9,21.5,21.7,676578.0,423.0
01/08/2018,21.7,21.8,21.4,21.5,199953.0,155.0
01/09/2018,21.4,21.5,21.2,21.3,249876.0,166.0
01/10/2018,21.5,21.5,21.0,21.1,187752.0,143.0
01/11/2018,21.1,21.2,21.0,21.1,100269.0,109.0
01/14/2018,21.2,21.2,20.9,21.0,129976.0,120.0
01/15/2018,21.0,21.0,20.4,20.6,190275.0,155.0
01/16/2018,20.6,21.0,20.5,21.0,161624.0,172.0
01/17/2018,20.9,21.0,20.6,20.7,119674.0,154.0
01/18/2018,20.6,20.8,20.6,20.6,65194.0,85.0
01/21/2018,20.8,20.8,20.4,20.6,174226.0,129.0
01/22/2018,20.2,20.8,20.2,20.6,201134.0,154.0
01/23/2018,20.5,20.8,20.5,20.7,144306.0,124.0
01/24/2018,20.8,20.8,20.5,20.6,118679.0,126.0
01/25/2018,20.5,20.7,20.3,20.3,138275.0,127.0
01/28/2018,20.1,20.3,19.8,19.9,197137.0,161.0
01/29/2018,20.0,20.3,20.0,20.2,62553.0,87.0
01/30/2018,20.2,20.6,20.0,20.1,127628.0,84.0
01/31/2018,20.1,20.2,19.6,19.7,314979.0,226.0
02/01/2018,19.8,20.0,19.5,19.6,96306.0,124.0
02/04/2018,19.5,19.5,18.9,19.0,172441.0,137.0
02/05/2018,19.0,19.2,18.6,19.0,150866.0,138.0
02/06/2018,19.1,19.7,19.0,19.0,491538.0,214.0
02/07/2018,19.0,19.1,18.6,18.7,368361.0,226.0
02/08/2018,19.0,19.1,18.6,18.7,132165.0,146.0
02/11/2018,19.0,20.5,19.0,20.4,1194258.0,625.0
02/12/2018,20.4,20.8,20.1,20.4,412809.0,364.0
02/13/2018,20.2,20.7,20.1,20.4,922850.0,564.0
02/14/2018,20.7,22.4,20.7,22.4,4270777.0,1392.0
02/15/2018,22.9,23.2,22.3,22.4,2226400.0,1140.0
02/18/2018,22.4,22.9,22.0,22.4,1896000.0,962.0
02/19/2018,22.7,22.7,21.9,22.1,757086.0,379.0
02/20/2018,22.4,22.4,21.0,21.0,1055911.0,489.0
02/22/2018,21.4,21.8,20.8,21.0,743846.0,408.0
02/25/2018,21.0,21.2,20.0,20.1,662959.0,464.0
02/26/2018,20.2,20.6,20.0,20.3,335019.0,324.0
02/27/2018,20.5,20.8,20.3,20.4,611805.0,337.0
02/28/2018,20.7,20.8,20.0,20.2,556943.0,380.0
03/01/2018,20.3,21.1,20.1,20.9,692837.0,354.0
03/04/2018,21.0,21.3,20.7,20.9,603825.0,332.0
03/05/2018,20.8,20.9,20.2,20.3,510858.0,397.0
03/06/2018,20.4,20.7,20.2,20.6,323386.0,228.0
03/07/2018,20.8,20.9,20.4,20.5,388683.0,256.0
03/08/2018,20.6,20.6,20.3,20.4,189273.0,154.0
03/11/2018,20.6,20.6,20.2,20.3,187439.0,171.0
03/12/2018,20.3,20.3,19.8,19.9,473399.0,312.0
03/13/2018,20.1,20.3,19.3,19.4,293097.0,227.0
03/14/2018,19.5,19.9,19.3,19.5,260159.0,218.0
03/15/2018,19.5,20.3,19.4,20.0,325543.0,256.0
03/18/2018,20.3,20.8,20.2,20.4,832932.0,509.0
03/19/2018,20.3,20.5,19.6,19.7,641250.0,392.0
03/20/2018,19.7,19.9,19.4,19.5,397893.0,242.0
03/21/2018,19.5,19.6,19.2,19.3,315728.0,219.0
03/22/2018,19.5,19.5,19.0,19.3,459759.0,227.0
03/25/2018,19.4,19.7,19.3,19.4,239978.0,172.0
03/27/2018,19.3,19.4,18.9,19.0,288898.0,202.0
03/28/2018,19.0,19.4,19.0,19.0,242113.0,147.0
03/29/2018,19.1,20.0,19.0,19.7,610727.0,281.0
04/01/2018,20.1,20.4,19.8,20.1,551739.0,296.0
04/02/2018,20.3,21.5,20.1,21.1,1814220.0,971.0
04/03/2018,21.3,21.6,20.6,20.8,806505.0,501.0
04/04/2018,20.9,21.2,20.7,20.8,1188898.0,454.0
04/05/2018,20.8,21.4,20.6,21.1,661297.0,414.0
04/08/2018,21.4,22.2,21.4,21.7,1411634.0,909.0
04/09/2018,21.8,22.0,21.5,21.7,1105801.0,478.0
04/10/2018,21.9,21.9,21.1,21.2,973372.0,369.0
04/11/2018,21.3,21.5,21.0,21.0,581246.0,281.0
04/12/2018,21.0,21.5,20.7,20.8,454476.0,242.0
04/15/2018,21.0,21.0,20.3,20.4,235877.0,160.0
04/16/2018,20.4,20.9,20.1,20.7,423605.0,259.0
04/17/2018,20.9,21.1,20.5,20.6,353692.0,215.0
04/18/2018,20.7,20.7,20.2,20.3,223580.0,174.0
04/19/2018,20.4,20.7,20.3,20.4,192606.0,138.0
04/22/2018,20.4,20.6,19.8,20.1,570354.0,309.0
04/23/2018,20.2,20.2,19.7,19.9,384916.0,286.0
04/24/2018,19.8,19.9,19.5,19.7,193330.0,167.0
04/25/2018,19.7,19.9,19.7,19.8,183913.0,118.0
04/26/2018,20.0,20.1,19.7,19.9,226338.0,135.0
04/30/2018,20.2,20.3,19.3,19.3,465676.0,254.0
05/03/2018,19.4,20.3,19.4,20.0,292705.0,219.0
05/06/2018,20.3,21.3,20.3,20.7,1191989.0,657.0
05/07/2018,20.9,21.7,20.7,20.9,1220336.0,628.0
05/08/2018,21.0,21.0,20.0,20.1,820124.0,459.0
05/09/2018,20.3,20.4,19.7,19.8,489497.0,330.0
05/10/2018,20.2,20.2,19.9,20.0,346407.0,186.0
05/13/2018,20.1,20.3,19.8,19.9,309693.0,186.0
05/14/2018,20.1,20.2,19.8,19.9,213922.0,194.0
05/15/2018,20.1,20.3,19.7,19.8,327898.0,234.0
05/16/2018,20.0,20.1,19.6,19.7,211752.0,142.0
05/17/2018,19.9,19.9,19.3,19.4,366552.0,220.0
05/20/2018,19.3,19.5,18.8,18.9,414633.0,269.0
05/21/2018,19.0,19.5,18.7,19.0,342437.0,245.0
05/22/2018,19.1,19.4,19.0,19.3,268316.0,185.0
05/23/2018,19.3,19.3,18.9,18.9,218398.0,152.0
05/24/2018,19.1,19.4,18.8,19.3,164965.0,189.0
05/27/2018,19.3,19.6,19.2,19.4,300303.0,223.0
05/28/2018,19.5,19.5,18.8,19.0,344496.0,234.0
05/29/2018,19.0,19.0,18.6,19.0,429422.0,199.0
05/30/2018,19.0,19.3,19.0,19.0,332962.0,208.0
05/31/2018,19.2,19.2,18.9,18.9,162097.0,98.0
06/03/2018,19.0,19.0,18.6,18.7,178867.0,173.0
06/04/2018,18.7,18.9,18.6,18.6,207089.0,172.0
06/05/2018,18.8,19.0,18.5,18.6,297754.0,217.0
06/06/2018,18.9,18.9,18.4,18.7,326915.0,204.0
06/07/2018,18.6,18.9,18.5,18.6,325896.0,196.0
06/10/2018,18.5,18.8,18.2,18.3,150612.0,143.0
06/11/2018,18.4,18.5,18.1,18.3,233229.0,126.0
06/12/2018,18.4,18.5,18.2,18.4,139073.0,94.0
06/18/2018,18.4,18.7,17.9,18.1,710808.0,315.0
06/19/2018,18.1,19.0,17.6,18.4,845084.0,384.0
06/20/2018,18.5,18.9,18.4,18.6,340983.0,245.0
06/21/2018,18.6,19.0,18.6,18.7,675012.0,285.0
06/24/2018,18.9,19.5,18.9,19.2,975597.0,463.0
06/25/2018,19.3,19.4,18.6,18.7,441496.0,238.0
06/26/2018,18.9,18.9,18.5,18.7,163947.0,179.0
06/27/2018,18.7,19.5,18.7,19.0,925682.0,450.0
06/28/2018,19.1,19.2,18.2,18.4,880092.0,395.0
07/02/2018,18.3,18.8,18.1,18.3,506823.0,260.0
07/03/2018,18.4,19.1,18.3,18.3,559270.0,336.0
07/04/2018,18.4,19.2,18.3,19.1,954118.0,638.0
07/05/2018,19.2,20.0,19.0,19.4,1222856.0,566.0
07/08/2018,19.6,20.3,19.4,19.7,1306886.0,864.0
07/09/2018,19.7,20.4,19.2,20.1,1426346.0,529.0
07/10/2018,20.2,21.1,20.2,20.8,1474842.0,633.0
07/11/2018,21.0,21.6,20.2,20.3,1433713.0,585.0
07/12/2018,20.5,20.8,19.7,19.9,520763.0,365.0
07/15/2018,20.0,20.3,19.5,19.6,380096.0,209.0
07/16/2018,19.6,20.6,19.5,19.7,581414.0,351.0
07/17/2018,20.1,20.3,19.1,19.4,637226.0,386.0
07/18/2018,19.6,19.8,18.9,19.0,513476.0,319.0
07/19/2018,19.0,20.9,19.0,20.6,1196146.0,707.0
07/22/2018,20.6,22.4,20.6,22.3,5689503.0,1873.0
07/23/2018,22.3,22.5,21.1,21.3,1292759.0,714.0
07/24/2018,21.4,21.4,20.7,21.1,1062389.0,606.0
07/25/2018,21.4,22.0,21.1,21.2,1169490.0,852.0
07/26/2018,21.3,22.0,21.1,21.2,922714.0,566.0
07/29/2018,21.2,21.5,20.5,20.7,564350.0,334.0
07/30/2018,20.7,21.1,20.4,20.5,512562.0,
07/31/2018,20.7,22.4,20.7,22.1,3347923.0,1538.0
08/01/2018,22.4,22.8,21.7,22.1,2273405.0,1029.0
08/02/2018,22.2,23.3,21.8,23.1,3893304.0,1505.0
08/05/2018,23.3,23.7,22.4,22.8,2606466.0,1187.0
08/06/2018,22.8,23.1,21.9,22.0,2367659.0,1136.0
08/07/2018,22.0,22.4,21.5,21.6,1462332.0,710.0
08/08/2018,21.6,22.0,20.8,21.0,1584860.0,696.0
08/09/2018,21.0,21.7,20.8,21.5,748168.0,525.0
08/12/2018,21.5,22.0,21.1,21.3,1584104.0,712.0
08/13/2018,21.4,21.5,20.7,20.9,1142145.0,515.0
08/14/2018,21.0,21.5,20.8,21.3,904291.0,600.0
08/16/2018,21.5,21.6,20.9,21.0,619196.0,415.0
08/19/2018,21.0,21.0,20.5,20.7,783469.0,613.0
08/20/2018,20.5,21.3,20.5,21.1,503422.0,399.0
