date,open,high,low,close,volume,trade
01/01/2018,85.9,86.1,85.4,85.6,34201.0,177.0
01/02/2018,85.6,85.6,85.5,85.5,244.0,172.0
01/03/2018,87.0,87.0,85.8,86.2,33688.0,187.0
01/04/2018,86.4,87.0,86.0,86.3,46744.0,236.0
01/07/2018,86.7,87.4,86.4,86.5,48968.0,276.0
01/08/2018,86.6,86.6,84.8,85.0,60844.0,282.0
01/09/2018,85.4,85.9,84.5,84.6,47951.0,251.0
01/10/2018,84.5,86.8,84.4,85.3,74078.0,364.0
01/11/2018,85.3,85.3,84.1,84.5,45777.0,354.0
01/14/2018,84.9,85.3,84.1,84.2,41665.0,254.0
01/15/2018,84.5,85.1,82.7,82.8,58701.0,316.0
01/16/2018,82.9,84.4,82.8,83.7,36814.0,199.0
01/17/2018,83.7,83.8,82.8,83.0,41410.0,240.0
01/18/2018,82.7,83.3,82.4,83.1,33506.0,182.0
01/21/2018,83.0,84.4,83.0,83.9,24862.0,133.0
01/22/2018,83.8,85.7,83.8,85.0,70638.0,345.0
01/23/2018,84.9,85.7,84.4,85.0,66801.0,292.0
01/24/2018,85.5,85.5,82.5,83.8,55160.0,252.0
01/25/2018,83.4,84.4,83.2,83.5,56987.0,220.0
01/28/2018,82.7,83.4,81.0,81.7,85591.0,382.0
01/29/2018,81.3,81.8,80.3,80.5,65280.0,330.0
01/30/2018,80.4,81.8,80.1,80.2,72799.0,372.0
01/31/2018,80.3,80.3,76.5,77.6,77920.0,340.0
02/01/2018,78.3,78.4,76.4,77.3,49284.0,204.0
02/04/2018,76.5,77.1,73.3,73.8,73176.0,300.0
02/05/2018,75.4,75.5,71.8,73.7,68677.0,256.0
02/06/2018,74.5,75.5,74.0,75.3,49863.0,255.0
02/07/2018,74.2,74.8,73.9,74.4,29708.0,138.0
02/08/2018,74.2,74.8,73.6,74.1,36691.0,136.0
02/11/2018,75.2,79.5,75.0,78.5,86669.0,355.0
02/12/2018,78.6,80.9,78.2,78.5,87780.0,366.0
02/13/2018,78.2,79.6,77.7,78.2,54393.0,330.0
02/14/2018,78.6,80.5,78.5,78.6,81390.0,329.0
02/15/2018,79.1,83.8,78.6,82.4,236816.0,905.0
02/18/2018,82.8,83.5,80.9,81.2,58489.0,326.0
02/19/2018,81.5,82.2,79.4,79.8,107907.0,490.0
02/20/2018,80.8,81.9,79.7,80.1,117760.0,446.0
02/22/2018,81.7,81.7,79.1,79.4,51179.0,229.0
02/25/2018,79.2,80.5,76.6,77.1,48457.0,330.0
02/26/2018,77.1,78.3,75.9,76.1,52807.0,276.0
02/27/2018,78.2,78.2,76.4,76.7,20935.0,130.0
02/28/2018,76.8,76.9,75.3,75.4,77885.0,402.0
03/01/2018,75.4,77.0,75.0,76.7,64741.0,264.0
03/04/2018,77.4,77.7,76.7,76.9,41015.0,175.0
03/05/2018,76.8,76.8,75.5,75.9,56808.0,245.0
03/06/2018,76.1,79.9,76.0,79.4,133773.0,688.0
03/07/2018,79.4,80.8,78.2,78.5,68339.0,335.0
03/08/2018,78.5,78.5,77.5,77.9,39857.0,204.0
03/11/2018,77.7,77.7,76.5,76.9,31990.0,170.0
03/12/2018,76.4,76.5,75.5,76.1,44664.0,238.0
03/13/2018,75.5,76.1,74.5,74.7,33253.0,164.0
03/14/2018,75.3,75.5,74.3,74.7,20374.0,117.0
03/15/2018,74.7,75.9,74.2,75.1,34466.0,176.0
03/18/2018,75.5,75.9,74.6,74.9,35783.0,190.0
03/19/2018,74.7,75.6,74.7,75.1,17938.0,81.0
03/20/2018,74.8,75.4,74.5,74.7,28849.0,107.0
03/21/2018,75.2,75.2,73.6,74.0,23248.0,129.0
03/22/2018,74.5,75.1,72.9,74.7,32165.0,203.0
03/25/2018,74.7,75.5,73.8,73.9,10905.0,86.0
03/27/2018,74.1,74.1,72.7,72.9,21338.0,120.0
03/28/2018,74.4,74.4,71.9,72.5,23951.0,127.0
03/29/2018,72.9,73.2,72.4,72.6,37598.0,164.0
04/01/2018,73.7,75.2,73.7,74.3,45401.0,229.0
04/02/2018,74.7,76.4,74.3,76.2,49030.0,227.0
04/03/2018,77.1,77.4,74.8,75.4,57653.0,237.0
04/04/2018,76.1,76.1,75.0,75.3,29454.0,158.0
04/05/2018,76.1,76.8,75.3,76.3,59085.0,295.0
