date,open,high,low,close,volume,trade
01/01/2018,15.9,15.9,15.5,15.6,4273152.0,1155.0
01/02/2018,15.7,15.8,15.6,15.8,543724.0,1042.0
01/03/2018,15.8,15.8,15.4,15.6,3775674.0,1079.0
01/04/2018,15.6,15.7,15.3,15.4,3267223.0,1121.0
01/07/2018,15.4,15.5,15.1,15.2,4754857.0,1288.0
01/08/2018,15.3,15.3,14.6,14.6,9193618.0,2383.0
01/09/2018,14.8,14.8,14.0,14.1,6340924.0,1933.0
01/10/2018,14.1,14.2,12.8,13.0,16112243.0,3931.0
01/11/2018,14.1,14.2,12.8,13.0,16112243.0,0.0
01/14/2018,13.9,14.1,13.3,13.6,5728638.0,2100.0
01/15/2018,13.6,13.7,13.2,13.3,1614082.0,671.0
01/16/2018,13.4,13.6,13.1,13.6,2977106.0,907.0
01/17/2018,13.6,13.7,13.1,13.2,1281874.0,619.0
01/18/2018,13.3,13.3,13.0,13.0,1269982.0,630.0
01/21/2018,13.1,13.2,12.9,13.0,868167.0,419.0
01/22/2018,13.0,13.1,12.7,12.8,1504783.0,561.0
01/23/2018,12.9,13.0,12.5,12.6,1479339.0,650.0
01/24/2018,12.7,13.6,12.5,13.2,4401050.0,1629.0
01/25/2018,13.2,13.4,12.9,13.1,1899206.0,696.0
01/28/2018,13.1,13.1,12.6,12.8,1284109.0,547.0
01/29/2018,12.8,13.0,12.7,12.8,1693843.0,592.0
01/30/2018,12.9,13.0,12.6,12.6,978970.0,440.0
01/31/2018,12.8,12.9,12.2,12.4,2911295.0,884.0
02/01/2018,12.5,12.6,12.3,12.4,1315407.0,455.0
02/04/2018,12.4,12.4,11.6,11.7,1899091.0,681.0
02/05/2018,12.0,12.0,11.4,11.6,1669768.0,590.0
02/06/2018,11.7,11.9,11.6,11.7,1336050.0,550.0
02/07/2018,11.7,11.7,11.4,11.5,1388916.0,463.0
02/08/2018,11.5,11.5,11.3,11.4,1642204.0,613.0
02/11/2018,11.5,12.0,11.4,11.9,2470049.0,841.0
02/12/2018,12.0,12.0,11.6,11.7,1833382.0,672.0
