date,open,high,low,close,volume,trade
01/01/2018,56.7,57.3,56.7,56.9,48330.0,139.0
01/02/2018,57.6,57.6,57.6,57.6,11.0,99.0
01/03/2018,58.0,58.4,57.0,57.2,82774.0,222.0
01/04/2018,57.6,58.1,57.5,57.7,135935.0,198.0
01/07/2018,57.7,58.2,57.2,57.4,113157.0,315.0
01/08/2018,57.6,57.9,56.9,57.2,55194.0,151.0
01/09/2018,56.9,57.6,56.7,56.8,38114.0,117.0
01/10/2018,56.9,57.2,56.1,56.5,68323.0,180.0
01/11/2018,56.6,56.7,55.8,56.0,65479.0,191.0
01/14/2018,56.1,56.1,55.3,55.4,82922.0,214.0
01/15/2018,55.4,55.5,54.3,54.9,99937.0,298.0
01/16/2018,54.8,55.8,54.8,55.6,28497.0,126.0
01/17/2018,55.5,55.9,55.0,55.1,45938.0,140.0
01/18/2018,55.3,55.3,54.5,54.8,53039.0,132.0
01/21/2018,54.5,55.1,54.2,54.5,40308.0,149.0
01/22/2018,54.7,55.8,54.6,55.3,94387.0,201.0
01/23/2018,55.7,56.2,54.9,55.2,71263.0,147.0
01/24/2018,55.4,55.4,54.5,54.6,78297.0,226.0
01/25/2018,54.9,55.2,54.5,54.6,64391.0,117.0
01/28/2018,54.6,54.7,54.4,54.5,44606.0,130.0
01/29/2018,54.4,54.8,54.2,54.3,135061.0,202.0
01/30/2018,54.5,54.5,53.4,53.5,195301.0,292.0
01/31/2018,53.0,53.0,51.0,51.6,122271.0,206.0
02/01/2018,51.9,53.7,51.3,51.4,114761.0,167.0
02/04/2018,51.4,51.4,49.7,49.8,132824.0,212.0
02/05/2018,51.4,51.4,48.1,49.2,102688.0,137.0
02/06/2018,49.4,50.1,49.3,50.0,32756.0,104.0
02/07/2018,49.2,50.0,49.0,49.0,54633.0,102.0
02/08/2018,49.3,49.3,48.0,48.4,89480.0,232.0
02/11/2018,48.8,50.2,48.8,49.9,116511.0,251.0
02/12/2018,50.4,50.6,49.5,49.7,71755.0,195.0
02/13/2018,49.9,52.1,49.0,51.4,185569.0,352.0
02/14/2018,51.9,56.6,51.9,56.6,565726.0,894.0
02/15/2018,56.8,57.4,54.2,55.3,201757.0,394.0
02/18/2018,55.2,55.4,52.6,53.1,195905.0,350.0
02/19/2018,53.3,54.5,52.8,53.3,89088.0,188.0
02/20/2018,53.8,54.1,52.9,53.0,71883.0,134.0
02/22/2018,53.9,53.9,51.5,52.3,51905.0,122.0
02/25/2018,52.3,52.3,51.4,51.6,61134.0,132.0
02/26/2018,50.6,52.3,49.7,50.5,123985.0,182.0
02/27/2018,50.8,51.4,50.6,51.2,28126.0,68.0
02/28/2018,51.3,51.9,50.6,50.8,131542.0,166.0
03/01/2018,50.7,52.6,50.7,52.3,147277.0,232.0
03/04/2018,53.1,53.2,52.0,52.4,111725.0,230.0
03/05/2018,51.9,53.5,51.3,53.3,202671.0,369.0
03/06/2018,53.7,53.9,52.7,53.7,333543.0,394.0
03/07/2018,54.0,55.3,53.7,53.8,464208.0,516.0
03/08/2018,53.5,54.8,53.0,54.2,196483.0,263.0
03/11/2018,53.4,54.5,53.1,53.7,160639.0,184.0
03/12/2018,53.3,54.0,52.6,53.8,270609.0,184.0
03/13/2018,53.8,54.9,52.8,53.3,240961.0,239.0
03/14/2018,53.9,53.9,53.2,53.7,162631.0,214.0
03/15/2018,53.7,55.3,53.4,54.8,537639.0,417.0
03/18/2018,54.5,54.8,53.7,54.1,129340.0,181.0
03/19/2018,53.7,54.3,53.0,53.5,159014.0,185.0
03/20/2018,53.2,54.1,53.0,53.2,101675.0,123.0
03/21/2018,53.7,53.8,52.9,53.2,126352.0,203.0
03/22/2018,53.2,53.5,52.1,53.1,133431.0,200.0
03/25/2018,53.2,53.7,52.7,53.1,81505.0,120.0
03/27/2018,52.9,53.4,52.8,53.1,83826.0,139.0
03/28/2018,53.1,53.6,53.0,53.2,126268.0,168.0
03/29/2018,53.7,53.9,53.1,53.4,121918.0,133.0
04/01/2018,53.7,54.1,53.2,53.6,206756.0,238.0
04/02/2018,54.1,55.9,53.9,55.8,651883.0,631.0
04/03/2018,55.9,57.6,55.8,57.1,1331385.0,1234.0
04/04/2018,57.1,58.0,56.4,56.9,855258.0,890.0
04/05/2018,56.7,57.1,55.5,56.7,572639.0,640.0
04/08/2018,57.5,57.5,55.3,55.8,448385.0,536.0
04/09/2018,56.2,56.2,54.8,55.1,369834.0,553.0
04/10/2018,55.2,55.6,53.9,54.1,531381.0,665.0
04/11/2018,54.2,55.2,53.7,54.0,221700.0,303.0
04/12/2018,54.3,54.3,53.1,53.4,131747.0,283.0
04/15/2018,53.0,53.7,52.1,52.6,194958.0,315.0
04/16/2018,54.0,54.0,51.9,52.4,252654.0,407.0
04/17/2018,52.6,52.9,51.7,52.0,222931.0,427.0
04/18/2018,51.7,52.3,51.6,51.9,202786.0,238.0
04/19/2018,51.9,52.0,51.4,51.4,304657.0,306.0
04/22/2018,51.0,51.6,50.2,50.7,247215.0,395.0
04/23/2018,50.6,51.0,49.9,50.0,123519.0,311.0
04/24/2018,50.0,50.8,49.5,49.7,586266.0,580.0
04/25/2018,49.2,51.2,49.0,50.9,853154.0,795.0
04/26/2018,50.6,51.5,50.4,51.0,227632.0,348.0
04/30/2018,51.1,51.1,49.7,50.0,357963.0,313.0
05/03/2018,50.0,50.5,49.1,49.6,114366.0,214.0
05/06/2018,49.6,50.1,49.6,49.8,156679.0,297.0
05/07/2018,49.8,50.9,49.8,50.2,134411.0,259.0
05/08/2018,50.1,50.6,49.2,49.4,229551.0,308.0
05/09/2018,49.7,49.7,48.5,48.9,214658.0,375.0
05/10/2018,48.9,49.8,48.9,49.3,195007.0,259.0
05/13/2018,49.4,50.6,49.4,50.1,251716.0,395.0
05/14/2018,49.4,50.4,49.4,50.1,155274.0,212.0
05/15/2018,49.8,50.6,49.8,50.1,108338.0,184.0
05/16/2018,50.1,50.2,48.8,49.0,172360.0,241.0
05/17/2018,48.8,49.5,48.2,48.3,118547.0,196.0
05/20/2018,48.8,48.9,47.0,47.9,50623.0,136.0
05/21/2018,47.9,48.6,47.5,48.0,136950.0,233.0
05/22/2018,48.8,48.8,47.1,47.3,115129.0,196.0
05/23/2018,47.1,47.3,45.8,46.2,143493.0,247.0
05/24/2018,47.4,47.4,45.6,46.5,87798.0,216.0
05/27/2018,47.2,47.4,45.9,46.4,193691.0,340.0
05/28/2018,46.1,46.9,45.6,45.8,126675.0,212.0
05/29/2018,46.1,46.1,44.3,45.0,242022.0,430.0
05/30/2018,45.2,47.2,44.9,46.4,380994.0,710.0
05/31/2018,46.5,46.5,45.7,45.8,126379.0,257.0
06/03/2018,45.8,46.9,45.3,45.6,277652.0,513.0
06/04/2018,45.8,46.2,45.0,45.1,250240.0,342.0
06/05/2018,45.3,45.3,44.3,44.4,270912.0,441.0
06/06/2018,44.9,48.9,44.3,48.6,903906.0,1126.0
06/07/2018,49.6,50.6,48.9,49.6,3705612.0,1876.0
06/10/2018,49.0,49.0,46.7,46.9,486226.0,598.0
06/11/2018,47.0,47.7,45.3,45.6,508670.0,682.0
06/12/2018,46.1,46.7,45.7,46.3,234723.0,371.0
06/18/2018,46.7,47.5,46.2,47.0,226252.0,340.0
06/19/2018,47.0,47.4,46.1,46.5,368185.0,445.0
06/20/2018,46.9,47.3,46.1,46.5,402944.0,482.0
06/21/2018,46.6,47.9,46.4,47.0,692360.0,602.0
06/24/2018,47.5,47.6,46.3,46.4,680338.0,654.0
06/25/2018,46.6,47.1,44.9,45.2,652951.0,724.0
06/26/2018,45.6,46.0,44.9,45.1,337992.0,477.0
06/27/2018,45.2,46.8,45.1,45.4,826813.0,941.0
06/28/2018,45.9,45.9,44.5,44.7,488252.0,600.0
07/02/2018,45.0,45.2,44.1,44.3,653695.0,871.0
07/03/2018,44.6,45.1,43.0,43.4,578737.0,617.0
07/04/2018,43.6,44.6,42.9,43.4,510916.0,699.0
07/05/2018,43.5,47.6,43.5,47.5,1156200.0,1485.0
07/08/2018,47.8,51.2,47.8,50.0,2057276.0,2343.0
07/09/2018,50.0,50.6,48.4,49.9,1080405.0,1078.0
07/10/2018,50.5,51.8,50.2,51.4,1529500.0,1487.0
07/11/2018,51.4,53.5,48.8,49.6,1271526.0,1355.0
07/12/2018,49.1,49.8,48.1,48.3,564461.0,742.0
07/15/2018,48.3,49.7,48.0,49.4,577838.0,710.0
07/16/2018,50.0,53.8,49.4,52.8,2544929.0,2618.0
07/17/2018,54.5,55.8,53.2,53.8,2600004.0,2400.0
07/18/2018,55.0,58.1,53.9,57.9,4556741.0,3509.0
07/19/2018,58.1,60.3,57.6,58.4,3245184.0,2847.0
07/22/2018,59.1,62.0,58.4,60.8,3712687.0,2972.0
07/23/2018,61.2,61.4,57.0,57.4,2262876.0,2199.0
07/24/2018,58.3,60.6,56.8,59.8,2441900.0,2174.0
07/25/2018,60.7,61.4,58.2,58.5,2428308.0,2059.0
07/26/2018,58.6,59.1,56.0,56.8,1494670.0,1152.0
07/29/2018,57.4,57.4,54.5,54.9,701400.0,892.0
07/30/2018,54.9,55.0,52.8,53.6,549342.0,
07/31/2018,54.4,56.8,53.9,56.1,572176.0,775.0
08/01/2018,57.0,57.8,55.4,55.8,872435.0,1016.0
08/02/2018,56.0,56.8,55.2,55.6,759797.0,820.0
08/05/2018,55.1,56.0,54.6,55.0,386315.0,557.0
08/06/2018,55.3,55.3,53.7,54.5,463883.0,593.0
08/07/2018,54.5,59.4,54.5,57.8,1063939.0,1683.0
08/08/2018,59.2,60.2,56.9,57.6,1794633.0,1703.0
08/09/2018,57.3,60.6,57.0,59.8,1925588.0,1737.0
08/12/2018,59.6,62.8,59.6,60.3,2130191.0,1905.0
08/13/2018,60.0,61.0,58.6,59.0,853700.0,817.0
08/14/2018,59.8,60.4,57.6,58.6,1081015.0,1071.0
08/16/2018,59.0,59.1,56.9,57.2,423204.0,582.0
08/19/2018,55.9,59.9,55.9,56.6,611668.0,661.0
08/20/2018,55.9,58.9,55.9,58.4,341568.0,477.0
08/26/2018,59.4,59.4,56.9,57.8,276458.0,339.0
08/27/2018,58.9,59.0,58.0,58.3,300167.0,353.0
08/28/2018,58.4,59.1,57.2,57.4,424127.0,688.0
08/29/2018,58.4,59.3,57.2,59.0,969394.0,852.0
08/30/2018,59.0,60.6,59.0,60.4,1267847.0,1111.0
09/03/2018,60.5,63.2,59.9,62.5,2450230.0,1992.0
09/04/2018,63.8,64.9,63.0,64.5,2490928.0,2173.0
09/05/2018,65.2,67.1,63.8,66.0,4174890.0,2935.0
09/06/2018,66.3,67.0,63.0,64.8,3687567.0,2554.0
09/09/2018,65.0,66.3,60.0,61.0,2999465.0,2209.0
09/10/2018,61.5,64.5,61.2,64.0,1488091.0,1712.0
09/11/2018,64.7,65.7,63.1,63.9,1850263.0,1597.0
09/12/2018,63.9,64.3,61.2,62.4,1314083.0,1496.0
09/13/2018,62.4,67.0,62.4,66.4,4239227.0,2905.0
09/16/2018,66.8,69.2,66.3,66.7,3791098.0,2934.0
09/17/2018,66.7,67.2,64.5,64.8,1966860.0,1804.0
09/18/2018,64.7,65.9,64.1,64.9,1511467.0,1203.0
09/19/2018,65.6,67.9,65.5,66.7,2760634.0,1557.0
09/20/2018,67.4,71.0,66.7,69.5,3976041.0,2882.0
09/23/2018,69.7,72.3,67.9,68.6,2650472.0,2451.0
09/24/2018,69.2,69.2,65.0,65.5,1516149.0,1452.0
09/25/2018,65.3,66.5,64.1,65.1,1301783.0,1316.0
09/26/2018,66.4,66.4,63.3,64.6,1566420.0,1441.0
09/27/2018,64.6,64.6,62.2,62.8,720908.0,946.0
09/30/2018,63.0,64.9,61.6,64.4,933115.0,1028.0
10/01/2018,64.9,65.5,62.3,62.8,893706.0,1028.0
10/02/2018,62.9,63.9,62.0,62.1,731111.0,843.0
10/03/2018,62.7,63.9,62.2,63.1,579289.0,750.0
10/04/2018,63.9,64.3,60.6,61.3,1932159.0,1919.0
10/07/2018,61.8,63.8,61.6,62.8,1724594.0,0.0
10/08/2018,62.8,64.5,62.5,62.7,1122169.0,
10/09/2018,63.0,63.5,59.2,60.0,1230910.0,
10/10/2018,60.3,60.6,57.2,58.7,1055690.0,5.0
10/11/2018,58.8,59.4,57.6,58.4,543722.0,789.0
10/14/2018,59.0,59.0,55.8,56.1,738129.0,1332.0
10/15/2018,56.3,56.7,54.3,55.1,371170.0,827.0
10/16/2018,55.2,56.8,55.1,56.5,294727.0,539.0
10/17/2018,57.6,57.6,54.3,54.8,392469.0,587.0
10/18/2018,55.6,55.6,54.1,54.9,241500.0,537.0
10/21/2018,55.3,55.4,52.0,52.5,410891.0,701.0
10/22/2018,53.4,53.4,48.9,49.7,425247.0,600.0
10/23/2018,52.0,52.0,49.5,49.8,108149.0,300.0
10/24/2018,50.0,51.6,49.8,51.2,196221.0,425.0
10/25/2018,51.7,51.9,49.8,50.1,180622.0,
10/28/2018,50.6,50.6,49.3,49.5,178787.0,
10/29/2018,51.4,55.6,51.4,54.5,614387.0,
10/30/2018,54.9,56.3,53.7,54.2,713312.0,
10/31/2018,54.2,54.5,52.4,52.8,439667.0,
11/01/2018,53.2,54.9,52.9,54.3,466822.0,
11/04/2018,54.8,55.6,54.3,55.3,416379.0,
11/05/2018,55.5,55.8,53.7,54.0,635819.0,
11/06/2018,54.4,54.4,52.8,53.3,253727.0,
11/07/2018,53.3,54.7,53.1,54.2,363833.0,
11/08/2018,54.3,54.6,52.8,53.4,489275.0,578.0
11/11/2018,54.1,55.3,53.6,54.8,439301.0,799.0
11/12/2018,55.1,55.1,52.7,52.9,366360.0,670.0
11/13/2018,53.3,54.3,52.5,53.2,297042.0,487.0
11/14/2018,54.5,54.5,52.5,52.7,630233.0,733.0
11/15/2018,53.4,54.0,52.9,53.7,544600.0,738.0
11/18/2018,54.1,55.4,53.9,54.7,775232.0,1089.0
11/19/2018,55.0,56.9,54.8,56.3,1573276.0,1753.0
11/20/2018,56.5,56.8,54.4,54.6,599324.0,743.0
11/22/2018,55.3,55.3,52.7,53.1,1018838.0,1143.0
11/25/2018,55.3,55.3,52.7,53.1,1018838.0,0.0
11/26/2018,52.8,52.8,50.7,51.0,515520.0,809.0
11/27/2018,52.0,52.0,50.3,50.4,353044.0,493.0
11/28/2018,50.2,50.7,48.2,48.7,473432.0,888.0
11/29/2018,48.8,49.0,46.5,46.7,1470949.0,1707.0
12/02/2018,47.7,50.2,47.0,49.6,549279.0,783.0
12/03/2018,49.8,51.1,48.7,49.0,839189.0,1213.0
12/04/2018,49.7,49.8,48.6,49.0,556985.0,847.0
12/05/2018,49.1,49.2,47.7,47.9,744202.0,924.0
12/06/2018,48.7,48.7,47.4,47.6,439423.0,720.0
12/09/2018,47.6,48.5,47.4,47.5,471983.0,554.0
12/10/2018,47.9,47.9,46.8,46.9,415939.0,592.0
12/11/2018,47.5,47.5,45.5,45.8,506657.0,657.0
12/12/2018,46.3,46.5,45.2,45.6,282164.0,505.0
12/13/2018,45.8,46.2,44.8,45.0,317023.0,554.0
12/17/2018,45.8,45.8,43.2,43.4,171621.0,481.0
12/18/2018,43.2,44.9,43.2,44.7,220300.0,466.0
12/19/2018,45.0,45.4,44.7,44.8,214473.0,341.0
12/20/2018,45.3,45.3,44.4,44.7,255112.0,410.0
12/23/2018,44.9,45.5,44.4,44.9,282854.0,501.0
12/24/2018,45.2,47.1,45.2,46.8,484269.0,937.0
12/26/2018,46.8,46.8,46.0,46.2,276386.0,374.0
