date,open,high,low,close,volume,trade
01/01/2018,395.0,395.0,388.5,389.1,330.0,7.0
01/02/2018,395.0,395.0,388.5,389.1,330.0,60.0
01/03/2018,398.9,405.0,398.7,404.0,1755.0,45.0
01/04/2018,400.0,404.8,395.0,396.2,1310.0,55.0
01/07/2018,404.0,404.0,396.3,398.5,1241.0,31.0
01/08/2018,398.9,399.0,390.9,392.8,1585.0,49.0
01/09/2018,401.0,401.0,393.0,393.5,2764.0,33.0
01/10/2018,399.5,399.5,392.2,398.6,1300.0,13.0
01/11/2018,394.7,394.7,390.6,394.1,822.0,37.0
01/14/2018,382.0,398.9,382.0,390.1,792.0,9.0
01/15/2018,390.0,390.0,385.0,386.7,251.0,8.0
01/16/2018,394.0,394.0,387.7,388.5,254.0,13.0
01/17/2018,398.4,398.4,389.0,389.8,1329.0,30.0
01/18/2018,395.0,398.5,393.0,393.4,3604.0,54.0
01/21/2018,389.1,397.0,389.1,391.1,289.0,8.0
01/22/2018,394.1,397.9,392.0,392.1,1442.0,51.0
01/23/2018,391.3,393.1,389.1,389.5,2945.0,70.0
01/24/2018,388.1,396.5,386.2,388.5,928.0,28.0
01/25/2018,390.5,390.5,388.0,389.3,714.0,25.0
01/28/2018,385.0,393.6,385.0,385.4,1022.0,26.0
01/29/2018,393.0,393.0,385.2,385.7,783.0,23.0
01/30/2018,390.0,391.6,385.0,386.7,1375.0,47.0
01/31/2018,385.0,388.0,378.0,379.1,1400.0,52.0
02/01/2018,389.0,390.0,370.0,375.3,2332.0,64.0
02/04/2018,371.0,386.3,365.0,365.5,3629.0,100.0
02/05/2018,361.0,383.0,360.0,372.2,2087.0,48.0
02/06/2018,376.9,381.4,361.0,380.2,4311.0,98.0
02/07/2018,379.3,394.2,379.3,391.5,2038.0,87.0
02/08/2018,383.2,393.7,383.1,389.8,1868.0,53.0
02/11/2018,395.0,400.0,388.5,389.5,5340.0,134.0
02/12/2018,398.8,398.8,382.0,385.3,3688.0,109.0
02/13/2018,390.7,399.8,385.0,392.6,9710.0,179.0
02/14/2018,397.8,423.9,393.2,420.0,31730.0,621.0
