date,open,high,low,close,volume,trade
01/01/2018,222.5,223.0,221.9,222.0,12810.0,124.0
01/02/2018,221.0,223.0,221.0,222.5,730.0,378.0
01/03/2018,228.7,228.8,224.9,226.0,24307.0,136.0
01/04/2018,225.0,227.9,225.0,227.0,30311.0,166.0
01/07/2018,227.0,227.9,225.0,225.5,12140.0,123.0
01/08/2018,227.0,231.2,225.5,229.2,65647.0,425.0
01/09/2018,232.4,233.2,230.5,232.1,41977.0,368.0
01/10/2018,232.3,232.3,222.2,228.5,29076.0,183.0
01/11/2018,228.0,228.0,224.5,225.4,19382.0,162.0
01/14/2018,225.0,225.0,221.1,221.7,41917.0,298.0
01/15/2018,220.2,223.5,220.2,222.0,16849.0,103.0
01/16/2018,220.7,224.7,220.7,224.1,12784.0,107.0
01/17/2018,225.0,227.0,222.7,224.8,34261.0,158.0
01/18/2018,224.0,226.0,215.0,222.3,19032.0,142.0
01/21/2018,224.0,224.0,219.5,220.1,15431.0,209.0
01/22/2018,220.0,222.9,219.0,220.1,23116.0,145.0
01/23/2018,219.8,221.5,217.2,219.4,49912.0,287.0
01/24/2018,219.0,220.8,217.0,218.2,25242.0,177.0
01/25/2018,219.9,223.0,218.0,218.8,33130.0,110.0
01/28/2018,220.9,222.8,218.0,218.8,17115.0,51.0
01/29/2018,219.0,220.0,216.0,217.2,4790.0,74.0
01/30/2018,217.4,218.3,215.0,215.9,13603.0,112.0
01/31/2018,215.0,217.9,210.5,213.3,39178.0,147.0
02/01/2018,218.0,218.0,213.7,214.6,7233.0,45.0
02/04/2018,212.6,222.8,209.0,216.3,39249.0,231.0
02/05/2018,213.3,216.0,212.3,212.6,3488.0,44.0
02/06/2018,215.9,216.9,214.0,215.3,2456.0,36.0
02/07/2018,213.6,216.9,213.3,215.1,1809.0,16.0
02/08/2018,217.7,217.7,214.2,215.2,5818.0,36.0
02/11/2018,217.9,217.9,216.2,216.8,2465.0,37.0
02/12/2018,218.0,220.6,217.0,217.7,14811.0,59.0
02/13/2018,217.0,225.0,217.0,223.1,38884.0,263.0
02/14/2018,223.1,223.1,219.3,220.4,12447.0,128.0
02/15/2018,219.0,221.0,215.0,215.7,18959.0,155.0
02/18/2018,214.9,217.9,213.1,214.4,4733.0,90.0
02/19/2018,217.8,225.0,217.8,221.4,23640.0,249.0
02/20/2018,223.7,223.8,217.2,218.7,19932.0,141.0
02/22/2018,217.2,220.0,215.0,215.6,17421.0,132.0
02/25/2018,218.6,222.4,218.6,220.7,23121.0,193.0
02/26/2018,223.0,223.0,217.6,218.5,10305.0,94.0
02/27/2018,218.5,220.2,216.5,216.8,7251.0,83.0
02/28/2018,217.5,218.2,215.0,215.4,19695.0,154.0
03/01/2018,217.0,217.0,213.5,214.9,23589.0,218.0
03/04/2018,214.3,224.9,214.3,219.7,20148.0,102.0
03/05/2018,222.0,223.8,220.0,223.0,18175.0,233.0
03/06/2018,223.0,230.8,223.0,225.5,55575.0,390.0
03/07/2018,225.0,225.0,221.5,221.8,7440.0,77.0
03/08/2018,220.8,222.0,219.2,220.1,10465.0,115.0
03/11/2018,220.2,220.2,216.3,217.1,8888.0,104.0
03/12/2018,217.1,220.9,216.1,216.4,12137.0,79.0
03/13/2018,219.8,222.0,215.6,215.6,9041.0,99.0
03/14/2018,219.0,219.3,215.5,216.4,18000.0,39.0
03/15/2018,216.5,217.0,215.6,216.5,3832.0,47.0
03/18/2018,219.9,223.0,219.9,222.7,8390.0,31.0
03/19/2018,218.5,221.8,216.0,217.4,4456.0,52.0
03/20/2018,221.6,221.6,215.4,216.6,2500.0,23.0
03/21/2018,216.1,218.5,215.5,215.8,3174.0,48.0
03/22/2018,219.5,222.8,215.0,220.0,17402.0,144.0
03/25/2018,218.0,219.5,215.0,216.1,6205.0,58.0
03/27/2018,215.2,215.5,215.0,215.1,3783.0,29.0
03/28/2018,214.3,218.0,213.5,215.5,9934.0,49.0
03/29/2018,213.6,217.0,213.5,214.3,5696.0,37.0
04/01/2018,218.7,220.0,216.4,216.8,1601.0,33.0
04/02/2018,220.0,221.5,217.0,217.6,4897.0,114.0
04/03/2018,218.0,219.3,215.0,215.1,13983.0,140.0
04/04/2018,215.1,219.9,215.0,219.0,5641.0,47.0
04/05/2018,220.0,220.9,216.1,217.7,27899.0,150.0
04/08/2018,218.0,220.0,215.3,216.0,6064.0,68.0
04/09/2018,216.4,217.0,215.0,215.5,17324.0,184.0
04/10/2018,216.6,218.9,215.0,215.9,9260.0,138.0
04/11/2018,217.0,220.0,216.5,216.7,8760.0,102.0
04/12/2018,208.3,219.9,208.3,217.2,9155.0,60.0
04/15/2018,219.6,220.0,217.2,217.5,9487.0,63.0
04/16/2018,219.8,229.0,219.8,227.3,67574.0,615.0
04/17/2018,228.8,228.8,225.0,227.3,26120.0,273.0
04/18/2018,226.2,239.9,225.1,238.9,116196.0,761.0
04/19/2018,240.1,242.6,238.6,239.5,115280.0,707.0
04/22/2018,239.9,241.6,230.2,231.8,87280.0,482.0
04/23/2018,230.8,234.5,228.1,230.7,30853.0,310.0
04/24/2018,230.2,232.7,230.0,230.6,22960.0,245.0
04/25/2018,230.1,231.0,225.3,227.3,12746.0,125.0
04/26/2018,227.3,228.8,223.9,226.2,25536.0,136.0
04/30/2018,223.0,227.9,222.4,225.1,11837.0,135.0
05/03/2018,229.0,231.8,225.6,230.6,16070.0,133.0
05/06/2018,230.0,230.0,223.3,223.7,20665.0,170.0
05/07/2018,225.0,225.5,221.0,221.1,30120.0,193.0
05/08/2018,220.1,223.9,220.1,220.5,10796.0,76.0
05/09/2018,220.3,221.4,219.1,220.1,4435.0,74.0
05/10/2018,220.1,222.5,218.0,219.3,12570.0,119.0
05/13/2018,219.3,220.0,216.7,217.1,7803.0,115.0
05/14/2018,218.0,220.5,216.5,219.3,10341.0,111.0
05/15/2018,218.5,219.9,218.0,218.5,4203.0,83.0
05/16/2018,217.3,218.6,215.2,215.8,5490.0,67.0
05/17/2018,216.0,217.6,215.1,215.5,5925.0,65.0
05/20/2018,213.2,218.5,213.2,215.2,2111.0,23.0
05/21/2018,218.8,219.0,216.8,216.9,2127.0,34.0
05/22/2018,216.0,218.0,215.0,215.0,2478.0,43.0
05/23/2018,215.1,215.1,213.0,213.1,7990.0,81.0
05/24/2018,214.0,214.8,206.1,212.8,10086.0,84.0
05/27/2018,213.4,217.0,213.4,216.0,2818.0,30.0
05/28/2018,214.0,216.0,211.1,211.9,7522.0,119.0
05/29/2018,212.6,214.9,212.2,212.8,7217.0,72.0
05/30/2018,217.0,217.0,211.5,212.0,3179.0,50.0
