date,open,high,low,close,volume,trade
01/01/2018,32.0,32.3,31.8,32.0,28303.0,44.0
01/02/2018,32.2,32.2,32.0,32.1,1855.0,174.0
01/03/2018,32.7,32.9,31.8,31.9,143573.0,172.0
01/04/2018,32.3,32.5,31.9,32.2,62341.0,95.0
01/07/2018,32.8,32.8,31.9,32.0,110418.0,154.0
01/08/2018,32.5,32.5,31.9,32.1,68905.0,103.0
01/09/2018,32.4,32.7,32.0,32.3,119538.0,206.0
01/10/2018,32.3,32.6,32.2,32.4,101326.0,188.0
01/11/2018,32.4,32.6,32.1,32.4,96260.0,143.0
01/14/2018,32.5,32.5,31.5,31.9,85049.0,167.0
01/15/2018,31.6,31.7,31.2,31.5,96361.0,151.0
01/16/2018,31.5,32.3,31.3,31.9,66049.0,96.0
01/17/2018,31.9,32.0,31.6,31.9,137163.0,151.0
01/18/2018,32.1,32.2,31.7,32.0,95530.0,92.0
01/21/2018,32.4,32.5,31.8,32.4,98954.0,103.0
01/22/2018,32.5,33.7,32.2,33.3,361759.0,313.0
01/23/2018,33.9,34.0,32.7,32.8,108971.0,198.0
01/24/2018,32.5,33.3,32.5,32.7,65041.0,107.0
01/25/2018,32.0,32.5,30.3,31.8,262621.0,333.0
01/28/2018,32.0,32.0,31.2,31.4,42041.0,98.0
01/29/2018,31.8,31.8,31.1,31.2,43858.0,73.0
01/30/2018,31.3,31.5,30.6,30.7,62899.0,109.0
01/31/2018,31.7,31.7,30.2,30.5,28831.0,66.0
02/01/2018,31.2,31.2,30.2,30.3,28621.0,59.0
02/04/2018,30.1,30.9,28.8,29.0,64212.0,125.0
02/05/2018,28.7,29.9,27.4,29.6,50262.0,103.0
02/06/2018,29.7,29.7,29.1,29.6,36911.0,67.0
02/07/2018,29.3,29.8,29.3,29.6,46718.0,89.0
02/08/2018,29.9,29.9,29.4,29.6,6261.0,16.0
02/11/2018,30.0,31.0,29.8,30.8,48101.0,115.0
02/12/2018,30.7,31.0,30.0,30.1,42068.0,130.0
02/13/2018,30.5,31.0,30.5,30.8,68961.0,107.0
02/14/2018,31.9,31.9,31.0,31.2,88782.0,120.0
02/15/2018,31.1,32.5,30.5,31.8,159880.0,238.0
02/18/2018,31.9,31.9,31.3,31.4,62926.0,97.0
02/19/2018,31.7,32.2,31.3,31.4,61425.0,101.0
02/20/2018,31.5,32.0,31.3,31.6,87600.0,101.0
02/22/2018,32.5,32.5,31.3,31.4,22631.0,55.0
02/25/2018,32.0,32.0,30.9,31.1,32697.0,60.0
02/26/2018,31.4,31.4,30.8,30.9,52920.0,99.0
02/27/2018,31.4,31.4,30.9,31.0,31134.0,50.0
02/28/2018,31.1,31.1,30.5,30.7,43780.0,85.0
03/01/2018,31.2,31.3,30.8,31.2,12824.0,28.0
03/04/2018,31.0,31.6,31.0,31.2,56142.0,114.0
03/05/2018,31.0,31.5,30.8,31.3,59499.0,89.0
03/06/2018,31.1,32.5,31.1,32.0,148404.0,277.0
03/07/2018,32.4,33.1,32.0,32.6,229540.0,311.0
03/08/2018,32.5,32.6,31.6,32.0,117718.0,229.0
03/11/2018,32.3,33.5,31.7,32.9,256413.0,361.0
03/12/2018,32.6,32.6,31.7,31.9,168772.0,219.0
03/13/2018,32.3,32.3,30.8,30.9,101302.0,187.0
03/14/2018,31.6,31.6,30.8,30.9,82163.0,137.0
03/15/2018,30.6,31.6,30.6,31.2,48978.0,99.0
03/18/2018,31.7,31.8,30.5,30.9,79362.0,140.0
03/19/2018,31.4,31.4,30.2,30.2,51453.0,126.0
03/20/2018,30.9,30.9,29.9,30.1,53271.0,130.0
03/21/2018,30.9,30.9,29.9,30.2,32655.0,77.0
03/22/2018,30.7,30.7,29.9,30.6,48428.0,128.0
03/25/2018,30.8,31.4,30.7,31.1,79832.0,126.0
03/27/2018,30.6,30.8,30.1,30.2,25576.0,51.0
03/28/2018,30.5,30.7,30.1,30.2,24455.0,32.0
03/29/2018,30.1,30.5,30.0,30.4,54867.0,67.0
04/01/2018,30.6,31.2,30.6,30.9,52600.0,139.0
04/02/2018,31.1,31.4,30.7,31.4,74540.0,163.0
04/03/2018,31.9,32.0,31.0,31.3,229532.0,364.0
04/04/2018,31.0,31.5,30.6,30.8,86268.0,162.0
04/05/2018,30.6,31.2,30.6,31.0,74225.0,97.0
04/08/2018,31.1,31.7,31.1,31.4,119302.0,173.0
04/09/2018,31.4,34.3,31.4,33.6,1745543.0,1424.0
04/10/2018,34.0,34.0,32.6,32.9,454529.0,618.0
04/11/2018,32.9,32.9,31.3,31.5,624934.0,662.0
04/12/2018,31.5,32.4,31.3,31.5,216044.0,348.0
04/15/2018,31.6,31.9,30.8,31.1,226233.0,357.0
04/16/2018,31.0,31.4,30.5,31.2,177317.0,333.0
04/17/2018,31.7,31.7,30.5,30.7,181914.0,290.0
04/18/2018,30.7,31.4,30.5,31.0,196590.0,348.0
04/19/2018,31.1,31.1,30.3,30.4,151711.0,259.0
04/22/2018,30.5,30.6,29.7,29.9,142155.0,258.0
04/23/2018,29.7,30.2,29.7,30.0,129700.0,173.0
04/24/2018,30.0,30.0,29.8,29.9,81469.0,134.0
04/25/2018,29.7,31.4,29.7,30.5,71835.0,176.0
04/26/2018,30.0,30.0,29.1,29.5,237823.0,341.0
04/30/2018,29.0,29.5,28.7,28.9,107157.0,210.0
05/03/2018,29.5,30.6,29.3,30.2,147494.0,237.0
05/06/2018,30.1,31.5,30.1,31.1,443972.0,560.0
05/07/2018,31.1,31.8,30.9,31.0,240400.0,350.0
05/08/2018,30.6,31.2,30.0,30.3,163885.0,248.0
05/09/2018,30.1,31.3,30.1,30.5,177277.0,265.0
05/10/2018,30.5,31.0,30.2,30.3,175586.0,246.0
05/13/2018,30.4,30.4,29.9,30.0,80691.0,137.0
05/14/2018,29.7,30.2,29.5,30.0,98536.0,164.0
05/15/2018,30.2,30.4,29.7,30.0,121844.0,251.0
05/16/2018,29.8,30.3,29.8,29.9,73234.0,128.0
05/17/2018,29.9,30.0,29.3,29.5,105050.0,191.0
05/20/2018,29.4,29.5,29.0,29.4,98929.0,144.0
05/21/2018,29.3,30.5,29.2,29.7,123102.0,172.0
05/22/2018,29.6,30.3,29.5,29.9,92075.0,192.0
05/23/2018,29.4,31.4,29.4,30.5,360471.0,599.0
05/24/2018,30.6,33.3,30.6,33.0,884356.0,1075.0
05/27/2018,32.7,33.1,31.2,31.5,339757.0,519.0
05/28/2018,31.0,32.3,31.0,32.0,371497.0,546.0
05/29/2018,32.2,32.8,31.5,31.6,331647.0,482.0
05/30/2018,31.1,32.0,30.9,31.0,147297.0,253.0
05/31/2018,30.5,31.6,30.2,31.4,217751.0,290.0
06/03/2018,31.0,31.6,30.9,31.1,161709.0,240.0
06/04/2018,31.3,31.4,30.9,31.0,133905.0,215.0
06/05/2018,30.8,31.4,30.8,31.2,158032.0,266.0
06/06/2018,31.1,31.7,31.1,31.3,190014.0,265.0
06/07/2018,31.6,32.0,31.4,31.9,261453.0,317.0
06/10/2018,32.0,33.4,31.9,32.7,702042.0,776.0
06/11/2018,33.0,33.3,32.1,32.3,307740.0,432.0
06/12/2018,32.3,32.6,31.4,31.5,218978.0,312.0
06/18/2018,31.2,31.7,30.7,31.1,247989.0,374.0
06/19/2018,31.4,31.6,30.8,31.2,80693.0,131.0
06/20/2018,31.3,32.0,31.0,31.6,113631.0,198.0
