date,open,high,low,close,volume,trade
10/25/2020,13.1,13.1,13.1,13.1,25917.0,10.0
10/27/2020,19.7,19.7,19.7,19.7,29797.0,10.0
10/28/2020,21.6,21.6,21.6,21.6,86976.0,34.0
10/29/2020,23.7,23.7,23.7,23.7,92510.0,52.0
11/01/2020,26.0,26.0,26.0,26.0,145971.0,87.0
11/02/2020,28.6,28.6,28.6,28.6,138672.0,121.0
11/03/2020,31.4,31.4,31.4,31.4,167621.0,127.0
11/04/2020,34.4,34.4,34.0,34.4,6584939.0,5810.0
11/05/2020,35.8,44.5,35.8,43.8,3738276.0,8135.0
11/08/2020,43.6,48.2,42.5,48.2,6752416.0,4150.0
11/09/2020,48.9,53.0,48.3,53.0,2824300.0,2690.0
11/10/2020,50.7,54.2,47.8,48.0,5201972.0,6002.0
11/11/2020,46.8,52.8,46.8,52.1,1999304.0,2722.0
11/12/2020,53.2,57.3,53.2,57.3,2566717.0,3333.0
11/15/2020,62.2,62.2,51.6,54.2,2837072.0,4331.0
11/16/2020,53.3,55.5,48.7,49.4,2441602.0,3923.0
11/17/2020,49.4,54.3,49.4,54.3,2083458.0,2596.0
11/18/2020,55.5,56.4,52.4,53.1,1917135.0,3334.0
11/19/2020,54.3,55.0,50.3,51.3,1562305.0,2589.0
11/22/2020,52.3,52.4,48.6,49.1,1237042.0,1953.0
11/23/2020,49.1,49.1,44.3,47.2,1141995.0,1880.0
11/24/2020,47.3,51.4,46.1,50.9,1396547.0,2215.0
11/25/2020,47.3,51.4,46.1,50.9,1396547.0,0.0
11/26/2020,48.6,50.1,47.1,48.3,2702371.0,3544.0
11/29/2020,49.9,50.0,46.7,47.0,1637358.0,2389.0
11/30/2020,47.3,50.2,45.9,49.4,2452395.0,3555.0
12/01/2020,50.2,51.3,48.7,49.3,1700065.0,2848.0
12/02/2020,49.5,52.2,48.7,51.4,2388324.0,3170.0
12/03/2020,52.1,54.1,52.1,52.9,2318417.0,3098.0
12/06/2020,53.5,56.5,53.4,55.4,2435726.0,2851.0
12/07/2020,56.0,58.0,53.9,54.4,2659819.0,3252.0
12/08/2020,55.0,55.0,52.1,53.1,2010183.0,3017.0
12/09/2020,53.7,56.1,52.9,54.4,1433552.0,2195.0
12/10/2020,55.0,55.2,52.5,52.8,1367650.0,2110.0
12/13/2020,53.3,53.8,51.2,51.5,1188340.0,2063.0
12/14/2020,51.6,52.1,50.2,50.4,1052553.0,1861.0
12/15/2020,51.5,51.5,50.0,50.2,751124.0,1253.0
12/17/2020,50.4,50.7,48.9,49.2,856866.0,1374.0
