date,open,high,low,close,volume,trade
01/01/2018,143.0,146.0,141.3,145.4,57627.0,306.0
01/02/2018,145.3,145.3,145.3,145.3,150.0,215.0
01/03/2018,146.0,147.5,143.6,144.2,31306.0,279.0
01/04/2018,143.2,145.0,143.0,143.2,21952.0,142.0
01/07/2018,142.5,143.8,141.0,141.5,45804.0,271.0
01/08/2018,143.0,145.0,142.0,142.7,32796.0,185.0
01/09/2018,144.5,144.9,142.2,142.8,8400.0,63.0
01/10/2018,143.5,143.8,141.9,142.3,21193.0,93.0
01/11/2018,141.8,142.7,141.6,142.0,18965.0,101.0
01/14/2018,143.7,144.0,142.0,142.0,8863.0,58.0
01/15/2018,142.1,143.8,136.4,143.4,45438.0,156.0
01/16/2018,143.3,144.0,142.0,143.3,32987.0,57.0
01/17/2018,140.6,143.7,140.0,141.3,31298.0,146.0
01/18/2018,140.5,141.9,140.3,141.0,20020.0,70.0
01/21/2018,142.9,142.9,140.4,140.8,38814.0,197.0
01/22/2018,140.7,141.8,140.7,140.7,22877.0,111.0
01/23/2018,141.1,144.9,141.1,144.1,49984.0,279.0
01/24/2018,145.0,147.7,144.0,146.6,135093.0,863.0
01/25/2018,146.9,147.0,142.4,143.3,28766.0,149.0
01/28/2018,145.0,145.0,141.9,142.5,38812.0,295.0
01/29/2018,142.5,143.9,141.7,142.2,31560.0,180.0
01/30/2018,142.2,143.8,141.9,143.4,21792.0,194.0
01/31/2018,144.4,144.4,137.3,142.6,24435.0,134.0
02/01/2018,141.1,143.8,140.9,141.8,15764.0,135.0
02/04/2018,139.5,142.5,139.5,141.0,12521.0,127.0
02/05/2018,138.3,141.8,138.3,140.6,11387.0,86.0
02/06/2018,142.6,142.6,140.4,140.8,64015.0,152.0
02/07/2018,138.5,142.0,138.5,139.4,14221.0,92.0
02/08/2018,141.6,142.0,138.5,139.6,55294.0,64.0
02/11/2018,141.9,146.5,141.1,146.0,46561.0,392.0
