date,open,high,low,close,volume,trade
01/01/2018,118.0,119.0,117.1,117.9,5471.0,38.0
01/02/2018,118.8,119.8,118.8,119.8,6105.0,120.0
01/03/2018,120.1,122.0,116.3,117.0,42616.0,179.0
01/04/2018,118.5,118.5,115.5,116.8,68749.0,301.0
01/07/2018,117.2,119.0,116.4,118.2,9526.0,62.0
01/08/2018,118.7,119.2,116.8,117.6,77475.0,308.0
01/09/2018,117.9,117.9,116.0,117.1,106766.0,301.0
01/10/2018,117.1,121.0,117.1,119.1,165055.0,824.0
01/11/2018,120.0,123.5,119.0,122.0,79507.0,490.0
01/14/2018,124.0,127.0,122.8,123.9,128284.0,592.0
01/15/2018,122.8,125.0,120.2,121.0,26590.0,184.0
01/16/2018,122.0,122.0,119.5,120.3,28683.0,219.0
01/17/2018,120.1,122.5,119.0,119.8,43638.0,303.0
01/18/2018,119.8,119.8,117.3,118.1,22095.0,169.0
01/21/2018,118.0,119.0,117.4,117.7,23952.0,201.0
01/22/2018,118.5,118.5,116.4,117.3,25503.0,201.0
01/23/2018,118.2,120.6,117.5,119.8,35093.0,249.0
01/24/2018,119.8,121.3,118.1,119.4,36671.0,247.0
01/25/2018,119.4,119.6,116.9,117.1,24061.0,197.0
01/28/2018,116.6,117.9,116.1,116.4,18208.0,144.0
01/29/2018,115.3,117.2,115.3,115.9,14665.0,110.0
01/30/2018,116.1,119.1,115.5,116.3,24795.0,176.0
01/31/2018,116.5,116.6,112.3,113.8,21197.0,185.0
02/01/2018,115.0,116.4,113.5,114.1,19952.0,144.0
02/04/2018,113.5,113.5,108.5,109.0,25798.0,197.0
02/05/2018,109.3,111.3,105.0,109.3,12981.0,90.0
02/06/2018,111.0,111.6,108.5,109.5,13721.0,137.0
02/07/2018,109.5,113.9,109.5,111.7,15499.0,119.0
02/08/2018,113.4,113.4,110.8,112.1,5898.0,65.0
02/11/2018,113.3,117.7,113.3,116.2,37280.0,227.0
02/12/2018,117.9,117.9,115.2,115.8,27026.0,134.0
02/13/2018,116.8,123.5,116.8,122.7,121360.0,646.0
02/14/2018,124.0,126.0,121.1,122.4,70002.0,420.0
02/15/2018,122.1,123.0,118.0,118.5,68253.0,337.0
02/18/2018,119.7,124.5,118.8,123.7,69503.0,485.0
02/19/2018,125.8,136.0,125.0,135.9,436450.0,1476.0
02/20/2018,136.5,143.5,131.8,142.2,271255.0,1064.0
02/22/2018,142.0,142.6,134.0,135.2,165086.0,963.0
02/25/2018,136.5,142.3,135.5,140.2,265485.0,1361.0
02/26/2018,141.1,141.1,133.8,135.9,144904.0,887.0
02/27/2018,137.2,138.8,133.0,136.3,117809.0,854.0
02/28/2018,138.2,139.0,132.5,133.5,97160.0,603.0
03/01/2018,133.5,136.7,132.6,133.2,120985.0,706.0
03/04/2018,134.9,138.8,132.7,136.6,231352.0,1046.0
03/05/2018,138.0,145.5,138.0,145.2,443057.0,1905.0
03/06/2018,145.2,145.6,141.8,143.6,260076.0,1353.0
03/07/2018,144.0,144.9,136.5,138.7,128476.0,835.0
03/08/2018,137.7,140.8,136.6,137.9,83847.0,507.0
03/11/2018,139.0,140.0,134.4,134.9,77525.0,470.0
03/12/2018,135.0,135.9,131.0,132.1,81612.0,440.0
03/13/2018,132.7,134.9,123.1,125.0,62999.0,402.0
03/14/2018,125.1,129.6,123.5,127.2,56954.0,371.0
03/15/2018,130.0,130.0,126.2,127.7,32618.0,233.0
03/18/2018,127.0,128.8,126.0,127.1,52507.0,323.0
03/19/2018,128.0,132.3,127.9,128.7,82612.0,532.0
03/20/2018,126.7,128.3,124.5,125.3,38987.0,292.0
03/21/2018,125.0,126.0,121.0,121.4,47161.0,256.0
03/22/2018,124.4,124.4,118.1,120.6,55565.0,341.0
03/25/2018,121.9,122.1,117.3,118.3,24627.0,173.0
03/27/2018,115.5,119.0,112.3,113.9,36378.0,241.0
03/28/2018,114.8,115.9,112.6,114.2,20432.0,149.0
03/29/2018,114.2,118.8,113.2,115.9,45697.0,299.0
04/01/2018,118.7,120.9,118.0,119.4,44656.0,267.0
04/02/2018,120.6,123.9,117.2,122.5,125960.0,697.0
04/03/2018,125.0,125.7,120.0,121.0,86073.0,505.0
04/04/2018,122.5,124.5,121.6,123.4,100859.0,549.0
04/05/2018,125.5,127.9,125.0,126.0,98055.0,610.0
04/08/2018,127.5,129.8,123.0,124.5,90289.0,575.0
04/09/2018,126.0,126.0,119.5,120.9,73876.0,473.0
04/10/2018,120.9,124.6,120.0,123.4,65674.0,380.0
04/11/2018,123.4,127.0,123.4,125.9,104541.0,594.0
04/12/2018,126.9,130.4,126.2,129.0,172508.0,786.0
04/15/2018,131.0,133.9,129.9,131.5,148094.0,760.0
04/16/2018,131.7,132.9,126.2,127.3,89834.0,592.0
04/17/2018,123.2,129.0,123.2,126.8,63265.0,459.0
04/18/2018,128.0,135.5,128.0,133.6,259776.0,1316.0
04/19/2018,133.7,134.7,129.0,129.8,93510.0,579.0
04/22/2018,130.0,130.0,125.3,125.9,93024.0,591.0
04/23/2018,127.9,129.0,126.0,127.8,53660.0,384.0
04/24/2018,129.0,129.0,120.0,124.3,49923.0,322.0
04/25/2018,125.5,127.4,122.8,123.5,48804.0,356.0
04/26/2018,123.6,123.6,121.1,122.3,38574.0,256.0
04/30/2018,123.0,123.4,120.2,121.1,20551.0,179.0
05/03/2018,122.9,125.8,122.9,125.0,42810.0,306.0
05/06/2018,125.8,129.5,124.0,125.6,52684.0,352.0
05/07/2018,126.0,126.1,123.3,123.8,38366.0,221.0
05/08/2018,123.8,123.9,121.1,121.5,23201.0,161.0
05/09/2018,121.9,126.0,121.9,122.5,40586.0,279.0
05/10/2018,123.9,124.0,121.7,122.0,20649.0,136.0
05/13/2018,122.0,122.0,120.0,120.5,26891.0,173.0
05/14/2018,122.8,124.6,121.2,123.7,45656.0,236.0
05/15/2018,124.5,125.5,121.9,122.3,19749.0,172.0
05/16/2018,122.6,122.6,120.4,120.5,26085.0,176.0
05/17/2018,120.6,120.9,118.1,118.5,44597.0,174.0
05/20/2018,120.5,120.5,115.5,117.0,25095.0,200.0
05/21/2018,119.4,120.0,116.5,117.1,9131.0,98.0
05/22/2018,119.6,119.7,115.0,115.5,34864.0,288.0
05/23/2018,113.0,115.1,112.7,113.2,18691.0,147.0
05/24/2018,112.0,117.3,112.0,116.6,29014.0,183.0
05/27/2018,117.1,117.1,115.0,115.6,18687.0,167.0
05/28/2018,115.3,115.5,113.2,113.7,17225.0,140.0
05/29/2018,114.0,119.0,113.0,116.4,39385.0,212.0
05/30/2018,117.0,117.2,113.9,114.2,11849.0,98.0
05/31/2018,115.0,118.0,113.0,117.1,49575.0,320.0
06/03/2018,118.3,124.3,118.2,123.9,105249.0,723.0
06/04/2018,125.0,131.0,124.0,129.1,169939.0,893.0
06/05/2018,130.1,134.5,129.3,133.1,169038.0,980.0
06/06/2018,134.0,134.8,131.3,134.2,138528.0,679.0
06/07/2018,134.5,140.0,132.6,139.6,221129.0,1052.0
06/10/2018,138.8,153.5,138.8,144.7,129170.0,749.0
06/11/2018,144.1,146.9,143.0,144.7,147662.0,587.0
06/12/2018,144.7,152.0,143.6,151.1,125970.0,653.0
06/18/2018,151.2,166.2,151.2,162.3,136447.0,840.0
06/19/2018,162.3,165.3,156.4,159.4,210143.0,1005.0
06/20/2018,160.0,175.3,160.0,174.3,221294.0,1125.0
06/21/2018,179.0,183.8,163.0,170.9,137858.0,908.0
06/24/2018,165.2,167.9,162.5,164.6,174041.0,960.0
06/25/2018,163.8,175.0,163.0,171.0,116880.0,844.0
06/26/2018,174.9,177.0,167.2,170.7,121122.0,703.0
06/27/2018,174.6,175.3,169.0,170.5,109274.0,757.0
06/28/2018,172.0,177.0,169.6,174.7,162615.0,939.0
07/02/2018,175.0,179.6,168.5,170.9,119594.0,820.0
07/03/2018,175.0,177.0,162.1,162.9,110814.0,620.0
07/04/2018,167.5,170.6,163.5,164.5,40890.0,368.0
07/05/2018,169.8,177.0,164.6,166.2,104513.0,665.0
07/08/2018,169.9,172.5,162.9,164.6,79802.0,577.0
07/09/2018,168.0,168.0,162.1,162.7,62891.0,352.0
07/10/2018,164.0,168.0,156.1,157.0,54008.0,447.0
07/11/2018,158.0,160.0,145.2,148.3,59644.0,448.0
07/12/2018,149.5,163.1,147.0,163.0,69235.0,492.0
07/15/2018,167.0,172.0,155.0,159.0,97920.0,577.0
07/16/2018,161.0,163.4,156.0,157.4,45017.0,324.0
07/17/2018,158.7,168.2,155.1,162.9,72572.0,590.0
07/18/2018,165.0,170.0,163.0,166.2,83557.0,538.0
07/19/2018,166.0,173.0,164.1,165.4,77975.0,499.0
07/22/2018,166.0,170.0,156.5,158.9,63087.0,491.0
07/23/2018,158.5,164.0,155.5,156.8,27040.0,263.0
07/24/2018,156.5,161.9,156.0,158.4,46684.0,295.0
07/25/2018,156.5,163.0,154.0,155.6,38079.0,283.0
07/26/2018,147.6,159.7,147.6,157.3,53701.0,257.0
07/29/2018,155.0,157.5,152.1,152.8,17617.0,143.0
07/30/2018,148.0,152.2,145.0,146.2,23948.0,
07/31/2018,143.5,152.2,143.5,148.1,20085.0,198.0
08/01/2018,151.9,154.8,150.2,150.6,10977.0,130.0
08/02/2018,154.7,156.0,148.0,148.4,13862.0,133.0
08/05/2018,146.0,153.0,146.0,147.7,12688.0,142.0
08/06/2018,150.9,150.9,145.0,146.5,40187.0,313.0
08/07/2018,141.2,148.8,141.2,142.3,21385.0,194.0
08/08/2018,142.0,146.3,140.1,142.6,30023.0,287.0
08/09/2018,145.0,145.9,138.0,139.7,15866.0,117.0
08/12/2018,139.7,143.0,135.0,135.6,16071.0,153.0
08/13/2018,135.4,137.6,135.1,135.9,9362.0,104.0
08/14/2018,137.8,137.8,130.0,130.7,12141.0,99.0
08/16/2018,137.0,137.0,133.9,135.3,9243.0,89.0
08/19/2018,135.0,135.3,127.1,128.5,16694.0,139.0
08/20/2018,125.0,131.6,125.0,129.1,3756.0,38.0
08/26/2018,133.7,133.7,129.3,131.6,2101.0,26.0
08/27/2018,130.6,133.9,130.6,132.0,5703.0,60.0
08/28/2018,133.0,133.4,128.5,129.5,9954.0,98.0
08/29/2018,130.5,131.6,128.0,128.6,11226.0,105.0
08/30/2018,130.9,139.5,130.9,133.0,25106.0,203.0
09/03/2018,134.1,136.9,131.0,131.5,5373.0,58.0
09/04/2018,131.5,132.0,130.8,131.3,9461.0,97.0
09/05/2018,131.4,135.3,131.3,133.7,11274.0,87.0
09/06/2018,134.2,135.5,133.8,133.9,6714.0,61.0
09/09/2018,136.0,136.0,130.9,134.9,8705.0,71.0
09/10/2018,133.0,135.0,132.9,134.9,23029.0,175.0
09/11/2018,136.0,136.0,133.0,133.3,11814.0,96.0
09/12/2018,135.2,143.0,132.5,138.7,18074.0,154.0
09/13/2018,139.0,145.0,135.0,137.9,26069.0,195.0
09/16/2018,137.7,139.0,135.0,135.9,8318.0,58.0
09/17/2018,135.1,138.9,132.1,135.1,12530.0,112.0
09/18/2018,134.0,138.0,131.5,132.3,23459.0,126.0
09/19/2018,132.5,139.0,132.4,135.6,36072.0,145.0
09/20/2018,133.0,138.0,132.7,133.4,5493.0,53.0
09/23/2018,133.5,136.9,132.1,134.1,19078.0,155.0
09/24/2018,134.1,134.9,130.1,130.5,5874.0,73.0
09/25/2018,130.1,133.3,130.1,131.0,1174.0,16.0
09/26/2018,132.0,135.0,129.1,131.2,13971.0,111.0
09/27/2018,131.1,131.1,120.0,126.2,10466.0,87.0
09/30/2018,122.3,124.7,120.1,122.0,13826.0,113.0
10/01/2018,125.5,127.9,123.1,126.9,7780.0,113.0
10/02/2018,127.4,135.5,127.4,134.9,28072.0,285.0
10/03/2018,137.0,139.8,133.2,138.5,15605.0,150.0
10/04/2018,141.0,143.2,140.0,140.7,19865.0,172.0
10/07/2018,142.0,146.0,138.0,138.2,24371.0,0.0
10/08/2018,140.0,140.7,134.1,138.2,28840.0,
10/09/2018,137.2,139.3,135.3,136.5,7102.0,
10/10/2018,136.8,136.8,126.5,129.3,12644.0,0.0
10/11/2018,133.0,133.0,128.0,128.4,7731.0,100.0
10/14/2018,132.0,133.0,129.0,133.0,2939.0,61.0
10/15/2018,134.0,134.0,126.5,128.3,7232.0,112.0
10/16/2018,128.0,132.0,126.7,131.5,2611.0,43.0
10/17/2018,131.5,133.0,128.6,130.0,3298.0,51.0
10/18/2018,129.1,129.9,128.8,129.2,1334.0,16.0
10/21/2018,130.0,130.0,126.5,126.8,2265.0,45.0
10/22/2018,125.1,125.8,124.7,125.3,2341.0,29.0
10/23/2018,130.0,130.0,125.8,128.5,3151.0,40.0
10/24/2018,128.5,134.8,127.0,129.6,4498.0,62.0
10/25/2018,128.1,132.0,127.0,127.9,3590.0,
10/28/2018,126.0,132.8,125.0,125.1,5636.0,
10/29/2018,124.1,125.0,120.0,122.6,10978.0,
10/30/2018,125.3,127.0,124.0,126.1,5506.0,
10/31/2018,123.3,127.9,123.0,123.5,6383.0,
11/01/2018,126.8,126.9,121.0,122.0,9952.0,
11/04/2018,125.0,126.1,121.0,124.4,22366.0,
11/05/2018,123.0,125.0,123.0,124.1,4206.0,
11/06/2018,124.0,125.9,124.0,124.6,9465.0,
11/07/2018,124.9,126.9,124.0,124.7,3680.0,
11/08/2018,124.8,135.0,124.5,132.9,30907.0,249.0
11/11/2018,134.0,135.8,126.1,129.3,23752.0,183.0
11/12/2018,128.8,129.1,124.0,124.0,15311.0,129.0
11/13/2018,126.9,131.0,123.7,128.0,33880.0,265.0
11/14/2018,130.0,131.0,127.2,128.3,22907.0,176.0
11/15/2018,130.0,131.0,127.2,128.3,22907.0,0.0
11/18/2018,130.8,130.8,125.0,125.3,16219.0,146.0
11/19/2018,129.4,134.9,126.0,132.6,27591.0,264.0
11/20/2018,132.8,141.0,132.7,134.2,66648.0,510.0
11/22/2018,135.0,136.9,130.5,135.4,31777.0,290.0
11/25/2018,136.0,136.0,128.2,128.8,28378.0,385.0
11/26/2018,131.9,133.0,129.3,130.4,17116.0,212.0
11/27/2018,134.8,134.8,130.9,133.8,33030.0,379.0
11/28/2018,135.4,135.4,130.0,130.9,12931.0,144.0
11/29/2018,130.9,133.0,127.5,128.3,26085.0,250.0
12/02/2018,129.9,129.9,126.6,127.1,19537.0,190.0
12/03/2018,126.5,129.5,125.3,126.4,22913.0,194.0
12/04/2018,127.1,128.8,126.7,127.4,8018.0,71.0
12/05/2018,126.2,127.7,125.1,126.4,5156.0,53.0
12/06/2018,127.6,128.1,124.2,126.7,18337.0,192.0
12/09/2018,128.9,132.5,126.8,131.4,19717.0,221.0
12/10/2018,131.6,139.3,129.7,136.0,73022.0,484.0
12/11/2018,134.0,139.5,131.1,133.3,19701.0,202.0
12/12/2018,132.0,137.8,130.5,136.7,31797.0,276.0
12/13/2018,137.7,141.8,135.0,135.6,70821.0,520.0
12/17/2018,133.0,136.6,129.0,129.2,10619.0,138.0
12/18/2018,127.1,132.9,127.1,131.3,19056.0,221.0
12/19/2018,130.3,134.0,129.8,130.9,21012.0,222.0
12/20/2018,133.0,133.0,130.6,130.8,17140.0,124.0
12/23/2018,133.9,133.9,129.8,130.1,13142.0,123.0
12/24/2018,132.0,132.0,129.2,129.6,14076.0,143.0
12/26/2018,129.6,131.5,129.1,130.6,11816.0,115.0
12/27/2018,129.7,132.6,129.6,131.8,21800.0,132.0
01/01/2019,130.5,133.0,130.5,131.5,10026.0,109.0
01/02/2019,131.5,139.0,131.2,138.5,45433.0,307.0
01/03/2019,139.0,140.5,136.7,139.5,39179.0,259.0
01/06/2019,139.9,140.5,137.2,139.9,31470.0,260.0
