date,open,high,low,close,volume,trade
10/29/2020,5060.0,5120.0,5060.0,5072.5,8.0,
11/01/2020,5080.0,5140.0,5080.0,5092.0,10.0,
11/02/2020,5092.0,5200.0,5092.0,5158.0,256.0,
11/03/2020,5120.0,5120.0,5100.0,5110.0,3.0,
11/04/2020,5100.0,5100.0,5100.0,5100.0,28.0,
11/05/2020,5100.0,5110.0,5100.0,5101.0,19.0,
11/08/2020,5100.0,5110.0,5100.0,5109.0,10.0,
11/09/2020,5100.0,5150.0,5100.0,5129.0,40.0,
11/10/2020,5110.0,5200.0,5110.0,5200.0,71.0,
11/11/2020,5145.0,5230.0,5145.0,5220.0,78.0,
11/12/2020,5200.0,5200.0,5200.0,5200.0,71.0,
11/15/2020,5120.0,5200.0,5120.0,5194.0,22.0,
11/16/2020,5120.0,5200.5,5100.0,5200.0,76.0,
11/17/2020,5200.0,5200.0,5160.0,5199.5,80.0,
11/18/2020,5170.0,5200.0,5170.0,5200.0,61.0,
11/19/2020,5199.5,5200.0,5130.0,5162.5,23.0,
11/22/2020,5160.0,5160.0,5120.0,5150.0,4.0,
11/23/2020,5150.0,5200.0,5150.0,5166.5,3.0,
11/24/2020,5200.0,5220.0,5200.0,5213.5,76.0,
11/25/2020,5203.0,5203.0,5203.0,5203.0,4.0,
11/26/2020,5203.0,5203.0,5203.0,5203.0,4.0,
11/29/2020,5203.0,5203.0,5203.0,5203.0,4.0,
11/30/2020,5200.0,5200.0,5100.0,5136.5,9.0,
12/01/2020,5200.0,5200.0,5100.0,5136.5,9.0,
12/02/2020,5100.0,5100.0,5100.0,5100.0,2.0,
12/03/2020,5100.0,5100.0,5100.0,5100.0,2.0,
12/06/2020,5100.0,5291.0,5100.0,5277.5,79.0,
12/07/2020,5220.5,5220.5,5220.5,5220.5,3.0,
12/08/2020,5200.0,5295.0,5200.0,5253.0,9.0,
12/09/2020,5200.0,5294.5,5200.0,5227.5,29.0,
12/10/2020,5300.0,5380.0,5300.0,5326.5,11.0,
12/13/2020,5200.0,5220.0,5200.0,5207.0,14.0,
