date,open,high,low,close,volume,trade
01/01/2018,336.1,342.0,335.1,337.9,3288.0,82.0
01/02/2018,340.0,354.8,340.0,349.0,6558.0,563.0
01/03/2018,360.0,360.0,350.1,351.9,7461.0,121.0
01/04/2018,357.0,357.0,346.0,352.2,18947.0,272.0
01/07/2018,355.0,364.8,352.5,362.8,41004.0,508.0
01/08/2018,365.0,368.0,356.9,357.8,13948.0,203.0
01/09/2018,357.8,357.8,345.0,346.1,9002.0,195.0
01/10/2018,347.5,355.9,345.1,347.1,5102.0,106.0
01/11/2018,347.3,349.8,345.8,347.1,2744.0,59.0
01/14/2018,353.2,353.2,343.5,343.6,4075.0,61.0
01/15/2018,343.6,343.6,341.2,342.5,5400.0,55.0
01/16/2018,345.9,348.0,344.0,345.7,697.0,16.0
01/17/2018,345.2,345.2,340.6,341.3,5324.0,86.0
01/18/2018,349.5,349.5,338.0,340.8,2627.0,90.0
01/21/2018,370.0,370.0,342.4,342.5,2681.0,48.0
01/22/2018,345.0,349.5,342.1,342.9,8965.0,133.0
01/23/2018,344.0,349.0,343.1,343.3,7753.0,119.0
01/24/2018,343.0,347.6,342.5,346.0,2185.0,44.0
01/25/2018,343.6,346.0,341.7,342.5,3291.0,68.0
01/28/2018,340.7,344.0,340.1,340.6,5805.0,36.0
01/29/2018,342.0,342.0,340.3,340.4,869.0,25.0
01/30/2018,341.0,345.8,340.0,341.5,981.0,42.0
01/31/2018,345.7,345.7,336.1,338.5,10426.0,151.0
02/01/2018,337.1,343.0,337.0,338.6,1583.0,37.0
02/04/2018,337.2,340.0,335.0,335.0,4551.0,77.0
02/05/2018,334.5,339.7,334.1,335.1,1645.0,40.0
02/06/2018,334.8,342.4,334.8,339.7,1302.0,33.0
02/07/2018,338.0,346.9,338.0,345.7,7464.0,167.0
02/08/2018,348.8,351.3,345.2,346.4,9849.0,187.0
02/11/2018,350.0,358.0,350.0,355.7,23674.0,333.0
02/12/2018,353.9,353.9,346.0,347.1,7166.0,125.0
02/13/2018,348.7,349.0,346.2,348.4,9767.0,112.0
02/14/2018,349.0,361.4,349.0,355.9,22930.0,349.0
02/15/2018,356.0,356.0,347.7,348.2,4950.0,94.0
02/18/2018,347.0,349.5,343.3,345.6,6294.0,87.0
02/19/2018,347.0,351.0,346.1,346.7,5658.0,103.0
02/20/2018,352.9,352.9,344.0,344.5,7474.0,155.0
02/22/2018,346.1,355.0,344.7,354.0,12234.0,219.0
02/25/2018,357.9,364.0,354.0,359.4,30920.0,470.0
02/26/2018,364.0,365.0,348.3,349.4,11942.0,238.0
02/27/2018,352.0,352.0,344.2,347.6,6039.0,138.0
02/28/2018,349.0,352.0,345.3,347.6,6668.0,97.0
03/01/2018,347.0,352.5,346.1,349.0,4320.0,95.0
03/04/2018,347.1,353.0,346.1,346.9,3679.0,114.0
03/05/2018,347.0,356.6,346.1,355.1,6565.0,111.0
03/06/2018,356.0,363.0,356.0,359.7,16634.0,254.0
03/07/2018,361.0,361.0,349.4,350.0,6561.0,131.0
03/08/2018,354.9,354.9,348.5,350.8,4395.0,90.0
03/11/2018,354.8,354.8,345.2,345.6,5832.0,105.0
03/12/2018,346.1,349.0,344.0,347.3,3199.0,88.0
03/13/2018,347.4,347.4,341.1,341.9,4460.0,89.0
03/14/2018,347.8,349.8,343.5,346.0,3228.0,52.0
03/15/2018,347.3,347.3,342.4,345.7,3150.0,124.0
03/18/2018,344.0,344.0,341.3,341.7,6081.0,102.0
03/19/2018,341.6,341.6,340.0,340.4,3472.0,62.0
03/20/2018,340.4,343.8,339.9,340.8,3071.0,66.0
03/21/2018,340.0,340.0,337.5,337.7,706.0,17.0
03/22/2018,335.1,338.6,335.1,337.8,4065.0,109.0
03/25/2018,341.0,341.0,337.2,337.3,1094.0,37.0
03/27/2018,337.7,343.0,335.0,340.2,7940.0,140.0
03/28/2018,340.4,340.4,335.8,336.3,1275.0,33.0
03/29/2018,334.2,340.9,334.2,337.4,2600.0,50.0
04/01/2018,342.0,342.9,338.2,339.1,1623.0,35.0
04/02/2018,339.0,340.5,338.0,340.3,2752.0,48.0
04/03/2018,340.5,341.0,339.3,340.2,1870.0,75.0
04/04/2018,344.7,347.0,342.0,342.7,3818.0,97.0
04/05/2018,343.1,353.5,342.3,349.7,4600.0,130.0
