date,open,high,low,close,volume,trade
01/01/2018,29.0,31.0,29.0,30.7,8371.0,30.0
01/02/2018,29.4,31.4,29.4,30.4,10552.0,53.0
01/03/2018,29.5,31.5,29.5,30.0,9135.0,30.0
01/04/2018,29.5,30.6,29.5,30.0,17632.0,48.0
01/07/2018,29.6,31.5,29.6,30.0,13520.0,44.0
01/08/2018,29.6,30.3,29.6,29.7,26561.0,106.0
01/09/2018,30.2,30.2,29.7,29.8,6445.0,36.0
01/10/2018,30.5,30.5,29.8,30.0,17925.0,54.0
01/11/2018,29.6,30.2,29.5,29.7,41940.0,102.0
01/14/2018,29.1,30.1,29.1,29.7,19154.0,53.0
01/15/2018,29.7,30.2,29.2,29.5,17402.0,44.0
01/16/2018,30.6,30.6,30.0,30.3,45417.0,70.0
01/17/2018,31.2,31.2,29.9,30.0,12590.0,30.0
01/18/2018,30.3,31.0,30.0,30.9,38883.0,84.0
01/21/2018,30.7,33.9,30.7,32.0,37904.0,81.0
01/22/2018,32.0,32.0,31.5,31.7,20015.0,55.0
01/23/2018,32.0,32.1,31.3,31.4,16880.0,31.0
01/24/2018,31.0,31.6,31.0,31.5,14948.0,41.0
01/25/2018,31.2,32.0,31.1,31.5,26290.0,65.0
01/28/2018,30.1,31.8,30.1,30.7,51054.0,101.0
01/29/2018,31.6,31.6,30.7,31.3,35633.0,59.0
01/30/2018,31.7,31.7,30.9,31.2,21588.0,55.0
01/31/2018,30.0,30.0,29.2,29.4,27005.0,62.0
02/01/2018,29.5,30.6,29.4,30.2,36738.0,52.0
02/04/2018,28.9,29.7,28.5,28.7,8171.0,27.0
02/05/2018,28.3,29.8,28.0,29.1,38326.0,48.0
02/06/2018,29.8,31.0,29.8,30.2,38410.0,101.0
02/07/2018,29.2,30.4,29.2,30.0,48450.0,63.0
02/08/2018,30.2,30.8,29.0,29.2,79600.0,62.0
02/11/2018,30.0,30.5,29.9,30.1,19950.0,32.0
02/12/2018,31.1,31.1,29.8,30.1,10167.0,38.0
02/13/2018,29.6,31.5,29.6,31.3,36090.0,119.0
02/14/2018,30.4,31.7,30.4,31.1,21717.0,77.0
02/15/2018,31.4,31.4,30.5,30.6,20223.0,59.0
02/18/2018,29.8,31.4,29.7,29.8,30352.0,81.0
02/19/2018,30.6,30.6,29.5,29.6,12227.0,42.0
02/20/2018,29.6,30.8,29.4,29.7,12326.0,36.0
02/22/2018,29.8,30.0,29.6,29.8,13236.0,28.0
02/25/2018,30.0,30.2,29.6,29.9,9666.0,34.0
02/26/2018,30.2,30.3,29.8,29.8,15050.0,23.0
02/27/2018,30.0,30.0,29.8,29.8,1971.0,11.0
02/28/2018,29.8,30.0,29.8,29.9,6893.0,30.0
03/01/2018,29.9,29.9,29.7,29.9,14611.0,33.0
03/04/2018,29.9,30.0,29.8,29.9,31479.0,50.0
03/05/2018,30.0,30.0,29.5,29.6,21056.0,33.0
03/06/2018,29.9,29.9,29.3,29.6,7210.0,12.0
03/07/2018,29.4,29.5,29.2,29.3,3680.0,17.0
03/08/2018,29.8,29.8,29.8,29.8,1034.0,4.0
03/11/2018,29.7,29.7,29.0,29.0,11583.0,34.0
03/12/2018,29.1,29.1,28.5,28.9,4195.0,20.0
03/13/2018,29.2,29.2,27.0,27.3,22882.0,89.0
03/14/2018,26.5,27.5,26.5,26.9,19220.0,54.0
03/15/2018,27.7,27.7,26.0,27.3,6208.0,18.0
03/18/2018,27.5,27.7,27.0,27.1,23550.0,54.0
03/19/2018,28.4,28.4,25.0,26.3,67526.0,110.0
03/20/2018,26.6,26.6,26.0,26.0,8352.0,29.0
03/21/2018,26.9,26.9,26.0,26.0,11326.0,31.0
03/22/2018,26.0,26.1,25.9,26.0,14155.0,32.0
03/25/2018,26.5,26.5,25.9,25.9,30228.0,81.0
03/27/2018,25.0,26.0,24.2,25.5,4989.0,15.0
03/28/2018,25.9,25.9,24.9,25.4,32375.0,89.0
03/29/2018,27.9,27.9,26.0,26.5,12655.0,37.0
04/01/2018,26.5,28.3,26.0,26.8,59792.0,138.0
04/02/2018,26.8,27.1,25.8,26.6,10394.0,34.0
04/03/2018,27.7,27.7,25.6,25.9,43367.0,106.0
04/04/2018,27.3,27.3,26.1,26.4,6453.0,24.0
04/05/2018,27.3,27.3,26.0,26.7,120306.0,107.0
04/08/2018,27.0,27.2,26.3,26.7,56070.0,93.0
04/09/2018,26.2,27.1,26.2,27.0,24972.0,60.0
04/10/2018,26.4,28.0,26.1,26.2,36631.0,67.0
04/11/2018,27.3,27.3,26.1,26.4,27986.0,38.0
04/12/2018,26.0,27.0,26.0,26.3,14499.0,24.0
04/15/2018,27.7,27.7,26.1,26.1,20086.0,44.0
04/16/2018,26.1,26.1,25.7,25.9,16641.0,35.0
04/17/2018,26.4,26.9,26.1,26.5,7455.0,18.0
04/18/2018,26.9,26.9,26.2,26.5,34516.0,68.0
04/19/2018,26.5,26.5,25.8,25.9,31524.0,64.0
04/22/2018,25.8,26.1,25.1,25.5,32460.0,60.0
04/23/2018,26.1,26.1,25.4,25.5,25025.0,73.0
04/24/2018,26.5,26.5,25.4,25.4,12999.0,52.0
04/25/2018,26.0,26.4,25.0,25.3,73321.0,134.0
04/26/2018,25.3,26.3,25.3,25.9,18870.0,39.0
04/30/2018,25.1,25.1,23.4,23.5,208737.0,224.0
05/03/2018,23.6,24.6,23.0,23.1,55730.0,85.0
05/06/2018,24.3,24.3,22.5,22.7,44493.0,95.0
05/07/2018,23.8,23.8,22.7,23.1,8559.0,23.0
05/08/2018,23.1,23.2,22.2,22.3,39700.0,61.0
05/09/2018,22.0,23.8,22.0,23.2,31531.0,66.0
05/10/2018,22.7,23.2,22.0,22.2,71783.0,111.0
05/13/2018,22.9,23.5,22.9,23.4,15141.0,60.0
05/14/2018,24.9,24.9,23.5,24.3,14566.0,55.0
05/15/2018,24.0,24.2,23.9,24.0,10278.0,37.0
05/16/2018,23.5,24.5,23.5,24.0,18626.0,45.0
05/17/2018,24.0,24.8,24.0,24.4,32800.0,84.0
05/20/2018,24.3,24.3,23.4,23.6,15220.0,24.0
05/21/2018,23.0,23.6,23.0,23.2,8270.0,19.0
05/22/2018,23.0,23.6,23.0,23.4,18572.0,32.0
05/23/2018,23.9,23.9,23.0,23.1,6494.0,17.0
05/24/2018,23.9,24.1,22.5,23.0,11150.0,25.0
05/27/2018,22.5,23.6,22.5,23.0,2071.0,12.0
05/28/2018,22.8,23.1,22.8,23.0,10411.0,21.0
05/29/2018,23.5,23.5,22.7,22.8,11894.0,28.0
05/30/2018,22.8,23.6,22.8,23.1,4002.0,8.0
05/31/2018,22.7,23.1,22.7,23.1,6756.0,28.0
06/03/2018,23.0,23.1,22.6,22.9,1633.0,8.0
06/04/2018,22.5,23.0,22.5,22.7,2650.0,7.0
06/05/2018,22.0,23.7,22.0,22.3,21152.0,47.0
06/06/2018,23.0,23.2,22.7,22.9,29843.0,48.0
06/07/2018,23.2,23.2,22.9,23.1,9902.0,34.0
06/10/2018,23.1,23.1,22.3,22.5,21551.0,32.0
06/11/2018,22.5,22.6,21.9,22.0,49086.0,88.0
06/12/2018,22.0,22.3,22.0,22.2,37244.0,44.0
