date,open,high,low,close,volume,trade
01/01/2018,24.3,24.3,22.5,22.7,28421.0,59.0
01/02/2018,24.3,24.3,22.5,22.7,28421.0,5.0
01/03/2018,23.1,23.2,23.0,23.1,2614.0,8.0
01/04/2018,24.0,24.0,23.0,23.1,5316.0,11.0
01/07/2018,23.1,23.2,23.1,23.1,5107.0,6.0
01/08/2018,23.1,23.1,23.0,23.1,1307.0,7.0
01/09/2018,23.1,23.7,23.1,23.3,3247.0,8.0
01/10/2018,23.3,23.8,23.3,23.6,24732.0,27.0
01/11/2018,23.6,23.6,23.0,23.3,5211.0,12.0
01/14/2018,23.0,23.0,22.9,23.0,2834.0,6.0
01/15/2018,23.0,23.0,22.7,22.8,1424.0,3.0
01/16/2018,22.8,23.1,22.3,22.8,5083.0,12.0
01/17/2018,23.4,23.4,22.8,23.1,6038.0,13.0
01/18/2018,23.0,23.0,22.4,22.7,1223.0,7.0
01/21/2018,23.4,23.4,22.5,22.7,1890.0,4.0
01/22/2018,21.5,22.3,21.5,22.2,1311.0,4.0
01/23/2018,22.1,22.4,22.1,22.2,5820.0,7.0
01/24/2018,21.5,22.2,21.5,21.9,1423.0,5.0
01/25/2018,21.5,23.5,21.1,21.5,2771.0,11.0
01/28/2018,21.2,21.5,21.2,21.4,2288.0,5.0
01/29/2018,21.6,22.0,21.3,21.7,4804.0,5.0
01/30/2018,21.6,21.6,21.5,21.6,1987.0,6.0
01/31/2018,21.2,21.2,21.1,21.1,6101.0,9.0
02/01/2018,21.2,21.2,21.1,21.1,6101.0,0.0
02/04/2018,20.9,21.1,20.9,21.0,3791.0,4.0
02/05/2018,20.5,20.5,20.5,20.5,5338.0,8.0
02/06/2018,20.6,22.5,20.6,22.0,4084.0,6.0
02/07/2018,20.6,22.5,20.6,22.0,4084.0,0.0
02/08/2018,20.9,24.0,20.9,23.8,24545.0,37.0
02/11/2018,23.0,23.0,22.2,22.4,10973.0,19.0
02/12/2018,22.7,23.0,22.5,22.9,8871.0,11.0
02/13/2018,22.5,22.5,22.5,22.5,2555.0,2.0
02/14/2018,23.2,23.2,22.8,22.8,1950.0,8.0
02/15/2018,23.0,23.3,22.2,22.5,4227.0,17.0
02/18/2018,22.5,22.6,22.1,22.4,4316.0,13.0
02/19/2018,23.9,23.9,22.3,23.2,920.0,2.0
02/20/2018,23.9,23.9,22.3,23.2,920.0,0.0
02/22/2018,22.3,22.3,22.2,22.2,877.0,3.0
02/25/2018,23.8,23.8,21.9,22.2,3734.0,16.0
02/26/2018,21.5,21.5,20.5,20.6,8616.0,27.0
02/27/2018,20.5,20.6,20.4,20.5,6238.0,10.0
02/28/2018,20.0,20.3,20.0,20.1,2016.0,8.0
03/01/2018,20.1,20.3,20.1,20.1,1420.0,6.0
03/04/2018,20.9,22.0,20.6,21.4,11889.0,18.0
03/05/2018,21.5,21.9,20.8,21.6,1929.0,5.0
03/06/2018,20.8,21.6,20.5,20.7,8740.0,11.0
03/07/2018,20.5,20.5,20.5,20.5,250.0,1.0
03/08/2018,20.5,21.0,20.0,20.2,8542.0,16.0
03/11/2018,20.5,21.0,20.0,20.2,8542.0,0.0
03/12/2018,19.9,19.9,19.9,19.9,1000.0,3.0
03/13/2018,19.4,20.0,19.4,19.6,1512.0,11.0
03/14/2018,19.2,19.5,19.0,19.1,5910.0,20.0
03/15/2018,19.3,20.0,19.3,19.7,5090.0,8.0
03/18/2018,19.3,19.9,19.3,19.3,5649.0,7.0
03/19/2018,19.3,19.9,19.3,19.3,5649.0,0.0
03/20/2018,19.0,19.1,19.0,19.1,2001.0,5.0
03/21/2018,19.2,19.2,18.5,18.7,6617.0,21.0
03/22/2018,18.4,18.6,18.2,18.4,7687.0,23.0
03/25/2018,18.3,18.3,18.0,18.2,1653.0,3.0
03/27/2018,18.0,18.0,17.6,17.7,3617.0,5.0
