date,open,high,low,close,volume,trade
01/01/2018,25.7,25.7,25.4,25.4,2200.0,2.0
01/02/2018,25.7,25.7,25.4,25.4,2200.0,25.0
01/03/2018,25.1,25.7,25.0,25.1,23100.0,8.0
01/04/2018,26.0,26.0,25.0,25.1,5477.0,6.0
01/07/2018,25.4,25.4,24.5,24.6,8558.0,32.0
01/08/2018,24.4,25.1,24.3,24.5,2000.0,5.0
01/09/2018,25.8,25.9,25.1,25.7,2510.0,11.0
01/10/2018,26.0,26.0,24.6,25.0,151528.0,55.0
01/11/2018,25.4,25.4,24.9,25.0,58587.0,8.0
01/14/2018,24.9,24.9,24.8,24.9,46800.0,9.0
01/15/2018,25.0,25.4,24.4,24.9,12100.0,13.0
01/16/2018,26.2,26.2,24.8,25.0,15011.0,39.0
01/17/2018,25.4,25.4,24.5,25.4,4120.0,4.0
01/18/2018,24.3,25.5,24.3,25.5,1783.0,5.0
01/21/2018,24.7,25.3,24.6,24.7,18101.0,28.0
01/22/2018,23.8,23.8,23.8,23.8,2400.0,1.0
01/23/2018,23.8,23.8,23.8,23.8,2400.0,0.0
01/24/2018,24.0,24.0,24.0,24.0,1700.0,2.0
01/25/2018,23.8,23.8,23.8,23.8,500.0,1.0
01/28/2018,23.8,23.8,22.6,23.3,3889.0,5.0
01/29/2018,24.0,24.0,23.0,23.6,2140.0,3.0
01/30/2018,24.5,24.5,23.1,23.4,18019.0,18.0
01/31/2018,23.4,23.4,23.4,23.4,2000.0,1.0
02/01/2018,22.2,23.9,22.2,23.9,20622.0,16.0
02/04/2018,22.8,22.8,22.8,22.8,1000.0,1.0
02/05/2018,23.0,23.0,22.1,22.8,6200.0,2.0
02/06/2018,23.3,25.0,23.3,24.0,78404.0,28.0
02/07/2018,23.3,25.0,23.3,24.0,78404.0,0.0
02/08/2018,25.6,25.6,24.7,24.7,1201.0,4.0
02/11/2018,24.9,25.0,24.9,25.0,4500.0,8.0
02/12/2018,24.2,24.2,24.2,24.2,1020.0,5.0
02/13/2018,24.1,24.3,24.0,24.0,4489.0,6.0
02/14/2018,23.6,24.1,23.6,24.1,2056.0,3.0
02/15/2018,23.7,25.1,23.7,24.7,116547.0,21.0
