date,open,high,low,close,volume,trade
03/06/2024,22.0,22.0,22.0,22.0,,31.0
03/07/2024,24.2,24.2,24.2,24.2,,43.0
03/10/2024,26.6,26.6,26.6,26.6,,36.0
03/11/2024,29.2,29.2,29.2,29.2,,54.0
03/12/2024,32.1,32.1,32.1,32.1,,78.0
03/13/2024,35.3,35.3,35.3,35.3,,245.0
03/14/2024,38.8,38.8,38.8,38.8,,575.0
03/18/2024,42.6,42.6,42.6,42.6,,2252.0
03/19/2024,46.8,46.8,39.1,40.8,,97717.0
03/20/2024,41.0,42.0,39.6,41.1,,20678.0
03/21/2024,41.5,45.2,40.8,45.2,,11678.0
03/24/2024,46.5,49.7,46.5,49.7,,22359.0
03/25/2024,53.7,53.7,48.1,51.0,,17965.0
03/27/2024,51.3,52.4,46.1,47.5,,10863.0
03/28/2024,48.1,49.2,45.1,48.2,,7380.0
03/31/2024,49.2,49.3,45.1,45.7,,6154.0
04/01/2024,45.7,46.1,42.2,42.6,,6500.0
04/02/2024,42.6,46.4,41.8,45.3,,4900.0
04/03/2024,45.6,46.2,43.0,43.7,,4818.0
04/04/2024,43.7,44.5,42.7,43.0,,3209.0
04/08/2024,43.6,44.9,43.4,44.2,,2568.0
04/09/2024,44.4,44.7,42.9,43.3,,2658.0
04/15/2024,43.1,43.5,41.1,41.5,,2606.0
04/16/2024,42.0,45.6,40.8,45.6,,4718.0
04/17/2024,47.0,48.9,45.8,46.2,,8572.0
04/18/2024,46.0,50.8,45.6,50.8,,10154.0
04/21/2024,52.1,53.4,48.4,49.5,,9153.0
04/22/2024,49.3,54.3,47.5,52.5,,8469.0
04/23/2024,54.0,57.6,54.0,55.7,,9979.0
04/24/2024,55.6,57.1,53.5,54.5,,8353.0
04/25/2024,54.8,55.5,52.9,52.9,,3201.0
04/28/2024,52.1,56.5,51.4,54.8,,6923.0
04/29/2024,55.0,60.2,54.5,60.0,,9791.0
04/30/2024,61.0,65.5,59.5,60.3,,9376.0
05/02/2024,60.4,65.4,58.7,64.8,,7058.0
05/05/2024,65.3,68.6,65.1,66.1,,6446.0
05/06/2024,66.1,71.3,65.6,68.0,,8426.0
05/07/2024,68.7,71.6,66.0,67.8,,7849.0
05/08/2024,68.0,71.6,67.4,70.0,,7453.0
05/09/2024,71.9,73.8,70.4,72.0,,7502.0
05/12/2024,73.0,78.8,73.0,77.8,,7795.0
05/13/2024,78.8,79.4,75.5,75.5,,5412.0
05/14/2024,75.0,75.4,73.3,73.3,,850.0
05/15/2024,71.2,71.2,71.2,71.2,,99.0
05/16/2024,69.1,72.9,69.1,71.1,,7750.0
05/19/2024,71.1,72.3,69.0,69.0,,548.0
05/20/2024,67.0,67.9,67.0,67.0,,1752.0
05/21/2024,67.0,69.6,65.0,65.0,,3586.0
05/23/2024,63.1,63.6,63.1,63.1,,439.0
05/26/2024,61.3,61.3,61.3,61.3,,88.0
05/27/2024,59.5,60.9,59.5,59.8,,3008.0
05/28/2024,60.5,62.8,58.1,58.1,,3159.0
05/29/2024,56.5,56.5,56.4,56.4,,109.0
05/30/2024,54.8,55.6,54.8,54.8,,1077.0
06/02/2024,53.3,56.7,53.2,53.2,,3982.0
06/03/2024,52.0,58.3,51.7,57.5,,4956.0
06/04/2024,57.5,57.8,55.8,55.8,,3196.0
06/05/2024,54.2,54.3,54.2,54.2,,183.0
06/06/2024,52.6,53.6,52.6,52.9,,1799.0
06/09/2024,53.0,56.0,51.7,52.3,,4645.0
06/10/2024,52.3,54.8,51.3,53.2,,4451.0
06/11/2024,53.4,58.0,53.4,57.2,,5732.0
06/12/2024,57.3,59.2,55.5,55.5,,3565.0
06/13/2024,55.1,56.9,53.9,54.8,,3578.0
06/19/2024,55.4,55.5,53.2,53.8,,0.0
06/20/2024,53.8,57.4,53.8,56.3,,3918.0
06/23/2024,56.5,57.2,54.7,54.7,,2529.0
06/24/2024,53.1,53.9,53.1,53.3,,2373.0
06/25/2024,53.3,54.5,51.8,51.8,,2877.0
06/26/2024,51.7,53.3,50.4,52.8,,3003.0
06/27/2024,52.8,53.5,51.3,51.3,,2614.0
06/30/2024,50.4,50.4,49.8,49.8,,251.0
07/02/2024,48.4,51.7,48.4,50.8,,3488.0
07/03/2024,51.9,52.3,49.3,49.4,,2553.0
07/04/2024,49.1,51.2,49.1,50.7,,3306.0
07/07/2024,51.2,54.9,50.6,54.4,,4673.0
07/08/2024,54.8,58.2,54.2,57.6,,5389.0
07/09/2024,58.0,58.5,55.9,57.2,,4368.0
07/10/2024,57.5,58.5,55.5,55.6,,3599.0
07/11/2024,55.1,56.4,54.0,54.0,,2603.0
07/14/2024,54.2,54.6,52.4,52.4,,2400.0
07/15/2024,52.9,54.7,52.5,53.0,,2613.0
07/16/2024,53.1,53.8,51.5,51.7,,2192.0
07/18/2024,51.7,51.7,50.2,50.3,,1512.0
07/24/2024,48.8,49.7,48.8,48.8,,444.0
07/25/2024,47.5,51.3,47.4,51.0,,1650.0
07/28/2024,51.4,51.7,49.6,49.7,,0.0
07/29/2024,49.7,50.7,48.3,48.3,,1399.0
07/30/2024,48.1,49.3,46.9,48.6,,1239.0
07/31/2024,49.0,50.9,48.2,48.4,,2210.0
08/01/2024,48.5,50.9,47.2,50.6,,3102.0
08/04/2024,49.1,49.1,49.1,49.1,,37.0
08/06/2024,50.0,52.8,47.7,47.7,,1764.0
08/07/2024,46.4,47.5,46.3,46.3,,172.0
08/08/2024,45.0,48.5,45.0,47.0,,3561.0
08/11/2024,48.0,48.9,45.6,45.6,,2307.0
08/12/2024,44.4,45.5,44.3,44.3,,1791.0
08/13/2024,44.5,44.8,43.0,43.0,,1569.0
08/14/2024,43.0,43.0,41.8,41.8,,738.0
08/15/2024,40.7,42.9,40.6,41.3,,3561.0
