date,open,high,low,close,volume,trade
01/01/2018,12.0,12.0,11.7,11.8,37850.0,21.0
01/02/2018,12.0,12.0,11.7,11.7,800.0,22.0
01/03/2018,11.7,11.8,11.5,11.6,536913.0,84.0
01/04/2018,12.0,12.0,11.6,11.6,145889.0,47.0
01/07/2018,11.7,11.8,11.7,11.7,14790.0,11.0
01/08/2018,12.0,12.0,11.6,11.7,83700.0,31.0
01/09/2018,11.8,11.8,11.6,11.7,113956.0,23.0
01/10/2018,11.7,11.7,11.6,11.7,51719.0,18.0
01/11/2018,11.6,11.8,11.6,11.6,122555.0,44.0
01/14/2018,11.6,11.6,11.5,11.5,110660.0,31.0
01/15/2018,11.5,11.5,11.4,11.5,38259.0,19.0
01/16/2018,11.5,11.6,11.3,11.4,180769.0,70.0
01/17/2018,11.5,11.5,11.3,11.3,79009.0,29.0
01/18/2018,11.3,11.5,11.3,11.4,28620.0,21.0
01/21/2018,11.4,11.4,11.3,11.3,175055.0,42.0
01/22/2018,11.3,11.4,11.2,11.2,266973.0,85.0
01/23/2018,11.3,11.5,11.2,11.2,513199.0,87.0
01/24/2018,11.0,11.3,11.0,11.1,137044.0,66.0
01/25/2018,11.3,11.3,11.0,11.0,116730.0,53.0
01/28/2018,11.0,11.1,10.9,11.0,746987.0,127.0
01/29/2018,11.0,11.3,10.8,10.9,526110.0,163.0
01/30/2018,11.0,11.0,10.8,10.8,178990.0,74.0
01/31/2018,10.7,11.0,10.6,10.8,183229.0,93.0
02/01/2018,10.7,10.8,10.6,10.7,207050.0,101.0
02/04/2018,10.7,10.7,10.5,10.5,257220.0,58.0
02/05/2018,10.5,10.6,10.4,10.5,278630.0,76.0
02/06/2018,10.6,10.7,10.5,10.5,191580.0,79.0
02/07/2018,10.5,10.6,10.5,10.5,170600.0,22.0
02/08/2018,10.6,10.7,10.5,10.5,90020.0,22.0
02/11/2018,10.7,10.9,10.7,10.8,121130.0,58.0
02/12/2018,10.9,10.9,10.6,10.8,232049.0,83.0
02/13/2018,10.7,10.8,10.6,10.6,133539.0,55.0
02/14/2018,10.7,10.9,10.7,10.8,45274.0,29.0
02/15/2018,10.8,10.8,10.7,10.8,58036.0,27.0
02/18/2018,10.7,10.8,10.7,10.7,47800.0,21.0
02/19/2018,10.7,10.7,10.6,10.7,69230.0,13.0
02/20/2018,10.7,10.7,10.5,10.5,395233.0,75.0
02/22/2018,10.6,10.6,10.5,10.5,115803.0,27.0
02/25/2018,10.5,10.5,10.4,10.5,47200.0,19.0
02/26/2018,10.6,10.6,10.4,10.5,141769.0,21.0
02/27/2018,10.5,10.6,10.5,10.5,62909.0,17.0
02/28/2018,10.5,10.6,10.5,10.6,57800.0,21.0
03/01/2018,10.6,10.7,10.5,10.5,21640.0,5.0
03/04/2018,10.6,10.7,10.6,10.7,53500.0,12.0
03/05/2018,10.6,10.7,10.6,10.6,40995.0,10.0
03/06/2018,10.7,10.8,10.6,10.7,105050.0,8.0
03/07/2018,10.7,10.7,10.6,10.7,11030.0,4.0
03/08/2018,10.6,10.8,10.5,10.6,228244.0,19.0
03/11/2018,10.6,10.6,10.6,10.6,30770.0,13.0
03/12/2018,10.4,10.5,10.4,10.5,10809.0,10.0
03/13/2018,10.5,10.5,10.4,10.5,63230.0,18.0
03/14/2018,10.5,10.6,10.5,10.6,117705.0,13.0
03/15/2018,10.6,10.7,10.6,10.7,168631.0,55.0
03/18/2018,10.6,10.7,10.6,10.6,109350.0,33.0
03/19/2018,10.6,10.8,10.6,10.7,370676.0,129.0
03/20/2018,10.8,11.4,10.7,11.1,742403.0,264.0
03/21/2018,11.3,11.3,10.5,10.6,221059.0,81.0
03/22/2018,10.6,10.7,10.5,10.6,285485.0,83.0
03/25/2018,10.7,10.7,10.5,10.6,133289.0,30.0
03/27/2018,10.5,10.6,10.5,10.5,122009.0,25.0
03/28/2018,10.6,10.6,10.5,10.5,69336.0,15.0
03/29/2018,10.5,10.8,10.5,10.7,120753.0,53.0
04/01/2018,10.8,10.8,10.6,10.7,408093.0,47.0
04/02/2018,10.7,11.0,10.7,10.9,230040.0,54.0
04/03/2018,10.8,10.9,10.8,10.8,116293.0,32.0
04/04/2018,10.8,10.9,10.7,10.9,145755.0,29.0
04/05/2018,10.7,10.7,10.3,10.7,90566.0,76.0
04/08/2018,10.7,10.8,10.7,10.8,43100.0,16.0
04/09/2018,10.9,10.9,10.7,10.7,56109.0,20.0
04/10/2018,10.8,10.8,10.6,10.7,72066.0,25.0
04/11/2018,10.6,10.8,10.6,10.7,37798.0,12.0
04/12/2018,10.7,10.8,10.7,10.7,196951.0,37.0
04/15/2018,10.7,10.7,10.6,10.6,62300.0,19.0
04/16/2018,10.6,10.7,10.6,10.6,64053.0,27.0
04/17/2018,10.6,10.8,10.6,10.8,68534.0,39.0
04/18/2018,10.8,10.9,10.8,10.8,73762.0,16.0
04/19/2018,10.8,10.8,10.7,10.8,89973.0,42.0
04/22/2018,10.8,10.8,10.6,10.7,95080.0,23.0
04/23/2018,10.7,10.8,10.6,10.7,25623.0,17.0
04/24/2018,10.7,10.8,10.6,10.7,828865.0,35.0
04/25/2018,10.8,10.9,10.8,10.8,60541.0,22.0
04/26/2018,10.8,10.9,10.8,10.9,176622.0,37.0
04/30/2018,10.9,10.9,10.8,10.8,59450.0,40.0
05/03/2018,10.8,10.9,10.8,10.8,16839.0,14.0
05/06/2018,10.8,10.9,10.8,10.8,59814.0,26.0
05/07/2018,10.8,11.0,10.8,10.9,122283.0,62.0
05/08/2018,10.9,11.2,10.9,11.1,215936.0,110.0
05/09/2018,11.1,11.2,11.0,11.1,94720.0,61.0
05/10/2018,11.2,11.2,10.9,11.0,260180.0,74.0
05/13/2018,11.0,11.1,10.9,10.9,50098.0,50.0
05/14/2018,11.0,11.0,10.8,10.9,168449.0,70.0
05/15/2018,11.0,11.2,10.9,10.9,36236.0,33.0
05/16/2018,11.0,11.0,10.8,10.9,45260.0,76.0
05/17/2018,10.9,10.9,10.7,10.8,46751.0,39.0
05/20/2018,10.8,10.8,10.6,10.7,94769.0,74.0
05/21/2018,10.8,10.9,10.7,10.8,38255.0,30.0
05/22/2018,10.7,11.0,10.7,10.8,73723.0,33.0
05/23/2018,10.8,11.0,10.7,10.9,84772.0,39.0
05/24/2018,10.9,10.9,10.8,10.8,29250.0,17.0
05/27/2018,11.0,11.1,10.7,10.7,137091.0,74.0
05/28/2018,10.9,11.0,10.8,10.9,86590.0,24.0
05/29/2018,10.9,10.9,10.7,10.8,121288.0,48.0
05/30/2018,10.9,10.9,10.7,10.8,156714.0,56.0
05/31/2018,10.8,10.9,10.8,10.9,141005.0,31.0
06/03/2018,10.9,11.0,10.8,10.9,118401.0,50.0
06/04/2018,10.9,10.9,10.8,10.8,15169.0,16.0
06/05/2018,10.9,10.9,10.8,10.8,52134.0,39.0
06/06/2018,10.9,11.0,10.7,10.8,69051.0,42.0
06/07/2018,10.9,11.0,10.8,10.8,19485.0,35.0
06/10/2018,10.9,11.0,10.8,10.8,24990.0,25.0
06/11/2018,10.9,11.0,10.8,10.8,70603.0,31.0
06/12/2018,10.9,11.0,10.9,10.9,20952.0,21.0
06/18/2018,10.9,10.9,10.8,10.9,27500.0,17.0
06/19/2018,10.8,10.9,10.8,10.9,9075.0,11.0
06/20/2018,10.8,10.9,10.8,10.9,7154.0,18.0
06/21/2018,10.9,11.0,10.8,10.9,208313.0,72.0
06/24/2018,10.9,11.0,10.8,10.9,294663.0,103.0
06/25/2018,11.0,11.0,10.8,10.8,280163.0,70.0
06/26/2018,10.8,11.0,10.8,10.9,135676.0,54.0
06/27/2018,11.0,11.0,10.8,10.9,65711.0,54.0
06/28/2018,10.9,10.9,10.8,10.8,44397.0,24.0
07/02/2018,10.8,10.9,10.7,10.8,73810.0,30.0
07/03/2018,10.8,10.9,10.7,10.7,106539.0,57.0
07/04/2018,10.8,10.9,10.7,10.8,75314.0,37.0
07/05/2018,10.8,11.0,10.7,10.8,168119.0,55.0
07/08/2018,10.8,10.9,10.8,10.8,60396.0,20.0
07/09/2018,10.8,10.9,10.7,10.8,101888.0,40.0
07/10/2018,10.8,10.9,10.8,10.8,78725.0,29.0
07/11/2018,10.8,10.9,10.8,10.8,144940.0,53.0
07/12/2018,10.8,10.8,10.7,10.8,84578.0,38.0
07/15/2018,10.8,10.8,10.7,10.7,57750.0,28.0
07/16/2018,10.7,10.8,10.7,10.8,46618.0,20.0
07/17/2018,10.8,10.9,10.7,10.8,97940.0,28.0
07/18/2018,10.8,10.8,10.6,10.7,77695.0,38.0
07/19/2018,10.7,10.8,10.6,10.8,332575.0,69.0
07/22/2018,10.8,10.8,10.6,10.7,100405.0,58.0
07/23/2018,10.7,10.8,10.7,10.7,74798.0,53.0
07/24/2018,10.7,10.7,10.6,10.7,178103.0,103.0
07/25/2018,10.7,10.7,10.6,10.6,142911.0,51.0
07/26/2018,10.6,10.7,10.5,10.6,121242.0,61.0
07/29/2018,10.6,10.7,10.5,10.6,76012.0,38.0
07/30/2018,10.6,10.6,10.6,10.6,77672.0,
07/31/2018,10.7,10.7,10.5,10.6,103369.0,57.0
08/01/2018,10.7,10.7,10.5,10.6,82968.0,49.0
08/02/2018,10.7,10.8,10.5,10.8,74872.0,40.0
08/05/2018,10.6,11.0,10.6,10.9,146298.0,49.0
08/06/2018,10.9,11.0,10.8,10.9,50515.0,29.0
08/07/2018,11.1,11.2,10.9,11.0,320740.0,118.0
08/08/2018,10.9,11.0,10.8,10.9,165508.0,74.0
08/09/2018,10.8,11.1,10.8,11.0,289477.0,71.0
08/12/2018,11.1,11.1,10.9,10.9,218539.0,53.0
08/13/2018,11.0,11.0,10.9,10.9,104727.0,51.0
08/14/2018,10.9,10.9,10.8,10.9,155308.0,53.0
08/16/2018,10.9,11.0,10.8,10.9,210964.0,60.0
08/19/2018,10.9,11.0,10.9,11.0,116225.0,28.0
08/20/2018,11.0,11.1,10.9,11.0,101360.0,32.0
08/26/2018,10.9,11.1,10.9,11.0,150600.0,42.0
08/27/2018,11.0,11.1,11.0,11.0,232260.0,101.0
08/28/2018,11.0,11.1,10.9,11.0,363148.0,57.0
08/29/2018,11.0,11.2,10.9,11.0,731132.0,125.0
08/30/2018,11.0,11.0,10.9,10.9,1221732.0,146.0
09/03/2018,11.0,11.0,10.9,10.9,1221732.0,0.0
09/04/2018,9.9,9.9,9.9,9.9,51173.0,36.0
09/05/2018,9.7,9.8,9.6,9.7,354692.0,75.0
09/06/2018,9.7,9.8,9.6,9.7,151810.0,51.0
09/09/2018,9.5,9.6,9.4,9.5,305205.0,123.0
09/10/2018,9.5,9.6,9.5,9.6,39015.0,19.0
09/11/2018,9.5,9.5,9.4,9.5,126542.0,40.0
09/12/2018,9.5,9.5,9.4,9.5,37722.0,22.0
09/13/2018,9.5,9.5,9.3,9.4,108959.0,56.0
09/16/2018,9.4,9.5,9.3,9.4,40755.0,29.0
09/17/2018,9.4,9.4,9.3,9.4,58110.0,22.0
09/18/2018,9.4,9.4,9.3,9.3,60390.0,50.0
