date,open,high,low,close,volume,trade
01/01/2018,143.0,148.4,143.0,147.8,19267.0,269.0
01/02/2018,148.5,151.3,147.9,148.9,4225.0,287.0
01/03/2018,144.6,144.6,139.1,141.2,6900.0,164.0
01/04/2018,141.2,144.6,140.4,141.9,6489.0,88.0
01/07/2018,143.6,143.7,140.5,143.0,4930.0,72.0
01/08/2018,144.0,147.6,144.0,146.8,12435.0,186.0
01/09/2018,149.5,161.4,149.5,158.2,48633.0,350.0
01/10/2018,166.7,172.4,158.7,162.8,273444.0,1901.0
01/11/2018,161.9,161.9,155.2,156.5,120924.0,866.0
01/14/2018,157.1,166.4,157.1,164.0,115343.0,982.0
01/15/2018,165.5,166.5,157.1,158.0,67625.0,630.0
01/16/2018,157.6,159.8,154.3,155.0,75878.0,752.0
01/17/2018,157.1,158.6,149.5,150.7,88429.0,870.0
01/18/2018,152.3,153.9,149.0,151.6,56403.0,554.0
01/21/2018,152.3,155.0,138.3,147.1,96275.0,678.0
01/22/2018,143.0,150.3,143.0,148.0,66869.0,589.0
01/23/2018,147.6,157.0,146.7,156.0,122799.0,929.0
01/24/2018,156.2,158.0,149.9,151.1,64795.0,635.0
01/25/2018,152.2,156.2,150.1,155.0,53374.0,491.0
01/28/2018,155.6,156.7,150.5,150.8,100626.0,700.0
01/29/2018,150.1,151.4,145.7,147.3,51076.0,415.0
01/30/2018,149.2,152.4,143.8,144.5,54733.0,551.0
01/31/2018,146.6,149.3,142.9,144.5,41770.0,367.0
02/01/2018,147.6,148.3,139.3,143.8,50713.0,414.0
02/04/2018,144.7,144.7,133.8,135.5,49751.0,412.0
02/05/2018,138.1,139.6,132.5,134.2,57990.0,541.0
02/06/2018,137.1,137.1,133.8,135.6,30688.0,251.0
02/07/2018,135.4,140.8,133.9,137.8,39168.0,314.0
02/08/2018,138.1,138.9,135.7,136.2,21324.0,256.0
02/11/2018,139.0,141.7,137.1,139.0,46441.0,351.0
02/12/2018,141.8,147.0,138.3,145.5,65513.0,509.0
02/13/2018,149.0,149.4,142.4,143.4,80447.0,687.0
02/14/2018,146.4,146.4,139.3,141.0,55518.0,510.0
02/15/2018,145.1,145.1,138.1,138.7,44103.0,387.0
02/18/2018,138.1,139.0,134.8,135.5,44803.0,328.0
