date,open,high,low,close,volume,trade
01/01/2018,153.9,163.5,153.1,160.7,93405.0,634.0
01/02/2018,162.6,167.0,162.6,166.1,53311.0,774.0
01/03/2018,167.8,167.8,154.0,159.5,68894.0,539.0
01/04/2018,159.3,161.7,152.2,161.1,49167.0,311.0
01/07/2018,161.1,165.0,161.0,163.5,24373.0,229.0
01/08/2018,166.0,166.9,163.9,165.7,33454.0,386.0
01/09/2018,166.1,170.8,166.1,169.7,47055.0,620.0
01/10/2018,171.7,179.1,171.7,177.5,57684.0,627.0
01/11/2018,181.6,183.0,169.8,172.1,55794.0,533.0
01/14/2018,172.2,173.7,168.9,170.0,79554.0,520.0
01/15/2018,167.5,172.2,167.5,171.0,32431.0,498.0
01/16/2018,174.2,179.5,173.5,179.0,55670.0,598.0
01/17/2018,179.8,186.1,178.7,184.9,75591.0,763.0
01/18/2018,187.8,193.4,187.2,192.1,59332.0,488.0
01/21/2018,193.8,200.0,193.8,198.3,57640.0,503.0
01/22/2018,199.8,199.9,197.3,198.6,56105.0,471.0
01/23/2018,198.8,198.9,191.7,193.1,45495.0,397.0
01/24/2018,193.6,199.1,193.6,198.4,39262.0,388.0
01/25/2018,199.1,201.6,198.8,200.7,45336.0,461.0
01/28/2018,199.6,199.7,195.7,196.4,33720.0,299.0
01/29/2018,196.5,199.1,195.7,197.7,19217.0,218.0
01/30/2018,197.7,197.7,180.5,181.5,45360.0,468.0
01/31/2018,186.9,186.9,171.4,173.7,59453.0,441.0
02/01/2018,176.7,191.0,176.7,188.0,31691.0,312.0
02/04/2018,191.3,192.8,186.9,187.0,36399.0,411.0
02/05/2018,184.4,192.9,184.3,190.3,30557.0,276.0
02/06/2018,198.3,200.7,190.4,200.1,42420.0,391.0
02/07/2018,199.9,207.0,197.4,205.1,34247.0,406.0
02/08/2018,209.6,216.6,205.2,215.9,68184.0,798.0
02/11/2018,215.9,226.0,215.9,224.7,59954.0,584.0
02/12/2018,222.6,231.7,222.2,230.4,60452.0,614.0
02/13/2018,231.7,239.9,231.5,238.5,86759.0,922.0
02/14/2018,241.0,252.2,240.9,249.4,58852.0,658.0
02/15/2018,257.4,257.4,243.5,245.3,44330.0,421.0
02/18/2018,246.0,246.0,230.4,231.9,43996.0,445.0
02/19/2018,233.9,234.8,227.8,232.1,38314.0,420.0
02/20/2018,230.4,231.0,211.8,212.2,52034.0,872.0
02/22/2018,216.5,216.5,194.3,204.7,85772.0,972.0
02/25/2018,207.0,221.8,207.0,216.5,61801.0,465.0
02/26/2018,220.0,229.8,219.7,229.0,21682.0,266.0
02/27/2018,230.5,241.7,230.5,238.7,36810.0,532.0
02/28/2018,242.6,242.6,232.3,239.2,22696.0,303.0
03/01/2018,243.5,247.0,234.8,242.3,20005.0,250.0
03/04/2018,246.2,246.4,236.5,238.8,25278.0,245.0
03/05/2018,235.7,238.7,231.3,236.5,13438.0,155.0
03/06/2018,235.7,235.7,227.8,230.2,16592.0,238.0
03/07/2018,230.4,233.0,224.4,230.3,30375.0,286.0
03/08/2018,231.3,234.5,228.7,230.2,21639.0,279.0
03/11/2018,231.3,235.7,230.4,231.4,17443.0,178.0
03/12/2018,234.7,234.8,230.4,231.8,51432.0,349.0
03/13/2018,231.6,237.8,231.6,233.4,50810.0,358.0
03/14/2018,234.2,234.8,232.2,234.3,15908.0,183.0
03/15/2018,238.3,243.5,235.1,238.0,52491.0,354.0
03/18/2018,243.5,243.5,238.3,240.3,18372.0,228.0
03/19/2018,242.0,242.0,236.2,237.0,5986.0,86.0
03/20/2018,237.4,237.4,233.9,235.7,12149.0,105.0
03/21/2018,235.1,238.2,233.9,235.1,14341.0,142.0
03/22/2018,234.4,237.3,233.1,236.7,30362.0,235.0
03/25/2018,245.1,245.1,236.0,236.3,3137.0,26.0
03/27/2018,234.8,235.0,219.4,230.4,7537.0,95.0
03/28/2018,233.0,233.0,223.7,227.6,18613.0,171.0
03/29/2018,231.1,233.3,223.2,231.0,18981.0,203.0
04/01/2018,227.9,232.1,227.8,231.7,10758.0,119.0
04/02/2018,234.8,234.8,230.5,232.0,13751.0,196.0
04/03/2018,234.8,239.0,233.1,234.3,14057.0,167.0
04/04/2018,233.0,240.0,233.0,239.0,27297.0,260.0
04/05/2018,240.7,240.8,237.5,238.0,6052.0,94.0
04/08/2018,236.6,239.2,236.6,237.7,5805.0,86.0
04/09/2018,232.3,239.1,232.3,234.1,10830.0,101.0
04/10/2018,237.4,237.4,234.1,236.0,3008.0,52.0
04/11/2018,236.7,237.0,233.0,235.5,10091.0,108.0
04/12/2018,235.6,235.6,228.8,231.0,5487.0,49.0
04/15/2018,231.3,233.0,225.2,226.2,5981.0,109.0
04/16/2018,226.9,226.9,221.7,224.1,8620.0,87.0
04/17/2018,224.3,238.7,224.3,234.3,19390.0,163.0
04/18/2018,236.5,237.4,231.8,232.8,5880.0,52.0
04/19/2018,234.7,234.8,232.0,233.8,7907.0,107.0
04/22/2018,238.7,238.7,230.5,233.7,20710.0,221.0
04/23/2018,236.0,237.3,229.6,231.2,33094.0,276.0
04/24/2018,233.0,235.0,229.7,230.9,13636.0,114.0
04/25/2018,231.3,234.7,226.2,229.9,8904.0,121.0
04/26/2018,230.4,230.4,226.1,226.3,8099.0,101.0
04/30/2018,226.6,229.6,226.1,227.0,4481.0,66.0
05/03/2018,226.1,229.6,218.3,226.6,16056.0,157.0
05/06/2018,230.4,230.4,218.8,224.3,10247.0,71.0
05/07/2018,228.7,228.7,223.5,225.5,14363.0,99.0
