date,open,high,low,close,volume,trade
01/01/2018,25.6,25.8,25.5,25.7,155571.0,159.0
01/02/2018,25.6,26.1,25.6,26.0,158653.0,273.0
01/03/2018,26.0,26.4,26.0,26.2,569282.0,299.0
01/04/2018,26.4,26.5,25.9,26.1,359243.0,182.0
01/07/2018,26.3,26.3,25.9,26.0,108646.0,105.0
01/08/2018,26.3,26.7,25.7,26.0,372921.0,196.0
01/09/2018,26.0,26.2,25.8,26.1,191757.0,112.0
01/10/2018,26.1,26.1,25.6,25.8,117499.0,64.0
01/11/2018,26.0,26.2,25.7,25.9,156863.0,123.0
01/14/2018,26.6,26.6,25.5,25.6,195370.0,132.0
01/15/2018,25.8,25.8,25.5,25.5,96649.0,60.0
01/16/2018,25.4,25.9,25.4,25.7,145799.0,132.0
01/17/2018,26.2,26.2,25.5,25.6,112252.0,126.0
01/18/2018,25.8,26.4,25.7,25.8,277123.0,134.0
01/21/2018,25.7,26.2,25.7,25.8,322441.0,70.0
01/22/2018,25.8,26.1,25.6,25.9,158865.0,110.0
01/23/2018,26.1,26.3,25.8,26.0,237065.0,216.0
01/24/2018,26.0,26.1,25.7,25.8,138179.0,70.0
01/25/2018,25.9,26.0,25.5,25.6,154794.0,92.0
01/28/2018,25.7,25.7,25.3,25.4,133043.0,68.0
01/29/2018,25.6,25.7,25.2,25.3,131495.0,74.0
01/30/2018,25.8,25.8,25.4,25.5,90590.0,77.0
01/31/2018,25.6,25.6,24.9,25.1,134544.0,85.0
02/01/2018,25.0,25.3,24.7,24.9,34101.0,45.0
02/04/2018,24.7,25.0,24.1,24.2,93095.0,71.0
02/05/2018,24.6,24.6,22.7,24.1,339072.0,222.0
02/06/2018,24.5,24.6,24.1,24.3,46063.0,46.0
02/07/2018,24.1,24.3,24.0,24.1,23236.0,34.0
02/08/2018,24.4,24.4,23.7,23.8,79950.0,70.0
02/11/2018,24.2,25.5,24.2,25.1,189332.0,132.0
02/12/2018,25.4,25.9,24.6,25.2,229032.0,104.0
02/13/2018,25.4,25.4,24.6,24.8,33932.0,44.0
02/14/2018,25.2,25.2,24.9,25.1,149739.0,105.0
02/15/2018,25.6,25.6,24.6,24.7,101348.0,97.0
02/18/2018,24.6,25.0,24.3,24.4,81014.0,91.0
02/19/2018,24.4,25.0,24.4,24.5,65565.0,48.0
02/20/2018,24.9,24.9,24.3,24.3,71295.0,81.0
02/22/2018,24.7,24.7,24.1,24.2,117860.0,99.0
02/25/2018,24.1,24.3,23.6,23.9,23168.0,31.0
02/26/2018,23.8,24.3,23.6,24.1,128074.0,105.0
02/27/2018,24.2,24.5,23.6,23.8,114481.0,131.0
02/28/2018,23.7,24.2,23.7,23.8,47527.0,30.0
03/01/2018,24.2,24.6,23.5,23.9,44428.0,61.0
03/04/2018,24.1,24.1,23.5,23.6,54530.0,74.0
03/05/2018,23.5,24.5,23.5,24.5,103787.0,53.0
03/06/2018,24.3,24.9,24.0,24.8,153161.0,149.0
03/07/2018,25.0,25.0,23.9,24.7,75337.0,47.0
03/08/2018,24.6,25.5,24.4,24.5,156637.0,112.0
03/11/2018,24.2,24.2,24.1,24.2,69939.0,51.0
03/12/2018,24.5,24.5,23.9,24.1,28903.0,20.0
03/13/2018,24.6,24.6,23.3,23.4,23989.0,40.0
03/14/2018,24.1,24.1,23.2,23.3,31320.0,34.0
03/15/2018,23.0,23.8,23.0,23.5,53357.0,70.0
03/18/2018,24.2,24.2,23.4,23.6,28625.0,46.0
03/19/2018,23.2,23.5,23.2,23.3,38628.0,26.0
03/20/2018,23.3,23.5,23.0,23.2,36495.0,41.0
03/21/2018,23.0,23.0,22.3,22.7,9548.0,20.0
03/22/2018,23.1,23.1,21.2,21.6,67554.0,90.0
03/25/2018,22.3,22.3,21.8,21.9,76725.0,47.0
03/27/2018,21.5,21.8,21.2,21.6,68437.0,57.0
03/28/2018,21.5,22.1,21.4,22.0,34549.0,65.0
03/29/2018,23.0,23.0,22.0,22.5,43795.0,68.0
04/01/2018,22.8,23.2,22.8,23.0,59741.0,51.0
04/02/2018,23.9,24.0,22.4,23.4,169724.0,68.0
04/03/2018,24.0,24.0,23.0,23.2,42744.0,55.0
04/04/2018,23.0,23.0,22.5,22.6,34979.0,47.0
04/05/2018,23.4,23.4,22.3,22.6,31101.0,32.0
04/08/2018,23.5,23.9,23.5,23.7,122675.0,169.0
04/09/2018,23.9,23.9,23.3,23.7,128204.0,105.0
04/10/2018,23.6,23.8,23.3,23.4,236569.0,124.0
04/11/2018,23.4,25.1,23.4,24.0,146979.0,82.0
04/12/2018,24.0,24.1,23.7,23.9,86646.0,50.0
04/15/2018,23.8,23.9,23.7,23.7,107489.0,64.0
04/16/2018,24.7,25.0,23.7,23.7,141435.0,102.0
04/17/2018,23.7,24.1,23.5,23.7,61349.0,61.0
04/18/2018,23.7,23.8,23.6,23.7,50955.0,44.0
04/19/2018,24.0,24.0,23.2,23.3,61344.0,72.0
04/22/2018,23.6,24.1,23.2,23.3,79079.0,87.0
