date,open,high,low,close,volume,trade
01/01/2018,30.2,30.5,29.9,30.4,351413.0,306.0
01/02/2018,30.3,30.9,30.3,30.8,159023.0,688.0
01/03/2018,31.1,31.2,30.8,31.2,801572.0,646.0
01/04/2018,31.0,31.5,31.0,31.2,555920.0,526.0
01/07/2018,31.2,31.6,31.0,31.1,492035.0,445.0
01/08/2018,30.9,31.2,30.7,30.8,389104.0,357.0
01/09/2018,30.7,30.9,30.3,30.5,507663.0,630.0
01/10/2018,30.2,30.7,30.2,30.3,434044.0,473.0
01/11/2018,30.1,30.7,30.0,30.2,670416.0,573.0
01/14/2018,30.0,30.5,29.8,29.9,354723.0,426.0
01/15/2018,29.8,30.2,29.4,29.6,467774.0,407.0
01/16/2018,29.6,29.9,29.4,29.8,347363.0,426.0
01/17/2018,29.8,30.1,29.3,29.5,430568.0,375.0
01/18/2018,29.7,29.9,29.4,29.7,180779.0,196.0
01/21/2018,29.8,30.3,29.7,29.8,323734.0,341.0
01/22/2018,29.9,30.2,29.8,30.0,335957.0,373.0
01/23/2018,30.4,30.4,29.5,29.7,348682.0,360.0
01/24/2018,30.0,30.0,29.4,29.6,380156.0,374.0
01/25/2018,29.8,30.1,29.7,29.8,229846.0,225.0
01/28/2018,29.8,29.8,29.2,29.4,211235.0,256.0
01/29/2018,29.3,29.4,27.5,28.3,865861.0,752.0
01/30/2018,28.4,28.4,27.5,27.5,400227.0,545.0
01/31/2018,27.4,27.4,26.1,26.4,541779.0,582.0
02/01/2018,26.5,26.8,26.4,26.4,284764.0,350.0
02/04/2018,26.4,26.4,25.3,25.4,382701.0,407.0
02/05/2018,25.7,25.7,23.7,25.3,710101.0,546.0
02/06/2018,25.5,26.0,25.2,25.7,310176.0,344.0
02/07/2018,25.3,25.7,25.0,25.2,423657.0,360.0
02/08/2018,25.0,25.4,25.0,25.1,169082.0,156.0
02/11/2018,25.2,26.4,25.2,26.2,463308.0,613.0
02/12/2018,26.4,26.9,26.2,26.4,338933.0,392.0
02/13/2018,26.4,26.4,25.9,26.1,410503.0,454.0
02/14/2018,26.5,27.3,26.4,27.2,794951.0,824.0
02/15/2018,27.3,27.4,26.9,27.1,494732.0,440.0
02/18/2018,27.3,27.3,26.3,26.4,615449.0,409.0
02/19/2018,26.4,26.6,26.0,26.1,323962.0,332.0
02/20/2018,26.1,26.8,25.8,26.1,302892.0,292.0
02/22/2018,26.2,26.4,25.9,26.2,220164.0,221.0
02/25/2018,26.2,26.3,25.3,25.7,262991.0,246.0
02/26/2018,25.3,25.7,25.0,25.2,291368.0,283.0
02/27/2018,25.5,25.7,25.1,25.3,301710.0,234.0
02/28/2018,25.5,25.6,25.2,25.3,186434.0,195.0
03/01/2018,25.3,25.7,25.2,25.6,197250.0,180.0
03/04/2018,25.7,26.4,25.7,26.3,406158.0,411.0
