date,open,high,low,close,volume,trade
01/01/2018,19.5,19.6,19.1,19.3,938812.0,387.0
01/02/2018,19.5,19.5,19.4,19.5,98505.0,355.0
01/03/2018,19.8,20.8,19.8,20.4,3634328.0,1726.0
01/04/2018,20.3,20.6,20.0,20.3,1471495.0,809.0
01/07/2018,20.3,21.1,20.3,20.8,2407517.0,1435.0
01/08/2018,20.8,20.9,20.3,20.4,1201873.0,694.0
01/09/2018,20.5,20.6,20.0,20.1,1415176.0,602.0
01/10/2018,20.0,20.2,19.8,19.9,973855.0,473.0
01/11/2018,19.9,20.0,19.7,19.8,655095.0,377.0
01/14/2018,19.8,19.8,19.3,19.4,610012.0,441.0
01/15/2018,19.5,19.7,19.2,19.3,284069.0,255.0
01/16/2018,19.4,19.6,19.1,19.5,606829.0,369.0
01/17/2018,19.6,19.6,19.1,19.3,463683.0,271.0
01/18/2018,19.2,19.4,19.2,19.3,289434.0,186.0
01/21/2018,19.4,19.4,19.1,19.1,633290.0,377.0
01/22/2018,19.4,19.6,19.2,19.5,255816.0,197.0
01/23/2018,19.6,19.6,19.2,19.3,308137.0,245.0
01/24/2018,19.3,19.4,19.1,19.1,310120.0,254.0
01/25/2018,19.2,19.2,19.0,19.1,431038.0,216.0
01/28/2018,19.1,19.1,18.5,18.6,518854.0,343.0
01/29/2018,18.4,18.7,17.9,18.4,381783.0,252.0
01/30/2018,18.5,18.6,17.9,18.3,566370.0,387.0
01/31/2018,18.4,19.1,18.4,19.0,1158438.0,702.0
02/01/2018,19.1,19.2,18.6,18.7,571736.0,364.0
02/04/2018,18.6,18.6,17.6,17.9,672126.0,378.0
02/05/2018,18.1,18.2,17.5,18.1,511111.0,309.0
02/06/2018,18.2,18.6,18.1,18.5,675409.0,494.0
02/07/2018,18.4,18.8,18.2,18.5,691175.0,371.0
02/08/2018,18.2,18.7,18.2,18.6,487526.0,240.0
02/11/2018,18.8,19.6,18.8,19.5,1036010.0,710.0
02/12/2018,19.6,19.8,19.3,19.6,1315618.0,571.0
02/13/2018,19.7,19.9,19.4,19.8,820206.0,366.0
02/14/2018,19.8,21.4,19.8,21.1,4236952.0,1708.0
02/15/2018,21.1,21.2,20.2,20.3,1270150.0,579.0
02/18/2018,20.1,20.8,20.1,20.4,1051490.0,541.0
02/19/2018,20.5,20.6,19.7,19.9,551788.0,325.0
02/20/2018,20.1,20.4,19.5,19.6,777454.0,456.0
02/22/2018,19.8,19.9,19.5,19.6,360484.0,268.0
02/25/2018,19.6,20.0,19.1,19.2,497287.0,321.0
02/26/2018,19.3,19.6,19.1,19.4,780375.0,609.0
