date,open,high,low,close,volume,trade
01/01/2018,16.0,16.1,15.9,15.9,318329.0,112.0
01/02/2018,16.1,16.2,16.0,16.2,384720.0,247.0
01/03/2018,16.3,16.4,15.9,16.0,3190158.0,382.0
01/04/2018,16.1,16.2,16.0,16.2,780612.0,178.0
01/07/2018,16.0,16.2,16.0,16.0,636795.0,154.0
01/08/2018,16.0,16.0,15.9,16.0,356286.0,103.0
01/09/2018,16.0,16.0,15.7,15.9,326498.0,105.0
01/10/2018,15.9,15.9,15.8,15.8,512870.0,118.0
01/11/2018,15.8,16.1,15.8,16.0,406076.0,102.0
01/14/2018,16.1,16.2,15.7,15.9,1367631.0,286.0
01/15/2018,15.9,16.0,15.5,15.6,574956.0,169.0
01/16/2018,15.7,15.9,15.6,15.8,496526.0,126.0
01/17/2018,15.7,15.7,15.5,15.6,333893.0,94.0
01/18/2018,15.9,16.0,15.7,15.9,1110163.0,215.0
01/21/2018,15.8,16.3,15.8,16.2,923422.0,268.0
01/22/2018,16.2,16.4,16.1,16.3,1847484.0,388.0
01/23/2018,16.3,16.3,16.2,16.2,1391388.0,241.0
01/24/2018,16.3,16.5,16.3,16.4,1776162.0,366.0
01/25/2018,16.5,17.3,16.5,17.1,6464460.0,1137.0
01/28/2018,17.0,17.3,16.8,16.9,3631628.0,667.0
01/29/2018,16.8,17.5,16.7,17.4,5556819.0,890.0
01/30/2018,17.4,17.7,17.2,17.5,4530732.0,803.0
01/31/2018,17.7,17.7,17.0,17.1,3925118.0,629.0
02/01/2018,17.1,17.6,17.1,17.4,3475687.0,562.0
02/04/2018,17.5,17.5,16.9,17.0,1754401.0,388.0
02/05/2018,17.1,17.3,16.4,16.6,4754616.0,886.0
02/06/2018,16.8,17.4,16.6,17.1,4904227.0,917.0
02/07/2018,17.0,17.3,16.8,17.1,1835448.0,506.0
02/08/2018,17.0,17.0,16.5,16.5,2018939.0,344.0
02/11/2018,16.7,16.9,16.4,16.6,3817864.0,802.0
02/12/2018,16.8,16.9,16.5,16.5,643420.0,232.0
02/13/2018,16.7,17.1,16.5,16.8,1126748.0,250.0
02/14/2018,17.0,17.1,16.8,16.8,2339645.0,412.0
02/15/2018,16.9,16.9,16.6,16.6,971054.0,247.0
02/18/2018,16.6,16.7,16.4,16.5,717940.0,199.0
02/19/2018,16.5,16.8,16.3,16.4,811782.0,218.0
02/20/2018,16.6,16.8,16.3,16.4,795948.0,237.0
02/22/2018,16.7,16.7,15.9,15.9,1024711.0,256.0
02/25/2018,16.1,16.3,15.6,15.9,619495.0,247.0
02/26/2018,15.7,16.0,15.4,15.8,844276.0,319.0
02/27/2018,15.8,16.2,15.7,16.0,403558.0,237.0
02/28/2018,15.8,16.0,15.7,15.8,266950.0,131.0
03/01/2018,15.7,16.0,15.7,15.9,325011.0,172.0
03/04/2018,15.8,16.5,15.8,16.3,1266329.0,297.0
03/05/2018,16.2,16.3,15.8,16.0,941295.0,274.0
03/06/2018,16.0,16.1,15.7,15.8,432519.0,196.0
03/07/2018,15.7,16.0,15.7,15.9,389908.0,94.0
03/08/2018,15.8,16.0,15.4,16.0,964292.0,175.0
03/11/2018,16.0,16.0,15.7,15.7,174541.0,76.0
03/12/2018,15.8,15.9,15.3,15.5,588145.0,226.0
03/13/2018,15.4,15.9,15.1,15.7,1477954.0,448.0
03/14/2018,15.7,16.1,15.6,16.0,1107970.0,343.0
03/15/2018,15.8,16.5,15.8,16.5,2115130.0,662.0
03/18/2018,16.3,16.6,16.1,16.5,1047751.0,353.0
03/19/2018,16.1,16.6,16.0,16.2,456853.0,202.0
03/20/2018,15.7,16.4,15.7,15.8,526785.0,175.0
