date,open,high,low,close,volume,trade
01/01/2018,172.2,175.6,169.8,170.7,12952.0,139.0
01/02/2018,170.2,173.1,170.2,170.8,1091.0,159.0
01/03/2018,165.0,170.7,165.0,167.3,19353.0,124.0
01/04/2018,165.4,170.1,165.4,166.4,11455.0,104.0
01/07/2018,164.5,171.0,163.9,164.7,19043.0,170.0
01/08/2018,164.7,169.8,164.7,168.9,7685.0,108.0
01/09/2018,166.4,170.1,166.4,167.2,8047.0,144.0
01/10/2018,165.3,168.0,163.6,165.4,14858.0,147.0
01/11/2018,167.3,167.3,163.8,164.8,6181.0,71.0
01/14/2018,163.8,167.1,163.8,164.9,2751.0,43.0
01/15/2018,164.5,165.0,163.7,164.4,4470.0,60.0
01/16/2018,163.8,167.3,163.8,165.4,2709.0,37.0
01/17/2018,166.4,168.2,165.6,166.4,3540.0,68.0
01/18/2018,166.4,166.4,164.0,164.6,8909.0,82.0
01/21/2018,163.9,166.0,163.7,164.9,12541.0,111.0
01/22/2018,166.3,171.0,166.3,169.7,31504.0,321.0
01/23/2018,170.9,170.9,168.2,170.5,14305.0,118.0
01/24/2018,170.4,172.1,169.2,170.4,20251.0,155.0
01/25/2018,172.9,181.3,172.9,177.7,84062.0,750.0
01/28/2018,177.7,177.7,172.1,172.3,19249.0,210.0
01/29/2018,170.7,175.4,170.1,171.1,15061.0,167.0
01/30/2018,171.2,171.6,167.8,168.6,13311.0,126.0
01/31/2018,165.4,169.1,165.4,166.4,7297.0,89.0
02/01/2018,170.0,172.9,166.6,167.9,16039.0,119.0
02/04/2018,168.3,171.4,165.6,167.3,15094.0,158.0
02/05/2018,166.8,166.8,162.3,164.4,8383.0,90.0
02/06/2018,165.8,169.2,165.0,165.7,8619.0,71.0
02/07/2018,164.0,167.8,164.0,165.3,10879.0,135.0
02/08/2018,163.8,168.2,163.8,167.7,8507.0,76.0
02/11/2018,166.4,171.9,166.4,169.8,18307.0,121.0
02/12/2018,170.0,174.7,168.6,173.0,21757.0,211.0
02/13/2018,177.1,183.2,176.6,182.1,125377.0,897.0
02/14/2018,182.2,185.0,178.5,179.3,32849.0,322.0
02/15/2018,179.3,179.4,172.9,173.8,39866.0,318.0
02/18/2018,172.9,182.1,172.9,177.0,22678.0,246.0
02/19/2018,177.0,182.1,176.6,180.1,59967.0,511.0
02/20/2018,180.4,180.6,174.0,176.4,27563.0,269.0
02/22/2018,176.6,180.3,173.8,174.4,6568.0,103.0
02/25/2018,177.1,179.2,175.0,178.0,28377.0,276.0
02/26/2018,180.3,180.7,174.9,176.6,31086.0,312.0
02/27/2018,179.3,179.3,174.7,175.8,15307.0,146.0
02/28/2018,176.2,178.0,173.9,176.4,14089.0,193.0
03/01/2018,179.4,192.2,178.0,191.4,331413.0,1937.0
03/04/2018,191.4,198.1,189.9,193.1,118898.0,882.0
03/05/2018,193.1,202.5,193.1,199.3,292989.0,1723.0
03/06/2018,200.0,205.4,196.5,198.2,147910.0,955.0
03/07/2018,198.0,200.4,190.2,191.7,106989.0,904.0
03/08/2018,189.7,195.1,189.7,191.9,53691.0,477.0
03/11/2018,192.1,195.0,182.4,185.5,84596.0,769.0
03/12/2018,185.5,188.8,178.5,181.1,58151.0,583.0
03/13/2018,185.8,185.8,172.3,173.4,44798.0,391.0
03/14/2018,177.6,178.9,172.0,173.5,26521.0,315.0
03/15/2018,174.0,177.0,172.0,175.0,34046.0,332.0
03/18/2018,175.6,177.6,170.4,171.0,46903.0,532.0
03/19/2018,172.4,175.7,169.3,170.2,31509.0,413.0
03/20/2018,169.7,171.0,167.7,168.2,36457.0,378.0
03/21/2018,167.2,170.1,164.0,164.4,22782.0,288.0
03/22/2018,167.1,168.8,162.6,166.1,34908.0,318.0
03/25/2018,169.0,169.0,166.2,166.6,21887.0,205.0
03/27/2018,166.6,167.3,161.3,161.8,24551.0,270.0
03/28/2018,162.6,164.2,161.7,161.9,25980.0,199.0
03/29/2018,162.6,164.2,160.7,161.5,26497.0,230.0
04/01/2018,162.6,167.9,162.6,166.0,25905.0,270.0
04/02/2018,166.4,168.2,163.6,167.1,51732.0,469.0
04/03/2018,168.2,172.9,168.2,171.5,83439.0,639.0
04/04/2018,172.5,174.7,170.1,171.3,72616.0,503.0
04/05/2018,172.7,177.5,171.8,176.2,81685.0,624.0
04/08/2018,177.6,180.1,173.9,174.4,50655.0,437.0
04/09/2018,175.6,175.6,168.8,169.6,55632.0,472.0
04/10/2018,169.8,171.9,166.4,166.5,50619.0,413.0
04/11/2018,168.9,172.8,167.3,169.0,43463.0,410.0
04/12/2018,170.9,171.0,166.4,168.5,33756.0,307.0
04/15/2018,169.2,171.8,168.7,169.3,35252.0,388.0
04/16/2018,171.7,176.6,171.2,174.3,86692.0,1020.0
04/17/2018,173.0,174.8,171.6,171.8,31972.0,363.0
04/18/2018,171.8,172.2,169.4,170.2,37855.0,384.0
04/19/2018,167.3,171.9,167.3,167.5,36691.0,423.0
04/22/2018,169.7,172.0,168.2,168.8,18353.0,227.0
04/23/2018,169.9,173.8,168.7,171.3,47788.0,441.0
04/24/2018,172.0,172.8,168.3,168.8,31033.0,254.0
04/25/2018,169.2,170.7,167.3,169.0,29830.0,259.0
04/26/2018,169.3,170.6,168.1,168.6,23819.0,186.0
04/30/2018,171.8,173.8,169.2,169.5,36694.0,316.0
05/03/2018,170.1,171.4,168.8,170.5,32672.0,175.0
05/06/2018,171.8,175.0,170.8,174.1,93406.0,675.0
05/07/2018,176.4,176.4,170.1,171.1,23824.0,226.0
05/08/2018,172.8,172.8,169.3,169.8,28819.0,276.0
05/09/2018,171.9,172.0,169.3,169.7,30397.0,218.0
05/10/2018,169.7,170.6,168.6,168.9,14059.0,172.0
05/13/2018,170.9,170.9,167.4,167.8,12755.0,139.0
05/14/2018,170.0,170.0,167.8,168.3,13983.0,195.0
05/15/2018,168.6,169.3,166.4,167.1,21135.0,248.0
05/16/2018,168.1,168.1,163.6,164.2,18410.0,157.0
05/17/2018,164.6,164.9,161.7,163.6,11665.0,141.0
05/20/2018,162.4,166.1,158.7,158.9,18742.0,190.0
05/21/2018,158.9,163.6,158.9,163.1,13675.0,124.0
05/22/2018,164.2,164.3,160.0,160.6,8781.0,99.0
05/23/2018,160.1,160.7,157.0,158.5,15810.0,127.0
05/24/2018,159.8,161.1,159.7,160.7,11292.0,112.0
05/27/2018,160.7,161.7,158.9,159.4,15563.0,201.0
05/28/2018,158.1,158.9,157.0,157.1,14036.0,155.0
05/29/2018,157.1,160.7,156.4,159.1,10512.0,117.0
05/30/2018,160.2,160.7,157.6,157.9,11302.0,165.0
05/31/2018,159.7,159.7,156.0,156.4,4910.0,54.0
06/03/2018,159.7,165.4,159.7,162.2,33419.0,335.0
06/04/2018,162.2,169.2,162.2,167.3,46351.0,505.0
06/05/2018,168.2,169.6,165.0,166.3,30893.0,259.0
06/06/2018,168.1,172.8,168.1,170.2,79860.0,688.0
06/07/2018,172.2,172.2,165.6,166.4,26950.0,238.0
06/10/2018,168.1,181.3,168.1,175.5,141108.0,1032.0
06/11/2018,178.3,186.9,175.1,176.6,144576.0,856.0
06/12/2018,177.6,182.2,173.9,179.0,80868.0,733.0
06/18/2018,180.5,191.4,180.4,189.2,126349.0,1033.0
06/19/2018,191.1,197.1,191.1,194.1,228178.0,1448.0
06/20/2018,193.5,200.9,191.7,195.4,391866.0,1755.0
06/21/2018,198.1,212.5,198.1,212.5,491739.0,952.0
06/24/2018,220.6,231.0,219.6,225.4,419951.0,2213.0
06/25/2018,226.2,229.6,215.5,218.0,314722.0,1966.0
06/26/2018,219.2,230.6,219.2,228.3,298477.0,1889.0
06/27/2018,230.8,240.2,225.4,226.8,239656.0,1830.0
06/28/2018,229.0,239.3,222.4,232.1,387253.0,2682.0
07/02/2018,231.8,252.3,231.8,249.2,439844.0,2100.0
07/03/2018,250.6,251.2,230.1,232.1,264139.0,1919.0
07/04/2018,236.5,247.4,235.5,242.1,198811.0,1316.0
07/05/2018,244.9,252.3,231.8,234.2,237178.0,1770.0
07/08/2018,233.2,237.4,215.0,223.8,173083.0,1176.0
07/09/2018,230.6,235.5,219.6,225.8,108352.0,924.0
07/10/2018,233.3,233.6,225.8,227.6,125644.0,894.0
07/11/2018,226.7,232.6,215.7,219.6,110814.0,841.0
07/12/2018,223.4,226.2,216.2,223.6,79952.0,653.0
07/15/2018,226.2,228.8,219.6,223.9,73436.0,685.0
07/16/2018,229.0,243.4,226.2,237.9,171030.0,1058.0
07/17/2018,238.4,243.0,234.6,236.5,87977.0,686.0
07/18/2018,243.0,253.7,241.4,251.5,169122.0,1295.0
07/19/2018,250.5,261.7,243.1,259.8,148274.0,1083.0
07/22/2018,264.5,278.5,261.7,264.3,132380.0,1150.0
07/23/2018,263.6,267.1,247.7,254.9,98411.0,872.0
07/24/2018,257.0,266.4,247.7,262.0,101222.0,891.0
07/25/2018,265.3,270.0,249.6,257.2,82090.0,843.0
07/26/2018,257.0,257.0,241.1,245.7,62811.0,679.0
07/29/2018,250.4,250.4,235.7,243.6,45099.0,544.0
07/30/2018,247.7,248.6,236.1,238.4,49329.0,
07/31/2018,243.0,243.0,230.8,233.0,76176.0,630.0
08/01/2018,238.3,244.8,233.9,242.7,45670.0,479.0
08/02/2018,247.6,247.6,232.7,234.6,41528.0,490.0
08/05/2018,233.6,238.3,219.7,222.9,36172.0,403.0
08/06/2018,223.6,229.8,219.6,224.5,35906.0,412.0
