date,open,high,low,close,volume,trade
01/24/2022,11.0,11.0,11.0,11.0,265.0,11.0
01/25/2022,12.1,12.1,12.1,12.1,234.0,13.0
01/26/2022,13.3,13.3,13.3,13.3,265.0,10.0
01/27/2022,14.6,14.6,14.6,14.6,764.0,29.0
01/30/2022,16.0,16.0,16.0,16.0,777.0,32.0
01/31/2022,17.6,17.6,17.6,17.6,6317.0,107.0
02/01/2022,19.3,19.3,19.3,19.3,2088.0,82.0
02/02/2022,21.2,21.2,21.2,21.2,2770.0,111.0
02/03/2022,23.3,23.3,23.3,23.3,18476.0,210.0
02/06/2022,25.6,25.6,25.6,25.6,11173.0,294.0
02/07/2022,28.1,28.1,28.1,28.1,8019.0,277.0
02/08/2022,30.9,30.9,30.9,30.9,12819.0,329.0
02/09/2022,33.9,33.9,33.9,33.9,44622.0,1492.0
02/10/2022,37.2,37.2,37.2,37.2,214970.0,4112.0
02/13/2022,40.9,40.9,40.9,40.9,424636.0,11134.0
02/14/2022,44.9,44.9,38.5,38.9,3864525.0,79161.0
02/15/2022,38.1,40.0,36.9,38.0,800403.0,21464.0
02/16/2022,38.0,38.4,36.4,36.8,1056307.0,8185.0
02/17/2022,36.6,37.7,36.2,36.5,1023249.0,10314.0
02/20/2022,36.6,36.8,34.4,35.4,734388.0,6359.0
02/22/2022,35.5,37.5,35.1,37.1,974236.0,8372.0
02/23/2022,37.5,38.5,37.2,38.1,1223954.0,6168.0
02/24/2022,38.0,38.0,35.7,36.0,900525.0,3862.0
02/27/2022,35.4,35.8,33.7,34.0,566608.0,4337.0
02/28/2022,34.2,35.6,34.2,35.2,436996.0,4042.0
03/01/2022,35.3,36.7,35.3,36.3,911263.0,5227.0
03/02/2022,36.3,36.8,35.4,36.3,567137.0,3458.0
03/03/2022,36.5,39.7,36.5,38.5,1848209.0,9128.0
03/06/2022,38.3,42.3,38.3,42.3,1584907.0,8638.0
03/07/2022,42.4,44.8,39.2,39.6,2354567.0,11193.0
03/08/2022,39.9,43.5,39.6,43.5,2336662.0,6818.0
03/09/2022,44.5,47.8,44.5,47.8,1857564.0,7173.0
