date,open,high,low,close,volume,trade
01/01/2018,24.5,24.6,23.7,24.4,157750.0,222.0
01/02/2018,24.7,24.7,24.2,24.2,61010.0,240.0
01/03/2018,23.9,24.4,23.9,24.0,130667.0,138.0
01/04/2018,24.1,24.1,23.8,23.9,115742.0,112.0
01/07/2018,24.1,24.1,23.1,23.3,428668.0,307.0
01/08/2018,23.9,24.0,23.3,23.8,60506.0,117.0
01/09/2018,23.8,24.0,23.5,23.7,66469.0,105.0
01/10/2018,23.9,23.9,23.3,23.5,85915.0,136.0
01/11/2018,23.7,23.9,23.4,23.8,104837.0,148.0
01/14/2018,23.9,23.9,23.6,23.7,53595.0,98.0
01/15/2018,23.6,23.7,23.2,23.2,126241.0,160.0
01/16/2018,23.4,23.8,23.3,23.5,64883.0,105.0
01/17/2018,23.8,25.8,23.8,24.9,324573.0,385.0
01/18/2018,25.0,25.8,25.0,25.7,481227.0,566.0
01/21/2018,26.1,26.3,25.8,25.9,462111.0,534.0
01/22/2018,25.8,26.2,25.0,25.2,245212.0,294.0
01/23/2018,25.6,25.8,25.2,25.6,170177.0,189.0
01/24/2018,25.5,26.0,25.3,25.5,230216.0,219.0
01/25/2018,25.5,25.5,24.5,24.7,89233.0,109.0
01/28/2018,24.8,25.0,24.0,24.8,193818.0,225.0
01/29/2018,25.0,25.4,24.8,25.0,226958.0,269.0
01/30/2018,25.2,25.2,24.6,24.7,120087.0,141.0
01/31/2018,24.2,24.6,24.1,24.4,123653.0,158.0
02/01/2018,24.4,25.0,24.4,24.7,133260.0,175.0
02/04/2018,24.5,24.7,23.8,23.9,124143.0,181.0
02/05/2018,23.7,23.9,22.9,23.4,122116.0,185.0
02/06/2018,23.6,24.6,23.6,24.1,87734.0,100.0
02/07/2018,24.1,24.1,23.5,24.0,134268.0,167.0
02/08/2018,24.3,24.8,24.1,24.3,150239.0,173.0
02/11/2018,24.3,25.5,24.3,25.2,250054.0,256.0
02/12/2018,25.6,25.6,24.7,25.0,195620.0,320.0
02/13/2018,25.1,25.1,24.2,24.6,207847.0,265.0
02/14/2018,25.2,25.8,24.2,24.6,386321.0,356.0
02/15/2018,25.0,25.0,24.0,24.1,171812.0,233.0
02/18/2018,24.3,24.7,23.7,23.9,139350.0,260.0
02/19/2018,24.1,24.1,23.3,23.5,135229.0,278.0
02/20/2018,23.5,24.0,23.2,23.3,112134.0,160.0
02/22/2018,23.3,23.4,22.9,23.2,114570.0,146.0
02/25/2018,23.1,23.4,22.8,22.9,168814.0,240.0
02/26/2018,23.7,23.7,22.6,23.0,111383.0,167.0
02/27/2018,23.8,23.8,22.6,22.7,80279.0,158.0
02/28/2018,22.8,22.9,22.5,22.5,126952.0,145.0
03/01/2018,22.3,23.2,22.3,22.8,78611.0,102.0
03/04/2018,23.8,23.8,22.9,23.2,126989.0,118.0
03/05/2018,23.5,23.5,22.4,22.7,60500.0,128.0
03/06/2018,22.9,23.0,22.7,22.7,232489.0,200.0
03/07/2018,23.1,23.1,22.3,22.8,100342.0,104.0
03/08/2018,22.7,22.8,22.7,22.7,48468.0,53.0
03/11/2018,22.7,22.8,22.5,22.5,66300.0,96.0
03/12/2018,22.5,22.5,21.4,21.7,110495.0,131.0
03/13/2018,21.6,21.6,19.6,19.7,172801.0,244.0
03/14/2018,20.9,20.9,19.4,20.7,111003.0,156.0
03/15/2018,21.0,21.2,20.5,20.9,86876.0,132.0
03/18/2018,20.7,20.8,20.1,20.3,40206.0,87.0
03/19/2018,20.1,21.3,20.1,20.6,72837.0,103.0
03/20/2018,20.5,20.8,20.2,20.4,48154.0,74.0
03/21/2018,20.4,20.5,19.8,20.0,74591.0,108.0
03/22/2018,20.0,20.4,19.2,19.5,71790.0,103.0
03/25/2018,19.2,20.5,19.2,19.6,55602.0,78.0
03/27/2018,19.6,19.6,18.4,18.9,69704.0,110.0
03/28/2018,18.2,19.0,18.2,18.8,85573.0,106.0
03/29/2018,18.3,19.4,18.3,19.1,56341.0,111.0
04/01/2018,19.2,20.2,19.2,19.8,96565.0,98.0
04/02/2018,19.8,20.0,19.5,19.8,103134.0,141.0
04/03/2018,19.9,20.5,19.6,19.7,75165.0,132.0
04/04/2018,19.6,20.3,19.5,19.7,53396.0,86.0
04/05/2018,19.8,19.9,19.3,19.6,111459.0,199.0
04/08/2018,19.9,20.0,19.5,19.6,99384.0,138.0
04/09/2018,19.6,21.1,19.6,20.5,79862.0,128.0
04/10/2018,20.5,21.5,20.5,21.1,68368.0,135.0
04/11/2018,21.2,21.5,20.0,20.7,22585.0,57.0
04/12/2018,20.4,21.0,20.3,20.4,29546.0,76.0
04/15/2018,20.4,20.4,19.2,19.6,58445.0,99.0
04/16/2018,20.0,20.0,19.5,19.6,40070.0,71.0
04/17/2018,20.1,20.2,19.3,19.5,75880.0,92.0
04/18/2018,20.0,20.0,19.6,19.8,31391.0,94.0
04/19/2018,19.8,20.9,19.8,20.7,94613.0,207.0
04/22/2018,21.0,22.2,20.9,21.0,155321.0,316.0
04/23/2018,21.5,21.7,21.1,21.3,118711.0,116.0
04/24/2018,21.3,21.6,20.7,20.9,42355.0,82.0
04/25/2018,20.9,21.3,20.4,20.7,64338.0,107.0
04/26/2018,20.7,21.2,20.2,20.8,64010.0,126.0
04/30/2018,20.7,20.7,20.1,20.2,60205.0,102.0
05/03/2018,20.5,20.5,20.0,20.1,36380.0,66.0
05/06/2018,20.1,20.5,19.8,19.9,56708.0,99.0
05/07/2018,20.2,20.2,19.9,20.0,50490.0,96.0
05/08/2018,19.9,20.2,19.7,19.9,110998.0,146.0
05/09/2018,19.9,20.1,19.5,19.6,47243.0,102.0
