date,open,high,low,close,volume,trade
01/01/2018,16.7,16.7,15.9,16.0,166276.0,172.0
01/02/2018,17.2,17.2,15.7,15.7,5220.0,119.0
01/03/2018,16.3,16.3,15.6,15.8,171609.0,197.0
01/04/2018,16.4,17.2,16.1,17.0,102219.0,153.0
01/07/2018,17.4,17.5,16.7,16.7,61772.0,100.0
01/08/2018,16.7,17.0,16.4,16.8,59066.0,77.0
01/09/2018,16.7,17.0,16.4,16.5,46324.0,64.0
01/10/2018,16.7,17.0,16.6,16.8,49363.0,114.0
01/11/2018,17.0,17.0,16.7,16.8,78046.0,80.0
01/14/2018,17.0,17.0,16.7,16.8,110141.0,108.0
01/15/2018,16.9,16.9,16.7,16.8,131727.0,115.0
01/16/2018,16.9,17.4,16.9,17.3,152090.0,157.0
01/17/2018,17.5,18.0,17.2,17.7,359328.0,407.0
01/18/2018,17.9,18.4,17.8,17.9,319779.0,300.0
01/21/2018,18.1,18.3,17.9,18.0,251919.0,234.0
01/22/2018,18.4,18.4,17.5,17.7,206724.0,164.0
01/23/2018,17.7,17.9,17.7,17.8,106830.0,114.0
01/24/2018,18.0,18.0,17.5,17.5,159748.0,141.0
01/25/2018,17.6,17.7,17.2,17.3,94196.0,113.0
01/28/2018,17.3,17.4,16.9,16.9,92731.0,95.0
01/29/2018,17.1,17.3,16.9,17.0,80116.0,148.0
01/30/2018,17.0,17.1,16.8,16.9,158425.0,146.0
01/31/2018,16.8,17.1,16.5,16.6,198119.0,121.0
02/01/2018,16.8,17.2,16.5,16.9,118186.0,174.0
02/04/2018,16.8,16.8,15.7,16.1,155660.0,135.0
02/05/2018,15.9,16.5,15.6,16.1,103216.0,85.0
02/06/2018,16.4,16.9,16.3,16.5,74806.0,75.0
02/07/2018,16.5,17.0,16.5,16.9,67473.0,120.0
02/08/2018,17.1,17.6,17.0,17.6,247142.0,219.0
02/11/2018,17.9,18.5,17.9,18.1,509864.0,381.0
02/12/2018,18.3,18.4,17.6,17.9,198593.0,220.0
02/13/2018,18.0,18.7,18.0,18.6,437651.0,443.0
