date,open,high,low,close,volume,trade
01/01/2018,1055.0,1060.0,1055.0,1057.2,232.0,3.0
01/02/2018,1055.0,1060.0,1055.0,1057.2,232.0,6.0
01/03/2018,1051.0,1051.0,1050.2,1050.2,202.0,13.0
01/04/2018,1055.0,1055.0,1050.0,1050.7,300.0,19.0
01/07/2018,1090.0,1090.0,1082.0,1086.0,4.0,2.0
01/08/2018,1090.0,1090.0,1082.0,1086.0,4.0,0.0
01/09/2018,1085.0,1095.0,1085.0,1093.8,226.0,7.0
01/10/2018,1057.6,1057.6,1057.5,1057.5,42.0,3.0
01/11/2018,1057.5,1057.5,1055.6,1057.5,33150.0,32.0
01/14/2018,1110.4,1110.4,1060.6,1091.4,312.0,23.0
01/15/2018,1111.4,1125.0,1090.0,1099.2,74.0,6.0
01/16/2018,1090.0,1090.0,1089.5,1090.0,28.0,4.0
01/17/2018,1075.2,1078.6,1075.2,1077.8,424.0,25.0
01/18/2018,1075.2,1078.6,1075.2,1077.8,424.0,0.0
01/21/2018,1100.0,1100.0,1075.0,1083.2,46.0,10.0
01/22/2018,1100.0,1100.0,1075.0,1083.2,46.0,0.0
01/23/2018,1092.0,1137.4,1085.0,1113.8,434.0,30.0
01/24/2018,1116.0,1116.0,1087.5,1104.8,136.0,11.0
01/25/2018,1104.8,1104.8,1099.5,1103.9,12.0,2.0
01/28/2018,1085.0,1085.0,1050.0,1051.9,66.0,22.0
01/29/2018,1100.0,1104.4,1090.0,1101.2,500.0,23.0
01/30/2018,1095.0,1095.0,1080.0,1086.2,72.0,10.0
01/31/2018,1060.0,1082.5,1060.0,1064.8,188.0,16.0
02/01/2018,1082.5,1082.5,1072.5,1079.2,88.0,8.0
02/04/2018,1115.0,1133.1,1083.8,1131.6,9886.0,104.0
02/05/2018,1125.0,1188.2,1095.0,1148.2,1298.0,56.0
02/06/2018,1150.0,1150.0,1125.0,1136.6,796.0,61.0
02/07/2018,1125.5,1149.5,1117.0,1126.4,170.0,20.0
02/08/2018,1135.0,1135.0,1109.0,1111.4,66.0,3.0
02/11/2018,1116.0,1134.5,1100.0,1127.9,20248.0,48.0
02/12/2018,1125.0,1131.0,1125.0,1127.4,4786.0,18.0
02/13/2018,1125.0,1125.0,1110.0,1121.6,18.0,3.0
02/14/2018,1110.5,1110.5,1100.5,1106.6,176.0,12.0
02/15/2018,1105.5,1105.5,1089.0,1092.4,248.0,20.0
02/18/2018,1100.5,1102.5,1065.0,1091.7,38.0,8.0
02/19/2018,1100.5,1102.5,1065.0,1091.7,38.0,0.0
02/20/2018,1097.5,1097.5,1068.2,1069.2,580.0,49.0
02/22/2018,1100.0,1100.0,1100.0,1100.0,2.0,1.0
02/25/2018,1100.0,1100.0,1100.0,1100.0,2.0,0.0
02/26/2018,1120.0,1120.0,1110.0,1115.0,4.0,2.0
02/27/2018,1061.0,1107.5,1060.6,1064.2,170.0,17.0
02/28/2018,1107.5,1115.0,1107.5,1111.0,516.0,21.0
03/01/2018,1107.5,1115.0,1107.5,1111.0,516.0,0.0
03/04/2018,1058.0,1099.5,1058.0,1093.8,66.0,4.0
03/05/2018,1092.5,1092.5,1092.5,1092.5,2.0,1.0
03/06/2018,1092.5,1092.5,1092.5,1092.5,2.0,0.0
03/07/2018,1075.0,1075.0,1073.0,1074.2,10.0,4.0
03/08/2018,1075.0,1075.0,1072.5,1074.1,302.0,14.0
03/11/2018,1075.0,1075.0,1072.5,1074.1,302.0,0.0
03/12/2018,1055.0,1075.0,1055.0,1069.3,28.0,5.0
03/13/2018,1060.0,1060.0,1055.0,1056.5,8.0,3.0
03/14/2018,1075.0,1075.0,1075.0,1075.0,2.0,1.0
03/15/2018,1075.0,1075.0,1057.5,1060.0,28.0,4.0
03/18/2018,1098.5,1098.5,1098.5,1098.5,14.0,1.0
03/19/2018,1100.0,1100.0,1100.0,1100.0,10.0,3.0
03/20/2018,1085.0,1085.0,1075.0,1078.0,20.0,4.0
03/21/2018,1094.5,1094.5,1051.0,1054.0,238.0,17.0
03/22/2018,1097.5,1097.5,1044.5,1051.2,130.0,12.0
