date,open,high,low,close,volume,trade
01/13/2022,110.0,110.0,99.5,101.0,3232772.0,
01/16/2022,102.0,102.5,94.5,95.0,439804.0,
01/17/2022,96.0,96.0,91.0,91.5,665189.0,
01/18/2022,92.0,93.0,91.0,91.5,347448.0,
01/19/2022,91.5,93.0,90.5,90.5,270725.0,
01/20/2022,91.0,92.5,90.0,90.5,284764.0,
01/23/2022,90.5,92.5,90.0,90.5,225397.0,
01/24/2022,90.5,92.5,89.0,91.0,221610.0,
01/25/2022,91.0,91.0,88.5,88.5,119265.0,
01/26/2022,88.5,89.5,88.0,88.5,76315.0,
01/27/2022,88.5,89.0,86.5,88.0,123317.0,
01/30/2022,87.5,89.0,86.0,86.5,71777.0,
01/31/2022,86.5,87.5,85.0,85.5,84085.0,
02/01/2022,86.0,87.5,85.5,87.0,49561.0,
02/02/2022,87.0,90.5,86.5,89.0,105845.0,
02/03/2022,88.5,90.5,88.0,89.0,577247.0,
02/06/2022,88.5,90.0,87.5,88.5,41942.0,
02/07/2022,88.0,90.0,88.0,88.0,67762.0,
02/08/2022,88.0,89.5,88.0,88.5,31519.0,
02/09/2022,87.0,90.0,87.0,88.5,64336.0,
02/10/2022,89.0,89.5,88.0,89.0,41947.0,
02/13/2022,88.0,89.0,88.0,89.0,32429.0,
02/14/2022,88.5,89.0,88.5,89.0,40062.0,
02/15/2022,89.0,89.5,88.5,89.5,52413.0,
02/16/2022,89.0,90.0,89.0,89.5,24290.0,
02/17/2022,89.5,89.5,88.0,88.5,31085.0,
02/20/2022,88.5,89.0,88.0,88.5,28489.0,
02/22/2022,88.0,89.0,88.0,88.0,581875.0,
02/23/2022,88.0,89.0,88.0,88.0,25329.0,
02/24/2022,87.5,90.0,87.5,89.5,122123.0,
02/27/2022,87.0,89.5,87.0,88.5,84816.0,
02/28/2022,87.5,88.5,87.0,87.5,12031.0,
03/01/2022,88.0,88.5,87.5,88.0,23421.0,
03/02/2022,88.5,88.5,87.5,88.0,60267.0,
03/03/2022,88.0,88.5,87.5,88.0,29581.0,
03/06/2022,87.0,87.5,87.0,87.5,17630.0,
03/07/2022,87.0,87.5,86.5,87.0,69248.0,
03/08/2022,87.0,88.5,86.0,88.0,51006.0,
03/09/2022,87.5,88.0,87.0,87.0,54238.0,
