date,open,high,low,close,volume,trade
01/01/2018,22.2,22.2,21.4,21.6,9961.0,29.0
01/02/2018,21.5,21.9,21.5,21.9,95.0,24.0
01/03/2018,21.8,21.9,21.6,21.6,116760.0,85.0
01/04/2018,21.9,21.9,21.3,21.5,149270.0,152.0
01/07/2018,21.5,21.5,20.9,21.0,125565.0,106.0
01/08/2018,21.1,21.1,20.3,20.4,373395.0,226.0
01/09/2018,20.3,20.5,19.8,20.0,316072.0,187.0
01/10/2018,20.2,20.2,19.8,19.9,71673.0,91.0
01/11/2018,19.8,20.5,19.8,20.2,6603.0,30.0
01/14/2018,20.0,20.5,20.0,20.4,36593.0,37.0
01/15/2018,20.1,20.5,20.1,20.3,10379.0,31.0
01/16/2018,20.6,20.8,20.3,20.8,40309.0,43.0
01/17/2018,20.4,20.8,20.4,20.6,8310.0,19.0
01/18/2018,20.4,20.6,20.4,20.5,4976.0,15.0
01/21/2018,20.7,21.0,20.4,20.9,92554.0,32.0
01/22/2018,20.6,21.0,20.5,20.9,60923.0,34.0
01/23/2018,20.5,21.0,20.5,21.0,25821.0,17.0
01/24/2018,21.0,21.0,20.6,21.0,41907.0,32.0
01/25/2018,21.0,21.0,20.6,20.8,18398.0,21.0
01/28/2018,20.6,20.7,20.6,20.6,7200.0,10.0
01/29/2018,20.6,21.1,20.6,20.9,72107.0,27.0
01/30/2018,20.7,20.7,20.6,20.7,33251.0,27.0
01/31/2018,20.6,20.9,20.5,20.9,22265.0,41.0
02/01/2018,21.0,21.3,20.6,21.1,118613.0,79.0
02/04/2018,20.5,20.9,20.4,20.6,36474.0,33.0
02/05/2018,19.1,20.9,19.1,20.6,28087.0,35.0
02/06/2018,20.1,20.2,20.1,20.2,494.0,6.0
02/07/2018,20.5,20.5,20.0,20.0,5000.0,12.0
02/08/2018,20.0,20.5,20.0,20.4,2100.0,6.0
02/11/2018,20.4,20.8,20.4,20.5,25000.0,54.0
02/12/2018,20.2,20.3,20.1,20.2,17218.0,29.0
02/13/2018,20.6,20.6,19.9,20.0,19901.0,36.0
02/14/2018,20.5,21.1,20.3,20.9,59202.0,81.0
02/15/2018,20.5,20.5,20.4,20.4,7658.0,9.0
02/18/2018,20.4,20.6,20.2,20.4,9039.0,12.0
02/19/2018,20.2,20.4,19.5,20.0,19749.0,26.0
02/20/2018,20.4,20.4,20.0,20.1,18128.0,12.0
02/22/2018,19.9,20.4,19.9,20.2,18284.0,22.0
02/25/2018,19.6,20.0,19.5,19.7,20402.0,25.0
02/26/2018,19.5,20.7,19.3,19.7,13914.0,29.0
02/27/2018,19.7,19.7,19.6,19.7,2052.0,7.0
02/28/2018,19.8,20.3,19.7,19.9,24128.0,46.0
03/01/2018,19.6,21.7,19.6,21.1,11126.0,16.0
03/04/2018,21.0,21.0,20.0,20.3,13373.0,24.0
03/05/2018,20.2,21.3,19.9,20.2,16597.0,51.0
03/06/2018,20.5,20.7,20.4,20.6,15441.0,27.0
03/07/2018,20.4,20.8,20.3,20.4,8777.0,15.0
03/08/2018,20.4,20.6,20.3,20.5,9295.0,11.0
03/11/2018,20.3,20.3,20.1,20.3,2947.0,5.0
03/12/2018,20.1,20.1,19.8,19.9,12558.0,37.0
03/13/2018,19.6,19.6,19.3,19.4,8100.0,24.0
03/14/2018,20.0,20.0,19.4,20.0,15477.0,29.0
03/15/2018,19.4,22.0,19.4,21.1,16936.0,28.0
03/18/2018,21.4,22.0,20.3,20.8,51600.0,52.0
03/19/2018,20.5,20.5,20.0,20.4,7791.0,16.0
03/20/2018,20.1,20.1,20.0,20.0,1387.0,6.0
03/21/2018,20.0,20.0,19.9,20.0,4735.0,15.0
03/22/2018,20.5,20.8,20.0,20.5,108721.0,15.0
03/25/2018,20.0,21.0,20.0,20.9,18037.0,42.0
03/27/2018,20.3,20.4,20.3,20.3,1900.0,5.0
03/28/2018,20.3,20.8,20.1,20.3,1353.0,11.0
03/29/2018,20.1,20.9,20.0,20.5,1861.0,9.0
04/01/2018,20.5,20.5,20.2,20.4,2523.0,10.0
04/02/2018,20.3,20.4,20.3,20.4,8278.0,26.0
04/03/2018,20.5,20.5,20.0,20.1,51845.0,95.0
04/04/2018,20.2,20.7,20.2,20.5,41777.0,31.0
04/05/2018,20.4,20.4,20.3,20.4,1725.0,5.0
04/08/2018,19.8,20.5,19.8,20.4,9738.0,17.0
04/09/2018,20.5,21.0,20.0,20.3,40189.0,37.0
04/10/2018,20.7,20.7,20.2,20.5,14066.0,18.0
04/11/2018,20.9,20.9,20.6,20.8,36872.0,65.0
04/12/2018,20.5,20.9,20.4,20.5,1616.0,5.0
04/15/2018,20.9,21.2,20.5,20.6,43750.0,42.0
04/16/2018,20.3,20.5,20.1,20.4,9550.0,23.0
04/17/2018,20.4,20.7,20.3,20.4,19862.0,11.0
04/18/2018,20.3,20.3,20.2,20.2,417.0,2.0
04/19/2018,20.2,20.3,20.0,20.2,7859.0,18.0
04/22/2018,20.0,20.5,20.0,20.0,9103.0,23.0
04/23/2018,20.0,20.0,19.5,19.7,16877.0,26.0
04/24/2018,19.3,20.3,19.3,19.8,5655.0,9.0
04/25/2018,19.6,20.0,19.6,19.8,1547.0,4.0
04/26/2018,19.1,20.1,19.1,19.4,14598.0,29.0
04/30/2018,19.2,19.2,19.2,19.2,735.0,2.0
05/03/2018,19.8,19.8,19.2,19.4,1508.0,7.0
05/06/2018,19.4,19.4,18.5,18.7,42387.0,80.0
05/07/2018,18.7,19.0,18.6,18.6,10628.0,34.0
05/08/2018,18.7,20.0,18.7,19.7,20766.0,29.0
05/09/2018,19.7,19.7,19.1,19.2,5601.0,23.0
05/10/2018,18.8,19.5,18.4,18.9,55001.0,33.0
05/13/2018,18.5,19.1,18.4,18.5,132.0,5.0
05/14/2018,18.5,19.2,18.4,18.6,6464.0,22.0
05/15/2018,18.7,18.9,18.4,18.4,30980.0,34.0
05/16/2018,19.0,19.5,18.4,19.2,16216.0,51.0
05/17/2018,19.5,19.5,18.8,19.0,3190.0,15.0
05/20/2018,18.4,19.0,18.4,18.7,2567.0,20.0
05/21/2018,18.4,19.0,18.4,18.7,2567.0,0.0
05/22/2018,18.6,18.6,18.1,18.3,18957.0,24.0
05/23/2018,18.3,18.6,18.3,18.4,6635.0,19.0
05/24/2018,18.5,20.0,18.5,19.1,32952.0,15.0
05/27/2018,18.6,19.9,18.6,19.7,17424.0,33.0
05/28/2018,19.4,19.8,19.3,19.7,64939.0,28.0
05/29/2018,19.5,19.6,19.1,19.5,14729.0,31.0
05/30/2018,18.9,19.2,18.9,19.1,16196.0,29.0
05/31/2018,19.4,19.5,18.9,19.1,9606.0,16.0
06/03/2018,18.6,19.3,18.6,19.0,5877.0,16.0
06/04/2018,19.3,19.4,18.9,19.3,54287.0,39.0
06/05/2018,19.0,19.4,19.0,19.2,3932.0,7.0
06/06/2018,18.8,19.5,18.8,19.2,10734.0,27.0
06/07/2018,19.2,19.3,18.9,19.0,19012.0,33.0
06/10/2018,19.4,19.5,19.1,19.3,15191.0,39.0
06/11/2018,19.5,19.6,19.2,19.6,38835.0,11.0
06/12/2018,19.6,19.6,19.3,19.6,7598.0,12.0
06/18/2018,19.2,19.2,19.0,19.1,6792.0,26.0
06/19/2018,19.1,19.2,19.0,19.1,11600.0,17.0
06/20/2018,18.6,19.2,18.5,19.1,38806.0,73.0
06/21/2018,19.1,19.3,19.0,19.2,5918.0,23.0
06/24/2018,19.2,19.5,19.1,19.3,7376.0,19.0
06/25/2018,19.1,19.5,18.8,19.0,7045.0,23.0
06/26/2018,18.8,19.5,18.8,19.5,9485.0,37.0
06/27/2018,19.4,19.9,19.2,19.8,9622.0,28.0
06/28/2018,19.5,20.0,19.5,19.8,21113.0,37.0
07/02/2018,19.5,19.8,18.9,19.0,163809.0,83.0
07/03/2018,19.0,19.1,19.0,19.1,1930.0,9.0
07/04/2018,19.0,19.7,19.0,19.5,5352.0,13.0
07/05/2018,18.9,19.2,18.9,19.1,4127.0,16.0
07/08/2018,19.2,19.4,19.2,19.3,5028.0,8.0
07/09/2018,19.0,19.3,19.0,19.1,16527.0,41.0
07/10/2018,19.0,19.8,18.8,19.6,16277.0,27.0
07/11/2018,19.4,20.1,19.4,20.1,51643.0,62.0
07/12/2018,19.6,20.0,19.6,19.8,7386.0,25.0
07/15/2018,19.1,20.0,19.1,19.7,12147.0,14.0
07/16/2018,19.4,19.9,19.2,19.6,13308.0,33.0
07/17/2018,19.9,20.0,19.2,19.8,11379.0,15.0
07/18/2018,19.9,19.9,19.2,19.2,1586.0,11.0
07/19/2018,19.4,19.8,19.2,19.3,13723.0,16.0
07/22/2018,19.3,19.7,18.8,19.0,20561.0,47.0
07/23/2018,19.8,19.8,19.0,19.0,728.0,8.0
07/24/2018,19.0,19.2,19.0,19.0,8821.0,20.0
07/25/2018,19.0,19.0,19.0,19.0,7651.0,18.0
07/26/2018,19.0,19.1,18.9,19.0,11178.0,29.0
07/29/2018,18.8,19.0,18.8,18.8,1476.0,20.0
07/30/2018,18.9,19.0,18.8,19.0,5191.0,
07/31/2018,19.0,19.0,18.8,19.0,14747.0,10.0
08/01/2018,18.9,19.3,18.9,19.0,4609.0,17.0
08/02/2018,19.0,19.3,19.0,19.3,6350.0,17.0
08/05/2018,19.3,21.2,19.3,20.9,44059.0,84.0
08/06/2018,19.2,20.0,19.2,19.6,4974.0,13.0
08/07/2018,19.4,19.4,19.2,19.3,59653.0,85.0
08/08/2018,19.3,19.7,19.3,19.4,85239.0,36.0
08/09/2018,19.2,19.3,19.0,19.1,40618.0,73.0
08/12/2018,18.8,19.1,18.6,18.8,18911.0,32.0
08/13/2018,18.8,19.2,18.7,19.1,13362.0,19.0
08/14/2018,19.1,19.5,19.1,19.4,31203.0,34.0
08/16/2018,19.4,20.0,19.3,19.9,52500.0,59.0
08/19/2018,20.5,20.8,20.0,20.1,30168.0,51.0
08/20/2018,20.2,20.2,19.9,20.1,18620.0,32.0
08/26/2018,20.1,20.7,20.1,20.6,19576.0,37.0
08/27/2018,19.5,20.7,19.5,20.0,9593.0,23.0
08/28/2018,19.5,20.0,19.5,19.9,6997.0,17.0
08/29/2018,20.6,20.6,19.8,20.3,38052.0,36.0
08/30/2018,19.5,20.5,19.5,20.4,14892.0,34.0
09/03/2018,19.6,20.0,19.6,19.9,20035.0,34.0
09/04/2018,19.5,20.0,19.5,19.8,40306.0,45.0
09/05/2018,19.5,20.1,19.5,20.0,48827.0,51.0
09/06/2018,19.5,20.2,19.5,20.0,28230.0,37.0
09/09/2018,19.6,20.2,19.6,20.0,4107.0,13.0
09/10/2018,19.5,20.0,19.3,20.0,35938.0,36.0
09/11/2018,19.7,19.9,19.7,19.8,4810.0,17.0
09/12/2018,19.7,20.1,19.7,20.0,9523.0,13.0
09/13/2018,19.7,20.0,18.5,19.8,54489.0,70.0
09/16/2018,20.0,20.1,19.8,19.9,18996.0,24.0
09/17/2018,20.0,20.0,19.8,20.0,29600.0,35.0
09/18/2018,19.8,20.1,19.8,20.0,20171.0,28.0
09/19/2018,19.8,20.1,19.8,20.0,18495.0,28.0
09/20/2018,20.0,20.0,19.7,19.8,9683.0,19.0
09/23/2018,19.6,19.6,18.5,19.1,19820.0,39.0
09/24/2018,19.2,19.4,19.2,19.4,12554.0,28.0
09/25/2018,19.1,19.5,19.1,19.3,22060.0,32.0
09/26/2018,19.5,20.8,19.5,20.2,53532.0,64.0
09/27/2018,20.0,20.3,19.6,19.9,16837.0,16.0
09/30/2018,19.4,19.9,19.0,19.2,79909.0,120.0
10/01/2018,19.5,21.1,19.5,20.7,44719.0,120.0
10/02/2018,19.4,20.0,19.3,19.9,26346.0,51.0
10/03/2018,19.4,20.0,19.4,19.9,11160.0,29.0
10/04/2018,19.5,20.0,19.5,20.0,19671.0,32.0
10/07/2018,19.5,19.8,19.4,19.7,11342.0,0.0
10/08/2018,19.2,20.0,19.2,19.8,31695.0,
10/09/2018,19.9,20.0,19.8,19.9,4038.0,
10/10/2018,19.4,19.7,19.4,19.5,4778.0,0.0
10/11/2018,19.7,19.9,19.7,19.7,1283.0,6.0
10/14/2018,19.2,19.8,19.2,19.5,2710.0,10.0
10/15/2018,19.7,19.7,19.5,19.6,4133.0,6.0
10/16/2018,19.5,19.6,19.5,19.5,17088.0,20.0
10/17/2018,19.6,19.6,19.5,19.5,2062.0,8.0
10/18/2018,19.4,19.6,19.4,19.6,1150.0,3.0
10/21/2018,19.1,19.2,19.1,19.1,3621.0,16.0
10/22/2018,19.2,19.2,19.1,19.2,910.0,5.0
10/23/2018,19.2,19.2,18.9,19.0,4961.0,17.0
10/24/2018,19.0,19.1,19.0,19.0,257.0,3.0
10/25/2018,19.0,19.1,19.0,19.0,1174.0,
10/28/2018,18.8,18.9,18.5,18.5,26865.0,
10/29/2018,18.6,18.6,18.0,18.1,12779.0,
10/30/2018,18.3,18.5,18.3,18.5,850.0,
10/31/2018,19.5,19.5,19.5,19.5,50.0,
11/01/2018,18.8,18.8,18.8,18.8,130.0,
11/04/2018,18.6,18.9,18.5,18.5,2390.0,
11/05/2018,18.7,18.7,18.0,18.2,14111.0,
11/06/2018,18.2,18.5,17.8,17.9,43684.0,
11/07/2018,17.8,18.0,17.8,17.9,16693.0,
11/08/2018,17.9,18.1,17.8,18.0,26986.0,31.0
11/11/2018,18.0,18.2,18.0,18.1,6369.0,12.0
11/12/2018,18.0,18.2,18.0,18.2,12241.0,28.0
11/13/2018,18.1,18.4,18.1,18.2,3696.0,9.0
11/14/2018,18.2,18.2,18.2,18.2,2577.0,11.0
11/15/2018,18.5,18.6,18.3,18.6,5033.0,6.0
11/18/2018,18.2,18.6,18.2,18.4,5434.0,13.0
11/19/2018,18.3,18.3,18.0,18.2,29118.0,49.0
11/20/2018,18.0,19.9,18.0,19.3,60644.0,29.0
11/22/2018,18.4,19.2,18.4,18.5,2505.0,9.0
11/25/2018,18.9,20.0,18.9,19.4,43290.0,65.0
11/26/2018,19.3,19.3,19.2,19.2,7482.0,18.0
11/27/2018,19.1,19.2,19.1,19.1,2950.0,15.0
11/28/2018,19.1,19.1,18.8,19.0,8014.0,14.0
11/29/2018,18.8,19.0,18.8,18.9,881.0,7.0
12/02/2018,19.2,19.9,19.2,19.4,24826.0,28.0
12/03/2018,19.4,19.7,19.3,19.5,4417.0,10.0
12/04/2018,19.0,19.8,19.0,19.5,27349.0,44.0
12/05/2018,19.4,20.2,19.4,20.0,19972.0,47.0
12/06/2018,19.7,20.0,19.7,19.9,6184.0,14.0
12/09/2018,20.0,20.0,19.4,19.6,9113.0,21.0
12/10/2018,20.0,20.0,19.7,20.0,14073.0,32.0
12/11/2018,19.3,20.0,19.0,19.6,27982.0,40.0
12/12/2018,19.2,19.4,19.2,19.3,702.0,5.0
12/13/2018,19.7,19.8,19.5,19.6,4000.0,5.0
12/17/2018,19.5,20.1,19.5,20.0,6171.0,14.0
12/18/2018,19.3,19.8,19.2,19.5,6066.0,14.0
12/19/2018,20.0,20.2,19.6,20.0,10711.0,23.0
12/20/2018,20.2,20.3,20.0,20.2,21251.0,47.0
12/23/2018,20.0,20.1,20.0,20.1,6899.0,5.0
12/24/2018,19.7,20.3,19.7,20.1,10886.0,18.0
12/26/2018,20.3,20.3,19.6,20.1,7554.0,16.0
12/27/2018,19.9,20.1,19.8,20.0,9386.0,24.0
01/01/2019,17.9,18.3,17.9,18.2,5745.0,9.0
01/02/2019,17.4,18.4,17.4,18.1,3999.0,12.0
01/03/2019,18.2,19.0,18.0,18.9,13941.0,30.0
01/06/2019,19.2,19.2,18.5,19.1,19416.0,27.0
01/07/2019,18.4,19.1,18.4,19.0,16617.0,18.0
01/08/2019,18.1,20.0,18.1,19.8,169770.0,174.0
01/09/2019,20.1,20.4,18.8,19.7,48245.0,51.0
01/10/2019,19.5,19.6,19.1,19.5,118853.0,73.0
01/13/2019,19.7,20.6,19.7,20.1,292403.0,243.0
01/14/2019,20.6,20.9,20.0,20.7,280625.0,249.0
01/15/2019,21.2,21.8,20.8,21.3,239724.0,208.0
01/16/2019,21.6,21.8,20.9,21.3,225206.0,173.0
01/17/2019,21.0,23.6,21.0,22.8,812157.0,525.0
01/20/2019,22.9,23.0,21.2,21.4,552112.0,311.0
01/21/2019,21.7,22.4,21.0,21.1,264028.0,286.0
01/22/2019,21.2,21.2,19.9,20.1,149402.0,154.0
01/23/2019,20.8,22.1,20.8,21.2,202636.0,202.0
01/24/2019,21.3,23.5,21.3,23.5,1558809.0,585.0
01/27/2019,24.3,25.8,23.2,23.8,752943.0,535.0
01/28/2019,23.1,23.6,21.3,22.2,603610.0,423.0
01/29/2019,21.8,24.0,21.7,22.8,536865.0,405.0
01/30/2019,22.4,25.2,22.4,24.8,1278339.0,1009.0
01/31/2019,24.3,25.0,22.9,23.7,913670.0,482.0
02/03/2019,24.0,25.2,23.0,23.3,1086138.0,731.0
02/04/2019,23.4,23.7,20.9,21.3,263531.0,271.0
02/05/2019,20.9,22.1,19.4,20.0,401946.0,338.0
02/06/2019,20.0,21.6,20.0,21.2,212012.0,233.0
02/07/2019,21.2,21.4,19.2,19.7,363091.0,347.0
02/10/2019,18.9,19.8,18.3,18.4,213342.0,241.0
02/11/2019,18.4,20.4,18.4,20.3,299933.0,
02/12/2019,19.7,20.7,19.3,19.5,196295.0,202.0
02/13/2019,18.8,19.8,18.7,19.3,422893.0,489.0
02/14/2019,19.4,21.4,19.4,21.4,1046325.0,369.0
02/17/2019,20.4,21.4,20.0,20.7,204207.0,187.0
02/18/2019,20.5,21.1,19.1,19.4,281075.0,330.0
02/19/2019,18.9,20.2,18.9,19.4,85392.0,128.0
02/20/2019,19.5,20.1,19.3,19.7,261693.0,245.0
02/24/2019,19.7,20.1,19.4,19.9,196692.0,161.0
02/25/2019,19.5,20.6,19.5,19.9,151368.0,176.0
02/26/2019,19.6,20.7,19.6,20.2,195339.0,198.0
02/27/2019,20.0,20.5,19.6,19.8,126213.0,155.0
03/03/2019,19.7,20.6,19.0,19.5,191650.0,176.0
03/04/2019,19.6,19.6,18.9,19.0,185785.0,158.0
03/05/2019,18.6,19.2,18.4,18.7,142882.0,157.0
03/06/2019,18.5,18.9,18.4,18.7,39766.0,
03/07/2019,19.2,19.2,18.6,18.7,81458.0,
03/10/2019,19.0,19.3,18.6,19.0,126622.0,
03/11/2019,19.0,19.0,18.5,18.7,55176.0,
03/12/2019,18.6,18.7,18.3,18.4,88303.0,
03/13/2019,18.4,18.4,17.0,17.6,142349.0,
