date,open,high,low,close,volume,trade
01/01/2018,10.8,10.8,10.6,10.7,3092.0,4.0
01/02/2018,10.8,10.8,10.6,10.7,3092.0,4.0
01/03/2018,10.5,10.7,10.5,10.6,7696.0,13.0
01/04/2018,10.6,10.6,10.5,10.5,15550.0,13.0
01/07/2018,10.6,10.7,10.6,10.6,13554.0,16.0
01/08/2018,10.6,10.7,10.5,10.5,10357.0,13.0
01/09/2018,10.5,10.6,10.4,10.5,6716.0,6.0
01/10/2018,10.5,10.6,10.4,10.5,16557.0,14.0
01/11/2018,10.5,10.6,10.4,10.5,31160.0,36.0
01/14/2018,10.5,10.5,10.2,10.3,44105.0,36.0
01/15/2018,10.1,10.3,10.1,10.2,16748.0,19.0
01/16/2018,10.3,10.4,10.3,10.3,11313.0,16.0
01/17/2018,10.5,10.5,10.5,10.5,1245.0,4.0
01/18/2018,10.7,10.7,10.4,10.5,13227.0,24.0
01/21/2018,10.5,10.7,10.4,10.6,20517.0,22.0
01/22/2018,10.7,10.7,10.3,10.4,75495.0,37.0
01/23/2018,10.5,10.5,10.3,10.4,22746.0,27.0
01/24/2018,10.5,10.5,10.4,10.4,34315.0,34.0
01/25/2018,10.5,10.6,10.5,10.5,17390.0,10.0
01/28/2018,10.5,10.5,10.3,10.4,18916.0,18.0
01/29/2018,10.4,10.5,10.3,10.3,30121.0,49.0
01/30/2018,10.4,10.5,10.3,10.4,14900.0,11.0
01/31/2018,10.3,10.4,10.0,10.1,46102.0,30.0
02/01/2018,10.0,10.4,10.0,10.4,1404.0,4.0
02/04/2018,10.1,10.1,9.9,10.0,25991.0,31.0
02/05/2018,10.0,10.0,9.8,9.9,34042.0,30.0
02/06/2018,10.1,10.2,10.1,10.1,16740.0,22.0
02/07/2018,10.0,10.2,10.0,10.0,24590.0,23.0
02/08/2018,10.0,10.1,10.0,10.1,22173.0,29.0
02/11/2018,10.2,10.3,10.2,10.3,10797.0,24.0
02/12/2018,10.3,10.3,10.1,10.2,48000.0,36.0
02/13/2018,10.3,10.6,10.3,10.5,58401.0,30.0
02/14/2018,10.8,10.8,10.6,10.6,16516.0,14.0
02/15/2018,10.5,10.5,10.4,10.5,31190.0,19.0
02/18/2018,10.5,10.5,10.3,10.4,14150.0,16.0
02/19/2018,10.4,10.4,10.0,10.2,27500.0,18.0
02/20/2018,9.9,9.9,9.9,9.9,2697.0,3.0
02/22/2018,10.0,10.0,9.9,9.9,14379.0,11.0
02/25/2018,9.9,9.9,9.9,9.9,5263.0,5.0
02/26/2018,10.2,10.2,9.8,9.9,12152.0,22.0
02/27/2018,10.1,10.2,9.9,9.9,8686.0,15.0
02/28/2018,10.0,10.0,10.0,10.0,1338.0,4.0
03/01/2018,10.0,10.0,9.7,9.7,4000.0,10.0
03/04/2018,9.8,9.8,9.8,9.8,2516.0,5.0
03/05/2018,9.8,9.8,9.8,9.8,2516.0,0.0
03/06/2018,9.9,9.9,9.8,9.8,5272.0,8.0
03/07/2018,9.8,9.9,9.8,9.9,8948.0,15.0
03/08/2018,9.8,10.0,9.5,9.6,23041.0,35.0
03/11/2018,9.6,9.8,9.6,9.7,2360.0,4.0
03/12/2018,9.6,9.8,9.6,9.7,2360.0,0.0
03/13/2018,9.9,9.9,9.5,9.7,4698.0,6.0
03/14/2018,9.5,9.5,9.5,9.5,3980.0,4.0
03/15/2018,9.6,9.6,9.3,9.5,11580.0,13.0
03/18/2018,9.6,9.6,9.3,9.4,7544.0,12.0
03/19/2018,9.4,9.4,9.2,9.2,5520.0,4.0
03/20/2018,9.3,9.5,9.3,9.3,1480.0,4.0
03/21/2018,9.3,9.3,9.1,9.2,5844.0,9.0
03/22/2018,9.1,9.2,9.0,9.1,15126.0,25.0
03/25/2018,9.2,9.2,9.1,9.1,289.0,2.0
03/27/2018,9.0,9.1,8.5,8.7,24684.0,33.0
03/28/2018,8.7,8.7,8.7,8.7,2272.0,6.0
03/29/2018,8.5,9.5,8.5,9.2,9798.0,20.0
04/01/2018,9.1,10.1,9.1,10.1,55672.0,33.0
04/02/2018,10.1,10.2,10.0,10.1,9972.0,10.0
04/03/2018,9.2,10.1,9.2,9.8,729.0,12.0
04/04/2018,9.7,9.7,9.7,9.7,12.0,1.0
04/05/2018,9.3,9.8,9.3,9.6,2284.0,13.0
04/08/2018,9.3,9.8,9.3,9.6,2284.0,0.0
04/09/2018,9.3,9.7,9.3,9.4,1910.0,7.0
04/10/2018,9.7,9.8,9.5,9.7,32940.0,37.0
04/11/2018,9.5,10.0,9.5,9.6,1402.0,3.0
04/12/2018,9.6,9.6,9.4,9.4,2133.0,8.0
04/15/2018,9.4,9.4,9.3,9.3,4601.0,4.0
04/16/2018,9.3,9.3,9.2,9.2,2700.0,4.0
04/17/2018,9.3,9.4,9.2,9.3,3353.0,12.0
04/18/2018,9.2,9.2,9.2,9.2,14650.0,6.0
04/19/2018,9.4,9.4,9.3,9.4,4172.0,9.0
04/22/2018,9.6,9.6,9.1,9.2,11126.0,23.0
04/23/2018,9.3,9.4,9.1,9.3,2500.0,4.0
04/24/2018,9.2,9.3,9.0,9.2,13708.0,14.0
04/25/2018,9.1,9.2,9.0,9.1,10976.0,10.0
04/26/2018,9.1,9.2,9.0,9.0,1467.0,8.0
04/30/2018,9.3,9.3,8.9,9.1,8700.0,13.0
05/03/2018,9.5,9.5,8.8,8.9,3582.0,9.0
05/06/2018,8.9,8.9,8.2,8.5,2312.0,7.0
05/07/2018,8.3,9.1,8.3,8.5,10605.0,13.0
05/08/2018,8.6,8.8,8.6,8.6,151.0,3.0
05/09/2018,8.5,8.5,8.0,8.1,96176.0,124.0
05/10/2018,8.1,8.1,7.3,7.4,128754.0,121.0
05/13/2018,7.5,7.9,7.0,7.5,71317.0,46.0
05/14/2018,7.4,8.0,7.1,7.4,12943.0,51.0
05/15/2018,7.2,7.6,7.0,7.1,65231.0,65.0
05/16/2018,7.6,7.6,6.9,7.0,41684.0,44.0
05/17/2018,7.4,7.4,7.0,7.0,33100.0,42.0
05/20/2018,7.1,7.1,7.0,7.1,19959.0,17.0
05/21/2018,7.1,7.4,7.0,7.1,21020.0,25.0
05/22/2018,7.1,7.3,7.0,7.1,24653.0,24.0
05/23/2018,7.1,7.3,6.9,7.0,57350.0,35.0
05/24/2018,7.1,7.3,6.7,6.8,32460.0,51.0
05/27/2018,7.0,7.0,6.8,6.9,10513.0,15.0
05/28/2018,7.0,7.0,6.8,6.8,30005.0,32.0
05/29/2018,6.8,6.8,6.6,6.7,37512.0,32.0
05/30/2018,6.8,6.8,6.5,6.6,22328.0,38.0
05/31/2018,6.7,6.9,6.7,6.7,3008.0,13.0
06/03/2018,6.7,6.9,6.5,6.6,21264.0,17.0
06/04/2018,6.7,6.9,6.7,6.7,16565.0,36.0
06/05/2018,6.8,6.8,6.6,6.7,30943.0,46.0
06/06/2018,6.7,6.8,6.5,6.6,63588.0,71.0
06/07/2018,6.7,6.8,6.6,6.6,41686.0,62.0
06/10/2018,6.7,6.8,6.6,6.6,41686.0,0.0
06/11/2018,6.6,6.9,6.6,6.6,505.0,3.0
06/12/2018,6.7,6.7,6.6,6.6,1000.0,2.0
06/18/2018,6.9,6.9,6.9,6.9,10.0,1.0
06/19/2018,6.6,7.0,6.6,6.7,14130.0,12.0
06/20/2018,7.0,7.0,6.8,6.9,22177.0,18.0
06/21/2018,6.8,7.0,6.6,6.7,9800.0,11.0
06/24/2018,6.7,7.0,6.7,6.7,505.0,2.0
06/25/2018,6.9,7.2,6.9,7.0,4682.0,10.0
06/26/2018,7.1,7.1,7.0,7.1,26384.0,30.0
06/27/2018,7.0,7.1,6.8,7.0,12925.0,18.0
06/28/2018,6.9,6.9,6.8,6.8,9931.0,11.0
07/02/2018,6.6,6.6,6.6,6.6,176.0,2.0
