date,open,high,low,close,volume,trade
01/01/2018,19.9,19.9,19.7,19.8,71340.0,50.0
01/02/2018,19.9,19.9,19.7,19.8,71340.0,85.0
01/03/2018,19.9,20.3,19.9,20.1,161299.0,126.0
01/04/2018,20.2,20.3,19.9,20.0,74905.0,96.0
01/07/2018,19.9,20.0,19.9,20.0,112406.0,94.0
01/08/2018,19.9,19.9,19.7,19.7,77266.0,98.0
01/09/2018,19.8,19.8,19.2,19.4,124624.0,156.0
01/10/2018,19.4,19.6,19.1,19.2,68858.0,93.0
01/11/2018,19.2,19.2,18.9,19.0,90354.0,125.0
01/14/2018,19.0,19.0,18.4,18.5,68432.0,99.0
01/15/2018,18.5,18.6,18.1,18.3,80384.0,108.0
01/16/2018,18.5,18.6,18.1,18.5,61715.0,81.0
01/17/2018,18.5,18.5,18.1,18.1,109083.0,91.0
01/18/2018,18.1,18.3,17.9,18.0,89143.0,75.0
01/21/2018,18.0,18.2,17.9,17.9,54992.0,62.0
01/22/2018,18.1,18.2,18.0,18.0,62635.0,63.0
01/23/2018,18.4,18.4,17.9,18.0,77564.0,80.0
01/24/2018,18.1,18.1,17.9,18.0,62650.0,51.0
01/25/2018,18.1,18.1,17.8,17.8,68155.0,88.0
01/28/2018,17.8,17.8,17.5,17.6,89555.0,65.0
01/29/2018,17.8,17.8,17.4,17.5,84350.0,85.0
01/30/2018,17.6,18.0,17.6,17.9,45436.0,65.0
01/31/2018,17.6,17.6,17.3,17.4,52012.0,66.0
02/01/2018,17.5,17.5,17.1,17.4,73288.0,70.0
02/04/2018,17.5,17.5,16.8,16.9,64325.0,59.0
02/05/2018,16.6,16.9,16.4,16.8,32814.0,61.0
02/06/2018,16.7,17.5,16.7,17.1,69825.0,119.0
02/07/2018,16.7,17.0,16.7,17.0,31420.0,43.0
02/08/2018,16.8,17.2,16.8,17.1,23800.0,35.0
02/11/2018,17.2,17.8,17.2,17.7,35374.0,74.0
02/12/2018,18.1,18.1,17.5,17.5,76437.0,100.0
02/13/2018,17.7,17.7,17.2,17.4,60868.0,68.0
02/14/2018,17.5,17.8,17.3,17.8,56006.0,61.0
02/15/2018,17.7,17.7,17.5,17.6,35056.0,42.0
02/18/2018,17.3,17.4,16.9,17.0,119661.0,103.0
02/19/2018,17.2,17.4,16.7,16.9,86850.0,101.0
02/20/2018,17.2,17.2,16.6,16.7,79955.0,93.0
02/22/2018,17.0,17.0,16.5,16.6,45020.0,66.0
02/25/2018,16.5,16.5,16.3,16.4,22190.0,41.0
02/26/2018,16.5,16.5,16.1,16.3,64922.0,83.0
02/27/2018,16.5,16.5,16.2,16.3,6699.0,21.0
02/28/2018,16.2,16.8,16.2,16.6,97780.0,84.0
03/01/2018,16.4,16.8,16.4,16.8,49600.0,55.0
03/04/2018,17.0,17.2,16.5,16.6,92320.0,69.0
03/05/2018,16.6,16.7,16.4,16.5,83970.0,67.0
03/06/2018,16.6,16.7,16.5,16.6,41977.0,38.0
03/07/2018,16.6,16.7,16.5,16.5,44063.0,41.0
03/08/2018,16.5,16.6,16.5,16.6,24532.0,18.0
03/11/2018,16.6,16.6,16.3,16.4,65500.0,39.0
03/12/2018,16.4,16.4,16.2,16.2,43455.0,53.0
03/13/2018,16.0,16.0,15.9,16.0,42513.0,56.0
03/14/2018,16.0,16.3,16.0,16.2,11280.0,26.0
03/15/2018,16.2,16.4,16.1,16.4,43443.0,57.0
03/18/2018,16.3,16.3,16.2,16.2,32256.0,38.0
03/19/2018,16.2,16.2,15.5,15.6,112173.0,130.0
03/20/2018,15.2,15.7,15.2,15.5,76730.0,53.0
03/21/2018,15.5,15.6,15.4,15.4,78299.0,36.0
03/22/2018,15.6,15.6,15.2,15.4,43026.0,38.0
03/25/2018,15.8,15.8,15.1,15.2,39123.0,53.0
03/27/2018,15.1,15.2,14.6,14.7,42573.0,52.0
03/28/2018,14.5,15.1,14.5,14.6,78995.0,57.0
03/29/2018,14.7,15.4,14.7,15.1,99286.0,100.0
04/01/2018,15.4,16.0,15.4,15.9,128735.0,154.0
04/02/2018,16.0,16.1,15.7,16.0,171356.0,151.0
