date,open,high,low,close,volume,trade
07/02/2018,141.2,155.0,129.4,130.8,6308834.0,35495.0
07/03/2018,129.6,160.0,126.3,158.1,3439060.0,24486.0
07/04/2018,159.0,173.9,156.0,173.9,3527280.0,13989.0
07/05/2018,184.0,190.5,176.0,181.6,3216025.0,12216.0
07/08/2018,178.0,183.8,163.9,165.7,3811394.0,14472.0
07/09/2018,166.0,175.0,162.1,166.9,2396144.0,9798.0
07/10/2018,169.0,174.9,156.0,158.5,2770189.0,10559.0
07/11/2018,158.5,163.0,145.0,146.7,2617460.0,10645.0
07/12/2018,148.2,158.7,148.2,153.2,1394960.0,6298.0
07/15/2018,156.0,156.0,139.0,141.1,1696763.0,7047.0
07/16/2018,144.4,147.1,140.5,141.2,1179761.0,4982.0
07/17/2018,143.7,145.0,134.5,135.1,1375468.0,5892.0
07/18/2018,137.0,145.5,131.2,142.9,1762568.0,6591.0
07/19/2018,144.0,147.8,137.5,139.1,1147734.0,4227.0
07/22/2018,139.7,142.7,132.1,133.0,1354249.0,5456.0
07/23/2018,133.6,144.9,133.3,140.9,1362303.0,5318.0
07/24/2018,142.0,143.2,135.9,136.5,1071081.0,4277.0
07/25/2018,138.0,138.8,133.1,133.6,1095260.0,3893.0
07/26/2018,135.9,138.9,134.0,137.0,1066252.0,3790.0
07/29/2018,138.4,139.8,133.0,133.7,699988.0,3077.0
07/30/2018,134.0,135.4,129.8,131.5,683339.0,
07/31/2018,133.0,133.2,129.4,129.6,936741.0,3691.0
08/01/2018,131.0,134.2,128.0,128.5,622454.0,2821.0
08/02/2018,130.0,130.0,124.9,125.2,770621.0,3307.0
08/05/2018,125.2,126.0,120.1,120.5,598521.0,2902.0
08/06/2018,121.0,125.0,118.1,121.8,692571.0,3058.0
08/07/2018,123.7,126.9,123.5,123.9,564729.0,2562.0
08/08/2018,124.9,125.6,119.6,120.0,546249.0,2570.0
08/09/2018,120.4,121.4,117.0,117.2,553063.0,2444.0
08/12/2018,118.4,119.9,114.1,114.9,514128.0,2273.0
08/13/2018,114.9,117.0,109.9,110.3,392014.0,2214.0
08/14/2018,110.4,121.3,110.3,120.1,968885.0,4297.0
08/16/2018,123.5,129.0,123.0,125.9,1207388.0,4472.0
08/19/2018,125.9,126.0,117.0,117.9,499653.0,2304.0
08/20/2018,117.9,123.4,115.4,121.3,411554.0,1870.0
08/26/2018,122.5,124.4,121.0,121.4,312496.0,1454.0
08/27/2018,122.6,123.9,120.5,123.0,300690.0,1546.0
08/28/2018,123.5,124.9,122.0,122.8,423199.0,1597.0
08/29/2018,123.0,124.2,120.4,120.8,297696.0,1315.0
08/30/2018,120.3,122.0,118.0,118.9,332923.0,1611.0
09/03/2018,119.8,121.3,118.0,118.6,238620.0,1265.0
09/04/2018,119.1,125.0,118.8,123.8,763214.0,3356.0
09/05/2018,124.7,135.9,124.1,132.2,1172998.0,4348.0
09/06/2018,133.0,134.5,126.0,126.6,636731.0,2238.0
09/09/2018,126.6,127.8,121.0,122.5,472958.0,1607.0
09/10/2018,123.9,127.2,122.7,123.7,466274.0,1734.0
09/11/2018,125.0,126.6,123.8,124.2,281505.0,881.0
09/12/2018,125.8,126.6,123.5,124.2,463538.0,1268.0
09/13/2018,125.8,129.5,124.6,125.3,636314.0,2069.0
09/16/2018,126.0,127.4,123.0,123.5,323077.0,1354.0
09/17/2018,125.6,126.3,119.5,120.5,373362.0,1575.0
09/18/2018,121.0,122.8,118.0,118.9,328518.0,1386.0
09/19/2018,119.0,121.2,119.0,119.3,360186.0,1109.0
09/20/2018,119.3,122.5,119.0,119.2,318322.0,1244.0
09/23/2018,120.2,121.0,116.8,117.1,231073.0,922.0
09/24/2018,117.1,117.2,112.0,112.4,298977.0,1280.0
09/25/2018,112.7,114.9,110.4,114.0,246263.0,977.0
09/26/2018,114.5,118.0,114.2,115.0,214087.0,1014.0
09/27/2018,115.1,116.1,111.5,112.4,224138.0,927.0
09/30/2018,113.0,115.9,112.6,113.5,231300.0,946.0
10/01/2018,113.6,117.7,110.8,112.1,1107030.0,946.0
10/02/2018,112.3,114.7,111.5,111.9,576268.0,1770.0
10/03/2018,112.5,113.4,111.3,111.6,379858.0,1451.0
10/04/2018,112.0,119.0,111.1,118.0,1135448.0,4176.0
10/07/2018,119.0,122.0,116.9,121.2,1022394.0,0.0
10/08/2018,121.2,122.5,115.5,116.2,653499.0,
10/09/2018,116.2,117.4,113.7,114.3,509233.0,
10/10/2018,114.3,116.7,112.8,113.0,342353.0,16.0
10/11/2018,114.9,114.9,112.2,112.6,324079.0,1183.0
10/14/2018,112.6,113.9,111.4,111.7,382766.0,1493.0
10/15/2018,112.9,114.4,111.5,111.9,339357.0,1452.0
10/16/2018,112.9,113.9,111.7,112.0,218488.0,1038.0
10/17/2018,112.9,112.9,109.6,109.9,346100.0,1785.0
10/18/2018,109.9,110.3,105.3,106.1,471238.0,2115.0
10/21/2018,105.8,107.8,101.0,102.1,235094.0,1257.0
10/22/2018,103.6,103.6,97.0,99.0,237956.0,1157.0
10/23/2018,99.4,101.0,96.3,97.5,284339.0,1177.0
10/24/2018,99.0,102.3,97.5,98.0,474289.0,1626.0
10/25/2018,99.0,99.7,96.1,97.2,248830.0,
10/28/2018,97.9,98.0,91.3,92.0,337873.0,
10/29/2018,92.0,97.4,89.9,95.9,458907.0,
10/30/2018,97.0,99.7,96.0,96.8,375371.0,
10/31/2018,96.8,97.4,94.5,95.2,399434.0,
11/01/2018,95.0,98.4,94.6,95.0,254845.0,
11/04/2018,95.5,104.5,95.4,104.5,685558.0,
11/05/2018,106.5,109.6,102.9,103.6,777042.0,
11/06/2018,103.0,103.6,98.5,99.6,439309.0,
11/07/2018,100.0,104.0,100.0,102.5,393313.0,
11/08/2018,102.5,104.4,100.1,100.8,416080.0,1244.0
11/11/2018,102.0,102.8,98.0,98.6,305210.0,1086.0
11/12/2018,100.0,100.0,95.2,95.5,254739.0,1195.0
11/13/2018,95.5,96.9,95.2,95.7,210694.0,860.0
11/14/2018,96.9,98.9,92.1,95.1,324192.0,1262.0
11/15/2018,98.0,101.0,97.3,98.6,393308.0,1386.0
