date,open,high,low,close,volume,trade
07/15/2021,31.9,31.9,31.9,31.9,27033.0,36.0
07/18/2021,35.0,35.0,35.0,35.0,4410.0,51.0
07/19/2021,38.5,38.5,38.5,38.5,7032.0,101.0
07/25/2021,42.3,42.3,42.3,42.3,123531.0,496.0
07/26/2021,46.5,46.5,45.6,46.5,16202625.0,26805.0
07/27/2021,50.0,50.0,43.2,43.9,11234707.0,36489.0
07/28/2021,43.5,44.6,42.2,43.3,4844959.0,13640.0
07/29/2021,43.9,45.8,42.9,44.7,3559976.0,10318.0
08/02/2021,45.3,45.4,43.7,44.0,3923578.0,8876.0
08/03/2021,44.0,44.7,43.6,43.8,3738120.0,7277.0
08/05/2021,44.0,44.4,43.5,43.6,3433613.0,7570.0
08/09/2021,43.8,45.4,43.1,45.0,4556839.0,8952.0
08/10/2021,45.4,45.9,44.2,44.4,3035561.0,5946.0
08/11/2021,44.4,44.8,43.7,44.1,2246390.0,4617.0
08/12/2021,44.2,44.4,43.6,43.7,2625379.0,4095.0
08/16/2021,43.9,44.9,43.7,44.2,3075488.0,5322.0
08/17/2021,44.4,44.6,43.8,43.9,1852555.0,3493.0
08/18/2021,44.0,45.5,43.7,44.5,4166453.0,6810.0
08/19/2021,44.5,45.0,44.3,44.4,1618777.0,2891.0
08/22/2021,44.7,45.4,44.5,44.7,3045851.0,4528.0
08/23/2021,44.9,47.7,44.9,47.0,6916771.0,9641.0
08/24/2021,47.4,47.7,46.2,46.3,3061115.0,4714.0
08/25/2021,46.4,46.6,44.9,45.2,3378443.0,4262.0
08/26/2021,45.5,45.5,44.7,44.8,1946486.0,4237.0
08/29/2021,44.8,46.3,44.7,45.2,1897030.0,4144.0
08/31/2021,45.6,46.0,45.0,45.1,2067062.0,4026.0
09/01/2021,45.5,46.5,45.1,46.3,2596865.0,4467.0
09/02/2021,46.8,47.7,46.5,46.9,4649119.0,7069.0
09/05/2021,47.2,47.4,46.7,47.3,3865895.0,4453.0
09/06/2021,47.9,52.0,47.8,51.4,10928700.0,11022.0
09/07/2021,52.5,54.3,50.2,50.6,6914209.0,7576.0
09/08/2021,50.4,50.5,49.4,49.6,4371444.0,4947.0
09/09/2021,49.9,50.0,48.4,48.5,3495585.0,3445.0
09/12/2021,48.6,49.7,47.0,47.1,3099161.0,3774.0
09/13/2021,47.1,47.7,46.7,47.1,1598163.0,2711.0
09/14/2021,47.2,47.9,46.3,46.5,1916349.0,2733.0
09/15/2021,46.7,47.2,46.0,46.2,1633450.0,2202.0
09/16/2021,46.7,47.6,46.6,47.1,2151139.0,2934.0
09/19/2021,47.6,47.6,46.1,46.2,1560693.0,2306.0
09/20/2021,46.4,46.5,45.8,46.0,1407821.0,2577.0
09/21/2021,46.1,46.6,45.8,45.9,1263815.0,2200.0
09/22/2021,46.1,46.6,45.5,45.7,1295299.0,1699.0
09/23/2021,46.0,46.1,45.5,45.8,752191.0,1405.0
09/26/2021,46.0,46.7,45.7,46.0,1688586.0,1801.0
09/27/2021,46.3,48.0,46.2,47.8,3726136.0,3975.0
09/28/2021,48.3,50.8,48.3,50.0,6634842.0,7929.0
09/29/2021,50.0,50.5,47.9,48.1,3341358.0,3679.0
09/30/2021,48.2,52.0,48.2,51.4,7639105.0,8075.0
10/03/2021,51.8,53.5,51.5,53.0,7354265.0,7625.0
10/04/2021,53.0,54.9,49.0,50.6,8304925.0,7153.0
10/05/2021,50.9,51.7,49.6,51.2,6070744.0,7876.0
10/06/2021,51.9,55.0,51.9,54.0,8378672.0,9317.0
10/07/2021,54.9,54.9,51.5,51.7,7023626.0,5618.0
10/10/2021,52.0,52.5,50.0,50.6,3838638.0,3396.0
10/11/2021,50.5,51.6,49.5,49.9,2465458.0,3767.0
10/12/2021,50.0,50.5,47.8,48.1,3002085.0,3658.0
10/13/2021,48.7,48.7,47.2,47.4,2460387.0,3984.0
10/14/2021,47.5,48.4,47.1,48.1,1527097.0,3568.0
10/17/2021,48.2,48.7,46.1,46.2,1636713.0,2760.0
10/18/2021,46.4,47.1,44.9,45.3,1606862.0,2920.0
10/19/2021,46.0,46.7,44.3,44.6,1351242.0,2012.0
10/21/2021,45.8,45.8,44.5,45.4,1360903.0,1546.0
10/24/2021,45.8,45.8,42.0,43.2,1076468.0,1406.0
10/25/2021,43.3,43.7,40.8,41.5,1968186.0,2242.0
10/26/2021,41.6,44.2,41.6,43.7,1372721.0,1478.0
10/27/2021,43.7,44.0,42.2,42.5,1246162.0,1664.0
10/28/2021,43.0,44.0,41.9,43.8,997313.0,1440.0
10/31/2021,44.9,46.4,43.9,44.1,2196942.0,2519.0
11/01/2021,44.4,44.5,43.2,43.7,1054161.0,1097.0
11/02/2021,44.2,44.2,42.4,42.8,916259.0,1515.0
11/03/2021,43.2,43.3,41.6,41.8,1127762.0,1515.0
11/04/2021,42.5,42.5,41.3,41.5,1072442.0,1467.0
11/07/2021,41.6,42.1,40.7,40.9,786403.0,1540.0
11/08/2021,40.8,41.1,39.4,39.6,1149979.0,1845.0
11/09/2021,39.9,40.4,39.5,40.1,1506195.0,1445.0
11/10/2021,40.6,41.3,40.2,41.0,1494206.0,1251.0
11/11/2021,41.4,42.5,40.9,41.7,1704929.0,1666.0
11/14/2021,41.8,41.8,40.0,40.4,925897.0,1036.0
11/15/2021,40.5,40.8,39.5,39.6,996185.0,1270.0
11/16/2021,40.4,40.8,40.0,40.2,960502.0,937.0
11/17/2021,40.3,40.6,39.2,39.4,986148.0,1320.0
11/18/2021,39.5,40.2,38.9,39.2,1216456.0,1411.0
11/21/2021,39.5,39.5,38.1,38.4,1241613.0,1670.0
11/22/2021,38.4,39.1,38.2,38.6,457136.0,641.0
11/23/2021,38.8,39.2,38.2,38.3,1444689.0,1209.0
11/24/2021,38.8,39.2,38.2,38.3,1444689.0,0.0
11/25/2021,37.3,37.3,36.5,36.6,1034925.0,1478.0
11/28/2021,36.5,36.9,36.1,36.3,518211.0,864.0
11/29/2021,36.4,37.1,36.4,36.9,388579.0,651.0
11/30/2021,37.0,37.3,36.5,36.6,418605.0,758.0
12/01/2021,37.1,37.9,37.0,37.5,556342.0,1062.0
12/02/2021,37.2,39.0,36.6,38.6,1258882.0,1514.0
12/05/2021,38.9,39.1,38.0,38.3,761421.0,1381.0
12/06/2021,38.1,38.8,38.0,38.4,709887.0,762.0
12/07/2021,38.8,39.4,38.6,39.2,907297.0,879.0
12/08/2021,39.0,39.5,38.1,38.3,1162672.0,1202.0
12/09/2021,38.8,38.9,38.4,38.6,381895.0,735.0
12/12/2021,39.0,39.4,38.6,38.7,811771.0,1218.0
12/13/2021,38.9,39.0,38.5,38.7,325582.0,589.0
12/14/2021,38.8,39.0,37.4,37.6,682247.0,1044.0
12/15/2021,37.4,37.7,36.7,36.9,659819.0,944.0
12/19/2021,36.8,37.0,36.0,36.1,559858.0,1922.0
12/20/2021,36.0,36.5,35.3,35.4,447858.0,1797.0
12/21/2021,35.4,36.9,35.3,35.4,482990.0,1247.0
12/22/2021,35.2,35.7,35.0,35.2,352410.0,1159.0
12/23/2021,35.5,35.5,34.4,34.5,582616.0,1240.0
12/26/2021,34.8,34.8,33.4,33.6,786008.0,1839.0
12/27/2021,33.6,34.4,33.5,33.6,554761.0,1430.0
12/28/2021,33.6,34.8,33.6,34.5,1024639.0,2137.0
12/29/2021,34.5,35.5,34.5,34.6,690746.0,1305.0
12/30/2021,34.6,34.8,34.1,34.2,604996.0,970.0
01/02/2022,34.3,35.6,34.2,35.2,689035.0,709.0
01/03/2022,35.5,36.6,35.2,35.8,968753.0,1045.0
01/04/2022,35.5,36.2,35.4,35.6,492948.0,594.0
01/05/2022,36.0,37.3,36.0,36.6,1104469.0,1248.0
01/06/2022,37.1,38.6,36.6,38.3,1655818.0,2148.0
01/09/2022,38.5,39.0,37.0,37.2,1225063.0,1381.0
01/10/2022,37.2,38.3,36.6,38.0,987940.0,1172.0
01/11/2022,38.5,39.4,38.3,38.5,2098438.0,1784.0
01/12/2022,38.9,39.4,37.1,37.4,1344634.0,1427.0
01/13/2022,37.3,37.7,36.9,37.3,736876.0,920.0
01/16/2022,37.2,37.6,36.7,36.8,846257.0,1207.0
01/17/2022,37.3,37.5,36.7,37.0,691020.0,862.0
01/18/2022,37.5,37.5,36.7,36.8,648836.0,1064.0
01/19/2022,37.0,37.4,36.8,36.9,533095.0,699.0
01/20/2022,36.9,37.4,36.6,36.7,535599.0,859.0
01/23/2022,37.0,37.2,36.2,36.3,432595.0,730.0
01/24/2022,36.7,36.8,35.6,35.7,414754.0,745.0
01/25/2022,36.0,36.2,35.2,35.5,392479.0,922.0
01/26/2022,35.5,36.0,35.5,35.6,310696.0,658.0
01/27/2022,35.5,35.9,35.4,35.5,329678.0,622.0
01/30/2022,35.6,35.6,35.0,35.0,555047.0,753.0
01/31/2022,35.0,35.0,34.0,34.3,672420.0,1037.0
02/01/2022,34.8,35.0,34.3,34.8,446390.0,635.0
02/02/2022,34.9,36.0,34.9,35.4,721842.0,830.0
02/03/2022,35.5,35.7,35.3,35.5,318216.0,487.0
02/06/2022,35.4,35.5,35.0,35.1,495442.0,774.0
02/07/2022,35.1,35.3,34.6,34.6,789624.0,1059.0
02/08/2022,34.7,35.9,34.5,35.5,696278.0,874.0
02/09/2022,35.7,36.1,35.1,35.4,400973.0,609.0
02/10/2022,35.2,35.5,35.2,35.3,326349.0,615.0
02/13/2022,35.7,35.7,35.1,35.2,379482.0,1188.0
02/14/2022,35.2,35.4,34.8,34.8,508363.0,1324.0
02/15/2022,34.9,34.9,34.4,34.5,383721.0,735.0
02/16/2022,34.5,34.9,34.4,34.5,253843.0,670.0
02/17/2022,34.5,34.8,34.0,34.0,407120.0,1039.0
02/20/2022,34.0,34.0,33.6,33.7,258754.0,571.0
02/22/2022,33.6,34.1,33.6,33.9,191855.0,507.0
02/23/2022,34.0,34.3,33.9,34.2,198809.0,447.0
02/24/2022,34.2,34.5,33.4,33.5,666819.0,909.0
02/27/2022,33.6,33.8,32.0,32.2,580566.0,1295.0
02/28/2022,32.2,32.9,32.2,32.8,227386.0,537.0
03/01/2022,32.9,33.2,32.5,32.7,345344.0,802.0
03/02/2022,32.7,32.9,32.0,32.1,388329.0,736.0
03/03/2022,32.1,32.2,31.7,32.0,289056.0,678.0
03/06/2022,32.1,32.1,31.8,31.9,159679.0,343.0
03/07/2022,32.0,32.0,31.0,31.1,365262.0,616.0
03/08/2022,31.1,31.5,29.9,31.2,420409.0,637.0
03/09/2022,31.8,32.3,31.2,32.2,249507.0,412.0
03/10/2022,32.4,33.7,32.2,33.1,538842.0,659.0
03/13/2022,33.2,34.3,33.1,33.9,770101.0,907.0
03/14/2022,33.9,33.9,33.3,33.4,368905.0,538.0
03/15/2022,33.6,34.4,33.0,34.2,718631.0,799.0
03/16/2022,34.3,35.1,34.0,34.1,748271.0,819.0
03/20/2022,34.1,34.1,33.5,33.5,160898.0,265.0
03/21/2022,33.3,33.4,32.9,33.0,303441.0,578.0
03/22/2022,33.4,33.4,32.6,32.9,367329.0,517.0
03/23/2022,33.4,33.4,32.8,32.9,149348.0,272.0
03/24/2022,33.3,33.5,32.8,32.9,274718.0,490.0
03/27/2022,32.9,33.1,32.4,32.5,297109.0,496.0
03/28/2022,32.5,32.8,32.1,32.3,364628.0,640.0
03/29/2022,32.3,32.7,32.1,32.5,266347.0,413.0
03/30/2022,32.8,32.8,32.4,32.5,103928.0,303.0
03/31/2022,32.5,32.8,32.3,32.5,144417.0,252.0
04/03/2022,32.7,32.7,32.3,32.4,158360.0,285.0
04/04/2022,32.5,32.5,32.1,32.2,143286.0,317.0
04/05/2022,32.2,32.2,31.7,31.7,229030.0,501.0
04/06/2022,31.9,31.9,31.3,31.5,140290.0,312.0
04/07/2022,31.3,31.5,31.0,31.3,170722.0,442.0
04/10/2022,31.7,32.0,31.3,31.8,126563.0,323.0
04/11/2022,31.7,32.3,31.6,31.7,147712.0,312.0
