date,open,high,low,close,volume,trade
01/01/2018,46.9,47.7,46.8,46.9,260687.0,501.0
01/02/2018,46.9,47.1,46.7,46.9,45035.0,615.0
01/03/2018,47.0,47.0,46.0,46.3,468516.0,792.0
01/04/2018,46.0,46.0,45.2,45.5,682082.0,1202.0
01/07/2018,45.9,45.9,45.4,45.7,450163.0,611.0
01/08/2018,45.7,45.9,45.4,45.5,274106.0,543.0
01/09/2018,45.6,45.8,45.2,45.5,304605.0,507.0
01/10/2018,45.4,45.7,45.0,45.1,331405.0,585.0
01/11/2018,45.4,45.7,45.0,45.3,286986.0,587.0
01/14/2018,45.3,45.5,44.6,44.7,170163.0,463.0
01/15/2018,44.9,45.0,44.3,44.4,113039.0,368.0
01/16/2018,44.7,45.2,44.2,44.6,153902.0,284.0
01/17/2018,44.6,44.8,44.1,44.2,199361.0,358.0
01/18/2018,44.4,44.8,43.9,44.4,234774.0,381.0
01/21/2018,44.8,45.5,44.6,45.2,433286.0,826.0
01/22/2018,45.3,45.5,44.8,45.0,377239.0,462.0
01/23/2018,45.0,45.6,45.0,45.4,598894.0,615.0
01/24/2018,45.0,45.6,45.0,45.4,598894.0,0.0
01/25/2018,45.2,45.2,44.2,45.0,509058.0,720.0
01/28/2018,44.7,44.9,44.2,44.3,249627.0,333.0
01/29/2018,44.5,44.5,44.0,44.2,301842.0,380.0
01/30/2018,44.3,44.5,43.9,44.1,294014.0,299.0
01/31/2018,44.3,44.8,43.4,43.5,325404.0,373.0
02/01/2018,44.0,44.0,42.5,42.8,189025.0,323.0
02/04/2018,43.0,43.0,41.5,42.2,204945.0,391.0
02/05/2018,41.7,44.4,41.6,43.2,311114.0,563.0
02/06/2018,43.5,43.8,43.1,43.4,179431.0,456.0
02/07/2018,42.8,43.4,42.6,42.7,114886.0,313.0
02/08/2018,42.3,43.1,41.9,42.0,167733.0,307.0
02/11/2018,42.0,43.1,42.0,42.5,157051.0,431.0
02/12/2018,42.9,45.7,42.7,45.5,652457.0,1292.0
02/13/2018,45.3,45.9,44.6,45.8,515970.0,775.0
02/14/2018,45.3,45.8,44.7,45.0,369858.0,663.0
02/15/2018,44.9,44.9,43.8,44.0,311586.0,513.0
02/18/2018,44.0,44.1,43.3,43.5,296503.0,528.0
02/19/2018,43.9,45.2,43.6,44.6,471883.0,628.0
02/20/2018,44.9,44.9,43.7,43.8,201087.0,386.0
02/22/2018,44.0,44.3,43.5,43.8,163376.0,343.0
02/25/2018,43.8,44.1,43.3,43.5,224066.0,423.0
02/26/2018,43.3,44.0,43.0,43.2,280053.0,425.0
02/27/2018,43.8,43.9,43.1,43.6,232321.0,413.0
02/28/2018,43.7,44.9,43.2,44.6,480426.0,677.0
03/01/2018,44.6,45.0,44.0,44.7,305472.0,544.0
03/04/2018,45.5,46.1,45.2,45.7,855188.0,1172.0
03/05/2018,45.9,45.9,44.9,45.1,294473.0,539.0
03/06/2018,45.1,45.7,44.7,45.3,247876.0,485.0
03/07/2018,45.2,46.8,45.2,46.5,1191250.0,1395.0
03/08/2018,46.6,47.0,45.9,46.3,456241.0,774.0
03/11/2018,46.5,46.5,45.2,45.6,403022.0,510.0
03/12/2018,45.6,46.3,44.3,44.7,235091.0,476.0
03/13/2018,45.0,45.0,43.6,43.9,256357.0,467.0
03/14/2018,44.1,44.8,43.8,44.3,215302.0,447.0
03/15/2018,44.8,45.8,44.3,45.7,534833.0,883.0
03/18/2018,46.3,46.6,45.4,45.5,450721.0,664.0
03/19/2018,45.1,45.5,44.3,44.5,265905.0,494.0
03/20/2018,44.2,44.4,43.5,44.2,259822.0,415.0
03/21/2018,44.0,44.6,43.8,44.3,216666.0,511.0
03/22/2018,44.6,44.8,44.0,44.6,308502.0,475.0
03/25/2018,44.8,44.8,43.8,44.0,169192.0,317.0
03/27/2018,44.0,44.0,43.1,43.3,198053.0,307.0
03/28/2018,43.5,43.8,42.9,43.0,182095.0,265.0
03/29/2018,43.8,44.8,43.0,43.5,168861.0,397.0
04/01/2018,44.0,44.6,43.9,44.2,294437.0,438.0
04/02/2018,44.5,44.5,43.9,44.4,436205.0,652.0
04/03/2018,44.5,45.0,44.0,44.1,266109.0,505.0
04/04/2018,44.2,44.7,43.8,43.9,268675.0,414.0
04/05/2018,43.5,44.3,43.2,44.2,154521.0,275.0
04/08/2018,44.1,45.3,44.1,45.0,607734.0,774.0
04/09/2018,45.0,45.1,44.2,44.4,278165.0,481.0
04/10/2018,44.7,44.8,44.0,44.1,401312.0,492.0
04/11/2018,44.4,44.4,43.6,43.7,215353.0,477.0
04/12/2018,43.8,43.9,43.5,43.6,122474.0,305.0
04/15/2018,43.6,44.0,42.9,43.0,332764.0,578.0
04/16/2018,43.5,43.7,43.0,43.5,228084.0,363.0
04/17/2018,43.4,43.8,43.2,43.5,189914.0,372.0
04/18/2018,43.5,43.7,43.2,43.3,159158.0,313.0
04/19/2018,43.3,44.4,43.2,44.0,368797.0,550.0
04/22/2018,43.8,44.4,43.3,43.4,193781.0,322.0
04/23/2018,44.3,44.6,42.8,43.1,281486.0,471.0
04/24/2018,43.5,43.6,42.7,42.9,348163.0,588.0
04/25/2018,43.0,43.3,42.5,42.7,193578.0,419.0
04/26/2018,43.0,43.1,42.7,42.8,117920.0,294.0
04/30/2018,43.0,43.2,42.5,42.7,158339.0,417.0
05/03/2018,43.0,43.0,42.2,42.4,265971.0,521.0
05/06/2018,42.4,42.9,42.3,42.6,174204.0,539.0
05/07/2018,42.6,44.1,42.6,43.3,483695.0,766.0
05/08/2018,43.5,44.1,42.9,43.1,452169.0,755.0
05/09/2018,43.1,43.4,42.6,42.8,231242.0,492.0
05/10/2018,43.0,43.4,42.4,42.5,307535.0,508.0
05/13/2018,42.6,42.8,42.2,42.4,188947.0,310.0
05/14/2018,42.4,42.7,42.1,42.3,154504.0,371.0
05/15/2018,42.3,43.5,42.3,43.1,351121.0,790.0
05/16/2018,43.4,43.4,42.3,42.4,143916.0,314.0
05/17/2018,43.2,43.3,41.9,42.1,404142.0,684.0
05/20/2018,42.2,42.5,41.0,41.2,202437.0,559.0
05/21/2018,41.0,41.8,41.0,41.2,197841.0,510.0
