date,open,high,low,close,volume,trade
01/01/2018,104.2,104.5,102.4,104.2,47551.0,206.0
01/02/2018,103.5,104.7,103.5,104.7,14510.0,389.0
01/03/2018,104.8,107.2,104.3,106.9,198558.0,605.0
01/04/2018,107.2,108.0,105.5,107.6,104941.0,387.0
01/07/2018,107.1,112.4,107.1,111.9,285098.0,1059.0
01/08/2018,112.5,112.5,110.0,111.3,251755.0,735.0
01/09/2018,110.7,110.7,108.5,109.4,65122.0,273.0
01/10/2018,110.0,110.0,108.1,108.3,80148.0,273.0
01/11/2018,105.2,108.1,105.2,107.9,92022.0,342.0
01/14/2018,106.0,108.5,106.0,107.3,65706.0,219.0
01/15/2018,107.7,107.7,105.4,106.5,94066.0,314.0
01/16/2018,106.0,107.0,105.2,106.8,58267.0,212.0
01/17/2018,106.0,106.5,105.0,105.2,48026.0,218.0
01/18/2018,104.5,105.1,103.4,103.9,49172.0,310.0
01/21/2018,105.8,105.9,104.4,105.2,20179.0,93.0
01/22/2018,105.9,106.0,104.6,105.0,47194.0,162.0
01/23/2018,104.3,106.3,104.3,105.6,29711.0,145.0
01/24/2018,106.3,106.4,104.1,104.6,54582.0,204.0
01/25/2018,105.9,105.9,104.2,104.7,22921.0,115.0
01/28/2018,104.6,105.0,103.4,103.6,19756.0,138.0
01/29/2018,103.0,103.0,97.5,99.2,274731.0,803.0
01/30/2018,99.5,101.0,97.5,97.9,61664.0,241.0
01/31/2018,97.6,97.6,95.0,95.2,42270.0,232.0
02/01/2018,96.0,99.2,94.7,95.5,56054.0,209.0
02/04/2018,95.3,95.3,92.0,92.5,50333.0,215.0
02/05/2018,92.6,95.0,90.2,93.5,101750.0,253.0
02/06/2018,93.1,95.5,93.0,93.9,43091.0,207.0
02/07/2018,93.0,94.9,91.5,92.0,49032.0,199.0
02/08/2018,91.9,92.7,91.0,92.2,54663.0,261.0
02/11/2018,92.5,97.3,92.0,96.4,128483.0,454.0
02/12/2018,96.6,104.9,95.6,103.3,186579.0,835.0
02/13/2018,104.9,106.5,102.2,105.5,221064.0,765.0
02/14/2018,106.0,106.3,101.6,102.3,90813.0,458.0
02/15/2018,102.4,103.0,97.3,97.9,145680.0,843.0
02/18/2018,98.9,100.0,97.2,99.1,57029.0,324.0
02/19/2018,100.0,101.2,98.0,98.5,65254.0,406.0
02/20/2018,100.0,100.7,97.5,97.8,33050.0,185.0
02/22/2018,98.0,99.7,97.5,98.3,17817.0,163.0
02/25/2018,99.9,99.9,96.7,97.1,33597.0,180.0
02/26/2018,96.7,98.5,96.7,97.9,91390.0,254.0
02/27/2018,98.1,98.9,97.4,97.7,28619.0,136.0
02/28/2018,97.5,98.4,97.1,97.7,17073.0,99.0
03/01/2018,97.3,98.8,96.7,97.5,35474.0,157.0
03/04/2018,97.7,99.4,97.1,97.4,33916.0,153.0
03/05/2018,97.5,97.8,97.0,97.1,33463.0,168.0
03/06/2018,97.2,98.9,97.2,98.3,29282.0,162.0
03/07/2018,98.1,98.2,97.1,97.3,19872.0,110.0
03/08/2018,97.8,97.9,95.1,96.5,69787.0,318.0
03/11/2018,95.5,96.7,95.5,96.2,5935.0,49.0
03/12/2018,95.9,96.0,93.6,94.0,51633.0,212.0
03/13/2018,95.0,95.0,91.8,92.5,24977.0,162.0
03/14/2018,93.9,94.9,92.6,94.0,21821.0,137.0
03/15/2018,92.7,97.5,92.7,95.7,59815.0,124.0
03/18/2018,95.6,95.7,94.0,95.0,14522.0,105.0
03/19/2018,95.0,95.0,92.8,93.0,14550.0,113.0
03/20/2018,91.4,93.6,91.3,93.1,17719.0,83.0
03/21/2018,93.1,93.1,90.1,90.9,29955.0,178.0
03/22/2018,91.1,92.8,91.0,91.5,32663.0,135.0
03/25/2018,92.0,92.0,91.0,91.7,20870.0,110.0
03/27/2018,91.5,91.5,90.6,90.7,4946.0,40.0
03/28/2018,91.0,91.1,90.0,90.5,24821.0,78.0
03/29/2018,90.1,92.0,90.1,91.8,30888.0,119.0
04/01/2018,92.4,94.9,92.4,93.7,26806.0,190.0
04/02/2018,93.3,96.4,93.2,95.3,36748.0,236.0
04/03/2018,95.7,98.9,95.7,97.2,92272.0,512.0
04/04/2018,96.6,98.0,96.6,97.3,60722.0,312.0
04/05/2018,97.5,98.4,96.6,97.5,29600.0,174.0
04/08/2018,97.6,99.8,97.6,98.8,51517.0,254.0
04/09/2018,98.9,98.9,95.9,96.2,39009.0,270.0
04/10/2018,96.2,97.8,94.7,95.1,49786.0,244.0
04/11/2018,95.0,96.2,93.0,93.9,38022.0,185.0
04/12/2018,94.2,94.5,92.9,93.1,40717.0,220.0
04/15/2018,95.7,95.8,92.1,92.6,14871.0,109.0
04/16/2018,94.0,98.0,92.5,97.5,147824.0,399.0
04/17/2018,97.6,98.5,95.6,96.7,53299.0,301.0
04/18/2018,96.2,96.8,95.5,95.7,34506.0,113.0
04/19/2018,95.4,97.0,94.2,96.5,45240.0,161.0
04/22/2018,94.1,94.3,92.1,93.5,63760.0,297.0
04/23/2018,92.7,94.0,92.0,92.6,39111.0,171.0
04/24/2018,93.9,93.9,92.1,92.5,21012.0,174.0
04/25/2018,92.1,93.6,92.1,93.0,24914.0,132.0
04/26/2018,93.4,93.4,92.5,93.0,23450.0,118.0
04/30/2018,93.4,94.6,92.6,93.8,33861.0,187.0
05/03/2018,93.6,93.6,92.7,92.9,41256.0,161.0
05/06/2018,94.0,94.0,92.2,93.1,31326.0,133.0
05/07/2018,93.1,93.7,92.4,92.9,30832.0,193.0
05/08/2018,92.6,93.0,92.2,92.4,21953.0,123.0
05/09/2018,92.6,92.8,92.0,92.2,33714.0,146.0
05/10/2018,93.2,93.2,91.9,92.1,32396.0,129.0
05/13/2018,92.1,92.1,91.1,91.6,17902.0,108.0
05/14/2018,91.9,91.9,90.7,90.9,22049.0,155.0
05/15/2018,91.0,91.0,90.3,90.4,19669.0,136.0
05/16/2018,90.1,92.3,90.1,90.7,12082.0,83.0
05/17/2018,90.3,90.8,90.2,90.6,30392.0,156.0
05/20/2018,90.0,90.2,89.3,89.6,27801.0,123.0
05/21/2018,90.2,90.2,89.0,89.6,18582.0,128.0
05/22/2018,89.1,89.1,87.1,88.1,14388.0,90.0
05/23/2018,88.5,88.5,83.2,85.7,30927.0,142.0
05/24/2018,86.9,86.9,84.1,85.8,18741.0,130.0
05/27/2018,85.6,90.8,85.5,89.8,27861.0,135.0
05/28/2018,89.5,89.6,86.0,86.1,13856.0,90.0
05/29/2018,86.0,86.3,85.3,85.6,12681.0,96.0
05/30/2018,86.1,86.9,85.6,86.4,9109.0,69.0
05/31/2018,86.2,87.5,85.0,86.8,32880.0,124.0
06/03/2018,86.0,87.0,85.8,86.7,11069.0,54.0
06/04/2018,85.5,86.1,85.5,85.7,20656.0,68.0
06/05/2018,85.5,86.5,85.0,85.9,23546.0,125.0
06/06/2018,85.9,86.5,85.0,85.8,51316.0,158.0
06/07/2018,85.2,86.7,85.2,86.3,15962.0,66.0
06/10/2018,86.0,92.9,85.5,91.5,103681.0,446.0
06/11/2018,90.7,92.5,90.7,91.8,45396.0,198.0
06/12/2018,91.8,98.0,91.4,96.5,104294.0,564.0
06/18/2018,93.9,97.0,93.9,96.0,69790.0,236.0
06/19/2018,97.9,98.0,95.9,96.9,61362.0,189.0
06/20/2018,96.7,99.9,96.2,99.1,101863.0,319.0
06/21/2018,100.0,103.6,99.7,103.1,182813.0,671.0
06/24/2018,104.0,108.0,103.1,103.8,202746.0,626.0
06/25/2018,103.8,104.5,98.6,99.2,97503.0,427.0
06/26/2018,99.7,100.0,94.9,97.2,120165.0,468.0
06/27/2018,101.0,105.0,98.0,101.1,115134.0,467.0
06/28/2018,100.9,104.0,99.7,102.9,175524.0,552.0
07/02/2018,104.0,104.0,98.5,98.8,61773.0,307.0
07/03/2018,99.0,100.0,99.0,99.6,51366.0,194.0
07/04/2018,98.6,100.9,98.4,98.6,30275.0,139.0
07/05/2018,98.1,100.0,97.5,97.9,41638.0,198.0
07/08/2018,99.0,102.0,96.6,99.4,53397.0,245.0
07/09/2018,97.2,99.8,97.1,97.8,38326.0,135.0
07/10/2018,100.8,100.8,98.5,99.0,26765.0,114.0
07/11/2018,98.0,100.0,97.5,97.8,26329.0,171.0
07/12/2018,97.1,97.2,95.7,96.3,42368.0,191.0
07/15/2018,96.1,97.0,94.2,95.2,70943.0,270.0
07/16/2018,95.0,97.0,95.0,96.2,10903.0,74.0
07/17/2018,96.8,97.0,93.0,94.8,44616.0,192.0
07/18/2018,94.5,94.5,92.1,92.6,34562.0,210.0
07/19/2018,90.1,94.0,90.1,93.8,17933.0,127.0
07/22/2018,94.7,98.9,93.7,95.1,51542.0,169.0
07/23/2018,94.7,94.7,94.0,94.1,27896.0,104.0
07/24/2018,94.1,94.1,91.6,92.1,29491.0,194.0
07/25/2018,91.6,93.6,91.0,91.4,38845.0,180.0
07/26/2018,90.5,92.8,90.5,90.8,26944.0,168.0
07/29/2018,90.5,95.3,89.5,91.3,119208.0,325.0
07/30/2018,91.3,91.6,89.6,89.9,30381.0,0.0
07/31/2018,89.8,91.9,89.2,90.4,29477.0,125.0
08/01/2018,90.8,91.3,90.0,90.4,16412.0,94.0
08/02/2018,90.3,91.0,89.1,90.3,24356.0,138.0
08/05/2018,90.0,90.9,89.2,89.6,21369.0,121.0
08/06/2018,89.8,90.8,89.5,89.6,10398.0,86.0
08/07/2018,89.5,90.0,89.5,89.9,17458.0,72.0
08/08/2018,89.5,89.5,87.0,87.8,43729.0,230.0
