date,open,high,low,close,volume,trade
01/01/2018,90.5,91.2,90.0,90.6,68893.0,253.0
01/02/2018,91.3,91.7,91.2,91.3,16105.0,482.0
01/03/2018,92.5,94.3,92.1,93.4,125862.0,466.0
01/04/2018,94.1,94.1,92.7,93.5,88526.0,302.0
01/07/2018,93.4,95.5,93.4,94.4,220426.0,595.0
01/08/2018,95.2,95.2,93.7,94.0,162828.0,464.0
01/09/2018,94.0,94.2,92.7,92.9,113785.0,319.0
01/10/2018,93.5,93.7,92.1,92.5,104117.0,290.0
01/11/2018,92.4,92.6,92.0,92.0,55759.0,173.0
01/14/2018,92.3,92.7,90.1,90.7,81420.0,381.0
01/15/2018,90.9,91.7,89.8,90.4,74885.0,253.0
01/16/2018,90.8,91.5,90.1,90.8,67112.0,219.0
01/17/2018,91.0,91.1,89.5,90.0,29294.0,129.0
01/18/2018,91.7,91.7,90.0,90.3,30600.0,125.0
01/21/2018,90.9,91.1,90.2,90.6,34263.0,125.0
01/22/2018,90.5,92.5,90.5,91.2,130297.0,317.0
01/23/2018,92.7,95.0,92.6,93.3,157445.0,551.0
01/24/2018,93.6,93.9,91.5,91.9,122189.0,303.0
01/25/2018,91.5,91.8,90.5,90.9,62562.0,246.0
01/28/2018,90.5,91.5,89.5,90.9,307953.0,277.0
01/29/2018,90.9,91.3,90.1,90.5,33173.0,162.0
01/30/2018,92.3,93.1,90.5,90.9,127063.0,418.0
01/31/2018,90.9,90.9,87.6,88.2,112511.0,483.0
02/01/2018,90.0,90.0,88.2,88.4,24499.0,124.0
02/04/2018,88.5,88.5,84.5,85.1,69152.0,319.0
02/05/2018,85.0,87.1,82.8,86.0,121666.0,467.0
02/06/2018,86.7,87.6,85.7,85.9,38152.0,164.0
02/07/2018,85.5,85.8,84.7,85.3,84844.0,176.0
02/08/2018,85.7,86.3,85.3,85.5,26647.0,105.0
02/11/2018,86.4,87.7,85.4,86.8,123737.0,313.0
02/12/2018,87.7,88.5,86.5,87.5,59876.0,276.0
02/13/2018,88.1,88.1,86.5,86.7,44970.0,192.0
02/14/2018,86.9,87.8,86.4,86.7,99085.0,342.0
02/15/2018,86.9,87.7,86.4,86.5,79748.0,269.0
02/18/2018,85.9,85.9,84.7,85.2,109134.0,260.0
02/19/2018,85.8,85.8,84.6,85.0,63188.0,179.0
02/20/2018,85.7,85.8,84.6,85.0,54882.0,140.0
02/22/2018,85.8,85.8,84.5,85.2,19402.0,60.0
02/25/2018,84.8,85.4,84.5,84.7,77642.0,202.0
02/26/2018,84.2,84.5,83.9,84.4,49635.0,126.0
02/27/2018,85.1,85.1,84.0,84.1,25447.0,128.0
02/28/2018,84.1,84.9,83.7,84.2,39133.0,147.0
03/01/2018,84.8,85.0,84.2,84.5,41653.0,170.0
03/04/2018,84.8,87.2,84.8,85.0,69488.0,246.0
03/05/2018,85.2,85.4,84.5,85.0,31720.0,121.0
03/06/2018,84.7,85.8,84.7,85.5,60427.0,205.0
03/07/2018,87.7,87.7,85.3,85.6,78932.0,242.0
03/08/2018,85.7,85.8,84.7,85.2,38469.0,116.0
03/11/2018,84.8,84.9,84.1,84.3,50778.0,129.0
03/12/2018,84.1,84.5,83.7,84.1,36317.0,118.0
03/13/2018,84.2,84.2,83.5,83.7,75948.0,231.0
03/14/2018,85.3,85.3,83.7,84.1,23567.0,115.0
03/15/2018,84.2,85.4,83.8,85.0,48559.0,180.0
03/18/2018,84.7,85.6,84.1,85.0,19658.0,96.0
03/19/2018,85.6,85.6,84.3,84.5,24147.0,89.0
03/20/2018,84.0,84.5,83.7,83.9,23001.0,94.0
03/21/2018,83.6,84.1,83.5,83.8,48723.0,128.0
03/22/2018,83.6,84.8,83.5,84.5,100117.0,258.0
03/25/2018,84.5,85.8,84.5,85.4,94268.0,257.0
03/27/2018,85.5,85.5,84.5,84.6,102385.0,208.0
03/28/2018,84.5,84.5,82.3,82.9,53769.0,195.0
03/29/2018,82.2,83.7,82.2,83.4,49593.0,139.0
04/01/2018,84.5,85.3,83.5,85.0,103750.0,277.0
04/02/2018,84.5,86.6,84.5,86.3,97044.0,287.0
04/03/2018,86.3,91.5,86.3,89.5,368072.0,1153.0
04/04/2018,90.4,91.8,89.1,89.7,219259.0,670.0
04/05/2018,90.0,94.5,88.5,93.4,383214.0,1242.0
04/08/2018,93.6,94.4,91.8,92.4,258902.0,702.0
04/09/2018,93.1,93.5,91.4,92.7,294531.0,620.0
04/10/2018,93.5,96.4,93.0,93.7,785506.0,1515.0
