date,open,high,low,close,volume,trade
01/01/2018,71.4,72.0,70.9,71.7,55860.0,99.0
01/02/2018,72.0,72.0,71.5,71.6,8394.0,103.0
01/03/2018,71.9,72.5,71.5,72.2,158065.0,202.0
01/04/2018,71.4,72.5,71.4,71.7,142963.0,204.0
01/07/2018,71.5,72.5,71.5,72.0,44877.0,70.0
01/08/2018,71.6,72.3,71.6,72.1,69659.0,112.0
01/09/2018,71.6,72.3,71.5,71.6,41896.0,93.0
01/10/2018,71.6,71.6,70.8,70.9,84368.0,140.0
01/11/2018,70.9,71.2,70.6,70.8,99754.0,157.0
01/14/2018,70.0,71.5,70.0,70.6,63127.0,95.0
01/15/2018,70.4,70.8,70.0,70.3,67247.0,157.0
01/16/2018,70.5,70.5,70.0,70.3,68437.0,179.0
01/17/2018,70.1,70.3,69.8,70.0,55633.0,110.0
01/18/2018,70.0,70.3,69.6,70.0,37329.0,91.0
01/21/2018,69.7,70.4,69.5,69.8,73554.0,160.0
01/22/2018,70.5,70.5,69.7,69.8,87648.0,169.0
01/23/2018,69.9,70.8,69.9,70.3,61428.0,152.0
01/24/2018,70.0,70.5,70.0,70.3,39642.0,67.0
01/25/2018,70.0,70.3,69.5,69.7,99524.0,152.0
01/28/2018,69.7,69.7,69.1,69.1,69702.0,146.0
01/29/2018,69.2,69.5,69.2,69.3,21093.0,61.0
01/30/2018,69.1,69.1,66.7,67.1,176479.0,353.0
01/31/2018,67.3,67.4,64.2,66.5,51100.0,169.0
02/01/2018,68.0,68.0,65.3,65.5,26356.0,99.0
02/04/2018,65.5,65.9,63.6,64.5,158090.0,189.0
02/05/2018,64.5,68.2,63.3,65.7,127748.0,231.0
02/06/2018,66.4,67.3,65.5,66.1,22735.0,108.0
02/07/2018,65.6,66.3,65.5,65.8,143125.0,114.0
02/08/2018,65.9,66.7,65.5,66.2,18363.0,52.0
02/11/2018,66.8,67.3,66.4,66.7,21124.0,87.0
02/12/2018,67.5,67.7,65.9,66.2,55180.0,105.0
02/13/2018,66.4,66.9,65.3,65.9,163762.0,409.0
02/14/2018,65.9,66.6,65.9,66.4,88426.0,198.0
02/15/2018,66.3,67.2,66.3,66.9,105640.0,164.0
02/18/2018,67.0,67.0,65.0,65.2,37132.0,126.0
02/19/2018,65.0,65.5,64.6,65.0,25997.0,85.0
02/20/2018,64.5,65.3,64.5,65.0,106531.0,156.0
02/22/2018,65.5,65.5,64.3,64.5,41891.0,87.0
02/25/2018,65.8,65.8,64.2,64.5,46005.0,73.0
02/26/2018,64.4,64.4,63.7,64.2,64252.0,120.0
02/27/2018,64.8,64.8,63.5,64.1,113784.0,244.0
02/28/2018,63.8,64.6,63.8,64.5,42303.0,111.0
03/01/2018,64.5,65.3,64.4,65.0,70932.0,92.0
03/04/2018,64.4,67.3,64.4,66.3,95216.0,121.0
03/05/2018,66.2,67.2,65.3,66.3,50052.0,118.0
03/06/2018,66.4,66.8,65.1,66.2,87267.0,194.0
03/07/2018,66.8,66.8,65.6,65.9,46139.0,82.0
03/08/2018,65.5,66.1,65.4,65.5,16836.0,43.0
03/11/2018,65.5,65.5,65.1,65.4,47157.0,80.0
03/12/2018,65.0,65.8,64.5,65.1,47536.0,87.0
03/13/2018,64.5,64.6,64.2,64.5,76549.0,102.0
03/14/2018,64.5,66.2,64.3,64.7,38056.0,85.0
03/15/2018,66.0,66.1,64.5,64.9,38888.0,90.0
03/18/2018,64.8,65.6,64.8,65.4,26672.0,63.0
03/19/2018,64.7,64.9,64.4,64.5,30449.0,112.0
03/20/2018,64.1,66.3,63.8,64.5,40772.0,53.0
03/21/2018,64.5,64.6,63.6,64.1,111333.0,184.0
03/22/2018,65.3,65.4,63.8,64.3,48884.0,126.0
03/25/2018,64.5,65.1,64.2,64.4,33507.0,101.0
03/27/2018,64.0,66.4,63.6,66.1,202625.0,382.0
03/28/2018,65.8,66.1,65.0,65.5,107202.0,163.0
03/29/2018,66.0,67.3,65.5,66.6,158499.0,257.0
04/01/2018,67.1,67.2,65.7,66.0,56094.0,137.0
04/02/2018,65.7,67.6,65.6,67.4,84478.0,199.0
04/03/2018,67.3,69.0,66.4,68.5,220859.0,436.0
04/04/2018,68.5,68.9,67.6,68.5,55349.0,129.0
04/05/2018,67.8,69.6,67.7,68.5,77746.0,210.0
04/08/2018,68.5,70.0,68.5,69.2,50377.0,195.0
04/09/2018,68.8,69.7,68.6,69.1,89655.0,149.0
04/10/2018,70.0,70.9,69.2,69.7,251201.0,437.0
04/11/2018,70.5,70.5,69.5,69.7,111665.0,275.0
04/12/2018,69.5,70.1,68.6,69.5,28127.0,62.0
04/15/2018,69.9,69.9,68.6,69.0,77752.0,200.0
04/16/2018,69.0,69.1,68.3,68.9,29047.0,53.0
04/17/2018,69.1,70.5,67.7,67.8,198838.0,344.0
04/18/2018,67.9,68.2,67.4,67.5,28993.0,70.0
04/19/2018,68.0,68.0,67.3,67.3,43582.0,96.0
04/22/2018,67.3,67.8,67.2,67.6,15328.0,52.0
04/23/2018,67.3,68.6,67.3,68.5,112945.0,181.0
04/24/2018,68.2,69.5,68.2,69.3,81422.0,259.0
04/25/2018,69.5,69.6,69.0,69.5,78909.0,126.0
04/26/2018,69.9,71.3,69.5,70.2,278263.0,516.0
04/30/2018,70.3,70.8,69.4,69.8,45899.0,96.0
05/03/2018,70.5,70.5,67.6,67.7,98393.0,197.0
05/06/2018,68.2,69.1,67.7,68.3,61158.0,134.0
05/07/2018,68.3,68.8,68.0,68.2,27899.0,96.0
05/08/2018,68.2,68.2,67.3,67.3,44815.0,122.0
05/09/2018,67.7,68.9,66.9,67.5,68374.0,114.0
05/10/2018,69.1,71.9,68.1,70.1,276566.0,588.0
05/13/2018,70.0,70.9,68.4,68.9,68428.0,181.0
05/14/2018,68.2,69.2,67.5,67.8,70941.0,205.0
05/15/2018,67.8,67.8,67.0,67.2,59466.0,143.0
05/16/2018,67.3,68.0,67.1,67.4,70633.0,163.0
05/17/2018,67.5,68.0,66.7,66.8,218032.0,264.0
05/20/2018,68.5,68.5,65.5,65.9,55310.0,140.0
05/21/2018,65.9,66.6,65.9,66.0,55487.0,146.0
05/22/2018,65.8,66.5,65.7,66.1,49866.0,153.0
05/23/2018,65.5,65.9,65.1,65.4,67241.0,183.0
05/24/2018,65.4,65.7,65.0,65.5,51196.0,133.0
05/27/2018,67.1,67.1,65.1,65.4,77599.0,137.0
05/28/2018,65.4,65.5,64.9,65.1,48467.0,103.0
05/29/2018,64.7,65.9,64.1,65.3,27681.0,80.0
05/30/2018,65.9,65.9,64.1,64.6,56745.0,154.0
05/31/2018,64.5,64.9,64.2,64.3,60531.0,101.0
06/03/2018,63.6,64.5,63.4,63.6,101643.0,218.0
06/04/2018,63.2,63.8,62.7,63.1,140933.0,282.0
06/05/2018,62.9,66.1,62.9,64.5,56898.0,119.0
06/06/2018,65.3,65.8,63.8,65.1,104375.0,183.0
06/07/2018,65.1,65.1,64.2,64.4,16750.0,58.0
06/10/2018,65.3,65.3,63.4,63.6,75894.0,149.0
06/11/2018,64.5,65.2,64.0,64.8,51460.0,99.0
06/12/2018,64.4,64.6,63.7,64.0,30230.0,72.0
06/18/2018,64.8,65.2,63.5,63.9,60808.0,118.0
06/19/2018,63.6,64.9,62.7,63.8,117008.0,209.0
06/20/2018,64.4,67.0,63.7,65.4,136918.0,271.0
06/21/2018,65.5,67.0,65.4,66.3,134018.0,328.0
06/24/2018,67.0,69.0,66.4,68.1,205090.0,411.0
06/25/2018,68.1,68.2,64.2,64.9,121418.0,266.0
06/26/2018,65.2,66.1,64.7,65.0,115190.0,128.0
06/27/2018,65.2,67.3,65.2,65.6,54841.0,137.0
06/28/2018,65.5,66.8,65.1,65.5,81376.0,219.0
07/02/2018,66.6,66.6,64.1,64.5,69770.0,212.0
07/03/2018,65.5,65.5,63.7,64.0,81373.0,194.0
07/04/2018,65.4,65.4,63.8,64.3,48657.0,146.0
07/05/2018,65.2,65.9,64.6,65.5,62654.0,161.0
07/08/2018,65.9,66.8,65.5,65.6,80104.0,227.0
07/09/2018,65.9,66.2,63.6,64.2,562250.0,742.0
07/10/2018,64.8,66.3,64.1,65.4,317433.0,389.0
07/11/2018,65.6,66.7,65.4,65.6,189189.0,375.0
07/12/2018,65.5,65.5,64.3,64.7,58477.0,197.0
07/15/2018,64.5,65.3,64.0,64.3,128741.0,306.0
07/16/2018,64.3,65.3,64.3,64.5,71599.0,142.0
07/17/2018,64.5,65.7,64.5,64.8,122243.0,243.0
07/18/2018,64.4,65.0,63.8,63.9,110140.0,191.0
07/19/2018,63.9,64.9,63.6,64.2,351332.0,338.0
07/22/2018,64.5,65.9,64.4,65.2,219981.0,517.0
07/23/2018,65.6,66.1,64.7,65.0,95262.0,258.0
07/24/2018,65.8,65.8,63.9,64.2,78960.0,212.0
07/25/2018,64.4,64.9,63.6,64.0,77815.0,189.0
07/26/2018,64.5,65.0,64.0,64.5,64053.0,104.0
07/29/2018,63.9,64.9,63.3,63.6,108263.0,255.0
07/30/2018,64.6,64.8,63.5,63.6,69373.0,
07/31/2018,64.7,64.7,63.8,64.3,52137.0,113.0
08/01/2018,64.5,64.7,64.1,64.2,64845.0,113.0
08/02/2018,64.2,64.8,63.7,64.2,104993.0,213.0
08/05/2018,64.2,64.4,63.7,64.1,62305.0,104.0
08/06/2018,63.9,64.1,63.7,64.0,39605.0,107.0
08/07/2018,63.7,65.2,63.7,64.6,127535.0,206.0
08/08/2018,64.6,64.7,64.2,64.3,121550.0,200.0
08/09/2018,64.3,64.4,63.6,64.3,444357.0,219.0
08/12/2018,64.1,64.5,63.6,64.0,47471.0,100.0
08/13/2018,64.1,64.9,63.6,64.2,67291.0,101.0
08/14/2018,64.2,64.5,63.6,64.2,82986.0,143.0
08/16/2018,64.0,64.5,63.9,64.5,65532.0,121.0
08/19/2018,64.5,64.8,64.0,64.5,88991.0,106.0
08/20/2018,64.1,65.1,63.9,64.6,79994.0,171.0
08/26/2018,64.6,64.7,64.0,64.4,26757.0,62.0
08/27/2018,64.5,65.2,64.5,64.8,61424.0,148.0
08/28/2018,64.8,65.6,64.7,65.5,228120.0,409.0
08/29/2018,65.5,66.2,65.2,65.8,113658.0,253.0
08/30/2018,65.7,66.0,65.2,65.5,92967.0,192.0
09/03/2018,65.5,66.3,61.1,65.0,82303.0,145.0
09/04/2018,64.8,65.0,64.7,64.8,115170.0,199.0
09/05/2018,64.5,66.5,64.4,66.3,273280.0,474.0
09/06/2018,66.4,67.0,65.7,66.1,188079.0,381.0
09/09/2018,66.5,66.5,65.1,65.6,122853.0,205.0
09/10/2018,65.2,66.5,65.2,66.2,210513.0,343.0
09/11/2018,66.3,67.2,65.5,66.1,179987.0,367.0
09/12/2018,65.5,66.0,64.8,64.9,100920.0,238.0
09/13/2018,64.8,66.3,64.5,65.3,191274.0,195.0
09/16/2018,66.1,66.1,64.9,65.3,115097.0,135.0
09/17/2018,65.7,65.8,64.1,64.5,152357.0,173.0
09/18/2018,64.5,65.5,64.0,64.5,70632.0,117.0
09/19/2018,65.0,65.0,64.0,64.3,54544.0,113.0
09/20/2018,64.3,64.9,62.8,64.1,133266.0,207.0
09/23/2018,63.7,64.6,63.7,64.2,42758.0,74.0
09/24/2018,63.8,63.9,61.8,62.0,82467.0,201.0
09/25/2018,62.5,62.7,61.8,62.0,84933.0,171.0
09/26/2018,64.5,65.0,64.1,64.3,161882.0,279.0
09/27/2018,64.1,65.0,62.4,63.5,241602.0,286.0
09/30/2018,62.7,64.1,62.6,63.8,44997.0,117.0
10/01/2018,64.2,64.5,63.2,63.5,24581.0,117.0
10/02/2018,63.2,64.0,63.2,63.7,37317.0,113.0
10/03/2018,63.7,64.4,63.2,63.6,83799.0,118.0
10/04/2018,63.6,64.5,63.1,63.7,69197.0,134.0
10/07/2018,63.3,64.5,62.5,63.1,83646.0,0.0
10/08/2018,63.2,63.6,62.7,63.1,49537.0,
10/09/2018,63.6,63.6,63.2,63.4,61156.0,
10/10/2018,63.5,64.0,63.0,63.5,49975.0,0.0
10/11/2018,64.0,65.5,63.0,65.3,166526.0,291.0
10/14/2018,64.7,64.8,63.4,64.1,56235.0,140.0
