date,open,high,low,close,volume,trade
10/17/2023,11.0,11.0,11.0,11.0,,207.0
10/18/2023,12.1,12.1,12.1,12.1,,15.0
10/19/2023,13.3,13.3,13.3,13.3,,13.0
10/22/2023,14.6,14.6,14.6,14.6,,14.0
10/23/2023,16.0,16.0,15.1,16.0,,238.0
10/25/2023,17.5,17.6,17.5,17.6,,61.0
10/26/2023,19.3,19.3,18.3,19.3,,365.0
10/29/2023,20.0,21.2,20.0,21.2,,657.0
10/30/2023,23.3,23.3,22.9,23.3,,771.0
10/31/2023,25.6,25.6,25.0,25.6,,1178.0
11/01/2023,27.9,28.1,23.1,23.1,,557.0
11/02/2023,20.8,20.8,20.8,20.8,,55.0
11/05/2023,18.8,18.8,18.8,18.8,,21.0
11/06/2023,17.0,18.1,17.0,17.0,,1313.0
11/07/2023,15.6,17.7,15.3,15.3,,2359.0
11/08/2023,14.5,15.5,13.8,13.8,,3061.0
11/09/2023,13.3,15.0,12.7,13.8,,3304.0
11/12/2023,14.0,14.1,12.6,12.7,,2008.0
11/13/2023,12.7,13.3,11.7,11.9,,2623.0
11/14/2023,12.1,13.0,11.9,13.0,,1789.0
11/15/2023,13.3,13.8,12.7,12.9,,2344.0
11/16/2023,12.9,13.2,12.3,12.4,,1729.0
11/19/2023,12.4,12.9,11.9,12.1,,1536.0
11/20/2023,12.3,12.4,11.6,11.7,,1351.0
11/21/2023,11.7,11.9,11.2,11.5,,1154.0
11/22/2023,11.5,12.5,11.5,12.2,,1356.0
11/23/2023,12.2,12.4,11.6,11.7,,1156.0
11/26/2023,11.7,11.9,11.1,11.2,,1274.0
11/27/2023,11.3,11.5,11.0,11.0,,855.0
11/28/2023,11.0,11.2,11.0,11.0,,507.0
11/29/2023,11.0,11.2,11.0,11.0,,456.0
11/30/2023,11.0,11.0,11.0,11.0,,46.0
12/03/2023,11.0,11.0,11.0,11.0,,32.0
12/04/2023,11.0,11.0,11.0,11.0,,41.0
12/05/2023,11.0,12.1,11.0,12.1,,1372.0
12/06/2023,12.5,13.3,12.5,13.3,,1235.0
12/07/2023,13.5,13.5,12.2,13.0,,2172.0
12/10/2023,13.1,14.3,12.7,14.3,,2011.0
12/11/2023,14.4,14.5,13.1,13.4,,1763.0
12/12/2023,13.3,14.2,13.2,13.5,,1701.0
12/13/2023,13.7,14.0,12.7,12.8,,1235.0
12/14/2023,12.8,13.6,12.6,13.4,,1219.0
12/17/2023,13.5,14.1,13.2,13.4,,1271.0
