date,open,high,low,close,volume,trade
01/01/2018,8.4,8.4,8.1,8.1,79444.0,17.0
01/02/2018,8.4,8.4,8.1,8.1,79444.0,34.0
01/03/2018,8.2,8.4,8.2,8.2,38580.0,38.0
01/04/2018,8.3,8.3,8.2,8.3,12005.0,5.0
01/07/2018,8.3,8.4,8.3,8.3,54580.0,31.0
01/08/2018,8.3,8.5,8.3,8.4,147353.0,68.0
01/09/2018,8.5,8.7,8.5,8.6,44252.0,35.0
01/10/2018,8.6,8.7,8.6,8.6,21850.0,27.0
01/11/2018,8.8,8.8,8.7,8.7,26905.0,13.0
01/14/2018,8.8,8.8,8.5,8.6,34545.0,16.0
01/15/2018,8.6,8.7,8.6,8.6,23635.0,20.0
01/16/2018,8.6,8.7,8.6,8.6,35962.0,21.0
01/17/2018,8.7,8.9,8.7,8.8,29650.0,18.0
01/18/2018,8.8,9.0,8.8,9.0,84980.0,40.0
01/21/2018,9.2,9.2,8.4,8.6,92810.0,30.0
01/22/2018,8.7,8.8,8.6,8.7,12400.0,6.0
01/23/2018,8.8,8.8,8.6,8.7,10050.0,8.0
01/24/2018,8.6,8.7,8.5,8.6,15212.0,10.0
01/25/2018,8.5,8.5,8.3,8.4,32060.0,11.0
01/28/2018,8.4,8.5,8.3,8.4,32335.0,21.0
01/29/2018,8.4,8.5,8.4,8.4,13193.0,6.0
01/30/2018,8.4,8.4,8.4,8.4,17694.0,13.0
01/31/2018,8.4,8.4,8.3,8.3,57565.0,32.0
02/01/2018,8.3,8.6,8.2,8.5,100646.0,39.0
02/04/2018,8.4,8.4,8.3,8.3,40436.0,14.0
02/05/2018,8.4,8.4,8.1,8.3,18395.0,16.0
02/06/2018,8.2,8.3,8.1,8.2,129270.0,50.0
02/07/2018,8.1,8.3,8.1,8.1,17270.0,8.0
02/08/2018,8.3,8.4,8.2,8.3,43350.0,18.0
02/11/2018,8.4,8.5,8.4,8.4,31025.0,10.0
02/12/2018,8.5,8.5,8.3,8.3,2600.0,5.0
02/13/2018,8.4,8.5,8.3,8.3,13262.0,13.0
02/14/2018,8.4,8.5,8.3,8.4,51620.0,28.0
02/15/2018,8.3,8.4,8.2,8.3,14200.0,7.0
02/18/2018,8.3,8.3,8.0,8.2,27200.0,17.0
02/19/2018,8.4,8.4,8.4,8.4,50.0,1.0
02/20/2018,8.2,8.2,8.1,8.1,18000.0,7.0
02/22/2018,8.1,8.1,8.1,8.1,500.0,1.0
02/25/2018,8.2,8.2,8.2,8.2,3500.0,4.0
02/26/2018,8.1,8.1,8.1,8.1,3400.0,4.0
02/27/2018,8.8,8.8,8.1,8.3,10385.0,6.0
02/28/2018,8.2,8.4,8.2,8.3,31000.0,3.0
03/01/2018,8.2,8.2,8.1,8.2,17750.0,12.0
03/04/2018,8.4,8.4,8.2,8.2,3450.0,7.0
03/05/2018,8.2,8.2,8.1,8.2,2350.0,4.0
03/06/2018,8.0,8.2,8.0,8.1,40500.0,21.0
03/07/2018,8.2,8.2,8.1,8.1,700.0,2.0
03/08/2018,8.2,8.2,8.0,8.2,14450.0,17.0
03/11/2018,8.2,8.2,8.0,8.1,26050.0,16.0
03/12/2018,8.1,8.1,8.0,8.0,12500.0,8.0
03/13/2018,8.1,8.1,8.0,8.1,27330.0,14.0
03/14/2018,8.1,8.5,8.1,8.4,155764.0,66.0
03/15/2018,8.5,9.2,8.5,9.2,1037500.0,270.0
03/18/2018,9.3,10.1,9.3,10.1,1283795.0,525.0
03/19/2018,10.2,10.6,9.6,10.3,1317631.0,465.0
03/20/2018,10.1,10.2,9.4,9.7,474012.0,197.0
03/21/2018,9.5,9.6,8.8,8.8,337677.0,186.0
03/22/2018,8.7,9.2,8.3,8.5,304573.0,195.0
03/25/2018,8.5,9.1,8.3,8.6,246763.0,152.0
03/27/2018,8.5,8.6,8.1,8.2,401893.0,152.0
03/28/2018,8.4,8.5,8.0,8.2,207838.0,117.0
