date,open,high,low,close,volume,trade
03/05/2018,10.0,10.0,8.4,9.0,47250.0,0.0
03/06/2018,10.0,10.0,8.1,9.8,184134.0,212.0
03/07/2018,9.8,10.2,9.7,10.1,647980.0,606.0
03/08/2018,10.1,10.6,10.1,10.2,1259503.0,676.0
03/11/2018,10.6,10.8,9.9,10.1,2134610.0,586.0
03/12/2018,10.3,10.4,10.0,10.2,1264492.0,350.0
03/13/2018,10.1,10.7,10.0,10.6,1329483.0,443.0
03/14/2018,10.9,11.6,10.8,11.6,1440009.0,420.0
03/15/2018,11.6,12.7,11.6,12.7,1028165.0,324.0
03/18/2018,12.8,13.9,12.7,13.9,779581.0,293.0
03/19/2018,13.9,15.0,13.1,14.2,2347645.0,1097.0
03/20/2018,14.3,14.5,13.3,13.5,1762432.0,666.0
03/21/2018,13.5,13.5,12.2,12.3,1859898.0,834.0
03/22/2018,12.4,12.9,12.0,12.3,1157841.0,530.0
03/25/2018,12.5,12.5,11.7,11.9,1190784.0,536.0
03/27/2018,12.1,12.1,10.8,10.8,1143845.0,520.0
03/28/2018,10.6,11.4,10.6,11.0,752837.0,394.0
03/29/2018,11.0,11.1,10.6,10.8,805878.0,304.0
04/01/2018,10.9,10.9,10.1,10.2,927538.0,449.0
04/02/2018,10.4,11.2,10.3,11.2,1671359.0,412.0
04/03/2018,11.4,12.3,11.4,11.6,1728038.0,622.0
04/04/2018,11.5,11.5,10.8,10.9,1560309.0,546.0
04/05/2018,11.1,11.1,10.5,10.7,838876.0,345.0
04/08/2018,10.8,11.1,10.6,10.6,710035.0,348.0
04/09/2018,10.8,10.8,10.4,10.5,886347.0,379.0
04/10/2018,10.6,10.6,10.1,10.3,934039.0,272.0
04/11/2018,10.3,10.7,10.2,10.4,509697.0,265.0
04/12/2018,10.3,10.4,10.1,10.1,535098.0,213.0
04/15/2018,10.2,10.2,9.8,9.9,482516.0,224.0
04/16/2018,10.0,10.0,9.7,9.8,445551.0,194.0
04/17/2018,10.0,10.7,10.0,10.7,1470466.0,403.0
04/18/2018,11.0,11.2,10.3,10.5,1423908.0,498.0
04/19/2018,10.4,10.5,10.1,10.1,597890.0,263.0
04/22/2018,10.2,10.6,10.1,10.2,836565.0,314.0
04/23/2018,10.3,10.4,9.9,10.0,540703.0,206.0
04/24/2018,10.0,10.2,9.8,10.0,584678.0,213.0
04/25/2018,10.1,10.1,9.7,9.8,605211.0,163.0
04/26/2018,9.8,10.0,9.6,9.7,500386.0,177.0
04/30/2018,9.8,9.8,9.2,9.4,465560.0,149.0
05/03/2018,9.5,9.6,9.2,9.4,157221.0,93.0
05/06/2018,9.5,9.7,9.4,9.4,371856.0,127.0
05/07/2018,9.5,9.9,9.5,9.6,636611.0,240.0
05/08/2018,9.8,10.3,9.8,9.9,1231185.0,371.0
05/09/2018,10.0,10.0,9.4,9.5,454694.0,182.0
05/10/2018,9.6,9.6,9.2,9.3,682080.0,237.0
05/13/2018,9.4,9.5,9.2,9.3,306326.0,100.0
05/14/2018,9.4,9.4,9.2,9.3,141990.0,66.0
05/15/2018,9.3,9.4,9.2,9.2,128430.0,71.0
05/16/2018,9.2,9.3,9.1,9.2,82003.0,57.0
05/17/2018,9.1,9.3,8.9,9.0,336284.0,206.0
05/20/2018,9.0,9.0,8.7,8.8,213081.0,95.0
05/21/2018,9.0,9.2,8.9,9.0,384889.0,131.0
05/22/2018,9.0,9.7,9.0,9.2,604977.0,235.0
05/23/2018,9.4,9.4,8.9,9.1,482405.0,146.0
05/24/2018,9.0,9.1,8.9,9.0,342445.0,147.0
05/27/2018,9.0,9.3,8.9,9.0,305699.0,109.0
05/28/2018,9.0,9.1,8.9,9.0,360068.0,89.0
05/29/2018,9.0,9.0,9.0,9.0,142347.0,52.0
05/30/2018,9.1,9.1,8.8,8.9,298727.0,75.0
05/31/2018,8.9,9.1,8.9,9.0,195943.0,54.0
06/03/2018,9.0,9.0,8.8,8.9,235924.0,98.0
06/04/2018,9.0,9.1,8.7,8.8,190640.0,62.0
06/05/2018,8.9,8.9,8.7,8.8,182490.0,72.0
06/06/2018,8.8,8.8,8.5,8.6,390450.0,90.0
06/07/2018,8.6,8.8,8.5,8.6,149500.0,65.0
06/10/2018,8.7,8.8,8.5,8.6,261478.0,77.0
06/11/2018,8.7,8.8,8.6,8.7,234209.0,57.0
06/12/2018,8.7,8.9,8.6,8.8,391405.0,90.0
06/18/2018,8.9,9.1,8.8,8.8,222500.0,87.0
06/19/2018,9.0,9.0,8.6,8.8,141882.0,36.0
06/20/2018,8.9,8.9,8.7,8.8,144537.0,29.0
06/21/2018,8.9,9.0,8.8,8.9,245811.0,127.0
06/24/2018,8.9,9.0,8.8,8.8,172765.0,42.0
06/25/2018,8.9,8.9,8.7,8.7,61100.0,45.0
06/26/2018,8.7,8.8,8.5,8.5,85490.0,44.0
06/27/2018,8.7,8.8,8.4,8.5,207090.0,78.0
06/28/2018,8.6,9.3,8.5,9.0,740257.0,212.0
07/02/2018,9.0,9.1,8.8,8.8,217045.0,107.0
07/03/2018,8.7,8.8,8.6,8.6,79915.0,47.0
07/04/2018,8.8,8.9,8.6,8.6,149578.0,44.0
07/05/2018,8.6,8.8,8.5,8.5,183259.0,76.0
07/08/2018,8.5,8.6,8.4,8.4,164100.0,41.0
07/09/2018,8.4,8.6,8.3,8.5,505120.0,238.0
07/10/2018,8.6,8.7,8.4,8.6,257329.0,120.0
07/11/2018,8.7,8.7,8.5,8.6,252535.0,67.0
07/12/2018,8.6,8.6,8.5,8.5,192876.0,49.0
07/15/2018,8.5,8.5,8.2,8.4,284246.0,51.0
07/16/2018,8.3,8.6,8.3,8.4,196228.0,75.0
07/17/2018,8.4,8.5,8.3,8.4,235923.0,109.0
07/18/2018,8.4,8.4,8.2,8.4,257929.0,103.0
07/19/2018,8.3,8.5,8.3,8.4,68249.0,57.0
07/22/2018,8.3,8.4,8.3,8.3,69485.0,17.0
07/23/2018,8.3,8.3,8.2,8.2,114200.0,24.0
07/24/2018,8.3,8.4,8.2,8.3,51745.0,25.0
07/25/2018,8.3,8.4,8.2,8.2,28300.0,20.0
07/26/2018,8.2,8.2,8.1,8.1,61101.0,23.0
07/29/2018,8.0,8.2,8.0,8.1,96384.0,45.0
07/30/2018,8.2,8.2,8.0,8.1,81728.0,
07/31/2018,8.1,8.1,8.1,8.1,38350.0,8.0
08/01/2018,8.1,8.4,8.1,8.2,192470.0,117.0
08/02/2018,8.2,8.2,8.1,8.1,58340.0,22.0
08/05/2018,8.1,8.3,7.9,8.1,415058.0,156.0
08/06/2018,8.2,8.2,8.0,8.0,38325.0,36.0
08/07/2018,8.1,8.2,8.0,8.1,33350.0,18.0
08/08/2018,8.1,8.1,8.0,8.0,14007.0,13.0
08/09/2018,7.9,8.2,6.9,8.1,1150043.0,377.0
08/12/2018,8.0,8.3,7.9,8.1,175509.0,117.0
08/13/2018,8.0,8.3,7.6,8.2,534864.0,234.0
08/14/2018,8.2,8.4,8.0,8.3,119677.0,65.0
08/16/2018,8.3,8.5,8.2,8.5,107815.0,58.0
08/19/2018,8.4,8.4,8.2,8.3,125313.0,46.0
08/20/2018,8.3,8.5,8.2,8.4,88526.0,41.0
08/26/2018,8.4,9.2,8.4,9.1,117416.0,70.0
08/27/2018,9.2,9.2,8.7,8.9,176526.0,83.0
08/28/2018,8.7,8.9,8.4,8.5,108026.0,64.0
08/29/2018,8.4,8.9,8.4,8.7,109141.0,68.0
08/30/2018,8.6,8.6,8.5,8.5,61436.0,26.0
09/03/2018,8.4,8.7,8.4,8.5,77329.0,55.0
09/04/2018,8.4,8.7,8.4,8.5,77329.0,0.0
09/05/2018,8.3,9.0,8.3,8.5,74470.0,51.0
09/06/2018,8.7,8.7,8.4,8.5,92150.0,66.0
09/09/2018,8.7,8.7,8.4,8.5,71555.0,24.0
09/10/2018,8.5,8.5,8.3,8.4,43300.0,23.0
09/11/2018,8.4,8.4,8.2,8.3,42060.0,22.0
09/12/2018,8.5,8.6,8.4,8.5,15270.0,18.0
09/13/2018,8.5,8.6,8.2,8.4,64015.0,34.0
09/16/2018,8.6,9.1,8.4,9.0,296895.0,146.0
09/17/2018,9.3,9.9,8.9,9.9,843778.0,305.0
09/18/2018,10.1,10.1,9.0,9.1,727971.0,291.0
09/19/2018,9.0,9.3,8.9,9.0,212144.0,99.0
09/20/2018,9.2,9.6,8.9,9.0,340908.0,161.0
09/23/2018,9.3,9.4,9.1,9.2,122288.0,95.0
09/24/2018,9.2,10.0,9.2,9.7,577337.0,196.0
09/25/2018,10.0,10.0,9.6,9.7,264561.0,105.0
09/26/2018,10.0,10.0,9.6,9.7,558131.0,142.0
09/27/2018,9.8,10.1,9.5,9.5,582123.0,192.0
09/30/2018,9.7,9.9,9.2,9.4,210252.0,74.0
10/01/2018,9.5,9.6,9.2,9.3,146736.0,74.0
10/02/2018,9.3,9.6,9.3,9.5,364364.0,97.0
10/03/2018,9.5,9.6,9.5,9.5,47402.0,38.0
10/04/2018,9.7,9.7,9.3,9.4,155249.0,69.0
10/07/2018,9.5,9.5,9.1,9.2,69464.0,0.0
10/08/2018,9.3,9.3,9.0,9.1,139054.0,
10/09/2018,9.2,9.3,9.0,9.0,70283.0,
10/10/2018,9.2,9.3,8.7,8.9,87208.0,1.0
10/11/2018,8.9,9.2,8.7,9.1,46128.0,31.0
10/14/2018,9.1,9.3,9.0,9.1,33671.0,25.0
10/15/2018,9.2,9.4,9.2,9.4,34400.0,30.0
10/16/2018,9.5,9.5,9.1,9.2,50663.0,39.0
10/17/2018,9.4,9.4,9.0,9.1,22451.0,24.0
10/18/2018,9.0,9.4,9.0,9.2,24797.0,29.0
10/21/2018,9.6,9.6,9.1,9.1,113171.0,82.0
10/22/2018,9.1,9.4,9.1,9.2,57466.0,33.0
10/23/2018,9.2,9.4,9.2,9.2,104781.0,58.0
10/24/2018,9.4,9.4,9.2,9.3,29151.0,29.0
10/25/2018,9.3,9.3,9.0,9.1,90123.0,
10/28/2018,9.4,9.4,9.2,9.2,18082.0,
10/29/2018,9.2,9.2,9.0,9.0,56852.0,
10/30/2018,9.2,9.7,9.0,9.1,214432.0,
10/31/2018,9.2,9.3,9.1,9.2,80790.0,
11/01/2018,9.3,9.4,9.0,9.1,331573.0,
11/04/2018,9.2,9.4,9.0,9.0,366483.0,
11/05/2018,9.2,9.2,9.0,9.0,193122.0,
11/06/2018,9.3,9.3,8.9,9.0,92029.0,
11/07/2018,9.0,9.1,8.9,9.0,210130.0,
11/08/2018,9.0,9.0,8.6,8.8,118252.0,99.0
11/11/2018,9.0,9.1,8.7,8.8,177342.0,76.0
