date,open,high,low,close,volume,trade
01/01/2018,40.8,40.8,39.9,40.2,2134519.0,817.0
01/02/2018,40.0,40.0,39.8,39.8,304071.0,831.0
01/03/2018,40.2,40.3,39.9,40.0,1721225.0,823.0
01/04/2018,40.0,40.2,39.5,39.6,1923625.0,840.0
01/07/2018,39.9,39.9,38.2,38.7,4305813.0,1910.0
01/08/2018,38.7,38.7,37.1,37.5,4430058.0,1915.0
01/09/2018,37.2,38.1,37.0,37.9,1596379.0,969.0
01/10/2018,37.6,37.9,37.0,37.1,1862620.0,844.0
01/11/2018,37.1,37.6,36.8,37.4,1897647.0,798.0
01/14/2018,37.3,37.4,36.6,36.7,1199689.0,686.0
01/15/2018,36.7,36.9,35.6,35.8,2296162.0,857.0
01/16/2018,36.0,36.1,35.2,35.9,4036924.0,1442.0
01/17/2018,36.1,36.4,34.9,35.1,2337844.0,982.0
01/18/2018,35.3,35.5,34.8,34.9,2274646.0,847.0
01/21/2018,35.0,35.9,34.9,35.6,1146973.0,555.0
01/22/2018,35.9,36.2,35.5,35.6,2258756.0,899.0
01/23/2018,35.9,36.0,35.1,35.2,2623909.0,769.0
01/24/2018,35.2,35.3,35.0,35.2,1851064.0,610.0
01/25/2018,35.1,35.8,35.0,35.2,2151317.0,754.0
01/28/2018,35.4,35.4,34.7,34.9,1059299.0,442.0
01/29/2018,34.9,35.0,33.9,34.3,2059878.0,791.0
01/30/2018,34.6,34.9,33.0,33.2,3286357.0,1317.0
01/31/2018,33.2,33.4,32.4,32.6,3423652.0,1011.0
02/01/2018,32.6,33.4,32.6,32.7,1878538.0,685.0
02/04/2018,32.6,32.6,30.9,31.5,2597945.0,1014.0
02/05/2018,31.5,31.9,30.0,31.5,4219534.0,1300.0
02/06/2018,31.6,33.0,31.6,32.8,1877433.0,958.0
02/07/2018,32.4,33.6,32.2,32.9,3640908.0,1330.0
02/08/2018,32.8,33.3,32.7,32.9,1778551.0,670.0
02/11/2018,32.9,33.9,32.9,33.8,2291027.0,847.0
02/12/2018,34.0,34.3,33.4,33.6,3221802.0,1065.0
02/13/2018,33.5,34.6,33.5,34.2,1788793.0,771.0
02/14/2018,34.4,34.4,33.4,33.6,3007633.0,996.0
02/15/2018,33.6,33.7,32.9,33.1,955123.0,571.0
02/18/2018,33.1,33.1,31.2,31.5,2198561.0,1118.0
02/19/2018,31.9,32.1,31.3,31.5,1343962.0,667.0
02/20/2018,31.6,31.9,30.7,30.9,1492462.0,719.0
02/22/2018,31.4,32.0,30.6,30.7,2143082.0,952.0
02/25/2018,31.0,31.0,29.3,29.6,2277997.0,1001.0
02/26/2018,29.6,29.9,29.3,29.6,1567510.0,656.0
02/27/2018,30.2,30.3,29.5,29.7,1115941.0,510.0
02/28/2018,29.9,30.0,29.3,29.4,1365155.0,489.0
03/01/2018,29.5,30.4,29.4,30.1,3818181.0,808.0
03/04/2018,30.1,30.9,30.0,30.6,1465504.0,612.0
03/05/2018,30.6,30.6,29.9,29.9,1606964.0,786.0
03/06/2018,30.3,30.3,29.6,29.7,1226230.0,603.0
03/07/2018,29.7,29.9,29.0,29.1,1224740.0,729.0
03/08/2018,29.1,29.2,28.6,28.9,1143763.0,479.0
03/11/2018,28.8,28.9,28.1,28.3,880428.0,498.0
03/12/2018,28.1,28.3,27.4,27.6,1348767.0,511.0
03/13/2018,28.1,28.2,27.1,27.6,818328.0,425.0
03/14/2018,27.6,28.3,27.6,28.0,999635.0,471.0
03/15/2018,28.1,30.6,27.6,30.4,2396580.0,1354.0
03/18/2018,28.1,30.6,28.1,29.9,1384327.0,671.0
03/19/2018,29.9,29.9,29.2,29.4,971712.0,430.0
03/20/2018,29.3,30.3,29.3,30.1,1746204.0,710.0
03/21/2018,29.9,29.9,29.2,29.4,757133.0,386.0
03/22/2018,29.5,29.9,29.1,29.7,1238282.0,608.0
03/25/2018,29.9,30.2,29.0,29.3,646970.0,355.0
03/27/2018,29.2,29.3,28.9,29.0,835792.0,365.0
03/28/2018,29.0,29.9,29.0,29.8,1525312.0,619.0
03/29/2018,29.6,30.6,29.2,30.4,2295533.0,833.0
04/01/2018,30.7,31.7,30.7,31.6,3131044.0,1005.0
04/02/2018,31.7,32.4,31.5,32.2,3107377.0,1092.0
04/03/2018,32.2,32.6,31.9,32.0,4054113.0,881.0
04/04/2018,32.2,32.4,31.9,32.1,2422271.0,744.0
04/05/2018,32.1,33.0,31.8,32.9,2603511.0,988.0
04/08/2018,33.0,33.4,32.6,32.9,1447574.0,647.0
04/09/2018,33.0,33.0,32.3,32.5,930328.0,436.0
04/10/2018,32.6,32.8,31.9,32.1,1201998.0,485.0
04/11/2018,32.2,32.3,30.8,31.3,914428.0,486.0
04/12/2018,31.5,31.7,30.2,30.3,1918057.0,846.0
04/15/2018,30.7,30.9,29.4,29.6,610511.0,418.0
04/16/2018,29.9,30.2,29.3,29.8,1121618.0,684.0
04/17/2018,30.2,30.2,28.9,29.1,1394254.0,679.0
04/18/2018,29.2,30.0,28.7,29.7,2819015.0,1481.0
04/19/2018,29.8,30.5,29.0,29.3,4066727.0,1533.0
04/22/2018,29.5,29.5,28.6,28.8,1301417.0,757.0
04/23/2018,28.9,29.2,28.7,29.0,1270771.0,538.0
04/24/2018,29.2,29.2,28.6,28.7,794934.0,402.0
04/25/2018,28.8,28.9,28.3,28.5,2226233.0,912.0
04/26/2018,28.5,29.0,28.0,28.4,2056420.0,1020.0
04/30/2018,28.3,28.5,27.4,27.6,1971222.0,813.0
05/03/2018,27.9,28.3,27.6,27.6,2102580.0,655.0
05/06/2018,28.0,28.2,27.4,27.6,2850821.0,614.0
