date,open,high,low,close,volume,trade
01/01/2018,100.4,100.4,97.9,98.9,239000.0,424.0
01/02/2018,98.6,99.1,97.9,99.0,60465.0,751.0
01/03/2018,99.8,103.5,99.8,102.9,437351.0,909.0
01/04/2018,102.6,104.4,101.8,103.9,504598.0,918.0
01/07/2018,104.0,107.5,104.0,106.9,603172.0,1262.0
01/08/2018,107.8,107.8,105.1,105.9,610390.0,893.0
01/09/2018,105.6,108.3,104.5,106.9,530239.0,1089.0
01/10/2018,106.2,109.0,106.0,106.9,778474.0,1097.0
01/11/2018,107.6,108.1,106.6,106.9,383603.0,579.0
01/14/2018,107.5,107.5,102.6,103.4,291531.0,632.0
01/15/2018,103.4,104.5,102.9,103.3,183424.0,452.0
01/16/2018,104.4,104.8,103.0,104.4,221112.0,393.0
01/17/2018,103.9,104.5,102.6,103.3,244046.0,579.0
01/18/2018,103.8,104.5,102.9,103.5,185222.0,311.0
01/21/2018,104.4,106.5,104.2,106.0,331683.0,642.0
01/22/2018,106.9,108.3,106.1,107.9,496523.0,838.0
01/23/2018,108.4,108.4,105.5,106.1,285761.0,588.0
01/24/2018,106.7,106.7,104.5,105.8,184809.0,481.0
01/25/2018,104.6,106.5,104.0,104.2,243257.0,534.0
01/28/2018,104.0,104.8,101.9,103.2,297623.0,645.0
01/29/2018,103.2,103.8,102.0,102.5,395861.0,777.0
01/30/2018,103.8,103.8,101.1,101.5,274589.0,600.0
01/31/2018,105.0,105.0,99.4,101.9,770952.0,1104.0
02/01/2018,101.7,104.6,101.4,104.3,426097.0,808.0
02/04/2018,104.2,104.2,102.1,102.9,121332.0,327.0
02/05/2018,101.9,103.5,100.9,102.6,130190.0,360.0
02/06/2018,103.8,105.2,103.6,104.5,603362.0,842.0
02/07/2018,104.5,105.1,103.2,104.4,405563.0,651.0
02/08/2018,104.5,106.5,104.2,105.5,437919.0,679.0
02/11/2018,106.9,108.3,106.0,108.0,520430.0,994.0
02/12/2018,108.0,109.0,106.9,108.5,716584.0,1027.0
02/13/2018,108.4,111.0,107.3,109.6,686829.0,1082.0
02/14/2018,110.4,111.1,109.6,110.5,730303.0,917.0
02/15/2018,110.9,110.9,108.6,108.8,338292.0,634.0
02/18/2018,107.5,109.8,107.5,108.0,235964.0,556.0
02/19/2018,108.0,108.8,107.6,107.8,177366.0,376.0
02/20/2018,108.1,109.1,107.3,108.4,291662.0,455.0
02/22/2018,109.6,109.6,108.4,109.2,232657.0,387.0
02/25/2018,108.5,111.5,108.5,110.6,612138.0,1159.0
02/26/2018,111.1,111.2,108.5,110.6,433512.0,806.0
02/27/2018,110.8,110.9,107.9,108.8,328595.0,569.0
02/28/2018,108.6,110.1,107.7,108.1,259856.0,442.0
03/01/2018,108.8,108.8,107.7,108.1,254477.0,596.0
03/04/2018,106.9,109.6,106.9,109.2,152321.0,294.0
03/05/2018,108.4,110.4,107.9,108.1,118181.0,291.0
03/06/2018,108.4,109.0,107.8,108.3,185108.0,309.0
03/07/2018,108.4,110.2,108.4,109.2,280073.0,578.0
03/08/2018,109.4,110.6,108.8,109.3,109077.0,353.0
03/11/2018,109.1,110.0,108.3,108.8,143246.0,355.0
03/12/2018,109.4,109.4,107.4,107.8,179155.0,422.0
03/13/2018,109.8,109.8,107.0,107.5,200982.0,438.0
03/14/2018,107.8,109.0,107.5,108.0,264513.0,405.0
03/15/2018,108.9,108.9,107.8,108.0,209631.0,379.0
03/18/2018,108.4,108.4,107.5,107.7,136175.0,221.0
03/19/2018,108.3,108.3,105.2,105.8,279890.0,290.0
03/20/2018,107.0,107.0,105.2,106.2,115779.0,260.0
03/21/2018,106.5,106.5,103.4,104.5,124740.0,238.0
03/22/2018,104.5,105.2,102.1,104.1,120048.0,289.0
03/25/2018,104.2,105.8,102.5,102.7,59532.0,208.0
03/27/2018,102.7,103.5,101.7,103.0,52304.0,270.0
03/28/2018,102.5,104.5,102.5,103.5,141251.0,405.0
03/29/2018,103.5,105.2,103.3,103.9,124632.0,334.0
04/01/2018,103.4,105.2,103.4,104.0,138695.0,373.0
04/02/2018,103.3,104.2,103.3,103.8,197975.0,393.0
04/03/2018,104.5,107.0,104.3,105.0,304077.0,459.0
04/04/2018,105.9,106.0,104.4,105.2,116923.0,265.0
04/05/2018,106.0,106.4,104.5,106.1,225390.0,382.0
04/08/2018,106.5,106.8,105.4,105.6,258392.0,465.0
04/09/2018,105.7,106.5,105.2,105.8,215931.0,413.0
04/10/2018,105.5,106.4,104.5,105.2,99651.0,254.0
04/11/2018,106.0,106.1,104.0,104.4,202311.0,326.0
04/12/2018,104.8,104.8,102.9,103.2,125857.0,273.0
04/15/2018,103.3,103.5,101.9,102.7,322847.0,367.0
04/16/2018,104.2,104.2,101.6,103.1,117253.0,199.0
04/17/2018,104.4,104.4,102.6,102.7,112751.0,342.0
04/18/2018,102.7,103.8,102.5,102.7,77177.0,158.0
04/19/2018,103.8,104.5,102.7,103.2,259522.0,399.0
04/22/2018,103.8,103.8,103.3,103.5,114102.0,229.0
04/23/2018,103.6,103.8,102.3,102.7,153496.0,239.0
04/24/2018,103.2,103.6,102.5,102.7,121716.0,263.0
04/25/2018,102.6,103.1,102.4,102.5,102492.0,254.0
04/26/2018,102.0,102.3,100.9,101.2,132107.0,335.0
04/30/2018,101.5,105.1,100.7,101.4,81318.0,162.0
05/03/2018,100.9,100.9,97.6,98.4,176857.0,333.0
05/06/2018,98.9,98.9,97.9,98.1,103778.0,192.0
05/07/2018,98.2,98.3,96.6,97.1,160922.0,295.0
05/08/2018,97.3,98.6,95.7,96.2,220776.0,285.0
05/09/2018,96.7,100.4,96.6,98.9,373491.0,534.0
05/10/2018,100.6,103.7,99.5,102.5,330710.0,643.0
05/13/2018,101.9,102.7,99.6,99.8,182574.0,419.0
05/14/2018,99.9,101.5,99.5,99.7,155893.0,282.0
05/15/2018,99.9,100.1,98.4,98.7,145300.0,252.0
05/16/2018,99.0,99.0,97.9,98.0,71777.0,190.0
05/17/2018,97.7,98.2,95.6,96.2,77733.0,217.0
05/20/2018,96.0,97.7,95.6,96.0,60302.0,135.0
05/21/2018,97.3,97.3,95.3,95.3,93442.0,250.0
05/22/2018,95.5,96.9,94.6,94.9,81323.0,155.0
05/23/2018,94.6,95.9,94.1,94.8,65072.0,152.0
05/24/2018,94.6,96.7,94.6,96.6,179026.0,398.0
05/27/2018,98.5,98.5,96.9,97.3,124509.0,339.0
05/28/2018,97.3,97.5,95.6,96.4,24757.0,107.0
05/29/2018,94.6,96.6,94.6,95.2,66196.0,126.0
05/30/2018,96.6,97.0,93.4,94.1,110842.0,336.0
05/31/2018,95.0,95.3,94.2,94.6,11581.0,65.0
06/03/2018,93.3,95.2,93.3,94.1,39620.0,93.0
06/04/2018,95.2,95.2,93.5,93.9,98314.0,229.0
06/05/2018,93.9,94.1,92.0,92.3,222350.0,411.0
