date,open,high,low,close,volume,trade
08/05/2019,27.7,42.4,27.7,41.8,8170863.0,13788.0
08/06/2019,42.8,43.2,39.7,40.3,1215289.0,2973.0
08/07/2019,39.7,41.0,36.2,36.2,4521091.0,4703.0
08/08/2019,35.3,37.9,33.7,36.3,1570202.0,2812.0
08/18/2019,36.7,38.5,35.9,37.7,1950709.0,2611.0
08/19/2019,38.0,40.7,37.4,37.9,3545851.0,3734.0
08/20/2019,37.9,38.6,36.4,36.8,2258230.0,2505.0
08/21/2019,36.2,36.6,34.8,35.2,1962580.0,2162.0
08/22/2019,35.2,36.6,34.6,35.3,1087719.0,1336.0
08/25/2019,35.5,36.1,33.5,33.8,1118058.0,1355.0
08/26/2019,34.1,34.1,31.0,31.6,1906714.0,1989.0
08/27/2019,31.7,33.7,31.5,32.5,1022455.0,1520.0
08/28/2019,32.8,33.1,30.9,31.3,854767.0,1273.0
08/29/2019,31.6,31.6,29.8,29.9,828165.0,1184.0
09/01/2019,30.2,31.3,29.5,29.8,706405.0,1035.0
09/02/2019,30.2,30.3,29.2,29.3,568002.0,788.0
09/03/2019,29.8,31.0,29.4,30.5,1171680.0,1505.0
09/04/2019,31.1,32.8,31.0,31.8,1469582.0,1769.0
09/05/2019,31.8,32.0,30.0,30.3,1060557.0,1353.0
09/08/2019,30.6,30.7,29.4,29.5,724950.0,890.0
09/09/2019,29.6,29.8,27.9,28.2,680100.0,934.0
09/11/2019,28.3,28.6,26.4,26.7,670570.0,1019.0
09/12/2019,26.7,27.3,25.8,26.5,592654.0,795.0
09/15/2019,26.4,27.6,26.4,27.0,480538.0,650.0
09/16/2019,27.2,27.7,26.5,26.7,550113.0,645.0
09/17/2019,26.7,27.3,25.4,25.7,539110.0,716.0
09/18/2019,26.0,26.1,24.6,24.8,608261.0,824.0
09/19/2019,24.8,25.2,23.3,23.7,397927.0,528.0
09/22/2019,23.8,25.1,23.6,24.6,758418.0,750.0
09/23/2019,25.1,26.2,25.1,25.5,579240.0,677.0
09/24/2019,25.5,26.0,23.9,24.1,588510.0,668.0
09/25/2019,23.9,24.4,23.3,23.8,570081.0,595.0
09/26/2019,24.1,24.5,23.7,23.8,601056.0,538.0
09/29/2019,23.9,24.5,23.4,24.3,762278.0,659.0
09/30/2019,24.4,25.5,24.0,24.2,1131991.0,972.0
10/01/2019,24.5,24.7,23.8,23.9,310994.0,369.0
10/02/2019,24.3,25.1,23.8,24.7,1042638.0,769.0
10/03/2019,25.0,27.2,24.8,27.2,2450430.0,
10/06/2019,27.8,28.4,27.0,27.2,1314466.0,1116.0
10/07/2019,27.2,27.5,25.4,25.8,831170.0,980.0
10/09/2019,25.8,26.3,24.8,25.0,672418.0,
10/10/2019,25.0,25.6,24.0,24.3,429928.0,489.0
10/13/2019,24.6,24.8,23.6,23.8,931696.0,695.0
10/14/2019,23.9,24.5,23.6,24.0,413035.0,492.0
10/15/2019,24.6,25.6,24.2,25.1,573002.0,533.0
10/16/2019,25.3,25.3,24.0,24.2,596658.0,509.0
10/17/2019,24.5,24.5,23.2,23.6,366981.0,
10/20/2019,23.6,23.8,21.7,22.0,759177.0,672.0
10/21/2019,21.9,22.5,20.7,21.0,346204.0,392.0
10/22/2019,21.0,21.2,18.9,19.3,470836.0,421.0
10/23/2019,19.3,19.9,17.9,18.2,2591426.0,
10/24/2019,18.3,20.1,18.1,20.0,1671906.0,1047.0
10/27/2019,20.2,20.7,19.4,19.7,818404.0,712.0
10/28/2019,19.2,19.7,18.4,18.7,694764.0,580.0
10/29/2019,19.6,21.8,19.5,21.5,1643579.0,1237.0
10/30/2019,21.7,22.5,21.0,21.8,1061440.0,914.0
10/31/2019,21.8,24.0,21.6,23.0,2123943.0,1333.0
11/03/2019,23.0,24.0,22.9,23.1,1119010.0,899.0
11/04/2019,23.2,23.2,22.3,22.5,1197666.0,876.0
11/05/2019,22.7,24.5,22.5,23.9,2191825.0,1238.0
11/06/2019,24.1,24.8,23.3,23.6,1515097.0,976.0
11/07/2019,23.6,25.1,23.4,24.5,1582966.0,1046.0
11/11/2019,25.0,25.7,24.1,25.0,984956.0,782.0
11/12/2019,25.3,26.1,25.1,25.8,1606077.0,1145.0
11/13/2019,25.9,25.9,23.5,23.8,2039741.0,1281.0
11/14/2019,22.6,23.8,21.5,23.2,1685988.0,1197.0
11/17/2019,23.7,23.7,22.6,22.8,547004.0,544.0
11/18/2019,22.8,23.3,21.9,22.7,1203935.0,1076.0
11/19/2019,23.2,23.2,22.5,22.7,491236.0,536.0
11/20/2019,23.2,23.8,22.8,23.6,1313732.0,1061.0
11/21/2019,23.2,23.8,22.8,23.6,1313732.0,0.0
11/24/2019,24.9,26.7,24.9,26.7,2430695.0,1217.0
11/25/2019,27.3,28.6,26.2,28.1,1568866.0,1142.0
11/26/2019,28.3,30.2,28.1,28.4,2530769.0,1742.0
11/27/2019,28.3,28.6,26.7,27.2,1617218.0,1448.0
11/28/2019,27.2,29.0,26.7,28.0,1855397.0,2107.0
12/01/2019,28.6,28.6,27.1,27.3,1097279.0,918.0
12/02/2019,27.5,28.2,27.0,27.3,1173792.0,1071.0
12/03/2019,27.6,27.7,26.4,26.5,987309.0,851.0
12/04/2019,26.5,27.3,25.7,25.9,1005123.0,1060.0
12/05/2019,26.0,26.6,24.8,25.0,1027841.0,944.0
12/08/2019,25.4,25.4,23.8,24.2,761035.0,845.0
12/09/2019,24.0,25.4,23.8,25.0,660656.0,791.0
12/10/2019,25.5,26.5,25.3,25.7,1017038.0,1329.0
12/11/2019,25.8,26.2,25.4,25.5,612371.0,638.0
12/12/2019,25.7,26.5,24.8,26.2,1278977.0,1017.0
12/15/2019,26.5,27.0,26.3,26.7,1164445.0,945.0
12/17/2019,26.3,26.6,24.8,25.0,574298.0,607.0
12/18/2019,25.0,25.0,23.7,24.4,1203697.0,1022.0
12/19/2019,24.8,25.3,24.4,24.6,390219.0,442.0
12/22/2019,24.7,24.7,23.1,23.4,893569.0,858.0
12/23/2019,23.8,23.8,23.1,23.4,497969.0,548.0
12/24/2019,23.7,24.3,23.5,23.6,418520.0,457.0
12/26/2019,24.0,24.1,23.4,23.5,267163.0,296.0
12/29/2019,23.8,24.2,23.3,23.4,440822.0,511.0
12/30/2019,23.4,24.0,23.1,23.3,278013.0,409.0
01/01/2020,23.9,24.0,23.6,23.8,337564.0,370.0
