date,open,high,low,close,volume,trade
12/21/2020,15.0,15.0,15.0,15.0,500.0,1.0
12/22/2020,22.5,22.5,22.5,22.5,600.0,2.0
12/23/2020,24.7,24.7,24.7,24.7,1579.0,4.0
12/24/2020,27.1,27.1,27.1,27.1,1400.0,3.0
12/27/2020,29.8,29.8,29.8,29.8,2129.0,5.0
12/28/2020,32.7,32.7,32.7,32.7,3346.0,12.0
12/29/2020,35.9,35.9,35.9,35.9,15283.0,17.0
12/30/2020,39.4,39.4,39.4,39.4,109248.0,33.0
01/03/2021,43.3,43.3,43.3,43.3,27806.0,40.0
01/04/2021,47.6,47.6,47.6,47.6,93679.0,83.0
01/05/2021,52.3,52.3,52.3,52.3,627043.0,400.0
01/06/2021,57.5,57.5,48.5,51.7,4816580.0,8287.0
01/07/2021,51.1,55.0,49.0,53.8,1925054.0,3610.0
01/10/2021,55.0,57.0,51.6,52.6,2383783.0,3443.0
01/11/2021,52.6,52.8,48.8,50.7,2175691.0,3577.0
01/12/2021,52.0,52.8,48.3,48.9,1676477.0,2734.0
01/13/2021,49.9,50.0,45.4,46.0,1356513.0,2104.0
01/14/2021,47.0,47.5,44.3,45.1,1530914.0,2274.0
01/17/2021,45.4,48.2,45.4,46.1,1156871.0,1729.0
01/18/2021,47.3,47.4,43.3,43.9,748827.0,1340.0
01/19/2021,46.0,48.2,45.8,48.2,1721444.0,1672.0
01/20/2021,49.9,49.9,45.3,45.5,1227332.0,1737.0
01/21/2021,45.5,46.4,42.9,43.1,1175176.0,1863.0
01/24/2021,43.3,45.0,42.3,44.0,757899.0,1220.0
01/25/2021,44.4,48.1,44.4,46.7,1832159.0,2094.0
01/26/2021,46.8,47.1,43.7,43.9,634234.0,1096.0
01/27/2021,45.1,45.5,42.9,43.0,620629.0,944.0
01/28/2021,44.1,44.7,42.7,43.0,478516.0,675.0
01/31/2021,44.4,44.4,42.1,42.3,362806.0,530.0
02/01/2021,42.0,44.3,42.0,44.1,489826.0,891.0
02/02/2021,44.3,44.9,41.9,42.1,604488.0,960.0
02/03/2021,42.1,42.1,38.1,39.1,813421.0,1117.0
02/04/2021,39.5,40.0,37.8,38.7,381206.0,752.0
02/07/2021,39.5,41.1,39.0,39.3,586771.0,950.0
02/08/2021,39.4,39.9,36.4,36.9,397767.0,684.0
02/09/2021,37.4,39.5,37.0,39.2,497781.0,704.0
