date,open,high,low,close,volume,trade
01/01/2018,207.0,217.0,207.0,214.6,49056.0,546.0
01/02/2018,215.1,216.9,215.0,215.0,10083.0,601.0
01/03/2018,209.5,213.5,209.5,212.1,45917.0,489.0
01/04/2018,212.0,212.9,209.6,212.0,39152.0,382.0
01/07/2018,212.6,212.8,209.1,210.2,43003.0,380.0
01/08/2018,208.1,211.8,208.1,210.6,22315.0,224.0
01/09/2018,211.5,215.5,210.1,213.5,47165.0,517.0
01/10/2018,213.5,218.0,212.0,213.7,78330.0,1027.0
01/11/2018,212.1,217.0,212.1,216.1,112654.0,910.0
01/14/2018,217.4,222.0,215.4,216.0,129461.0,1310.0
01/15/2018,219.3,219.9,212.2,213.7,57847.0,554.0
01/16/2018,214.4,215.9,210.3,212.7,55836.0,623.0
01/17/2018,214.8,222.0,213.5,221.3,226604.0,1882.0
01/18/2018,224.5,225.5,219.0,220.9,163733.0,1366.0
01/21/2018,220.0,220.0,213.0,214.2,165404.0,1229.0
01/22/2018,214.0,217.0,209.9,210.5,134886.0,1143.0
01/23/2018,210.0,215.0,210.0,213.2,175952.0,839.0
01/24/2018,215.0,216.9,212.9,213.5,78644.0,679.0
01/25/2018,215.4,216.3,211.8,212.6,77022.0,697.0
01/28/2018,212.1,212.1,207.2,207.6,61303.0,696.0
01/29/2018,207.1,210.0,205.2,207.9,50900.0,439.0
01/30/2018,209.5,210.0,208.2,208.8,44321.0,330.0
01/31/2018,208.6,208.7,205.5,206.2,33508.0,366.0
02/01/2018,207.0,208.8,201.0,203.5,56351.0,595.0
02/04/2018,204.3,204.3,193.0,193.8,82004.0,751.0
02/05/2018,195.0,198.0,188.0,195.7,49234.0,535.0
02/06/2018,198.0,199.5,195.9,197.8,33692.0,441.0
02/07/2018,197.8,205.8,194.3,204.1,64307.0,807.0
02/08/2018,202.2,205.3,201.5,202.3,35263.0,348.0
02/11/2018,203.4,207.9,203.1,205.7,59937.0,627.0
02/12/2018,207.5,209.5,204.8,207.7,50356.0,551.0
02/13/2018,209.9,214.4,208.5,210.8,85767.0,984.0
02/14/2018,211.9,214.1,210.2,210.5,79480.0,672.0
02/15/2018,210.6,211.8,205.2,206.1,65271.0,678.0
02/18/2018,208.4,216.0,207.2,214.9,205133.0,1719.0
02/19/2018,216.0,233.7,216.0,230.1,816304.0,5027.0
02/20/2018,231.9,236.7,225.0,225.6,380632.0,2434.0
02/22/2018,226.5,234.9,226.2,232.9,403606.0,2433.0
02/25/2018,234.9,239.8,234.3,234.9,365274.0,2359.0
02/26/2018,235.0,236.0,222.2,223.9,304227.0,2064.0
02/27/2018,227.8,228.7,217.7,218.7,180802.0,1814.0
02/28/2018,221.7,223.7,217.2,218.1,139838.0,1239.0
03/01/2018,220.0,227.9,220.0,225.7,219802.0,1746.0
03/04/2018,226.8,230.8,223.1,224.1,154576.0,1350.0
03/05/2018,225.0,231.0,222.2,228.0,276347.0,2072.0
03/06/2018,230.0,238.0,230.0,232.0,421112.0,2742.0
03/07/2018,232.7,233.5,225.9,227.1,204101.0,1630.0
03/08/2018,228.0,234.7,227.2,233.4,196326.0,1516.0
