date,open,high,low,close,volume,trade
01/01/2018,9.0,9.0,8.8,8.9,42937.0,42.0
01/02/2018,8.8,9.4,8.8,8.9,134.0,61.0
01/03/2018,8.9,9.0,8.9,9.0,102910.0,48.0
01/04/2018,9.0,9.0,8.8,8.9,85761.0,45.0
01/07/2018,8.9,9.0,8.8,8.9,72992.0,36.0
01/08/2018,8.8,8.9,8.8,8.8,55324.0,46.0
01/09/2018,8.7,9.0,8.7,8.7,85358.0,59.0
01/10/2018,8.6,9.2,8.6,9.0,137991.0,116.0
01/11/2018,9.0,9.1,8.7,8.8,185756.0,79.0
01/14/2018,8.7,8.8,8.6,8.7,105934.0,53.0
01/15/2018,8.7,8.8,8.6,8.7,75686.0,40.0
01/16/2018,8.7,8.8,8.6,8.7,65548.0,34.0
01/17/2018,8.8,8.9,8.7,8.8,104560.0,69.0
01/18/2018,8.8,9.2,8.8,9.1,181451.0,116.0
01/21/2018,9.1,9.5,9.0,9.1,298705.0,169.0
01/22/2018,9.2,9.2,9.0,9.0,112236.0,68.0
01/23/2018,9.0,9.1,8.9,8.9,74824.0,61.0
01/24/2018,9.1,9.2,8.9,9.1,168480.0,91.0
01/25/2018,9.1,9.1,9.0,9.0,55742.0,45.0
01/28/2018,9.2,9.2,8.8,8.9,127330.0,82.0
01/29/2018,8.9,8.9,8.8,8.9,33260.0,27.0
01/30/2018,8.9,9.0,8.8,8.8,63543.0,63.0
01/31/2018,8.8,8.8,8.7,8.8,90550.0,73.0
02/01/2018,8.8,8.8,8.7,8.8,122165.0,59.0
02/04/2018,8.8,8.8,8.5,8.5,116400.0,63.0
02/05/2018,8.4,8.5,8.3,8.4,149130.0,76.0
02/06/2018,8.7,8.8,8.6,8.8,70186.0,63.0
02/07/2018,8.8,9.2,8.7,9.1,382265.0,183.0
02/08/2018,9.3,9.3,9.0,9.1,309474.0,144.0
02/11/2018,9.2,9.9,9.2,9.8,1007211.0,567.0
02/12/2018,10.0,10.5,10.0,10.2,1375308.0,712.0
02/13/2018,10.3,10.7,10.2,10.6,1462343.0,714.0
02/14/2018,10.6,11.5,10.6,11.4,1386012.0,799.0
02/15/2018,11.5,11.8,10.8,10.9,833535.0,610.0
02/18/2018,11.0,11.0,9.9,10.1,916593.0,512.0
02/19/2018,10.3,11.0,10.3,10.7,424419.0,259.0
02/20/2018,11.0,11.1,10.4,10.4,310747.0,200.0
02/22/2018,10.4,10.5,9.8,10.1,295698.0,213.0
02/25/2018,10.0,10.2,9.8,9.9,214622.0,152.0
02/26/2018,9.9,10.0,9.5,9.6,343775.0,185.0
02/27/2018,9.7,9.8,9.5,9.7,87629.0,79.0
02/28/2018,9.8,9.8,9.6,9.6,140797.0,91.0
03/01/2018,9.6,9.8,9.5,9.7,98677.0,60.0
03/04/2018,9.8,10.0,9.7,9.8,76361.0,50.0
03/05/2018,10.0,10.0,9.7,9.7,88474.0,69.0
03/06/2018,9.7,9.7,9.5,9.6,89715.0,101.0
03/07/2018,9.6,9.8,9.6,9.6,127269.0,119.0
03/08/2018,9.5,9.6,9.5,9.5,67002.0,59.0
03/11/2018,9.6,9.7,9.3,9.3,136607.0,100.0
03/12/2018,9.3,9.3,8.8,8.9,271630.0,170.0
03/13/2018,8.9,8.9,8.5,8.6,157544.0,117.0
03/14/2018,8.7,9.0,8.6,9.0,128669.0,108.0
03/15/2018,9.1,9.1,8.9,9.0,54991.0,53.0
03/18/2018,9.3,9.3,9.0,9.2,191598.0,70.0
03/19/2018,9.2,9.4,9.0,9.0,185586.0,90.0
03/20/2018,9.1,9.1,8.8,8.9,36129.0,51.0
03/21/2018,8.9,9.1,8.6,8.7,74721.0,101.0
03/22/2018,8.7,8.9,8.5,8.8,76160.0,85.0
03/25/2018,9.0,9.0,8.6,8.7,29860.0,35.0
03/27/2018,8.8,8.8,8.6,8.6,98413.0,52.0
03/28/2018,8.7,8.8,8.5,8.7,100530.0,74.0
03/29/2018,8.8,8.9,8.7,8.8,16600.0,23.0
04/01/2018,9.0,9.1,8.9,9.1,58530.0,68.0
04/02/2018,9.1,9.1,8.8,8.9,69238.0,72.0
04/03/2018,8.9,9.0,8.6,8.7,168107.0,131.0
04/04/2018,8.7,8.9,8.7,8.8,49753.0,39.0
04/05/2018,9.0,9.0,8.6,8.6,121561.0,113.0
04/08/2018,8.6,8.8,8.6,8.6,89085.0,71.0
04/09/2018,8.7,8.9,8.7,8.8,78711.0,54.0
04/10/2018,8.9,9.0,8.8,8.9,63493.0,52.0
04/11/2018,8.9,8.9,8.8,8.8,61977.0,56.0
04/12/2018,8.8,8.8,8.5,8.6,126400.0,76.0
04/15/2018,8.6,8.8,8.5,8.7,53639.0,51.0
04/16/2018,8.7,8.7,8.5,8.5,91796.0,53.0
04/17/2018,8.6,8.6,8.4,8.5,110907.0,70.0
04/18/2018,8.5,8.6,8.5,8.6,31494.0,29.0
04/19/2018,8.6,8.6,8.4,8.6,40087.0,42.0
04/22/2018,8.6,8.7,8.4,8.5,82168.0,63.0
04/23/2018,8.6,8.6,8.5,8.5,66992.0,64.0
04/24/2018,8.6,8.6,8.4,8.4,105638.0,54.0
04/25/2018,8.4,8.6,8.4,8.5,19775.0,24.0
04/26/2018,8.6,8.6,8.4,8.5,67644.0,31.0
04/30/2018,8.3,8.6,8.2,8.4,24735.0,21.0
05/03/2018,8.3,8.5,8.2,8.2,37861.0,40.0
05/06/2018,8.2,8.2,7.9,8.1,84488.0,79.0
05/07/2018,8.1,8.2,8.1,8.1,37485.0,38.0
05/08/2018,8.2,8.2,8.0,8.1,32391.0,36.0
05/09/2018,8.1,8.3,8.1,8.2,29626.0,22.0
05/10/2018,8.2,8.3,8.1,8.1,31960.0,34.0
05/13/2018,8.0,8.1,8.0,8.0,84283.0,50.0
05/14/2018,8.0,8.0,8.0,8.0,22044.0,16.0
05/15/2018,8.1,8.1,8.0,8.0,25410.0,33.0
05/16/2018,7.9,8.0,7.9,8.0,84486.0,32.0
05/17/2018,8.0,8.0,7.7,7.8,58831.0,47.0
05/20/2018,7.8,7.8,7.6,7.7,15197.0,36.0
05/21/2018,7.7,7.7,7.5,7.5,68423.0,83.0
05/22/2018,7.9,7.9,7.4,7.4,49972.0,64.0
05/23/2018,7.4,7.4,7.2,7.2,53611.0,54.0
05/24/2018,7.2,7.2,6.9,7.0,197653.0,133.0
05/27/2018,7.1,7.1,6.7,6.8,149998.0,121.0
05/28/2018,6.8,7.3,6.8,7.3,61576.0,64.0
05/29/2018,7.2,7.3,7.0,7.1,50486.0,47.0
05/30/2018,7.2,7.2,7.1,7.1,19050.0,15.0
05/31/2018,7.1,7.2,7.0,7.1,23482.0,24.0
06/03/2018,7.1,7.1,6.9,7.0,64177.0,50.0
06/04/2018,7.0,7.2,6.9,7.0,47789.0,52.0
06/05/2018,7.0,7.1,6.9,6.9,42233.0,31.0
06/06/2018,7.2,7.2,6.9,7.1,44106.0,60.0
06/07/2018,7.0,7.3,7.0,7.3,36277.0,41.0
06/10/2018,7.9,7.9,7.1,7.1,53815.0,43.0
06/11/2018,7.0,7.1,7.0,7.0,61441.0,26.0
06/12/2018,7.2,7.3,7.1,7.2,27162.0,31.0
06/18/2018,7.2,7.2,7.0,7.0,42764.0,41.0
06/19/2018,7.0,7.0,6.9,6.9,78419.0,42.0
06/20/2018,6.8,7.0,6.8,6.8,127186.0,91.0
06/21/2018,6.8,7.0,6.7,6.8,141530.0,153.0
06/24/2018,7.0,7.4,7.0,7.4,174425.0,145.0
06/25/2018,7.5,7.5,7.0,7.1,86038.0,97.0
06/26/2018,7.0,7.2,6.6,6.8,102920.0,80.0
06/27/2018,6.8,7.0,6.7,6.8,188353.0,143.0
06/28/2018,6.9,6.9,6.6,6.7,125391.0,79.0
07/02/2018,6.7,7.0,6.7,6.8,52762.0,80.0
07/03/2018,6.8,6.8,6.6,6.7,43915.0,35.0
07/04/2018,6.8,6.9,6.7,6.8,60370.0,57.0
07/05/2018,6.9,7.0,6.7,6.8,175907.0,90.0
07/08/2018,6.8,6.9,6.8,6.8,71659.0,42.0
07/09/2018,6.8,7.0,6.8,6.9,31309.0,24.0
07/10/2018,7.0,7.2,7.0,7.1,88635.0,66.0
07/11/2018,7.4,7.4,7.0,7.0,54600.0,42.0
07/12/2018,7.0,7.1,6.9,7.0,68991.0,49.0
07/15/2018,6.8,7.0,6.7,6.8,15494.0,22.0
07/16/2018,6.9,7.0,6.7,6.8,67531.0,52.0
07/17/2018,6.9,7.1,6.8,7.1,80683.0,68.0
07/18/2018,6.8,7.0,6.6,6.7,248302.0,157.0
07/19/2018,6.6,6.6,6.1,6.2,457760.0,292.0
07/22/2018,6.0,6.0,5.6,5.6,352702.0,206.0
07/23/2018,5.6,6.1,5.3,6.1,149992.0,101.0
07/24/2018,6.1,6.3,5.8,5.9,153960.0,74.0
07/25/2018,6.4,6.4,5.9,6.3,62013.0,63.0
07/26/2018,6.5,6.5,6.1,6.4,23101.0,46.0
07/29/2018,6.4,6.6,6.2,6.3,28840.0,44.0
07/30/2018,6.2,6.2,5.7,5.9,58021.0,
07/31/2018,5.9,6.0,5.6,5.6,110284.0,91.0
08/01/2018,5.6,5.8,5.4,5.4,139701.0,77.0
08/02/2018,5.9,5.9,5.8,5.8,128640.0,88.0
08/05/2018,6.0,6.3,6.0,6.1,122745.0,105.0
08/06/2018,6.2,6.3,6.1,6.1,49110.0,46.0
08/07/2018,6.3,6.3,5.8,6.0,90608.0,49.0
08/08/2018,6.0,6.2,5.8,6.0,44971.0,52.0
08/09/2018,6.2,6.3,6.1,6.2,72427.0,56.0
08/12/2018,6.1,6.4,6.1,6.3,60651.0,44.0
08/13/2018,6.4,6.4,6.1,6.1,63454.0,33.0
08/14/2018,6.2,6.2,6.0,6.1,66770.0,49.0
08/16/2018,6.2,6.3,6.1,6.2,28619.0,30.0
08/19/2018,6.1,6.3,6.1,6.2,47911.0,21.0
08/20/2018,6.1,6.2,6.0,6.1,29561.0,23.0
08/26/2018,6.1,6.1,5.9,5.9,32638.0,50.0
08/27/2018,6.0,6.0,5.7,5.8,82409.0,119.0
08/28/2018,5.8,6.1,5.7,5.8,83984.0,74.0
08/29/2018,5.9,6.0,5.8,5.9,13022.0,21.0
08/30/2018,5.8,5.9,5.6,5.7,72558.0,67.0
09/03/2018,5.8,5.9,5.7,5.7,34465.0,36.0
09/04/2018,5.8,5.9,5.7,5.7,39110.0,18.0
09/05/2018,5.7,5.9,5.7,5.8,17508.0,26.0
09/06/2018,5.7,5.9,5.7,5.8,9916.0,18.0
09/09/2018,5.7,5.8,5.6,5.7,50498.0,34.0
09/10/2018,5.9,5.9,5.6,5.7,19793.0,32.0
09/11/2018,5.9,5.9,5.7,5.9,2105.0,10.0
09/12/2018,5.9,6.0,5.7,5.8,32563.0,27.0
09/13/2018,5.7,5.8,5.3,5.4,136515.0,76.0
09/16/2018,5.3,5.6,5.3,5.4,45889.0,36.0
09/17/2018,5.6,5.7,5.4,5.5,41460.0,33.0
09/18/2018,5.7,6.0,5.7,6.0,99418.0,91.0
09/19/2018,6.3,6.3,5.9,6.0,70861.0,55.0
09/20/2018,5.8,5.8,5.6,5.7,34486.0,26.0
09/23/2018,5.5,5.8,5.5,5.6,16190.0,14.0
09/24/2018,5.6,5.6,5.5,5.5,14852.0,19.0
09/25/2018,5.6,5.8,5.3,5.4,71148.0,41.0
09/26/2018,5.4,5.8,5.3,5.4,26568.0,19.0
09/27/2018,5.7,5.7,5.5,5.7,6564.0,10.0
09/30/2018,5.3,5.7,5.3,5.5,12080.0,12.0
10/01/2018,5.8,5.8,5.5,5.5,22000.0,12.0
10/02/2018,5.5,5.7,5.5,5.6,22895.0,24.0
10/03/2018,5.8,5.8,5.6,5.6,27025.0,36.0
10/04/2018,5.8,5.8,5.5,5.5,51373.0,32.0
10/07/2018,5.5,5.6,5.1,5.2,186593.0,0.0
10/08/2018,5.5,5.6,5.3,5.6,52962.0,
10/09/2018,5.5,5.7,5.5,5.6,39900.0,
10/10/2018,5.7,5.8,5.5,5.6,100712.0,0.0
10/11/2018,5.6,5.8,5.5,5.7,31900.0,21.0
10/14/2018,5.7,5.7,5.5,5.5,63119.0,41.0
10/15/2018,5.6,5.6,5.5,5.6,22283.0,15.0
10/16/2018,5.5,5.7,5.5,5.5,23656.0,18.0
10/17/2018,5.6,5.7,5.5,5.6,19012.0,17.0
10/18/2018,5.5,5.5,5.3,5.5,11542.0,14.0
10/21/2018,5.5,5.5,5.4,5.4,29750.0,25.0
10/22/2018,5.0,5.6,5.0,5.4,11660.0,21.0
10/23/2018,5.5,5.5,5.0,5.2,36250.0,37.0
10/24/2018,5.4,5.5,5.4,5.4,6010.0,25.0
10/25/2018,5.3,5.4,5.2,5.2,8398.0,
10/28/2018,5.5,5.5,5.3,5.3,3000.0,
10/29/2018,5.4,5.4,5.1,5.3,93666.0,
