date,open,high,low,close,volume,trade
01/01/2018,43.6,44.3,43.2,43.4,76635.0,132.0
01/02/2018,43.9,43.9,43.8,43.8,14170.0,211.0
01/03/2018,44.5,45.9,44.3,45.3,250777.0,318.0
01/04/2018,45.9,45.9,44.7,44.9,140146.0,198.0
01/07/2018,44.8,45.7,44.8,45.0,134407.0,251.0
01/08/2018,45.3,45.3,44.5,44.8,65350.0,108.0
01/09/2018,45.4,45.5,44.5,44.7,73713.0,131.0
01/10/2018,45.2,45.2,44.2,44.6,69943.0,139.0
01/11/2018,45.0,45.0,44.0,44.3,49840.0,131.0
01/14/2018,44.6,44.6,43.6,44.1,57238.0,116.0
01/15/2018,44.5,44.9,43.0,43.3,71689.0,171.0
01/16/2018,43.1,44.0,43.0,43.8,134974.0,171.0
01/17/2018,44.1,44.1,43.0,43.1,65113.0,93.0
01/18/2018,43.0,43.4,42.6,42.9,41690.0,75.0
01/21/2018,43.9,43.9,43.0,43.2,58508.0,131.0
01/22/2018,43.8,45.1,43.6,44.8,191757.0,298.0
01/23/2018,45.4,45.4,43.7,44.1,88662.0,184.0
01/24/2018,44.8,45.6,44.2,45.5,279906.0,406.0
01/25/2018,45.7,45.8,44.8,44.9,232993.0,214.0
01/28/2018,44.5,44.5,42.8,43.2,133232.0,313.0
01/29/2018,44.2,44.2,43.2,43.6,70824.0,171.0
01/30/2018,43.0,43.9,42.2,42.6,77998.0,112.0
01/31/2018,42.5,42.6,41.0,41.5,122849.0,199.0
02/01/2018,42.0,42.1,40.9,41.7,41857.0,115.0
02/04/2018,41.0,41.4,40.0,40.1,54926.0,113.0
02/05/2018,41.9,41.9,39.6,40.7,43350.0,73.0
02/06/2018,41.4,41.9,40.8,41.7,38422.0,115.0
02/07/2018,41.0,41.5,40.5,40.8,91081.0,130.0
02/08/2018,41.7,41.7,40.4,40.9,20658.0,47.0
02/11/2018,41.2,42.0,41.2,41.9,79371.0,120.0
02/12/2018,42.8,42.8,40.9,41.1,108065.0,207.0
02/13/2018,41.0,41.8,40.7,41.4,83746.0,155.0
02/14/2018,41.8,43.5,41.8,42.9,280936.0,320.0
02/15/2018,43.2,43.2,41.4,41.8,93618.0,139.0
02/18/2018,41.2,41.6,40.2,40.5,121942.0,161.0
02/19/2018,41.1,41.4,40.2,40.5,69233.0,119.0
02/20/2018,41.0,41.5,40.2,40.4,113950.0,187.0
02/22/2018,41.3,41.3,40.5,40.6,20890.0,83.0
02/25/2018,39.9,40.7,37.8,38.6,125328.0,278.0
02/26/2018,39.9,39.9,38.0,38.6,55335.0,131.0
02/27/2018,39.7,39.7,38.0,38.5,83970.0,128.0
02/28/2018,38.1,39.2,37.6,38.2,85306.0,159.0
03/01/2018,38.4,39.0,38.0,39.0,76585.0,170.0
03/04/2018,39.7,39.7,39.0,39.2,100884.0,197.0
03/05/2018,38.7,38.8,37.7,37.9,141593.0,245.0
03/06/2018,37.7,38.8,37.7,38.6,125654.0,188.0
03/07/2018,38.6,39.5,38.6,39.2,146738.0,233.0
03/08/2018,39.2,39.5,38.3,38.7,55823.0,113.0
03/11/2018,38.5,38.8,37.7,37.8,68081.0,116.0
03/12/2018,38.2,38.2,36.2,37.0,71520.0,159.0
03/13/2018,37.5,37.5,35.9,36.0,65633.0,161.0
03/14/2018,36.6,36.8,35.9,36.1,62193.0,166.0
03/15/2018,36.8,36.9,36.0,36.7,62305.0,157.0
03/18/2018,36.9,37.1,35.9,36.2,92395.0,207.0
03/19/2018,36.3,36.4,35.1,35.3,81048.0,160.0
03/20/2018,35.5,35.6,34.5,34.7,56503.0,125.0
03/21/2018,34.7,34.9,33.3,33.7,121846.0,212.0
03/22/2018,33.7,33.8,32.1,33.1,347638.0,309.0
03/25/2018,33.7,34.0,33.3,33.4,91999.0,285.0
03/27/2018,33.0,33.0,32.2,32.4,99297.0,111.0
03/28/2018,32.6,32.6,31.5,32.1,173201.0,208.0
03/29/2018,32.4,33.0,32.1,32.6,127234.0,172.0
04/01/2018,33.2,34.4,33.2,34.2,212695.0,303.0
04/02/2018,34.6,37.6,33.9,37.6,817512.0,669.0
04/03/2018,37.7,39.8,37.5,38.0,445047.0,487.0
04/04/2018,37.6,38.3,35.8,36.4,726959.0,675.0
04/05/2018,36.9,37.3,35.8,36.8,578624.0,503.0
04/08/2018,37.3,39.1,36.9,38.9,744897.0,774.0
04/09/2018,39.2,39.2,38.2,38.7,350986.0,403.0
04/10/2018,38.4,38.9,37.2,37.4,419569.0,426.0
04/11/2018,38.0,39.0,37.5,37.6,460971.0,441.0
04/12/2018,37.7,38.1,37.3,37.4,130828.0,153.0
04/15/2018,37.9,37.9,36.8,37.0,80734.0,162.0
04/16/2018,36.9,37.3,36.1,37.1,246962.0,286.0
04/17/2018,37.8,38.1,36.5,36.9,254317.0,289.0
04/18/2018,37.3,37.3,36.0,36.3,300984.0,307.0
04/19/2018,36.9,36.9,36.1,36.3,140362.0,150.0
04/22/2018,36.8,38.0,36.5,36.9,124104.0,212.0
04/23/2018,37.6,37.6,36.4,36.5,157476.0,245.0
04/24/2018,37.0,37.5,36.2,37.1,188877.0,224.0
04/25/2018,37.7,37.8,36.6,36.8,224823.0,288.0
04/26/2018,36.9,37.6,36.7,37.4,261540.0,294.0
04/30/2018,38.0,38.3,37.5,37.7,495613.0,501.0
05/03/2018,37.6,38.0,37.5,37.7,224624.0,269.0
05/06/2018,38.0,38.9,37.9,38.7,452471.0,506.0
05/07/2018,38.0,41.6,38.0,40.8,1427263.0,1193.0
05/08/2018,40.8,41.2,39.4,39.5,462862.0,488.0
05/09/2018,39.5,39.8,38.7,39.0,472798.0,564.0
05/10/2018,39.2,40.4,39.2,39.7,257176.0,310.0
05/13/2018,39.9,40.6,38.8,39.2,385925.0,418.0
05/14/2018,39.7,39.8,38.4,38.7,288361.0,299.0
05/15/2018,39.0,39.1,38.0,38.4,270363.0,270.0
05/16/2018,38.4,38.4,37.5,37.7,168608.0,241.0
05/17/2018,37.7,37.7,36.5,36.7,283342.0,292.0
05/20/2018,37.0,37.4,36.2,37.0,102681.0,170.0
05/21/2018,38.7,38.7,36.7,37.0,154280.0,236.0
05/22/2018,37.2,38.7,37.0,37.1,110745.0,198.0
05/23/2018,37.0,37.4,36.5,36.6,150024.0,213.0
05/24/2018,36.7,37.2,36.3,36.9,118864.0,210.0
05/27/2018,37.0,38.6,37.0,38.2,258105.0,352.0
05/28/2018,38.5,38.7,36.9,37.1,179469.0,267.0
05/29/2018,37.1,37.6,36.7,36.9,212457.0,263.0
05/30/2018,38.4,38.4,37.2,37.3,135970.0,191.0
05/31/2018,37.7,37.7,36.5,36.7,163350.0,226.0
06/03/2018,36.6,37.0,36.3,36.5,95733.0,133.0
06/04/2018,36.5,37.0,36.5,36.6,107284.0,145.0
06/05/2018,36.6,37.3,36.5,36.6,133210.0,172.0
06/06/2018,36.8,37.1,36.2,36.6,179411.0,192.0
06/07/2018,37.0,37.3,36.5,36.7,175810.0,189.0
06/10/2018,36.8,36.8,36.2,36.4,122032.0,174.0
06/11/2018,36.9,37.0,36.3,36.4,107157.0,184.0
06/12/2018,37.0,37.0,36.4,36.5,101708.0,113.0
06/18/2018,36.9,37.3,36.5,37.1,113763.0,129.0
06/19/2018,37.3,38.7,37.1,38.2,404343.0,483.0
06/20/2018,38.2,39.4,38.1,38.3,397302.0,373.0
06/21/2018,38.3,39.1,38.2,38.3,419456.0,495.0
06/24/2018,38.6,39.0,38.0,38.1,348594.0,326.0
06/25/2018,38.5,38.5,37.5,37.6,200259.0,249.0
06/26/2018,38.0,39.3,37.6,39.0,742821.0,524.0
06/27/2018,39.1,41.0,39.1,39.8,1012059.0,841.0
06/28/2018,40.0,40.0,38.7,39.4,478457.0,423.0
07/02/2018,40.0,40.0,38.6,38.8,469565.0,528.0
07/03/2018,38.9,39.5,38.5,38.7,272647.0,302.0
07/04/2018,38.7,39.6,38.3,39.4,648968.0,488.0
07/05/2018,40.3,42.8,40.0,41.7,2107143.0,1437.0
07/08/2018,41.8,42.6,40.2,40.6,1252098.0,827.0
07/09/2018,41.3,42.7,39.9,42.4,1310749.0,920.0
07/10/2018,42.8,44.9,42.8,44.1,1983817.0,1295.0
07/11/2018,44.5,46.0,42.5,42.8,1428465.0,989.0
07/12/2018,43.7,43.7,41.5,41.8,698802.0,583.0
07/15/2018,41.8,43.0,41.2,41.4,443191.0,396.0
07/16/2018,41.5,43.6,41.3,41.8,583812.0,610.0
07/17/2018,41.8,43.4,41.8,42.0,863888.0,611.0
07/18/2018,43.0,43.0,41.5,41.9,670022.0,501.0
07/19/2018,42.5,43.7,41.7,43.3,679200.0,608.0
07/22/2018,43.3,47.6,43.3,47.3,2356100.0,1501.0
07/23/2018,47.5,48.8,44.0,44.6,1299691.0,981.0
07/24/2018,44.9,45.5,43.8,44.4,586610.0,651.0
07/25/2018,44.9,46.8,44.9,46.0,947090.0,907.0
07/26/2018,46.3,46.4,44.1,44.4,551465.0,619.0
07/29/2018,45.0,45.0,43.0,43.3,381939.0,398.0
07/30/2018,43.5,43.6,42.4,42.8,256573.0,
07/31/2018,43.0,44.9,43.0,43.8,412283.0,508.0
08/01/2018,44.1,44.4,42.9,43.1,322885.0,320.0
08/02/2018,43.5,44.4,42.8,43.6,327208.0,263.0
08/05/2018,43.6,44.0,42.4,42.6,404568.0,398.0
08/06/2018,42.7,42.8,41.5,42.0,260518.0,316.0
08/07/2018,42.0,43.0,41.6,41.8,224676.0,342.0
08/08/2018,41.6,42.4,41.4,41.7,175947.0,256.0
08/09/2018,42.0,42.4,41.1,42.2,199992.0,213.0
08/12/2018,42.5,43.4,41.5,41.6,297803.0,380.0
08/13/2018,41.7,41.7,41.1,41.4,121194.0,241.0
08/14/2018,41.3,42.0,41.1,41.4,133978.0,205.0
08/16/2018,41.2,42.1,41.0,41.2,203023.0,209.0
08/19/2018,41.1,41.5,40.6,41.0,187265.0,174.0
08/20/2018,40.7,42.0,40.7,41.5,71839.0,114.0
08/26/2018,41.5,42.1,41.5,41.6,124358.0,111.0
08/27/2018,42.0,42.7,41.6,42.1,129321.0,215.0
08/28/2018,42.0,42.4,41.9,42.2,147807.0,238.0
08/29/2018,42.2,43.3,41.7,42.7,333685.0,338.0
08/30/2018,42.4,43.5,42.1,42.3,299369.0,423.0
09/03/2018,43.0,43.3,41.6,41.9,182630.0,276.0
09/04/2018,42.0,42.3,41.0,41.4,150925.0,196.0
09/05/2018,42.0,42.7,41.6,42.0,221378.0,237.0
09/06/2018,42.3,43.0,42.1,42.9,270978.0,327.0
09/09/2018,43.2,43.5,42.1,42.3,216042.0,261.0
09/10/2018,42.0,42.8,41.6,42.6,233340.0,297.0
