date,open,high,low,close,volume,trade
01/01/2018,9.2,9.2,9.2,9.2,1000.0,3.0
01/02/2018,9.2,9.4,9.2,9.4,4000.0,12.0
01/03/2018,9.3,9.5,9.3,9.4,3530.0,8.0
01/04/2018,9.4,9.5,9.4,9.5,7058.0,9.0
01/07/2018,9.2,9.5,9.1,9.3,11599.0,6.0
01/08/2018,9.3,9.4,9.3,9.4,10222.0,12.0
01/09/2018,9.4,9.4,9.4,9.4,6098.0,13.0
01/10/2018,9.2,9.3,9.2,9.3,3927.0,10.0
01/11/2018,9.1,9.4,9.1,9.4,21715.0,15.0
01/14/2018,9.2,9.4,9.2,9.4,129470.0,16.0
01/15/2018,9.3,9.4,9.3,9.4,214077.0,31.0
01/16/2018,9.3,9.3,9.3,9.3,62550.0,13.0
01/17/2018,9.4,9.6,9.4,9.5,136792.0,13.0
01/18/2018,9.5,9.5,9.5,9.5,24471.0,11.0
01/21/2018,9.5,9.8,9.5,9.6,36627.0,17.0
01/22/2018,9.5,9.8,9.5,9.8,128801.0,26.0
01/23/2018,9.8,9.8,9.7,9.7,160116.0,28.0
01/24/2018,9.8,9.8,9.8,9.8,105609.0,15.0
01/25/2018,9.8,9.8,9.8,9.8,9853.0,14.0
01/28/2018,9.5,9.8,9.5,9.8,106793.0,14.0
01/29/2018,9.8,9.8,9.7,9.8,67902.0,13.0
01/30/2018,9.8,9.8,9.7,9.8,79465.0,28.0
01/31/2018,9.7,9.7,9.6,9.7,33900.0,10.0
02/01/2018,9.7,9.7,9.6,9.7,154209.0,14.0
02/04/2018,9.7,9.7,9.5,9.7,19100.0,10.0
02/05/2018,9.3,9.3,9.2,9.2,19500.0,8.0
02/06/2018,9.3,9.5,9.3,9.3,12060.0,14.0
02/07/2018,9.5,9.5,9.4,9.4,23641.0,8.0
02/08/2018,9.5,9.5,9.5,9.5,102838.0,17.0
02/11/2018,9.5,9.7,9.5,9.6,14168.0,13.0
02/12/2018,9.7,9.7,9.6,9.7,55900.0,15.0
02/13/2018,9.7,9.8,9.7,9.7,49369.0,14.0
02/14/2018,9.7,9.8,9.7,9.8,230950.0,27.0
02/15/2018,9.7,9.7,9.6,9.7,51075.0,18.0
02/18/2018,9.4,9.6,9.4,9.5,19706.0,14.0
02/19/2018,9.5,9.5,9.5,9.5,12826.0,5.0
02/20/2018,9.5,9.5,9.4,9.5,41840.0,15.0
02/22/2018,9.4,9.6,9.4,9.5,17861.0,22.0
02/25/2018,9.4,9.5,9.4,9.4,4050.0,7.0
02/26/2018,9.2,9.3,9.2,9.3,123989.0,23.0
02/27/2018,9.1,9.3,9.1,9.3,173663.0,15.0
02/28/2018,9.2,9.3,9.2,9.3,12356.0,3.0
03/01/2018,9.3,9.4,9.3,9.4,70005.0,6.0
03/04/2018,9.2,9.4,9.2,9.4,14432.0,9.0
03/05/2018,9.4,9.4,9.4,9.4,28912.0,9.0
03/06/2018,9.3,9.3,9.3,9.3,51763.0,8.0
03/07/2018,9.3,9.4,9.3,9.4,117581.0,10.0
