date,open,high,low,close,volume,trade
01/01/2018,107.6,107.6,106.0,106.3,37110.0,240.0
01/02/2018,106.3,106.3,106.3,106.3,562.0,263.0
01/03/2018,106.4,109.4,106.0,109.1,129909.0,311.0
01/04/2018,109.5,110.8,108.5,109.8,68293.0,274.0
01/07/2018,107.5,109.0,107.0,107.8,42379.0,129.0
01/08/2018,107.2,108.0,105.9,106.3,45190.0,171.0
01/09/2018,106.8,107.9,106.2,106.6,27360.0,103.0
01/10/2018,106.1,107.3,106.0,107.0,28361.0,140.0
01/11/2018,107.0,107.0,106.0,106.1,10834.0,84.0
01/14/2018,105.8,106.0,104.6,104.9,15769.0,83.0
01/15/2018,103.0,105.9,103.0,104.1,29072.0,116.0
01/16/2018,104.5,106.0,104.5,105.3,11061.0,59.0
01/17/2018,105.5,106.0,103.6,104.3,37965.0,180.0
01/18/2018,104.5,104.5,100.5,101.9,98309.0,352.0
01/21/2018,100.7,104.0,100.5,103.0,30247.0,97.0
01/22/2018,104.0,104.6,102.4,104.4,35255.0,152.0
01/23/2018,104.2,105.3,104.2,104.9,24625.0,96.0
01/24/2018,105.0,105.0,102.9,103.3,42358.0,185.0
01/25/2018,103.0,104.7,102.0,103.5,124088.0,287.0
01/28/2018,103.2,103.7,102.5,103.3,22428.0,96.0
01/29/2018,102.8,103.7,101.4,103.0,32485.0,186.0
01/30/2018,103.8,103.9,102.0,103.3,31910.0,149.0
01/31/2018,102.0,102.5,100.2,100.6,34074.0,161.0
02/01/2018,100.8,101.4,98.3,99.4,20541.0,106.0
02/04/2018,97.5,99.8,96.3,96.6,37712.0,105.0
02/05/2018,96.6,100.0,96.1,99.1,34517.0,121.0
02/06/2018,100.0,100.7,98.4,99.5,27683.0,103.0
02/07/2018,100.0,101.9,98.2,100.7,19018.0,79.0
02/08/2018,100.1,103.0,99.6,101.7,37713.0,67.0
02/11/2018,103.8,103.8,101.1,102.7,44082.0,158.0
02/12/2018,105.0,105.0,103.0,103.4,21687.0,90.0
02/13/2018,103.5,104.1,103.1,103.8,27320.0,116.0
02/14/2018,103.5,104.3,102.8,103.3,14412.0,94.0
02/15/2018,104.5,104.5,102.0,103.0,54596.0,155.0
02/18/2018,101.6,102.2,101.3,101.8,19895.0,50.0
02/19/2018,100.8,101.9,100.8,101.3,12386.0,65.0
02/20/2018,101.1,102.0,101.0,101.6,18514.0,84.0
02/22/2018,100.5,103.0,100.5,101.4,41279.0,106.0
02/25/2018,100.9,102.5,100.2,101.5,23762.0,98.0
02/26/2018,100.8,101.6,100.5,100.8,23151.0,70.0
02/27/2018,100.2,101.2,100.0,100.7,15366.0,39.0
02/28/2018,100.4,101.5,100.3,100.7,20787.0,64.0
03/01/2018,101.0,102.0,100.0,100.6,33105.0,123.0
03/04/2018,100.5,109.8,100.5,105.3,42299.0,160.0
03/05/2018,103.0,104.0,103.0,103.9,11035.0,62.0
03/06/2018,104.0,107.0,103.9,105.6,70290.0,224.0
03/07/2018,106.8,106.8,104.1,104.3,24497.0,57.0
03/08/2018,103.5,104.0,103.4,103.7,11050.0,28.0
03/11/2018,104.6,107.4,101.7,104.6,17745.0,89.0
03/12/2018,102.4,103.1,102.0,102.7,17100.0,57.0
03/13/2018,102.0,102.1,100.7,100.9,48990.0,116.0
03/14/2018,99.3,105.7,99.3,102.0,14245.0,54.0
03/15/2018,102.1,102.9,101.9,102.3,42140.0,128.0
03/18/2018,102.1,102.1,98.8,99.3,79053.0,248.0
03/19/2018,99.7,100.0,98.8,99.2,46015.0,156.0
03/20/2018,98.3,98.8,97.0,98.1,33540.0,97.0
03/21/2018,98.7,100.0,98.0,99.1,60557.0,211.0
03/22/2018,98.6,99.2,98.1,98.3,12462.0,79.0
03/25/2018,98.3,98.9,98.3,98.8,5831.0,31.0
03/27/2018,98.0,98.0,97.1,97.3,12699.0,33.0
03/28/2018,99.2,101.5,97.5,100.4,89435.0,254.0
03/29/2018,99.1,108.7,99.1,107.5,465361.0,719.0
04/01/2018,108.4,109.3,106.2,107.7,70487.0,230.0
04/02/2018,108.0,108.0,104.9,106.9,55287.0,213.0
04/03/2018,106.6,108.0,105.6,107.5,61660.0,218.0
04/04/2018,107.9,113.2,107.0,112.0,417079.0,1027.0
04/05/2018,112.0,115.0,111.6,114.1,215160.0,754.0
04/08/2018,114.1,114.6,110.5,114.2,159342.0,471.0
04/09/2018,114.5,115.5,111.0,111.5,105785.0,300.0
04/10/2018,113.4,113.5,109.3,110.7,48042.0,207.0
04/11/2018,111.1,114.0,108.7,110.8,140504.0,398.0
04/12/2018,112.9,118.0,112.9,116.1,481732.0,1128.0
04/15/2018,118.7,120.0,113.2,115.0,312079.0,898.0
04/16/2018,114.0,117.9,113.5,116.9,265760.0,732.0
04/17/2018,119.4,124.8,117.7,120.0,1584414.0,2707.0
04/18/2018,120.0,121.8,118.1,118.9,624495.0,1179.0
04/19/2018,119.8,120.1,115.9,118.2,429700.0,954.0
04/22/2018,118.3,119.8,114.5,115.0,215499.0,611.0
04/23/2018,116.3,119.0,114.5,118.0,376510.0,906.0
04/24/2018,116.0,119.0,114.0,114.5,183415.0,466.0
04/25/2018,115.9,116.0,112.0,112.6,237038.0,605.0
04/26/2018,112.1,112.1,108.2,108.8,222255.0,596.0
04/30/2018,109.0,110.3,104.8,105.5,140181.0,449.0
05/03/2018,107.0,111.7,107.0,108.7,123250.0,395.0
05/06/2018,108.9,112.8,107.0,112.1,143505.0,462.0
