date,open,high,low,close,volume,trade
01/01/2018,9.5,9.7,9.3,9.6,393310.0,183.0
01/02/2018,9.7,9.7,9.6,9.7,36100.0,315.0
01/03/2018,9.8,10.1,9.8,9.8,984602.0,276.0
01/04/2018,9.9,10.0,9.8,9.8,848923.0,239.0
01/07/2018,9.9,9.9,9.6,9.7,506570.0,219.0
01/08/2018,9.7,9.8,9.6,9.6,248827.0,159.0
01/09/2018,9.7,9.9,9.4,9.5,801555.0,338.0
01/10/2018,9.7,9.7,9.5,9.6,301988.0,177.0
01/11/2018,9.6,9.7,9.5,9.6,486396.0,295.0
01/14/2018,9.5,9.6,9.4,9.4,628405.0,360.0
01/15/2018,9.4,9.6,9.3,9.3,372578.0,268.0
01/16/2018,9.3,9.6,9.3,9.5,353182.0,203.0
01/17/2018,9.5,9.6,9.4,9.4,280315.0,160.0
01/18/2018,9.5,9.5,9.3,9.4,301704.0,191.0
01/21/2018,9.4,9.5,9.3,9.4,765480.0,207.0
01/22/2018,9.5,9.5,9.3,9.3,270283.0,155.0
01/23/2018,9.4,9.5,9.3,9.3,282137.0,150.0
01/24/2018,9.3,9.5,9.3,9.3,425203.0,186.0
01/25/2018,9.3,9.4,9.2,9.3,321913.0,179.0
01/28/2018,9.3,9.3,9.1,9.2,289669.0,166.0
01/29/2018,9.2,9.3,9.2,9.3,150678.0,96.0
01/30/2018,9.2,9.4,9.1,9.1,447106.0,202.0
01/31/2018,9.1,9.1,8.9,8.9,641178.0,316.0
02/01/2018,8.9,9.1,8.8,8.9,308742.0,191.0
02/04/2018,9.0,9.1,8.4,8.5,443020.0,269.0
02/05/2018,8.6,8.7,8.3,8.6,864157.0,298.0
02/06/2018,8.6,8.8,8.6,8.7,242025.0,163.0
02/07/2018,8.7,8.7,8.5,8.6,291518.0,126.0
02/08/2018,8.7,8.7,8.5,8.7,211924.0,83.0
02/11/2018,8.7,9.1,8.7,9.1,382517.0,237.0
02/12/2018,9.2,9.2,8.9,9.0,456357.0,262.0
02/13/2018,9.0,9.3,8.9,9.2,613768.0,262.0
02/14/2018,9.2,9.9,9.2,9.7,2077373.0,808.0
02/15/2018,9.8,10.1,9.5,9.8,1954240.0,788.0
02/18/2018,9.9,9.9,9.5,9.7,834608.0,368.0
02/19/2018,9.8,9.8,9.4,9.5,849001.0,284.0
02/20/2018,9.6,9.7,9.4,9.4,756298.0,317.0
02/22/2018,9.5,9.6,9.2,9.3,290890.0,172.0
02/25/2018,9.3,9.3,9.1,9.1,286199.0,182.0
02/26/2018,9.2,9.2,9.0,9.0,409754.0,220.0
02/27/2018,9.2,9.3,9.1,9.1,352674.0,147.0
