date,open,high,low,close,volume,trade
01/01/2018,75.2,75.7,74.8,75.2,104896.0,273.0
01/02/2018,75.2,75.8,75.1,75.8,51376.0,834.0
01/03/2018,77.4,79.1,77.1,78.7,1508362.0,1773.0
01/04/2018,78.6,79.5,77.7,78.0,570027.0,734.0
01/07/2018,77.7,78.4,77.3,77.6,345473.0,488.0
01/08/2018,75.6,78.0,75.6,77.1,215231.0,419.0
01/09/2018,76.8,78.6,76.8,77.3,775073.0,904.0
01/10/2018,77.3,78.3,77.1,77.3,518233.0,742.0
01/11/2018,78.2,78.4,77.1,77.3,239923.0,335.0
01/14/2018,77.1,77.6,76.1,76.7,115151.0,273.0
01/15/2018,76.7,77.4,75.3,75.6,202320.0,294.0
01/16/2018,75.7,77.3,75.7,76.7,241020.0,346.0
01/17/2018,77.3,77.3,75.9,76.8,195546.0,512.0
01/18/2018,77.4,78.1,76.5,77.1,345130.0,664.0
01/21/2018,77.7,77.8,76.9,77.1,230668.0,288.0
01/22/2018,77.1,78.3,76.9,77.4,319249.0,450.0
01/23/2018,77.7,78.2,77.3,77.4,310996.0,527.0
01/24/2018,77.9,77.9,76.8,76.9,180238.0,307.0
01/25/2018,77.0,77.0,76.5,76.8,143663.0,183.0
01/28/2018,77.1,77.4,75.6,76.1,225519.0,327.0
01/29/2018,75.9,77.1,75.7,76.2,149223.0,222.0
01/30/2018,76.5,76.5,75.2,75.2,162756.0,267.0
01/31/2018,76.1,76.1,73.5,73.9,259865.0,460.0
02/01/2018,74.4,74.4,73.4,73.5,153310.0,318.0
02/04/2018,73.5,73.5,69.7,71.7,402600.0,608.0
02/05/2018,71.8,72.4,69.9,71.4,124934.0,254.0
02/06/2018,71.6,72.5,70.6,71.4,136949.0,292.0
02/07/2018,70.9,71.3,70.1,70.4,152166.0,347.0
02/08/2018,70.3,71.0,70.2,70.7,65366.0,201.0
02/11/2018,71.8,72.3,71.0,72.0,206132.0,395.0
02/12/2018,72.8,73.1,71.7,71.9,190665.0,442.0
02/13/2018,71.7,72.5,71.2,71.5,149194.0,279.0
02/14/2018,72.4,72.4,71.0,71.2,203169.0,515.0
02/15/2018,71.3,71.8,70.8,71.0,93188.0,258.0
02/18/2018,70.9,71.7,70.5,70.7,134044.0,228.0
02/19/2018,70.9,70.9,69.9,70.1,126119.0,304.0
02/20/2018,70.2,70.3,68.5,68.6,322088.0,762.0
02/22/2018,69.5,70.1,68.2,68.7,201486.0,398.0
02/25/2018,69.5,69.5,67.1,67.4,269702.0,424.0
02/26/2018,67.4,68.2,65.0,65.4,227539.0,505.0
02/27/2018,66.4,67.3,65.9,66.0,80360.0,211.0
02/28/2018,66.1,68.4,65.6,67.8,195797.0,569.0
03/01/2018,68.0,69.5,66.7,69.0,196302.0,415.0
03/04/2018,69.2,70.0,67.9,68.2,155427.0,393.0
03/05/2018,68.0,68.8,67.5,67.6,134105.0,343.0
03/06/2018,67.6,69.4,67.3,69.2,190399.0,393.0
03/07/2018,69.3,69.5,67.4,67.6,211121.0,372.0
03/08/2018,68.0,68.5,67.1,67.3,149828.0,302.0
03/11/2018,67.3,67.5,66.4,66.8,212751.0,346.0
03/12/2018,66.7,66.7,65.2,65.4,197853.0,368.0
03/13/2018,65.6,66.3,63.1,63.3,163881.0,371.0
03/14/2018,64.0,64.9,63.1,63.7,130796.0,292.0
03/15/2018,63.2,64.5,62.6,64.1,293690.0,605.0
03/18/2018,64.6,64.6,63.2,63.3,153903.0,273.0
03/19/2018,63.3,63.7,62.7,63.4,107669.0,432.0
03/20/2018,62.8,69.7,62.4,69.1,1181827.0,2181.0
03/21/2018,69.2,69.9,66.5,66.9,1502756.0,1913.0
03/22/2018,66.9,67.8,65.2,66.5,343561.0,1005.0
03/25/2018,67.5,67.8,65.6,66.1,466259.0,713.0
03/27/2018,66.6,66.9,63.9,64.1,313394.0,625.0
03/28/2018,64.5,66.1,64.0,64.7,210789.0,540.0
03/29/2018,65.0,65.7,64.5,64.8,247534.0,595.0
04/01/2018,66.0,67.5,65.8,66.1,360513.0,881.0
04/02/2018,66.7,68.4,66.2,68.0,452290.0,1018.0
04/03/2018,68.4,71.1,68.4,69.3,1130930.0,1719.0
04/04/2018,70.4,71.0,69.2,69.5,432973.0,756.0
04/05/2018,69.5,70.5,68.1,70.3,433921.0,702.0
04/08/2018,70.0,73.7,69.9,73.3,1018104.0,1551.0
04/09/2018,73.5,75.0,72.4,72.9,875529.0,1337.0
04/10/2018,72.9,73.1,70.6,70.9,386421.0,809.0
04/11/2018,71.6,72.1,70.3,70.7,219505.0,401.0
04/12/2018,71.6,72.4,69.3,69.5,306301.0,508.0
04/15/2018,69.5,69.9,68.7,69.0,137754.0,344.0
04/16/2018,69.4,70.4,68.5,69.6,471579.0,708.0
04/17/2018,70.7,72.9,70.7,72.3,844760.0,1484.0
04/18/2018,72.0,72.5,71.0,72.1,473466.0,674.0
04/19/2018,72.4,73.7,71.5,72.1,653436.0,1165.0
04/22/2018,71.6,72.2,70.3,70.5,375638.0,478.0
04/23/2018,70.5,71.1,69.0,69.6,348381.0,519.0
04/24/2018,69.9,72.0,69.2,69.5,703826.0,1045.0
04/25/2018,70.5,71.8,69.7,70.1,922773.0,1125.0
