date,open,high,low,close,volume,trade
01/01/2018,9.9,10.7,9.8,10.7,9574390.0,1693.0
01/02/2018,10.8,11.4,10.8,11.2,5279347.0,3411.0
01/03/2018,11.6,12.1,11.6,11.9,16108762.0,2378.0
01/04/2018,11.9,12.2,11.6,12.0,14993040.0,2146.0
01/07/2018,12.0,12.0,11.5,11.6,8741625.0,1391.0
01/08/2018,11.6,12.4,11.6,12.3,10977027.0,2077.0
01/09/2018,12.4,12.6,12.1,12.1,15634744.0,2238.0
01/10/2018,12.0,12.3,11.8,12.1,7095254.0,1376.0
01/11/2018,12.2,12.4,12.0,12.1,5226694.0,966.0
01/14/2018,12.1,12.1,11.5,11.6,1842287.0,639.0
01/15/2018,11.7,11.9,11.5,11.6,5405156.0,1100.0
01/16/2018,11.7,12.7,11.7,12.7,17505278.0,2283.0
01/17/2018,12.8,13.2,12.7,12.8,11627230.0,2062.0
01/18/2018,12.5,12.9,12.5,12.7,10179671.0,1662.0
01/21/2018,12.8,12.8,12.3,12.6,5177565.0,924.0
01/22/2018,12.8,12.8,12.3,12.4,5577082.0,902.0
01/23/2018,12.3,12.7,12.2,12.3,12640465.0,1577.0
01/24/2018,12.4,12.4,12.0,12.0,3832853.0,970.0
01/25/2018,12.0,12.1,11.7,11.8,6084324.0,1040.0
01/28/2018,11.8,11.8,11.5,11.6,2470899.0,628.0
01/29/2018,11.6,11.9,11.5,11.8,3843551.0,889.0
01/30/2018,11.9,11.9,11.4,11.5,4670755.0,934.0
01/31/2018,11.5,11.6,10.8,11.0,4871402.0,1184.0
02/01/2018,11.2,11.2,11.0,11.0,3454416.0,719.0
02/04/2018,11.1,11.1,10.4,10.5,2170869.0,647.0
02/05/2018,10.6,10.8,10.3,10.7,3175986.0,819.0
02/06/2018,10.8,11.0,10.7,10.8,2215983.0,646.0
02/07/2018,10.7,10.8,10.6,10.7,2347741.0,517.0
02/08/2018,10.8,10.8,10.6,10.7,1738662.0,415.0
02/11/2018,10.7,11.1,10.7,11.0,2121205.0,551.0
02/12/2018,11.1,11.2,10.8,10.9,3163280.0,642.0
02/13/2018,11.1,11.5,10.9,11.4,4537491.0,830.0
02/14/2018,11.5,11.7,11.4,11.5,3359596.0,799.0
02/15/2018,11.6,12.1,11.4,11.7,8044054.0,1283.0
02/18/2018,11.8,11.9,11.5,11.6,4127390.0,720.0
02/19/2018,11.7,11.7,11.4,11.5,2789012.0,525.0
02/20/2018,11.6,11.7,11.2,11.2,2493629.0,567.0
02/22/2018,11.4,11.5,11.1,11.2,1361773.0,327.0
02/25/2018,11.3,11.3,11.0,11.0,886761.0,263.0
02/26/2018,11.0,11.1,10.8,10.9,1461584.0,282.0
02/27/2018,11.1,11.2,11.0,11.0,1877437.0,306.0
02/28/2018,11.0,11.2,10.8,11.1,1453868.0,317.0
03/01/2018,11.1,11.6,11.0,11.4,3486345.0,553.0
03/04/2018,11.5,11.6,11.3,11.4,1359083.0,362.0
03/05/2018,11.4,11.5,11.1,11.2,1313449.0,320.0
03/06/2018,11.2,11.5,11.1,11.4,1585459.0,366.0
03/07/2018,11.5,11.9,11.4,11.7,5264167.0,935.0
03/08/2018,11.8,12.1,11.7,11.9,3481500.0,819.0
03/11/2018,12.0,12.0,11.3,11.5,4303187.0,553.0
03/12/2018,11.6,11.6,11.0,11.1,6181153.0,935.0
03/13/2018,11.1,11.2,10.8,11.0,3180859.0,488.0
03/14/2018,10.9,11.1,10.8,10.9,1659823.0,299.0
03/15/2018,10.9,11.1,10.7,11.0,1608755.0,360.0
03/18/2018,11.1,11.1,10.8,10.9,1119775.0,368.0
03/19/2018,10.9,10.9,10.6,10.6,1524917.0,353.0
03/20/2018,10.6,10.8,10.5,10.8,1180015.0,289.0
03/21/2018,10.8,10.8,10.6,10.7,1414929.0,243.0
03/22/2018,10.8,11.7,10.7,11.0,2618577.0,498.0
03/25/2018,11.1,11.2,10.8,11.0,1285131.0,259.0
03/27/2018,10.8,11.0,10.7,10.8,592298.0,204.0
