date,open,high,low,close,volume,trade
01/01/2018,26.8,29.1,26.8,29.1,26590.0,73.0
01/02/2018,30.4,32.0,30.4,31.9,27016.0,183.0
01/03/2018,32.0,33.6,30.2,30.4,52850.0,121.0
01/04/2018,30.4,31.5,30.2,31.2,27658.0,101.0
01/07/2018,31.2,32.9,31.2,31.7,31707.0,94.0
01/08/2018,32.0,32.0,30.1,30.6,31613.0,115.0
01/09/2018,31.3,31.3,29.8,30.2,20576.0,56.0
01/10/2018,31.2,31.9,30.5,31.2,14857.0,73.0
01/11/2018,32.0,32.6,31.2,32.0,31344.0,180.0
01/14/2018,32.0,33.4,31.7,32.8,8946.0,50.0
01/15/2018,33.5,33.5,32.0,32.9,31750.0,122.0
01/16/2018,33.0,33.4,32.4,33.0,31046.0,135.0
01/17/2018,33.5,34.5,33.0,33.2,42004.0,167.0
01/18/2018,34.0,34.1,33.5,33.8,25374.0,107.0
01/21/2018,36.0,36.0,34.2,34.7,14930.0,69.0
01/22/2018,35.1,35.1,32.8,33.3,21252.0,97.0
01/23/2018,33.6,34.2,33.1,33.9,36598.0,144.0
01/24/2018,34.2,34.8,33.7,34.8,27295.0,159.0
01/25/2018,34.8,35.8,33.8,33.9,24007.0,82.0
01/28/2018,32.2,34.0,32.2,33.0,11273.0,41.0
01/29/2018,33.9,33.9,32.2,32.9,19128.0,58.0
01/30/2018,33.7,33.7,31.4,32.0,29264.0,99.0
01/31/2018,31.2,32.0,29.6,30.7,41890.0,153.0
02/01/2018,32.0,33.7,32.0,33.7,27460.0,80.0
02/04/2018,34.2,37.0,34.2,37.0,81929.0,113.0
02/05/2018,40.0,40.7,37.0,38.6,108693.0,252.0
02/06/2018,40.0,40.0,38.4,39.2,43022.0,171.0
02/07/2018,39.2,43.0,36.5,42.5,62490.0,251.0
02/08/2018,42.9,46.4,42.7,45.4,102981.0,267.0
02/11/2018,45.5,46.8,43.6,44.0,53254.0,191.0
02/12/2018,44.9,48.4,43.0,47.9,37028.0,141.0
02/13/2018,48.9,52.6,48.9,52.6,72523.0,223.0
02/14/2018,52.7,54.0,51.0,52.0,51544.0,191.0
02/15/2018,53.0,55.0,49.5,50.1,65908.0,223.0
02/18/2018,51.5,55.1,51.5,52.9,61085.0,206.0
02/19/2018,53.2,53.2,51.0,51.9,40914.0,209.0
02/20/2018,50.2,53.3,50.1,50.4,36365.0,182.0
02/22/2018,50.4,52.6,50.4,52.2,59002.0,330.0
02/25/2018,52.8,55.0,51.6,54.7,39489.0,221.0
02/26/2018,55.5,56.0,51.5,52.0,20943.0,107.0
02/27/2018,55.0,55.0,51.5,52.3,15130.0,59.0
02/28/2018,53.0,53.0,50.5,52.2,13842.0,85.0
03/01/2018,51.8,54.0,51.8,52.8,24315.0,170.0
03/04/2018,52.1,52.7,51.5,52.0,9580.0,67.0
03/05/2018,52.6,52.6,51.0,51.1,33058.0,122.0
03/06/2018,52.6,52.6,48.9,49.2,20759.0,114.0
03/07/2018,50.0,50.5,46.5,46.7,22550.0,167.0
03/08/2018,49.9,49.9,46.9,47.2,7528.0,84.0
03/11/2018,48.3,48.4,46.2,46.5,9453.0,77.0
03/12/2018,45.3,45.3,42.4,43.1,11670.0,77.0
03/13/2018,45.0,45.0,40.4,40.7,22893.0,62.0
03/14/2018,44.0,44.0,39.5,43.1,21139.0,101.0
