date,open,high,low,close,volume,trade
01/01/2018,48.4,48.7,47.0,47.1,233885.0,372.0
01/02/2018,47.0,47.5,47.0,47.5,16827.0,350.0
01/03/2018,46.8,47.7,46.8,47.2,320589.0,321.0
01/04/2018,47.5,47.5,46.7,46.8,227719.0,320.0
01/07/2018,46.8,47.3,46.4,46.9,237921.0,324.0
01/08/2018,46.9,47.0,46.4,46.5,115153.0,218.0
01/09/2018,46.5,46.8,46.2,46.2,186660.0,252.0
01/10/2018,46.2,46.3,45.5,45.7,182890.0,267.0
01/11/2018,45.7,45.8,44.9,45.4,96965.0,170.0
01/14/2018,45.3,46.7,44.4,45.7,269922.0,416.0
01/15/2018,45.7,46.4,44.7,45.2,206704.0,250.0
01/16/2018,45.0,45.8,44.4,45.5,69293.0,126.0
01/17/2018,45.8,46.4,44.7,44.8,306310.0,441.0
01/18/2018,44.8,45.4,44.4,44.7,46577.0,125.0
01/21/2018,44.7,45.0,44.7,44.9,78316.0,172.0
01/22/2018,44.9,45.2,44.4,44.6,201890.0,354.0
01/23/2018,44.6,44.9,44.2,44.3,158223.0,265.0
01/24/2018,44.3,44.6,43.4,43.5,218611.0,376.0
01/25/2018,43.5,44.4,43.5,43.7,181717.0,347.0
01/28/2018,43.8,43.8,42.6,42.8,153681.0,317.0
01/29/2018,42.8,43.4,42.8,43.0,48683.0,106.0
01/30/2018,43.1,44.2,42.9,43.0,123672.0,207.0
01/31/2018,43.0,45.8,42.6,43.7,286560.0,424.0
02/01/2018,43.9,44.6,43.4,43.7,117683.0,204.0
02/04/2018,43.4,43.4,41.8,42.1,140048.0,255.0
02/05/2018,41.3,41.7,40.5,41.2,229695.0,246.0
02/06/2018,41.6,45.2,41.6,44.1,445893.0,557.0
02/07/2018,44.7,47.1,43.5,46.0,1053400.0,977.0
02/08/2018,46.2,48.1,46.0,47.7,1243200.0,1386.0
02/11/2018,48.3,48.9,47.9,48.6,994451.0,910.0
02/12/2018,48.9,49.2,47.1,47.4,515016.0,608.0
02/13/2018,47.5,48.7,47.1,47.9,484248.0,590.0
02/14/2018,48.4,48.4,47.1,47.2,256880.0,302.0
02/15/2018,47.2,48.4,45.3,45.9,363032.0,454.0
