date,open,high,low,close,volume,trade
01/01/2018,29.6,29.6,28.5,28.7,1765.0,8.0
01/02/2018,29.6,29.6,28.5,28.7,1765.0,13.0
01/03/2018,29.1,29.3,29.0,29.1,5574.0,17.0
01/04/2018,29.3,29.3,29.1,29.2,4215.0,16.0
01/07/2018,29.3,29.4,29.0,29.1,7900.0,15.0
01/08/2018,29.3,29.3,29.0,29.1,255.0,2.0
01/09/2018,29.2,29.4,29.0,29.2,4908.0,15.0
01/10/2018,29.5,29.5,29.0,29.1,6350.0,15.0
01/11/2018,28.9,29.3,28.9,29.1,5250.0,7.0
01/14/2018,29.2,29.3,28.6,29.1,3303.0,12.0
01/15/2018,29.2,29.3,28.6,29.0,4687.0,8.0
01/16/2018,28.5,29.3,28.5,28.9,14011.0,15.0
01/17/2018,29.4,29.9,29.0,29.8,14523.0,42.0
01/18/2018,29.9,30.0,29.6,30.0,7976.0,8.0
01/21/2018,29.7,29.7,29.7,29.7,531.0,4.0
01/22/2018,28.9,29.0,28.9,28.9,2803.0,8.0
01/23/2018,29.5,29.5,29.5,29.5,100.0,1.0
01/24/2018,28.9,29.7,28.9,28.9,586.0,5.0
01/25/2018,28.8,29.4,28.4,28.5,6280.0,11.0
01/28/2018,27.9,29.9,27.9,28.6,2611.0,12.0
01/29/2018,28.5,29.5,28.4,28.5,10267.0,23.0
01/30/2018,28.6,29.5,28.6,28.6,1611.0,7.0
01/31/2018,28.0,28.9,27.8,28.0,3674.0,16.0
02/01/2018,28.7,28.9,27.3,27.5,2822.0,11.0
02/04/2018,27.4,27.6,27.2,27.5,8311.0,20.0
02/05/2018,26.2,28.4,26.2,27.2,1288.0,7.0
02/06/2018,28.4,28.5,28.4,28.4,8535.0,6.0
02/07/2018,26.9,28.8,26.6,27.0,10010.0,24.0
02/08/2018,29.2,29.6,29.2,29.4,3131.0,11.0
02/11/2018,28.0,29.4,28.0,28.6,18902.0,31.0
02/12/2018,29.1,29.5,28.3,28.5,3425.0,15.0
02/13/2018,28.2,28.5,27.7,27.8,8120.0,28.0
02/14/2018,28.9,28.9,27.5,27.8,9035.0,34.0
02/15/2018,28.5,28.5,28.5,28.5,530.0,2.0
02/18/2018,28.0,28.5,28.0,28.4,1000.0,4.0
02/19/2018,28.9,28.9,27.6,28.2,6662.0,17.0
02/20/2018,27.5,28.4,27.4,27.7,662.0,5.0
02/22/2018,28.2,28.2,28.2,28.2,500.0,1.0
02/25/2018,28.0,28.5,28.0,28.1,1370.0,8.0
02/26/2018,26.3,27.9,26.2,26.3,5502.0,8.0
02/27/2018,28.2,28.2,26.8,27.0,2320.0,10.0
02/28/2018,27.9,27.9,26.6,27.8,350.0,4.0
03/01/2018,27.0,30.5,27.0,28.9,25549.0,37.0
03/04/2018,29.5,29.6,29.5,29.5,1500.0,2.0
03/05/2018,29.5,29.9,28.4,29.5,9650.0,11.0
03/06/2018,29.3,29.3,29.3,29.3,60.0,1.0
03/07/2018,29.0,29.1,27.7,29.1,1435.0,7.0
03/08/2018,28.8,28.9,28.8,28.8,700.0,3.0
03/11/2018,28.0,28.5,28.0,28.2,50.0,2.0
03/12/2018,28.0,28.2,28.0,28.1,2010.0,5.0
03/13/2018,27.5,27.8,27.5,27.6,281.0,3.0
03/14/2018,27.0,28.9,27.0,27.9,2850.0,9.0
03/15/2018,26.6,28.4,26.6,28.0,11030.0,19.0
03/18/2018,27.2,28.7,27.0,27.1,5530.0,25.0
03/19/2018,29.0,29.0,27.0,27.1,3080.0,11.0
03/20/2018,27.9,27.9,27.5,27.5,30150.0,3.0
03/21/2018,27.4,30.2,27.4,29.5,40063.0,38.0
03/22/2018,27.3,28.9,27.3,27.9,13219.0,20.0
03/25/2018,29.0,29.0,29.0,29.0,150.0,1.0
03/27/2018,27.4,28.5,26.9,27.3,5000.0,14.0
