date,open,high,low,close,volume,trade
01/01/2018,20.6,20.8,20.6,20.6,117.0,2.0
01/02/2018,20.6,20.8,20.6,20.6,117.0,17.0
01/03/2018,20.9,21.0,20.6,20.7,2748.0,9.0
01/04/2018,21.0,21.0,20.6,20.8,2600.0,10.0
01/07/2018,20.9,20.9,20.6,20.7,7731.0,11.0
01/08/2018,20.7,20.7,20.6,20.6,6006.0,13.0
01/09/2018,20.5,20.6,20.2,20.3,21673.0,34.0
01/10/2018,20.6,20.6,20.3,20.6,2634.0,9.0
01/11/2018,20.5,20.5,20.5,20.5,232.0,1.0
01/14/2018,20.5,20.6,20.2,20.3,5071.0,16.0
01/15/2018,20.2,20.6,20.1,20.2,28861.0,74.0
01/16/2018,20.2,20.5,19.6,19.8,74989.0,87.0
01/17/2018,20.3,20.3,19.9,20.3,6249.0,6.0
01/18/2018,20.1,20.4,20.1,20.2,9835.0,11.0
01/21/2018,20.2,20.2,20.0,20.0,17255.0,18.0
01/22/2018,20.0,20.0,19.9,20.0,8359.0,6.0
01/23/2018,20.0,20.0,19.9,20.0,8359.0,0.0
01/24/2018,20.1,20.1,20.1,20.1,1162.0,1.0
01/25/2018,20.3,20.3,20.0,20.1,4481.0,6.0
01/28/2018,20.3,20.3,20.0,20.0,3216.0,7.0
01/29/2018,20.1,20.2,20.1,20.1,6696.0,7.0
01/30/2018,19.7,19.9,19.5,19.7,1354.0,5.0
01/31/2018,19.7,19.7,19.4,19.7,6975.0,11.0
02/01/2018,19.6,19.9,19.2,19.3,3765.0,7.0
02/04/2018,19.4,19.4,19.1,19.1,27200.0,17.0
02/05/2018,19.1,20.0,19.1,19.6,20523.0,19.0
02/06/2018,19.7,20.2,19.7,20.1,92118.0,81.0
02/07/2018,20.0,20.6,20.0,20.1,72830.0,93.0
02/08/2018,20.1,20.1,20.0,20.1,290.0,3.0
02/11/2018,20.3,20.3,20.2,20.2,80.0,2.0
02/12/2018,20.2,20.2,19.8,20.0,1511.0,3.0
02/13/2018,20.0,20.0,19.3,19.6,6650.0,21.0
02/14/2018,20.4,20.4,19.8,20.0,3371.0,11.0
02/15/2018,19.8,19.8,18.1,18.8,156514.0,207.0
02/18/2018,18.9,19.2,18.1,18.2,65655.0,86.0
02/19/2018,18.8,18.8,18.6,18.8,20464.0,30.0
02/20/2018,18.8,18.8,18.7,18.8,25563.0,69.0
02/22/2018,18.8,19.1,18.7,19.0,34983.0,43.0
02/25/2018,18.9,18.9,18.4,18.8,53806.0,54.0
02/26/2018,18.7,18.8,18.0,18.1,33871.0,53.0
02/27/2018,18.1,18.4,17.8,18.1,25826.0,38.0
02/28/2018,18.1,18.1,17.8,18.0,12416.0,27.0
03/01/2018,17.8,18.4,17.6,18.2,76165.0,53.0
03/04/2018,18.1,20.0,17.7,18.1,32090.0,48.0
03/05/2018,18.6,18.8,18.6,18.7,3499.0,7.0
03/06/2018,19.3,19.3,18.2,18.4,9434.0,30.0
03/07/2018,18.5,19.2,18.3,18.7,36370.0,111.0
03/08/2018,18.6,19.1,18.6,18.8,4606.0,16.0
03/11/2018,19.0,19.1,18.8,18.9,29995.0,41.0
03/12/2018,19.1,19.6,18.8,19.3,53712.0,12.0
03/13/2018,18.8,18.8,18.2,18.6,6233.0,13.0
03/14/2018,18.6,18.7,18.1,18.6,25620.0,45.0
