date,open,high,low,close,volume,trade
01/01/2018,738.6,738.6,727.3,727.5,1569.0,52.0
01/02/2018,727.3,727.3,727.3,727.3,46.0,62.0
01/03/2018,740.2,740.2,723.5,725.7,958.0,38.0
01/04/2018,740.2,740.2,723.6,726.3,910.0,72.0
01/07/2018,728.0,737.9,727.3,731.7,1294.0,37.0
01/08/2018,728.9,731.1,716.7,726.4,741.0,43.0
01/09/2018,718.9,730.2,718.9,720.3,1060.0,45.0
01/10/2018,720.1,720.1,712.1,712.6,1370.0,54.0
01/11/2018,712.6,721.2,712.1,718.9,1029.0,69.0
01/14/2018,719.7,741.7,719.7,727.0,2493.0,120.0
01/15/2018,727.3,728.8,713.7,718.5,347.0,31.0
01/16/2018,720.5,736.4,720.5,734.8,2323.0,54.0
01/17/2018,746.2,753.0,740.9,750.7,8636.0,376.0
01/18/2018,756.8,807.0,756.8,807.0,20231.0,667.0
01/21/2018,818.2,843.9,810.7,820.9,20254.0,504.0
01/22/2018,803.0,818.2,788.1,791.4,11109.0,495.0
01/23/2018,788.6,816.5,773.9,808.0,8809.0,407.0
01/24/2018,806.1,824.2,781.4,787.5,5884.0,282.0
01/25/2018,780.3,803.0,777.0,779.7,5068.0,208.0
01/28/2018,802.3,810.5,775.0,779.2,9952.0,439.0
01/29/2018,776.6,784.1,762.6,764.6,6646.0,263.0
01/30/2018,777.7,777.7,743.9,746.7,10528.0,440.0
01/31/2018,749.9,777.6,731.1,771.8,13398.0,421.0
02/01/2018,768.9,819.9,768.9,811.9,23156.0,683.0
02/04/2018,812.1,822.0,769.2,776.2,9741.0,412.0
02/05/2018,776.2,780.3,745.5,775.0,10053.0,263.0
02/06/2018,777.5,823.4,777.5,820.8,29179.0,835.0
02/07/2018,832.6,837.0,807.6,824.6,11741.0,380.0
02/08/2018,830.9,847.0,823.8,833.0,27328.0,864.0
02/11/2018,833.3,840.9,812.1,815.6,14205.0,548.0
02/12/2018,823.9,823.9,785.3,791.7,20404.0,797.0
02/13/2018,806.8,806.8,782.6,790.4,8391.0,328.0
02/14/2018,808.3,808.3,784.1,786.3,10752.0,404.0
02/15/2018,798.4,814.4,793.3,796.5,19864.0,764.0
02/18/2018,795.5,814.4,791.7,792.6,8457.0,398.0
02/19/2018,806.8,806.8,784.8,787.2,6586.0,281.0
02/20/2018,785.7,795.5,778.8,779.7,8587.0,525.0
02/22/2018,798.5,798.5,776.0,777.9,4202.0,190.0
02/25/2018,785.6,791.4,767.7,769.7,6650.0,342.0
02/26/2018,780.3,780.3,756.1,757.8,4383.0,298.0
02/27/2018,761.4,770.1,757.6,764.9,4291.0,222.0
02/28/2018,772.7,772.7,759.9,762.7,4460.0,235.0
03/01/2018,772.5,775.0,763.7,766.8,3523.0,190.0
03/04/2018,776.5,776.5,764.5,765.2,1862.0,101.0
03/05/2018,775.0,775.0,758.3,763.4,7792.0,376.0
03/06/2018,772.0,790.7,767.4,777.1,7616.0,351.0
03/07/2018,778.1,782.6,764.4,766.4,3363.0,185.0
03/08/2018,766.4,772.7,763.6,765.3,1598.0,118.0
03/11/2018,763.6,771.1,758.5,760.1,1987.0,136.0
03/12/2018,770.5,771.7,750.0,751.7,2263.0,142.0
03/13/2018,768.9,768.9,735.6,737.3,3954.0,155.0
03/14/2018,742.4,750.0,734.8,738.0,2644.0,102.0
03/15/2018,737.3,745.5,734.8,738.6,3602.0,144.0
03/18/2018,742.4,742.4,728.5,729.3,4175.0,247.0
03/19/2018,728.6,734.1,724.2,724.4,1438.0,87.0
03/20/2018,732.5,732.5,715.9,716.8,3149.0,144.0
03/21/2018,716.8,731.0,713.1,714.6,1116.0,74.0
03/22/2018,727.3,727.3,711.0,718.9,3086.0,112.0
03/25/2018,730.7,737.8,718.6,731.1,2386.0,127.0
03/27/2018,732.6,780.2,732.6,756.3,15058.0,689.0
03/28/2018,757.6,762.1,739.4,741.1,2897.0,233.0
03/29/2018,742.4,744.7,728.0,737.4,5260.0,325.0
04/01/2018,737.5,755.3,731.1,736.4,4598.0,190.0
04/02/2018,749.2,772.0,741.2,758.0,8046.0,541.0
04/03/2018,765.2,772.7,746.4,749.1,3347.0,191.0
