date,open,high,low,close,volume,trade
01/01/2018,35.2,35.4,35.0,35.1,320567.0,161.0
01/02/2018,35.0,35.0,34.9,34.9,31553.0,211.0
01/03/2018,34.7,35.1,34.5,35.0,256016.0,114.0
01/04/2018,34.8,35.0,34.7,34.8,142762.0,86.0
01/07/2018,34.6,35.3,34.5,34.7,395913.0,229.0
01/08/2018,34.7,34.7,33.5,33.6,981666.0,330.0
01/09/2018,33.5,33.6,33.0,33.2,294918.0,220.0
01/10/2018,33.0,33.2,32.9,33.0,430899.0,128.0
01/11/2018,33.0,33.6,32.8,33.2,558264.0,168.0
01/14/2018,32.9,33.0,32.5,32.7,356181.0,180.0
01/15/2018,32.6,32.6,31.4,31.5,420471.0,277.0
01/16/2018,31.3,32.3,30.4,32.0,507028.0,351.0
01/17/2018,32.4,32.9,31.5,31.6,466061.0,230.0
01/18/2018,31.0,31.8,30.9,31.2,191143.0,184.0
01/21/2018,30.5,31.3,30.5,30.9,94787.0,87.0
01/22/2018,30.9,31.6,30.9,31.4,215548.0,122.0
01/23/2018,31.2,31.6,31.2,31.3,532767.0,156.0
01/24/2018,30.9,31.1,30.9,31.0,292141.0,143.0
01/25/2018,30.8,31.6,30.8,31.5,329569.0,198.0
01/28/2018,30.4,31.5,30.4,31.4,295658.0,236.0
01/29/2018,30.9,31.5,30.7,31.2,435381.0,205.0
01/30/2018,30.9,31.6,29.7,30.7,572436.0,181.0
01/31/2018,30.5,30.5,29.6,30.1,540003.0,276.0
02/01/2018,30.3,30.3,29.1,29.3,421246.0,225.0
02/04/2018,29.0,29.0,28.1,28.2,206808.0,178.0
02/05/2018,27.7,28.6,26.5,27.9,1274860.0,596.0
02/06/2018,28.5,29.6,28.3,29.0,457026.0,318.0
02/07/2018,29.0,29.5,28.5,29.1,609701.0,359.0
02/08/2018,29.2,29.8,29.2,29.5,589241.0,294.0
02/11/2018,30.1,30.7,29.6,30.5,489680.0,260.0
02/12/2018,30.9,31.6,30.1,30.8,1023700.0,459.0
02/13/2018,30.8,31.4,30.7,30.9,448219.0,239.0
02/14/2018,31.2,31.2,30.9,30.9,290529.0,225.0
02/15/2018,30.9,30.9,29.7,29.9,390468.0,210.0
02/18/2018,29.6,29.6,28.2,28.3,136930.0,108.0
02/19/2018,28.9,28.9,28.4,28.4,198267.0,95.0
02/20/2018,29.2,29.2,28.2,28.3,347092.0,145.0
02/22/2018,28.9,29.0,28.3,28.5,239375.0,167.0
02/25/2018,27.9,28.3,27.6,28.0,78978.0,55.0
02/26/2018,26.8,28.5,26.8,27.7,148641.0,106.0
02/27/2018,28.0,28.9,28.0,28.3,295407.0,136.0
02/28/2018,28.4,28.7,28.2,28.5,196256.0,93.0
03/01/2018,28.5,29.4,28.5,29.3,251437.0,122.0
03/04/2018,29.9,30.3,28.1,29.3,145918.0,105.0
03/05/2018,28.9,29.3,28.1,28.2,118298.0,113.0
03/06/2018,27.6,28.7,27.6,28.3,85099.0,71.0
03/07/2018,28.3,28.5,27.6,27.8,39624.0,52.0
03/08/2018,27.8,28.1,27.2,27.6,104475.0,92.0
03/11/2018,27.6,27.6,26.9,27.1,52619.0,60.0
03/12/2018,27.0,27.0,26.7,26.8,181741.0,103.0
03/13/2018,26.9,27.2,26.6,26.8,65719.0,61.0
03/14/2018,27.0,27.0,25.9,26.7,71547.0,46.0
03/15/2018,27.2,28.6,26.4,27.2,997527.0,343.0
03/18/2018,27.3,27.9,27.2,27.5,108631.0,73.0
03/19/2018,26.9,27.4,26.5,26.7,26119.0,36.0
03/20/2018,26.2,27.0,26.1,26.1,103623.0,84.0
03/21/2018,26.1,26.1,24.8,25.4,147898.0,83.0
03/22/2018,25.8,26.5,25.3,26.0,266887.0,152.0
03/25/2018,28.4,28.4,25.8,25.9,213484.0,100.0
03/27/2018,26.1,26.1,25.7,25.8,27957.0,31.0
03/28/2018,25.4,27.4,25.4,26.6,167617.0,118.0
03/29/2018,27.0,27.8,26.7,27.6,240695.0,123.0
04/01/2018,28.2,29.0,27.6,28.3,649209.0,355.0
04/02/2018,28.9,29.0,28.2,28.7,516805.0,222.0
04/03/2018,29.0,29.0,28.6,28.7,1580884.0,409.0
04/04/2018,28.9,29.1,28.1,28.5,304402.0,166.0
04/05/2018,28.7,28.8,28.5,28.7,542238.0,243.0
04/08/2018,28.7,30.1,28.7,29.6,1025218.0,382.0
04/09/2018,29.6,29.7,29.1,29.2,318880.0,231.0
04/10/2018,29.2,29.2,28.2,28.4,320229.0,194.0
04/11/2018,29.0,29.0,27.8,27.9,180949.0,127.0
04/12/2018,28.0,28.1,27.6,27.8,149621.0,53.0
04/15/2018,27.2,27.4,27.1,27.2,114895.0,73.0
04/16/2018,27.2,27.5,26.5,27.2,242089.0,109.0
04/17/2018,27.2,27.2,26.6,26.8,373673.0,139.0
04/18/2018,27.4,28.8,26.8,28.3,314944.0,164.0
04/19/2018,27.9,28.5,27.5,27.7,378608.0,203.0
04/22/2018,27.2,27.9,27.1,27.3,364401.0,144.0
04/23/2018,27.2,27.7,27.2,27.5,380992.0,140.0
04/24/2018,27.5,27.9,27.4,27.6,83092.0,48.0
04/25/2018,26.8,27.1,21.3,26.7,704662.0,299.0
04/26/2018,26.8,27.5,26.8,27.2,268033.0,129.0
04/30/2018,27.2,27.2,26.4,26.5,333823.0,116.0
05/03/2018,24.8,26.5,24.8,25.4,128402.0,83.0
05/06/2018,25.4,25.4,24.6,25.1,242217.0,110.0
05/07/2018,25.4,25.5,24.8,24.8,174532.0,79.0
05/08/2018,25.2,25.2,24.1,24.6,223787.0,74.0
05/09/2018,24.8,24.8,24.1,24.2,100068.0,57.0
05/10/2018,23.7,24.0,23.3,23.5,696683.0,211.0
05/13/2018,23.7,24.0,23.7,23.7,459459.0,198.0
05/14/2018,23.7,24.8,23.7,24.2,368423.0,189.0
05/15/2018,23.7,24.8,23.7,24.5,154891.0,155.0
05/16/2018,24.4,26.1,23.9,25.8,513097.0,275.0
05/17/2018,25.8,25.8,24.2,24.6,395301.0,228.0
05/20/2018,25.8,25.8,24.2,24.6,395301.0,0.0
05/21/2018,22.8,23.2,22.8,23.1,1097725.0,304.0
05/22/2018,23.2,23.9,23.1,23.5,380660.0,101.0
05/23/2018,23.5,24.1,23.4,23.7,305033.0,83.0
05/24/2018,24.0,24.6,23.7,24.3,509257.0,144.0
05/27/2018,24.3,25.1,24.3,24.8,703411.0,353.0
05/28/2018,24.8,25.1,24.4,24.8,755852.0,207.0
05/29/2018,24.8,24.9,24.6,24.7,4375666.0,230.0
05/30/2018,24.8,24.8,24.3,24.6,1914106.0,130.0
05/31/2018,24.6,24.8,24.6,24.8,462631.0,77.0
06/03/2018,23.9,24.6,23.9,24.4,81178.0,39.0
06/04/2018,24.6,24.7,24.3,24.3,246296.0,51.0
06/05/2018,24.8,24.8,24.3,24.3,126157.0,45.0
06/06/2018,24.9,26.1,24.3,25.2,277087.0,95.0
06/07/2018,26.1,26.1,24.2,24.8,235725.0,137.0
06/10/2018,24.8,24.8,23.8,23.9,162398.0,91.0
06/11/2018,24.0,24.6,23.9,24.0,1145693.0,107.0
06/12/2018,24.1,24.4,24.1,24.3,54033.0,64.0
06/18/2018,24.5,24.5,23.7,23.7,370377.0,103.0
06/19/2018,23.7,24.1,23.7,23.9,414157.0,104.0
06/20/2018,23.9,24.0,23.7,23.7,187975.0,106.0
06/21/2018,24.0,24.1,23.7,23.8,651625.0,212.0
06/24/2018,24.1,24.3,23.9,24.1,460603.0,189.0
06/25/2018,23.9,24.1,23.8,23.9,155192.0,113.0
06/26/2018,23.9,24.1,23.9,24.0,425947.0,100.0
06/27/2018,24.1,24.1,22.9,23.5,171953.0,215.0
06/28/2018,23.1,23.8,23.0,23.2,97359.0,122.0
07/02/2018,22.8,23.2,22.1,22.5,74462.0,56.0
07/03/2018,22.3,23.2,22.3,22.8,176655.0,83.0
07/04/2018,22.7,23.4,22.7,23.2,135139.0,99.0
07/05/2018,23.1,23.1,22.6,22.8,532266.0,158.0
07/08/2018,22.5,22.8,22.5,22.6,604810.0,253.0
07/09/2018,22.6,22.8,22.1,22.5,1078357.0,230.0
07/10/2018,22.4,22.8,22.4,22.6,822553.0,195.0
07/11/2018,22.8,23.4,21.0,22.1,256787.0,125.0
07/12/2018,22.1,22.1,21.9,22.0,337391.0,150.0
07/15/2018,22.0,22.0,21.3,21.5,998314.0,301.0
07/16/2018,21.1,21.7,21.1,21.5,875453.0,193.0
07/17/2018,21.4,21.9,21.4,21.7,148187.0,101.0
07/18/2018,21.6,21.8,21.6,21.7,197594.0,155.0
07/19/2018,21.7,21.8,21.6,21.7,266938.0,124.0
07/22/2018,21.5,21.7,21.3,21.5,701737.0,174.0
07/23/2018,21.3,22.0,21.0,21.7,136998.0,102.0
07/24/2018,21.7,21.8,21.5,21.7,132795.0,67.0
07/25/2018,21.7,21.9,21.4,21.4,171037.0,107.0
07/26/2018,21.4,21.5,21.0,21.1,225070.0,93.0
07/29/2018,21.1,21.7,21.1,21.3,115596.0,39.0
07/30/2018,21.7,21.8,21.2,21.3,93885.0,
07/31/2018,21.3,22.6,21.3,21.7,212136.0,106.0
08/01/2018,22.0,22.5,22.0,22.4,130013.0,122.0
08/02/2018,22.6,22.8,22.4,22.8,295488.0,129.0
08/05/2018,22.8,22.9,22.7,22.7,194952.0,108.0
08/06/2018,22.0,22.7,22.0,22.2,26333.0,23.0
08/07/2018,22.6,22.8,22.0,22.1,184599.0,116.0
08/08/2018,22.6,23.4,22.4,23.1,274247.0,119.0
08/09/2018,23.4,23.7,23.0,23.5,321221.0,191.0
08/12/2018,23.5,24.4,23.3,24.2,870286.0,298.0
08/13/2018,24.6,25.0,23.9,24.6,551978.0,467.0
08/14/2018,24.5,24.8,24.1,24.6,205681.0,179.0
08/16/2018,24.8,25.7,24.7,25.1,620134.0,443.0
08/19/2018,25.4,25.9,25.2,25.8,864060.0,530.0
08/20/2018,25.8,26.3,25.3,26.2,497125.0,421.0
08/26/2018,26.1,26.1,25.2,25.5,367856.0,198.0
08/27/2018,25.7,25.9,24.9,25.2,547720.0,165.0
08/28/2018,25.4,26.0,25.4,25.8,216864.0,233.0
08/29/2018,26.0,26.1,25.4,25.4,244363.0,184.0
08/30/2018,25.3,25.9,25.2,25.4,251675.0,183.0
09/03/2018,25.5,25.5,25.0,25.2,102783.0,97.0
09/04/2018,25.4,25.4,24.7,24.8,177482.0,122.0
09/05/2018,25.3,25.3,24.6,24.7,77998.0,102.0
09/06/2018,24.5,25.4,24.4,24.7,151381.0,118.0
09/09/2018,24.6,24.8,24.3,24.4,69043.0,76.0
09/10/2018,24.3,24.4,24.1,24.2,66846.0,84.0
09/11/2018,24.1,24.2,23.9,24.0,133789.0,92.0
09/12/2018,24.7,24.7,23.7,23.8,107165.0,96.0
09/13/2018,23.5,24.0,23.2,23.4,213946.0,139.0
09/16/2018,23.1,23.4,23.0,23.1,36274.0,35.0
09/17/2018,23.1,23.3,22.9,23.0,103206.0,58.0
09/18/2018,23.2,24.1,23.1,23.7,59039.0,46.0
09/19/2018,23.7,24.8,23.7,24.3,346543.0,144.0
09/20/2018,24.3,24.3,23.8,23.9,45381.0,52.0
09/23/2018,24.7,24.7,23.4,23.8,26987.0,23.0
09/24/2018,24.2,24.2,23.2,23.2,197165.0,72.0
09/25/2018,23.7,24.1,23.0,23.4,70366.0,70.0
09/26/2018,22.9,24.0,22.9,23.7,62777.0,43.0
09/27/2018,23.7,23.9,23.4,23.6,209214.0,65.0
09/30/2018,23.4,23.4,22.8,22.9,87536.0,83.0
10/01/2018,23.0,23.9,22.9,23.2,94695.0,83.0
10/02/2018,23.2,23.7,23.2,23.5,75509.0,37.0
10/03/2018,23.8,24.1,23.5,23.5,89272.0,58.0
10/04/2018,23.5,23.7,23.5,23.6,27670.0,34.0
10/07/2018,23.6,25.7,22.8,24.0,190912.0,0.0
10/08/2018,24.2,24.3,23.7,24.1,58424.0,
10/09/2018,23.5,24.1,23.5,23.9,117318.0,
10/10/2018,23.7,24.1,23.0,23.2,1588279.0,0.0
10/11/2018,23.4,23.7,23.2,23.3,409794.0,120.0
10/14/2018,23.5,24.0,23.3,23.4,272395.0,163.0
10/15/2018,23.4,23.6,23.1,23.2,409117.0,186.0
10/16/2018,23.1,23.6,23.1,23.5,52314.0,31.0
10/17/2018,23.7,23.7,23.4,23.4,150608.0,91.0
10/18/2018,23.6,24.1,23.3,23.8,150165.0,148.0
10/21/2018,24.1,24.3,23.7,23.8,288225.0,136.0
10/22/2018,23.8,24.1,23.5,23.7,55248.0,41.0
10/23/2018,24.1,24.1,23.5,24.0,100603.0,48.0
10/24/2018,23.9,24.2,23.9,24.1,195396.0,111.0
10/25/2018,24.2,24.3,23.8,24.1,84933.0,
10/28/2018,24.1,24.1,23.5,23.5,104678.0,
10/29/2018,23.4,24.2,23.0,23.6,234333.0,
10/30/2018,23.9,24.0,23.6,23.9,191668.0,
10/31/2018,23.9,24.1,23.7,24.1,238002.0,
11/01/2018,24.3,24.3,23.8,23.9,117012.0,
11/04/2018,23.3,23.9,23.3,23.5,46979.0,
11/05/2018,23.4,23.8,23.4,23.7,75944.0,
11/06/2018,23.7,23.7,23.2,23.3,92709.0,
11/07/2018,23.3,23.5,23.3,23.4,200138.0,
11/08/2018,23.4,23.5,23.4,23.5,41496.0,29.0
11/11/2018,21.1,24.4,21.1,23.8,210975.0,85.0
11/12/2018,24.5,24.5,23.7,23.9,129071.0,56.0
11/13/2018,24.2,24.2,23.9,24.0,111599.0,65.0
11/14/2018,24.4,24.6,23.4,23.5,200398.0,121.0
11/15/2018,23.9,23.9,23.3,23.4,351348.0,138.0
11/18/2018,23.4,23.4,23.0,23.2,209027.0,180.0
11/19/2018,23.2,23.4,23.2,23.2,194562.0,104.0
11/20/2018,23.2,24.0,23.2,23.7,284644.0,104.0
11/22/2018,23.7,23.7,23.5,23.5,66484.0,40.0
11/25/2018,24.1,24.6,23.3,23.4,220001.0,84.0
11/26/2018,23.2,23.5,23.2,23.4,134252.0,83.0
11/27/2018,23.7,23.7,23.2,23.3,161818.0,76.0
11/28/2018,23.7,23.8,23.3,23.4,163324.0,101.0
11/29/2018,23.3,24.1,23.2,23.9,266151.0,104.0
12/02/2018,23.9,23.9,23.5,23.8,45022.0,22.0
12/03/2018,24.0,24.1,23.8,23.9,66687.0,35.0
12/04/2018,23.9,24.1,23.7,23.9,111674.0,55.0
12/05/2018,24.2,24.3,23.9,24.0,169565.0,124.0
12/06/2018,24.0,24.7,24.0,24.2,228274.0,130.0
12/09/2018,24.6,24.6,23.5,23.8,195487.0,127.0
12/10/2018,23.7,24.1,23.7,24.0,486894.0,79.0
12/11/2018,24.3,24.3,23.6,23.9,390497.0,82.0
12/12/2018,24.1,24.7,23.8,24.5,531020.0,217.0
12/13/2018,24.1,24.1,24.0,24.1,74858.0,44.0
12/17/2018,24.1,24.1,23.7,23.9,160569.0,69.0
12/18/2018,23.7,24.3,23.7,23.9,43376.0,25.0
12/19/2018,23.9,24.2,23.9,24.0,69936.0,33.0
12/20/2018,23.9,24.3,23.8,24.1,31598.0,30.0
12/23/2018,23.9,24.7,23.9,24.2,156393.0,49.0
12/24/2018,24.3,24.3,24.1,24.3,187795.0,82.0
12/26/2018,24.3,24.8,24.3,24.7,395633.0,152.0
12/27/2018,24.6,25.0,24.6,24.8,606310.0,192.0
01/01/2019,24.6,24.6,23.6,23.7,131666.0,68.0
01/02/2019,23.9,24.0,23.5,23.6,277295.0,160.0
01/03/2019,24.0,24.2,23.4,24.1,277661.0,159.0
01/06/2019,24.1,24.3,23.8,24.2,451516.0,202.0
01/07/2019,24.2,24.5,24.1,24.3,352666.0,163.0
01/08/2019,24.3,25.3,24.2,25.1,846461.0,323.0
01/09/2019,25.7,25.7,24.9,25.0,392923.0,186.0
01/10/2019,25.2,25.4,24.6,25.0,516092.0,189.0
01/13/2019,24.8,25.6,24.7,25.3,612536.0,163.0
01/14/2019,25.3,25.6,25.0,25.2,669165.0,192.0
01/15/2019,24.9,25.3,24.5,25.0,473383.0,200.0
01/16/2019,25.0,25.3,24.8,24.9,189716.0,71.0
01/17/2019,25.1,25.4,24.7,25.3,181673.0,121.0
01/20/2019,25.4,26.3,25.3,26.1,1113778.0,353.0
01/21/2019,26.1,26.1,25.3,25.3,134428.0,109.0
01/22/2019,25.4,25.8,24.8,25.6,282603.0,164.0
01/23/2019,25.4,27.5,25.4,26.8,2123743.0,434.0
01/24/2019,26.6,27.5,26.2,26.9,653088.0,234.0
01/27/2019,27.5,28.8,26.7,26.9,1124041.0,316.0
01/28/2019,26.9,26.9,26.1,26.3,160843.0,121.0
01/29/2019,26.5,27.0,26.3,26.6,312185.0,135.0
01/30/2019,26.7,26.9,26.1,26.1,173911.0,113.0
01/31/2019,26.2,26.4,25.7,25.8,1686295.0,116.0
02/03/2019,26.1,26.1,25.3,25.5,165747.0,89.0
02/04/2019,25.4,25.7,25.3,25.5,61915.0,41.0
02/05/2019,25.9,26.1,25.4,25.9,187802.0,106.0
02/06/2019,25.4,26.2,25.4,25.7,160125.0,56.0
02/07/2019,25.7,25.9,25.5,25.5,81412.0,74.0
02/10/2019,25.4,25.6,25.0,25.1,457309.0,169.0
02/11/2019,24.1,25.8,24.1,25.2,232577.0,
02/12/2019,25.7,25.8,25.1,25.5,233797.0,91.0
02/13/2019,25.4,25.7,25.1,25.6,122098.0,42.0
02/14/2019,25.3,26.1,25.3,25.7,113743.0,95.0
02/17/2019,25.7,26.1,25.6,25.7,287015.0,117.0
02/18/2019,25.6,25.6,24.7,24.8,118263.0,66.0
02/19/2019,24.9,25.6,24.8,25.4,197135.0,60.0
02/20/2019,25.6,26.0,25.1,25.9,164511.0,79.0
02/24/2019,25.1,25.6,25.0,25.3,31202.0,22.0
02/25/2019,25.4,26.1,25.1,26.0,194951.0,90.0
02/26/2019,25.3,26.0,25.3,25.5,66171.0,58.0
02/27/2019,25.7,25.7,24.9,25.0,47074.0,45.0
03/03/2019,25.1,25.1,24.7,24.8,100112.0,71.0
03/04/2019,25.3,25.3,22.5,24.0,121898.0,95.0
03/05/2019,24.1,26.1,23.7,25.3,246200.0,138.0
03/06/2019,24.7,25.6,24.6,25.4,44740.0,
03/07/2019,25.6,26.2,25.3,25.9,506739.0,
03/10/2019,25.8,26.0,25.6,25.7,18230.0,
03/11/2019,25.1,25.8,24.7,25.3,39637.0,
03/12/2019,25.3,25.4,25.0,25.3,104439.0,
03/13/2019,25.7,25.7,25.0,25.2,46375.0,
03/14/2019,25.0,25.7,25.0,25.3,68212.0,
03/18/2019,25.6,25.6,24.9,25.0,18960.0,
03/19/2019,25.0,25.7,24.8,25.6,331642.0,
03/20/2019,25.7,25.8,25.0,25.6,39034.0,
03/21/2019,25.8,25.8,24.7,24.8,47524.0,
03/24/2019,25.3,25.7,23.5,23.9,146038.0,
03/25/2019,24.6,24.6,23.8,24.4,144363.0,
03/27/2019,24.4,24.4,23.8,23.9,131854.0,
03/28/2019,24.5,24.5,23.9,24.1,22867.0,
03/31/2019,24.4,24.4,23.8,24.1,89098.0,
04/01/2019,23.5,25.3,23.5,24.6,405795.0,
04/02/2019,25.0,25.3,24.1,25.0,69194.0,
04/03/2019,25.3,25.4,23.8,25.1,2011644.0,
04/04/2019,25.3,25.6,24.6,25.4,232562.0,
04/07/2019,25.9,26.1,25.1,25.7,268756.0,
04/08/2019,25.3,25.4,24.1,24.7,367092.0,
04/09/2019,25.0,25.3,23.8,24.3,260469.0,
04/10/2019,25.1,26.0,24.2,24.9,340995.0,
04/11/2019,28.5,28.5,25.3,26.3,836789.0,
04/15/2019,26.1,26.9,26.1,26.2,316313.0,
04/16/2019,26.1,26.3,25.5,25.8,254878.0,
04/17/2019,26.1,26.2,25.3,26.1,359876.0,224.0
04/18/2019,26.5,26.7,26.0,26.3,229934.0,123.0
04/21/2019,26.9,27.1,26.1,26.3,120940.0,124.0
04/23/2019,26.9,26.9,26.1,26.2,136426.0,154.0
04/24/2019,26.7,26.8,25.6,26.4,208912.0,188.0
04/25/2019,26.8,26.9,26.3,26.7,181274.0,97.0
04/28/2019,26.9,27.0,26.1,26.7,303083.0,118.0
04/29/2019,26.7,27.0,26.3,26.4,309593.0,119.0
04/30/2019,26.9,26.9,26.1,26.7,245296.0,121.0
05/02/2019,26.7,27.0,26.5,26.9,354566.0,258.0
05/05/2019,26.1,27.8,25.8,27.2,1149090.0,564.0
05/06/2019,26.1,27.8,25.8,27.2,1149090.0,0.0
05/07/2019,27.6,27.8,26.2,26.5,803255.0,446.0
05/08/2019,27.6,29.1,26.6,26.9,188019.0,190.0
05/09/2019,27.2,28.1,26.6,26.8,344676.0,227.0
05/12/2019,27.1,27.5,26.5,26.6,106470.0,109.0
05/13/2019,27.2,27.2,26.6,26.9,48497.0,89.0
05/14/2019,27.6,27.6,26.8,27.2,188606.0,70.0
05/15/2019,27.3,27.6,26.9,27.1,99411.0,108.0
05/16/2019,27.1,27.5,26.9,27.2,414591.0,109.0
05/19/2019,27.6,28.0,27.4,27.8,242673.0,223.0
05/20/2019,28.0,28.7,27.2,27.9,326384.0,102.0
05/21/2019,27.5,27.9,26.6,27.6,298562.0,174.0
05/22/2019,27.5,27.8,27.5,27.5,316002.0,106.0
05/23/2019,27.3,27.8,27.1,27.7,508568.0,155.0
05/26/2019,28.1,28.1,27.8,28.1,342068.0,118.0
05/27/2019,28.4,28.4,27.9,28.1,86465.0,76.0
05/28/2019,28.4,28.4,27.8,28.1,60502.0,53.0
05/29/2019,28.1,28.3,28.1,28.1,279530.0,165.0
05/30/2019,28.1,28.4,28.0,28.2,165383.0,107.0
06/09/2019,28.2,28.5,28.0,28.4,155366.0,146.0
06/10/2019,28.0,28.4,27.2,28.0,158097.0,196.0
06/11/2019,28.0,28.0,27.8,27.9,83850.0,89.0
06/12/2019,28.0,28.7,27.9,28.4,632597.0,315.0
06/13/2019,28.4,29.1,27.9,28.5,202811.0,123.0
06/16/2019,28.4,29.0,28.0,28.3,183653.0,85.0
06/17/2019,28.0,28.8,27.6,28.4,295326.0,91.0
06/18/2019,28.4,28.4,27.7,28.1,66339.0,86.0
06/19/2019,28.3,29.0,27.6,27.8,311784.0,144.0
06/20/2019,28.3,28.4,27.8,27.9,95985.0,71.0
06/23/2019,27.8,28.0,27.8,27.8,127135.0,105.0
06/24/2019,27.2,28.1,27.2,27.9,100749.0,81.0
06/25/2019,27.8,28.7,27.5,27.9,201841.0,77.0
06/26/2019,28.6,28.7,27.8,27.9,250225.0,67.0
06/27/2019,27.9,28.4,27.9,28.1,211990.0,198.0
06/30/2019,28.0,28.7,28.0,28.6,222048.0,119.0
07/02/2019,28.2,29.0,28.0,28.3,197765.0,52.0
07/03/2019,28.0,28.0,27.8,27.8,175299.0,149.0
07/04/2019,28.1,28.4,27.7,28.0,279235.0,163.0
07/07/2019,28.0,28.7,27.8,27.8,105148.0,67.0
07/08/2019,28.5,28.6,27.6,28.5,250525.0,107.0
07/09/2019,28.6,28.6,27.8,28.0,116163.0,49.0
07/10/2019,28.0,28.5,27.8,28.0,101368.0,70.0
07/11/2019,28.4,28.7,28.1,28.6,206960.0,124.0
07/14/2019,28.7,28.7,28.1,28.3,81401.0,44.0
07/15/2019,28.3,28.5,27.8,28.1,106603.0,103.0
07/16/2019,28.4,28.4,28.0,28.0,151887.0,87.0
07/17/2019,28.4,28.7,28.0,28.4,70693.0,37.0
07/18/2019,28.7,28.7,28.0,28.3,94704.0,61.0
07/21/2019,28.5,28.7,28.0,28.0,100166.0,99.0
07/22/2019,28.6,28.6,27.7,28.1,225793.0,84.0
07/23/2019,28.5,28.5,27.9,28.0,92278.0,53.0
07/24/2019,28.4,28.5,28.0,28.2,90284.0,88.0
07/25/2019,28.5,28.9,28.1,28.2,221317.0,70.0
07/28/2019,28.7,28.9,28.1,28.2,99328.0,102.0
07/29/2019,28.5,28.7,28.0,28.1,269765.0,112.0
07/30/2019,28.4,28.7,27.9,28.1,167634.0,67.0
07/31/2019,28.6,28.6,28.0,28.1,215201.0,81.0
08/01/2019,28.6,28.6,28.1,28.4,29885.0,22.0
08/04/2019,28.5,28.6,28.1,28.4,84815.0,41.0
08/05/2019,28.7,28.7,28.2,28.3,61772.0,35.0
08/06/2019,28.5,28.6,28.1,28.4,59565.0,45.0
08/07/2019,28.4,28.7,28.3,28.7,77769.0,42.0
08/08/2019,28.7,29.0,28.4,29.0,148319.0,62.0
08/18/2019,29.2,29.2,28.1,28.7,34116.0,21.0
08/19/2019,28.7,28.7,28.6,28.7,224603.0,62.0
08/20/2019,28.4,28.7,28.4,28.5,129658.0,79.0
08/21/2019,28.7,28.7,28.3,28.4,140436.0,103.0
08/22/2019,28.6,28.6,27.7,27.9,334043.0,113.0
08/25/2019,28.6,28.6,27.8,27.8,81340.0,74.0
08/26/2019,28.0,28.0,27.8,27.9,282889.0,103.0
08/27/2019,28.1,28.1,26.6,27.1,397761.0,213.0
08/28/2019,27.1,27.1,25.8,25.9,254216.0,212.0
08/29/2019,26.9,26.9,25.7,26.0,357117.0,159.0
09/01/2019,26.0,26.0,25.2,25.4,103686.0,129.0
09/02/2019,25.4,26.5,25.2,25.6,116958.0,58.0
09/03/2019,26.0,26.0,25.0,25.2,48072.0,56.0
09/04/2019,25.3,25.6,25.3,25.4,89715.0,108.0
09/05/2019,25.3,25.3,25.0,25.2,218527.0,113.0
09/08/2019,25.4,25.6,25.3,25.4,24950.0,32.0
09/09/2019,25.3,25.4,25.3,25.4,168281.0,82.0
09/11/2019,25.4,25.4,24.8,25.0,144093.0,107.0
09/12/2019,24.8,25.3,24.8,25.0,140989.0,91.0
09/15/2019,25.0,25.1,25.0,25.0,48691.0,38.0
09/16/2019,25.1,25.1,25.0,25.0,33069.0,33.0
09/17/2019,25.3,25.5,25.0,25.1,129492.0,77.0
