date,open,high,low,close,volume,trade
01/01/2018,182.8,186.1,177.3,178.4,44481.0,377.0
01/02/2018,178.5,180.8,177.3,177.5,7042.0,538.0
01/03/2018,178.2,185.5,178.2,182.7,49564.0,406.0
01/04/2018,181.1,197.7,181.1,195.6,132748.0,1114.0
01/07/2018,196.4,202.7,193.6,194.4,74978.0,638.0
01/08/2018,195.3,199.9,193.8,195.5,73598.0,735.0
01/09/2018,196.1,197.4,189.2,191.5,69269.0,551.0
01/10/2018,193.4,193.8,186.1,186.5,74567.0,641.0
01/11/2018,186.7,189.2,184.7,185.8,27825.0,343.0
01/14/2018,186.4,190.0,185.5,186.5,44446.0,430.0
01/15/2018,187.3,189.1,181.8,182.1,24070.0,253.0
01/16/2018,182.9,189.1,182.5,187.7,58548.0,446.0
01/17/2018,188.2,188.9,181.8,183.5,42278.0,378.0
01/18/2018,181.9,188.1,181.8,184.0,37864.0,331.0
01/21/2018,187.3,197.9,185.9,196.5,183106.0,1487.0
01/22/2018,197.0,199.5,193.7,194.6,78186.0,632.0
01/23/2018,195.5,198.2,191.9,195.7,82809.0,802.0
01/24/2018,198.1,203.8,195.9,199.7,153776.0,1243.0
01/25/2018,202.3,205.5,200.0,203.7,206404.0,1265.0
01/28/2018,205.5,205.7,193.6,195.0,79212.0,603.0
01/29/2018,195.5,198.2,192.7,196.3,76853.0,658.0
01/30/2018,197.5,201.8,193.9,195.2,64453.0,528.0
01/31/2018,195.5,196.4,184.9,187.5,67214.0,664.0
02/01/2018,190.0,192.7,186.7,187.9,65857.0,523.0
02/04/2018,189.1,192.2,187.0,188.2,54712.0,553.0
02/05/2018,191.8,191.8,186.3,187.6,42860.0,357.0
02/06/2018,189.1,190.9,188.1,188.5,35740.0,329.0
02/07/2018,189.1,194.7,188.1,192.6,78491.0,689.0
02/08/2018,194.5,194.5,189.1,190.5,46631.0,466.0
02/11/2018,193.5,203.5,193.5,199.5,158701.0,1120.0
02/12/2018,201.8,213.6,198.3,209.0,278866.0,1712.0
02/13/2018,212.6,213.6,204.1,206.0,141040.0,1084.0
02/14/2018,206.4,209.1,202.3,203.1,158635.0,1101.0
02/15/2018,204.5,210.8,203.7,207.4,133878.0,949.0
02/18/2018,209.1,222.7,209.1,216.6,363346.0,1840.0
